date,open,close,low,high,volume
2010-01-04,94.4,94.97,94.22,95.51,344327
2010-01-05,94.72,93.71,93.02,95.36,526773
2010-01-06,93.63,94.71,93.24,94.71,366721
2010-01-07,94.49,94.74,93.94,94.8,256555
2010-01-08,94.53,95.51,93.85,95.56,236216
2010-01-11,95.94,97.29,95.94,97.31,297204
2010-01-12,96.7,97.12,96.65,97.77,321143
2010-01-13,97.61,97.67,96.52,97.9,268467
2010-01-14,97.39,97.81,97.13,98.01,144403
2010-01-15,97.65,96.48,95.88,97.78,369927
2010-01-19,96.67,97.87,96.64,97.87,299987
2010-01-20,97.63,97.32,95.65,97.63,756576
2010-01-21,97.17,96.02,95.61,98.32,266915
2010-01-22,96.08,93.77,93.74,96.08,332055
2010-01-25,94.68,94.76,93.38,95.1,297587
2010-01-26,94.42,96.2,93.98,96.22,404286
2010-01-27,96.38,95.44,94.5,96.49,1022600
2010-01-28,94.48,94.11,92.91,94.66,477611
2010-01-29,93.98,93.2,93.18,94.56,427634
2010-02-01,93.53,93.81,92.49,93.87,267920
2010-02-02,94.12,94.83,93.16,94.91,213061
2010-02-03,94.51,95.01,94.28,95.22,331694
2010-02-04,93.8,92.36,92.29,94.32,283672
2010-02-05,92.0,92.0,90.57,92.28,331231
2010-02-08,92.17,90.45,90.45,92.17,216595
2010-02-09,91.26,91.7,90.74,92.49,440518
2010-02-10,92.07,91.73,91.04,92.38,410541
2010-02-11,91.8,92.72,90.81,92.72,282213
2010-02-12,92.77,92.79,91.48,92.92,443193
2010-02-16,93.83,95.92,93.49,95.92,382549
2010-02-17,95.89,96.31,95.41,96.31,321221
2010-02-18,96.04,96.85,95.62,96.96,273289
2010-02-19,96.56,98.14,96.56,99.13,403392
2010-02-22,98.47,97.58,97.35,99.21,345201
2010-02-23,97.5,97.42,97.21,98.07,296360
2010-02-24,98.06,98.64,97.09,98.82,520454
2010-02-25,97.71,98.47,96.65,98.5,417648
2010-02-26,98.13,95.15,95.12,98.49,849315
2010-03-01,95.51,96.03,95.48,96.5,733382
2010-03-02,96.6,97.96,96.6,98.54,670460
2010-03-03,98.72,98.77,98.56,99.93,495311
2010-03-04,98.81,99.18,98.47,99.4,279266
2010-03-05,100.17,100.28,99.67,100.65,253547
2010-03-08,100.47,100.05,99.86,100.5,250717
2010-03-09,99.79,99.31,98.89,100.24,956612
2010-03-10,98.89,98.5,97.78,99.26,324329
2010-03-11,97.87,98.71,97.61,98.71,458454
2010-03-12,99.21,98.32,98.08,99.21,286669
2010-03-15,97.85,98.33,97.62,98.41,375843
2010-03-16,98.47,99.36,98.1,99.5,207782
2010-03-17,99.3,99.72,99.12,100.36,286616
2010-03-18,99.92,99.81,99.52,100.24,286234
2010-03-19,99.55,98.84,98.24,100.05,425148
2010-03-22,98.63,98.84,97.82,98.87,317008
2010-03-23,98.35,98.64,98.17,99.03,263906
2010-03-24,98.54,97.66,97.66,98.65,349777
2010-03-25,97.9,97.25,97.17,98.4,308025
2010-03-26,97.78,98.31,97.42,98.49,613754
2010-03-29,98.68,99.99,98.24,99.99,281910
2010-03-30,100.11,99.69,99.25,100.42,321888
2010-03-31,99.4,98.54,98.41,99.51,304024
2010-04-01,98.72,99.29,98.64,99.29,268982
2010-04-05,99.1,99.62,98.66,99.72,306257
2010-04-06,98.69,100.89,98.69,100.96,291659
2010-04-07,100.44,99.51,98.76,100.47,406009
2010-04-08,98.0,99.31,98.0,100.73,593339
2010-04-09,99.12,97.96,97.55,99.3,2114672
2010-04-12,98.35,97.66,97.37,98.69,872863
2010-04-13,97.76,98.05,97.64,98.69,573839
2010-04-14,98.22,98.5,97.6,98.58,403809
2010-04-15,98.23,98.54,97.79,98.65,343089
2010-04-16,98.52,97.33,96.76,98.78,564403
2010-04-19,97.16,97.22,96.54,97.58,295378
2010-04-20,97.67,98.6,97.43,98.7,316824
2010-04-21,98.55,99.17,98.39,99.3,497172
2010-04-22,99.12,99.46,98.58,99.54,398627
2010-04-23,99.9,100.11,99.3,100.11,323785
2010-04-26,100.03,99.3,99.25,100.11,219757
2010-04-27,98.97,96.7,96.7,99.49,428822
2010-04-28,97.25,98.35,96.84,98.71,439731
2010-04-29,97.16,98.0,97.09,98.31,332259
2010-04-30,98.27,97.44,97.44,99.42,498418
2010-05-03,97.86,99.79,97.86,99.85,494379
2010-05-04,99.26,97.92,97.45,99.26,423591
2010-05-05,97.56,97.8,97.35,98.95,423174
2010-05-06,95.34,94.55,84.98,97.42,820067
2010-05-07,94.38,92.34,91.78,95.07,1041103
2010-05-10,95.35,93.27,92.25,95.87,950894
2010-05-11,92.91,93.93,92.83,94.96,619618
2010-05-12,93.72,95.8,93.62,96.32,445895
2010-05-13,95.72,96.04,95.72,97.2,417419
2010-05-14,95.41,94.97,94.28,95.49,403124
2010-05-17,95.09,95.74,94.35,96.09,337714
2010-05-18,96.08,95.37,95.24,96.65,556623
2010-05-19,94.49,95.04,94.21,96.17,669516
2010-05-20,93.37,92.08,92.08,94.37,663370
2010-05-21,91.2,92.23,89.95,92.33,615649
2010-05-24,92.13,92.05,91.6,93.5,330693
2010-05-25,90.16,90.69,88.64,90.82,485856
2010-05-26,91.26,90.79,90.47,92.05,446595
2010-05-27,92.13,92.39,91.47,92.65,460935
2010-05-28,92.06,91.95,91.74,93.0,297959
2010-06-01,91.11,90.64,90.62,92.16,526288
2010-06-02,91.45,92.91,91.03,92.97,662809
2010-06-03,93.48,94.13,93.19,94.35,323060
2010-06-04,92.61,91.01,90.78,93.58,472491
2010-06-07,91.27,91.03,90.93,92.42,597883
2010-06-08,91.3,93.4,90.7,93.48,717817
2010-06-09,93.78,91.42,91.1,93.88,604519
2010-06-10,92.53,93.18,92.19,93.18,402166
2010-06-11,92.36,93.09,91.84,93.09,297771
2010-06-14,94.12,93.6,93.07,94.33,322432
2010-06-15,94.19,95.37,94.06,95.37,499712
2010-06-16,94.73,95.57,94.55,96.24,252763
2010-06-17,96.18,97.54,95.91,97.64,385108
2010-06-18,97.81,98.73,97.73,98.91,455546
2010-06-21,99.28,98.15,97.47,99.3,293907
2010-06-22,98.08,95.91,95.6,98.13,279776
2010-06-23,95.81,94.32,93.88,95.81,354602
2010-06-24,94.61,95.76,94.61,96.96,454584
2010-06-25,95.72,95.38,94.52,96.22,363500
2010-06-28,95.14,96.05,94.57,96.36,279209
2010-06-29,95.0,95.05,94.01,95.62,707915
2010-06-30,95.06,94.26,94.1,95.94,399897
2010-07-01,94.42,93.75,92.55,94.42,441026
2010-07-02,93.89,94.07,93.71,94.98,297578
2010-07-06,95.08,95.52,94.61,96.12,794027
2010-07-07,95.78,98.17,95.55,98.17,447742
2010-07-08,98.34,98.96,97.87,99.11,396677
2010-07-09,98.65,99.15,98.11,99.43,254085
2010-07-12,98.73,99.72,98.47,100.01,178950
2010-07-13,100.25,100.23,99.5,100.69,282158
2010-07-14,99.91,100.67,99.37,100.67,290811
2010-07-15,100.69,100.69,99.89,100.96,384107
2010-07-16,100.16,98.49,98.28,100.57,323044
2010-07-19,99.0,99.57,97.98,99.76,312510
2010-07-20,98.11,99.2,97.15,99.35,408029
2010-07-21,99.45,98.38,97.74,99.5,317174
2010-07-22,99.39,100.51,99.29,100.77,458424
2010-07-23,99.98,101.25,99.72,101.54,469457
2010-07-26,101.09,102.3,100.78,102.45,527158
2010-07-27,102.88,103.65,102.36,104.09,496874
2010-07-28,103.59,102.76,102.53,104.31,611845
2010-07-29,102.1,98.72,98.72,102.1,602582
2010-07-30,98.3,98.53,98.04,99.02,539430
2010-08-02,99.59,99.59,99.25,100.44,438731
2010-08-03,99.56,101.01,99.09,101.21,619864
2010-08-04,101.33,102.01,100.89,102.39,476202
2010-08-05,101.36,102.11,101.23,102.24,460502
2010-08-06,101.24,101.19,100.35,101.83,342434
2010-08-09,101.36,101.57,101.23,102.16,412988
2010-08-10,100.78,102.11,100.26,102.58,542065
2010-08-11,100.4,99.76,99.26,100.6,562976
2010-08-12,99.11,100.69,98.62,101.26,691230
2010-08-13,100.59,101.13,100.54,102.0,286137
2010-08-16,100.37,100.63,99.99,101.17,336844
2010-08-17,101.29,102.82,101.13,103.02,336830
2010-08-18,102.62,101.3,100.71,102.62,350146
2010-08-19,100.54,99.63,99.05,100.9,259011
2010-08-20,98.84,99.86,98.82,100.01,195733
2010-08-23,100.27,101.03,99.96,101.67,847788
2010-08-24,100.1,101.5,99.88,101.91,435108
2010-08-25,101.18,101.41,99.89,101.56,568402
2010-08-26,101.73,100.51,100.1,101.73,263482
2010-08-27,100.76,102.23,99.95,102.48,322580
2010-08-30,102.02,100.55,100.45,102.22,172590
2010-08-31,100.23,100.86,99.9,101.34,285660
2010-09-01,102.19,103.56,101.38,103.76,336146
2010-09-02,103.52,102.92,102.16,103.52,423509
2010-09-03,103.35,103.8,102.83,103.8,167870
2010-09-07,103.37,103.5,102.99,104.29,192838
2010-09-08,103.24,101.7,101.7,103.49,392179
2010-09-09,102.45,102.65,102.15,103.08,263202
2010-09-10,102.49,102.29,101.83,102.69,201903
2010-09-13,103.11,103.85,102.41,103.97,440669
2010-09-14,103.73,103.83,103.08,104.24,270030
2010-09-15,103.78,103.63,103.33,104.46,312255
2010-09-16,103.62,102.3,101.75,103.62,338265
2010-09-17,103.1,102.24,101.91,103.15,455942
2010-09-20,102.86,104.0,102.43,104.05,205445
2010-09-21,103.94,103.69,103.08,104.37,339091
2010-09-22,103.97,104.2,103.9,105.31,228904
2010-09-23,104.03,102.91,102.88,104.28,235817
2010-09-24,103.91,105.03,103.68,105.03,305035
2010-09-27,104.58,105.55,104.4,105.98,257075
2010-09-28,106.12,106.27,105.0,106.43,217838
2010-09-29,106.05,105.49,105.01,106.2,242972
2010-09-30,106.08,105.17,104.96,106.36,331195
2010-10-01,104.33,105.7,104.05,105.86,273041
2010-10-04,104.83,104.55,104.12,105.74,265770
2010-10-05,105.74,105.86,105.18,105.89,384713
2010-10-06,105.67,105.11,104.5,106.0,224208
2010-10-07,105.47,104.41,104.13,105.47,355344
2010-10-08,104.52,104.32,103.84,104.62,210615
2010-10-11,104.22,104.09,104.02,104.52,284104
2010-10-12,104.08,103.65,103.4,104.18,353660
2010-10-13,103.64,103.82,103.35,104.17,260955
2010-10-14,103.83,104.05,103.75,104.86,298271
2010-10-15,103.92,104.35,103.79,104.72,270402
2010-10-18,103.96,104.51,103.71,104.54,509706
2010-10-19,103.24,103.98,103.21,104.83,397959
2010-10-20,104.32,105.52,104.25,105.94,391211
2010-10-21,106.47,105.89,105.38,107.1,715643
2010-10-22,106.15,105.92,105.07,106.5,694097
2010-10-25,106.41,105.73,105.7,106.61,622629
2010-10-26,105.2,105.17,104.91,105.72,166400
2010-10-27,105.34,104.99,103.43,105.34,344451
2010-10-28,105.01,103.67,103.52,105.01,335619
2010-10-29,103.57,103.93,103.5,104.33,543899
2010-11-01,103.77,103.14,102.74,104.72,266325
2010-11-02,103.81,105.82,103.81,105.85,277798
2010-11-03,106.11,105.26,104.68,106.16,373999
2010-11-04,105.86,106.19,105.71,106.64,253819
2010-11-05,106.38,105.87,105.47,106.45,205598
2010-11-08,105.57,104.69,104.37,105.77,240201
2010-11-09,104.83,103.98,103.65,105.18,403921
2010-11-10,103.93,103.66,102.66,103.98,406559
2010-11-11,103.14,103.46,102.74,103.71,286235
2010-11-12,103.02,102.37,102.19,103.09,321428
2010-11-15,102.53,103.23,102.53,103.95,224231
2010-11-16,102.38,101.85,101.13,102.85,325527
2010-11-17,102.19,101.57,101.34,102.22,245409
2010-11-18,102.34,102.06,101.42,102.34,281356
2010-11-19,102.11,101.76,101.14,102.36,208447
2010-11-22,101.55,101.98,100.83,102.1,151847
2010-11-23,101.08,100.83,100.28,101.08,218861
2010-11-24,101.29,100.86,100.62,101.29,215707
2010-11-26,100.78,100.58,100.16,101.47,101719
2010-11-29,99.93,100.2,99.21,100.4,195166
2010-11-30,99.23,100.17,99.06,100.59,288723
2010-12-01,101.33,101.6,100.87,101.87,194400
2010-12-02,101.81,101.68,100.89,101.86,174065
2010-12-03,101.03,100.95,100.49,101.25,751107
2010-12-06,101.05,101.05,100.73,101.54,160192
2010-12-07,101.89,100.46,100.33,101.97,238336
2010-12-08,100.32,100.0,99.53,100.72,150956
2010-12-09,100.33,100.53,99.61,100.68,198303
2010-12-10,100.92,101.76,100.92,101.76,156761
2010-12-13,102.19,102.37,101.44,102.62,272471
2010-12-14,102.7,103.3,102.52,103.35,254161
2010-12-15,103.4,102.38,102.33,103.48,297115
2010-12-16,102.72,104.0,102.14,104.05,312805
2010-12-17,103.61,104.12,102.96,104.14,428950
2010-12-20,104.82,104.07,103.62,105.08,314225
2010-12-21,104.41,104.48,103.95,104.76,163578
2010-12-22,105.0,105.22,104.92,105.85,231771
2010-12-23,105.03,105.77,105.03,106.22,188214
2010-12-27,105.61,105.86,105.05,106.35,115438
2010-12-28,105.6,105.65,105.04,105.93,234187
2010-12-29,105.6,105.12,104.8,105.71,91357
2010-12-30,105.37,104.94,104.86,105.6,100828
2010-12-31,104.99,104.89,104.84,105.62,143713
2011-01-03,104.93,104.73,103.77,105.23,406038
2011-01-04,105.34,105.54,104.86,106.07,298222
