date,open,close,low,high,volume
2010-01-04,93.77,93.72,93.5,94.46,821464
2010-01-05,93.9,93.22,92.04,93.9,833577
2010-01-06,92.41,92.95,92.31,93.19,822101
2010-01-07,92.84,96.23,92.5,96.82,1583733
2010-01-08,96.11,97.09,95.42,97.14,1105862
2010-01-11,97.44,97.48,96.36,97.58,1105756
2010-01-12,96.83,96.74,94.59,97.03,1016552
2010-01-13,97.11,98.14,96.97,98.77,1154462
2010-01-14,98.16,97.19,96.5,98.16,649403
2010-01-15,97.41,95.4,95.21,97.41,904880
2010-01-19,95.63,97.4,95.14,97.4,1124283
2010-01-20,96.35,95.32,94.59,96.35,1069995
2010-01-21,95.63,94.95,94.36,96.51,1387836
2010-01-22,94.78,91.85,91.17,95.13,1672945
2010-01-25,93.59,91.24,90.6,93.59,958838
2010-01-26,90.53,89.79,89.45,91.33,1280555
2010-01-27,89.39,89.88,89.09,90.37,1272948
2010-01-28,90.46,89.44,88.95,90.71,1219435
2010-01-29,90.27,90.76,89.68,92.22,1337762
2010-02-01,91.33,90.94,90.03,91.52,1263232
2010-02-02,90.82,92.09,90.48,92.24,1194469
2010-02-03,83.24,83.73,81.43,88.8,9822190
2010-02-04,82.21,80.94,79.37,82.65,7153348
2010-02-05,80.38,80.72,77.54,80.92,3301336
2010-02-08,81.28,79.46,79.36,81.38,3313520
2010-02-09,80.59,79.55,78.52,81.38,4043328
2010-02-10,79.85,81.33,79.2,82.12,3228333
2010-02-11,81.09,80.39,80.09,81.64,2864203
2010-02-12,80.62,80.52,79.72,81.52,2132087
2010-02-16,82.38,83.09,81.17,83.59,1899438
2010-02-17,83.14,82.58,82.58,84.15,852785
2010-02-18,82.35,82.65,82.3,82.95,852710
2010-02-19,81.72,81.52,81.13,82.07,1447088
2010-02-22,81.75,80.75,80.46,81.85,1660242
2010-02-23,81.14,79.89,79.89,81.26,1483672
2010-02-24,79.92,79.28,79.08,80.12,1595188
2010-02-25,78.67,79.22,77.98,79.62,1661267
2010-02-26,79.43,78.29,77.99,79.48,1515820
2010-03-01,79.07,79.67,78.47,80.02,1592728
2010-03-02,81.41,79.21,79.06,81.46,1792622
2010-03-03,79.56,78.56,78.56,79.96,1491388
2010-03-04,78.25,79.8,78.1,80.2,1977654
2010-03-05,80.45,81.2,79.76,81.35,1432489
2010-03-08,81.57,80.97,80.77,81.72,1239443
2010-03-09,80.91,81.66,80.21,81.86,1853295
2010-03-10,82.03,82.83,81.02,82.98,2022956
2010-03-11,82.45,83.9,82.02,84.2,1518161
2010-03-12,84.28,84.53,83.43,84.58,1094135
2010-03-15,84.2,83.45,82.85,84.35,1783821
2010-03-16,82.58,81.27,81.22,84.44,3240394
2010-03-17,82.1,84.62,81.85,84.87,1990532
2010-03-18,84.39,84.19,83.44,84.52,1276107
2010-03-19,84.32,83.37,82.92,84.72,1550773
2010-03-22,83.04,84.7,83.04,84.95,1266604
2010-03-23,84.75,85.46,84.65,86.01,1343092
2010-03-24,85.62,84.92,84.52,85.73,1165047
2010-03-25,86.05,85.7,85.55,87.01,2604422
2010-03-26,86.01,85.86,85.2,86.01,1047575
2010-03-29,86.68,86.83,86.37,87.18,771379
2010-03-30,87.39,86.12,85.67,87.49,1082377
2010-03-31,86.04,85.93,85.63,86.59,1497859
2010-04-01,87.03,86.83,86.22,88.56,1451586
2010-04-05,87.62,88.85,87.36,89.31,1360564
2010-04-06,88.65,89.42,88.65,90.18,1401468
2010-04-07,89.16,88.29,87.98,90.03,1243266
2010-04-08,88.23,89.25,87.76,89.76,1192717
2010-04-09,89.23,89.69,88.92,90.0,1011035
2010-04-12,89.78,89.58,89.37,91.06,1109946
2010-04-13,88.96,89.57,88.6,89.83,894217
2010-04-14,89.67,89.97,88.95,90.43,1134878
2010-04-15,89.29,88.89,88.74,89.9,1182144
2010-04-16,88.7,87.48,87.02,89.21,1140279
2010-04-19,87.06,87.72,87.06,88.38,1359758
2010-04-20,88.03,88.03,87.34,88.33,1026552
2010-04-21,87.73,88.09,87.38,88.19,1240900
2010-04-22,87.37,88.38,87.27,88.63,1641462
2010-04-23,88.24,90.06,87.98,90.06,986126
2010-04-26,90.68,90.89,90.38,92.51,2985096
2010-04-27,95.4,96.16,95.4,99.05,6508378
2010-04-28,96.32,94.29,92.97,96.67,2898620
2010-04-29,94.36,94.26,93.1,95.57,1718651
2010-04-30,94.0,91.89,91.69,94.61,2427766
2010-05-03,92.5,91.6,91.39,92.8,1462289
2010-05-04,90.24,88.99,88.14,90.24,2161758
2010-05-05,87.94,87.84,87.24,89.39,1031265
2010-05-06,87.33,86.13,81.52,88.28,2967216
2010-05-07,85.62,82.62,81.62,86.17,3211332
2010-05-10,86.17,86.17,85.42,86.87,2402587
2010-05-11,85.26,83.42,82.47,85.26,1753278
2010-05-12,84.14,85.24,83.69,85.59,1479827
2010-05-13,84.66,84.81,84.66,86.05,1463627
2010-05-14,84.79,83.29,82.73,85.14,2249939
2010-05-17,83.41,83.16,81.81,84.66,1831286
2010-05-18,83.77,80.78,80.58,84.32,1927670
2010-05-19,81.46,80.41,80.26,82.01,2773011
2010-05-20,78.78,77.42,76.97,79.83,2299828
2010-05-21,75.97,79.47,75.97,79.57,2165490
2010-05-24,78.48,77.38,77.38,78.92,1267718
2010-05-25,76.17,78.37,75.67,78.42,1787865
2010-05-26,78.41,78.02,77.72,80.06,2117400
2010-05-27,79.49,81.24,79.04,81.34,1313522
2010-05-28,81.4,79.85,79.55,81.65,1022599
2010-06-01,79.83,78.98,78.93,81.04,1557699
2010-06-02,79.26,79.06,78.56,79.57,1847684
2010-06-03,79.45,81.1,79.3,81.15,1389632
2010-06-04,78.99,78.34,78.14,80.19,2033535
2010-06-07,78.98,76.87,76.67,79.43,1709613
2010-06-08,77.43,77.68,75.97,77.68,1680434
2010-06-09,78.16,78.21,77.41,79.62,1270843
2010-06-10,78.95,80.71,78.95,80.76,1362233
2010-06-11,79.68,80.78,79.68,80.83,1040587
2010-06-14,81.44,79.88,79.78,81.79,1045158
2010-06-15,80.47,81.87,80.32,81.87,1739788
2010-06-16,81.34,81.19,80.54,81.79,981267
2010-06-17,81.7,81.5,80.7,81.85,623697
2010-06-18,81.29,81.14,80.89,81.89,920430
2010-06-21,81.9,79.9,79.5,82.39,852558
2010-06-22,79.97,78.88,78.78,80.37,849650
2010-06-23,78.55,79.0,77.53,79.45,861698
2010-06-24,78.91,77.91,77.66,79.27,1401816
2010-06-25,78.28,80.28,77.37,80.49,2457504
2010-06-28,80.59,78.84,78.84,80.64,972269
2010-06-29,77.52,74.58,74.03,77.52,2092627
2010-06-30,74.66,74.17,73.97,75.21,1490068
2010-07-01,74.16,74.75,72.86,75.15,1743971
2010-07-02,75.01,73.77,73.42,75.35,1090358
2010-07-06,75.01,74.47,73.82,76.34,965663
2010-07-07,74.95,78.15,74.95,78.46,1998614
2010-07-08,78.19,77.06,76.37,78.64,1736002
2010-07-09,77.23,78.21,76.64,78.26,804257
2010-07-12,77.65,78.19,77.31,78.54,736090
2010-07-13,78.64,78.64,77.61,79.04,1641123
2010-07-14,78.87,78.53,77.79,78.87,754025
2010-07-15,78.59,78.79,77.31,79.04,1214748
2010-07-16,78.24,75.82,75.22,78.29,1960843
2010-07-19,75.8,75.85,75.16,76.49,1128044
2010-07-20,75.09,77.81,75.09,77.86,840045
2010-07-21,78.34,76.6,76.15,78.43,1083461
2010-07-22,77.25,79.38,77.15,80.07,1956548
2010-07-23,79.29,80.67,78.79,80.82,907865
2010-07-26,81.23,82.77,80.89,82.92,2036734
2010-07-27,84.25,82.72,82.12,85.27,2074139
2010-07-28,82.38,81.64,81.44,82.48,1116424
2010-07-29,82.01,81.27,79.99,82.55,1777066
2010-07-30,78.15,80.18,78.15,81.22,1620825
2010-08-02,81.2,80.41,79.37,81.94,1642607
2010-08-03,80.55,79.46,79.26,80.65,1176383
2010-08-04,79.35,79.79,78.31,79.89,1080917
2010-08-05,79.32,80.11,79.32,80.46,623876
2010-08-06,79.42,80.66,79.07,80.81,996132
2010-08-09,80.83,81.67,80.63,81.87,809202
2010-08-10,80.43,81.41,80.38,82.2,946920
2010-08-11,80.12,79.23,78.94,80.12,889542
2010-08-12,77.97,79.16,77.78,79.65,1067828
2010-08-13,79.0,79.0,78.85,79.94,769480
2010-08-16,77.9,78.98,77.61,79.62,585050
2010-08-17,79.43,79.13,79.04,80.41,828108
2010-08-18,78.78,79.31,78.34,79.95,533019
2010-08-19,79.08,78.64,78.11,79.38,966636
2010-08-20,78.18,78.14,77.84,78.92,732186
2010-08-23,78.5,77.77,77.77,78.94,522176
2010-08-24,76.53,76.33,76.09,77.48,893009
2010-08-25,75.93,77.79,75.64,78.19,855091
2010-08-26,78.59,77.7,77.61,78.89,668937
2010-08-27,78.38,79.02,76.8,79.02,769412
2010-08-30,78.79,78.69,78.5,79.63,976017
2010-08-31,78.29,77.07,76.52,78.88,1156746
2010-09-01,77.95,79.87,77.36,79.97,1184816
2010-09-02,79.86,80.6,79.15,80.75,686586
2010-09-03,81.05,80.51,79.93,81.54,868416
2010-09-07,80.95,79.48,79.43,80.95,704325
2010-09-08,79.67,79.87,79.57,80.51,628873
2010-09-09,80.8,80.11,79.52,80.9,766424
2010-09-10,80.78,80.73,79.8,81.08,661571
2010-09-13,81.3,82.48,80.8,82.48,1107194
2010-09-14,82.4,84.38,81.86,84.62,1917973
2010-09-15,84.51,85.01,84.11,85.11,1256154
2010-09-16,84.9,85.1,84.0,85.2,756021
2010-09-17,85.11,84.08,83.43,85.16,1171720
2010-09-20,84.53,86.92,84.53,87.02,1026052
2010-09-21,87.02,86.22,85.77,87.37,929723
2010-09-22,86.41,85.51,85.51,87.16,1194922
2010-09-23,84.75,84.11,84.06,85.75,1576514
2010-09-24,85.43,87.37,85.43,87.57,1243547
2010-09-27,87.67,88.02,87.42,89.06,1411249
