date,open,close,low,high,volume
2010-01-04,181.45,182.79,180.85,183.88,980044
2010-01-05,182.46,184.46,180.88,185.63,1020384
2010-01-06,182.62,177.72,176.97,183.68,1243847
2010-01-07,177.92,175.1,173.47,178.64,936414
2010-01-08,173.37,175.9,172.58,177.71,954240
2010-01-11,176.96,177.86,172.45,178.34,963815
2010-01-12,176.43,174.73,171.69,177.19,1491486
2010-01-13,176.09,175.96,170.59,177.29,1060818
2010-01-14,174.28,170.85,168.59,175.72,1645222
2010-01-15,170.46,170.91,168.28,172.33,1469982
2010-01-19,170.67,170.79,170.05,173.86,759152
2010-01-20,168.39,168.21,165.59,172.44,844958
2010-01-21,168.37,170.13,168.09,172.65,1056849
2010-01-22,170.2,167.2,166.06,171.59,984570
2010-01-25,168.19,166.09,163.67,168.69,807363
2010-01-26,165.59,167.25,164.3,169.52,913793
2010-01-27,165.95,169.1,165.56,169.89,845609
2010-01-28,169.53,164.28,164.04,170.81,831026
2010-01-29,166.55,159.52,157.98,167.4,1274228
2010-02-01,160.13,166.39,157.03,166.66,1581607
2010-02-02,167.52,166.84,164.65,167.98,715590
2010-02-03,164.54,169.87,164.54,172.31,1319983
2010-02-04,169.05,163.1,162.86,170.04,1455349
2010-02-05,163.33,160.04,157.13,164.07,1489771
2010-02-08,162.59,163.54,161.84,166.43,1209497
2010-02-09,166.29,167.83,166.07,168.61,1206501
2010-02-10,168.12,168.61,166.35,170.28,908736
2010-02-11,166.55,170.51,165.78,171.11,1048713
2010-02-12,167.86,168.9,165.62,169.1,964534
2010-02-16,169.5,171.49,169.5,172.34,983185
2010-02-17,173.39,173.04,170.2,175.37,2525164
2010-02-18,183.92,188.03,182.44,190.33,4977485
2010-02-19,188.11,186.55,185.82,189.05,1669638
2010-02-22,188.23,186.05,183.75,188.62,1078773
2010-02-23,185.63,182.1,180.9,185.67,1437810
2010-02-24,181.8,181.01,177.83,182.5,1130148
2010-02-25,179.07,180.27,175.94,180.93,1314738
2010-02-26,180.72,182.9,178.34,183.13,1171642
2010-03-01,184.92,192.81,184.0,193.18,2208047
2010-03-02,194.75,194.99,193.02,197.94,2499106
2010-03-03,195.41,190.82,190.15,195.41,1239353
