date,open,close,low,high,volume
2010-01-04,193.58,194.74,192.66,194.94,4409576
2010-01-05,195.66,193.89,193.28,195.87,5163353
2010-01-06,190.98,188.65,188.24,191.52,5472275
2010-01-07,187.47,185.57,184.35,188.22,4864224
2010-01-08,185.67,184.38,182.88,186.35,4174083
2010-01-11,184.67,183.24,182.42,184.94,3760548
2010-01-12,182.33,183.08,181.85,184.09,3687952
2010-01-13,183.74,181.29,180.54,184.42,6854486
2010-01-14,181.38,178.31,177.56,182.81,5789473
2010-01-15,179.11,175.98,175.02,179.25,9870429
2010-01-19,176.42,178.33,175.6,178.67,4666775
2010-01-20,176.73,175.37,174.49,176.73,6226279
2010-01-21,176.21,174.51,172.67,176.62,6089372
2010-01-22,173.64,172.76,172.55,175.75,6002477
2010-01-25,175.04,174.02,172.25,176.2,4312732
2010-01-26,173.32,172.85,171.0,174.07,4777859
2010-01-27,172.76,175.57,172.01,179.0,9279707
2010-01-28,176.17,175.08,173.36,179.26,7957812
2010-01-29,175.77,174.05,173.98,176.73,5770744
2010-02-01,176.2,174.21,173.52,176.48,5347048
2010-02-02,174.65,176.85,173.96,177.89,4163557
2010-02-03,176.86,176.51,175.27,178.1,3367960
2010-02-04,175.7,172.94,172.94,176.11,4600812
2010-02-05,174.38,175.21,173.27,175.7,7555520
2010-02-08,175.19,173.73,173.6,175.75,3804527
2010-02-09,175.1,175.66,174.2,176.77,5151086
2010-02-10,175.31,174.54,173.78,175.45,3744577
2010-02-11,173.79,174.76,172.27,176.08,3860303
2010-02-12,173.75,174.03,172.57,174.58,4625758
2010-02-16,175.58,175.72,174.4,176.9,3840284
2010-02-17,176.21,176.14,174.76,176.98,2597654
2010-02-18,176.76,175.65,175.09,177.66,3415408
2010-02-19,175.67,174.97,174.41,177.06,4934120
2010-02-22,174.77,174.0,173.65,174.98,4340464
2010-02-23,173.3,172.13,172.13,173.51,4135118
2010-02-24,172.11,172.32,171.56,172.59,4277179
2010-02-25,171.02,171.09,169.99,171.71,4211919
2010-02-26,171.45,171.11,170.42,171.8,4242947
2010-03-01,172.22,172.84,171.67,173.33,3436428
2010-03-02,173.33,172.5,171.32,173.75,5009758
2010-03-03,173.61,172.64,172.08,173.61,3170317
2010-03-04,172.39,172.87,171.76,173.15,3776969
2010-03-05,173.9,173.62,172.44,174.03,4002404
2010-03-08,173.95,175.55,172.91,176.1,3502053
2010-03-09,176.69,178.22,176.41,179.41,5897024
2010-03-10,178.82,178.2,177.15,179.56,3200883
2010-03-11,178.01,179.27,177.17,179.27,3087158
2010-03-12,179.94,179.45,177.98,180.22,2636722
2010-03-15,180.05,180.76,179.21,180.9,3076955
2010-03-16,181.62,181.55,180.57,182.53,2600334
2010-03-17,181.86,181.51,181.16,182.14,2524459
2010-03-18,182.42,183.12,181.99,183.33,2438852
2010-03-19,183.08,183.43,181.68,183.92,5618720
2010-03-22,182.78,184.25,182.01,185.22,3467749
2010-03-23,185.59,186.08,184.54,186.22,2502070
2010-03-24,184.96,183.84,182.86,185.52,2998120
2010-03-25,185.07,183.11,182.83,185.14,3229956
2010-03-26,183.17,183.66,182.75,185.48,2518527
2010-03-29,184.72,185.84,184.37,186.26,2818658
2010-03-30,183.56,181.6,180.83,184.26,7286401
