date,open,close,low,high,volume
2010-01-04,80.63,81.08,80.29,81.14,1247661
2010-01-05,81.54,80.34,79.98,81.65,2333159
2010-01-06,80.15,79.15,78.93,80.51,2442312
2010-01-07,79.13,80.02,78.74,80.44,2602541
2010-01-08,79.69,81.75,79.69,81.8,1685833
2010-01-11,81.69,82.47,81.59,82.52,1532883
2010-01-12,81.96,82.38,81.22,82.4,1697632
2010-01-13,82.91,83.89,82.62,84.13,1405263
2010-01-14,83.8,84.72,83.37,84.77,1931044
2010-01-15,84.71,84.39,83.89,84.83,1731365
2010-01-19,84.2,85.54,83.1,85.56,1755307
2010-01-20,84.68,84.93,83.76,85.01,1973725
2010-01-21,84.86,83.6,83.27,85.52,2114389
2010-01-22,83.4,82.67,82.58,84.2,1309608
2010-01-25,83.18,82.93,82.41,83.69,1035896
2010-01-26,82.97,83.39,82.61,84.13,1622512
2010-01-27,83.39,83.3,82.03,83.56,1992268
2010-01-28,83.49,82.38,80.85,83.79,3407550
2010-01-29,82.48,81.64,81.36,82.48,2202196
2010-02-01,81.79,82.57,81.29,82.57,1886665
2010-02-02,83.01,85.43,82.29,85.63,2629399
2010-02-03,85.2,85.86,85.2,86.14,1814419
2010-02-04,85.76,84.57,84.52,85.89,2266786
2010-02-05,84.16,83.54,82.21,84.98,1965284
2010-02-08,83.79,82.68,82.68,84.15,1356752
2010-02-09,83.31,83.58,82.86,84.45,1955867
2010-02-10,83.65,83.9,83.52,84.4,1375941
2010-02-11,83.81,84.28,83.4,84.5,1271859
2010-02-12,83.39,83.64,82.89,83.97,1806246
2010-02-16,83.78,85.57,83.44,85.68,2106194
2010-02-17,85.85,85.68,84.74,86.14,1655535
2010-02-18,85.48,86.84,85.05,87.26,2676077
2010-02-19,86.49,86.9,85.99,87.07,2545894
2010-02-22,87.57,87.73,87.24,88.28,1608968
2010-02-23,87.59,87.04,87.01,88.28,1219192
2010-02-24,88.3,87.62,86.92,88.3,1397081
2010-02-25,86.74,87.27,86.05,87.35,1353153
2010-02-26,87.89,88.24,87.85,89.21,1808400
2010-03-01,88.93,89.33,88.64,89.74,997437
2010-03-02,89.97,89.66,89.22,90.22,1199070
