date,open,close,low,high,volume
2010-01-04,163.51,165.18,161.06,165.91,71733
2010-01-05,164.88,164.25,162.0,164.88,78247
2010-01-06,164.2,166.13,163.73,166.28,39273
2010-01-07,165.28,164.76,163.78,166.68,53356
2010-01-08,164.1,167.37,163.37,167.58,43356
2010-01-11,167.87,167.71,166.77,168.54,63091
2010-01-12,166.96,165.81,164.09,167.22,49549
2010-01-13,166.39,166.02,163.41,166.39,67379
2010-01-14,166.39,165.92,165.08,167.07,47004
2010-01-15,166.03,163.83,162.99,166.4,33640
2010-01-19,162.79,165.14,162.79,166.13,39716
2010-01-20,163.19,163.72,161.31,164.19,48715
2010-01-21,162.72,158.77,158.25,163.55,67595
2010-01-22,158.97,156.73,156.41,159.13,102368
2010-01-25,157.78,154.9,152.85,157.94,80134
2010-01-26,154.29,154.03,152.72,154.81,66723
2010-01-27,153.76,153.76,151.45,154.39,40336
2010-01-28,154.17,151.75,149.9,155.64,31535
2010-01-29,152.76,149.11,149.11,154.29,73321
2010-02-01,149.87,152.03,148.39,152.4,89823
2010-02-02,152.13,155.09,151.44,155.62,70178
2010-02-03,153.94,155.0,153.62,155.84,69481
2010-02-04,163.14,154.84,154.79,163.14,190027
2010-02-05,155.13,153.38,149.37,155.71,183504
2010-02-08,153.75,154.92,152.16,157.09,95703
2010-02-09,156.86,156.0,155.63,158.45,57581
2010-02-10,156.53,155.2,154.61,157.34,46960
2010-02-11,154.97,157.8,153.95,157.9,53814
2010-02-12,155.47,159.36,154.25,159.36,80860
2010-02-16,159.34,161.04,158.1,161.04,36282
2010-02-17,160.85,162.39,160.64,162.66,57199
2010-02-18,162.69,165.66,161.58,166.14,57060
2010-02-19,165.77,166.99,165.37,167.15,64786
2010-02-22,168.14,167.39,165.43,168.61,40054
2010-02-23,166.33,163.41,163.2,167.02,25638
2010-02-24,163.91,164.28,162.82,164.71,23733
2010-02-25,161.02,165.01,159.91,165.22,50633
2010-02-26,164.25,164.3,162.5,165.2,41277
2010-03-01,164.83,166.94,163.98,168.37,47435
2010-03-02,166.8,168.02,166.17,168.71,55335
2010-03-03,167.96,167.22,166.37,168.86,61511
2010-03-04,167.89,166.46,165.29,168.74,77733
2010-03-05,167.38,170.56,166.64,170.56,28909
2010-03-08,169.38,170.54,168.8,170.54,55555
2010-03-09,169.93,171.3,168.19,171.62,39104
2010-03-10,171.65,173.24,170.96,173.29,46919
2010-03-11,170.94,173.94,170.25,173.94,63942
2010-03-12,173.08,172.04,170.72,173.08,69253
2010-03-15,172.49,171.75,170.96,173.43,79934
2010-03-16,171.44,170.71,169.77,171.81,55491
2010-03-17,171.44,171.91,171.44,173.53,72563
2010-03-18,173.44,170.07,169.59,173.7,93797
2010-03-19,170.61,169.03,168.66,171.4,101439
2010-03-22,167.6,171.02,167.6,171.55,33046
2010-03-23,171.28,174.43,170.33,174.54,36537
2010-03-24,172.8,170.71,170.29,173.38,51054
