date,open,close,low,high,volume
2010-01-04,73.94,75.1,73.76,75.92,5880080
2010-01-05,74.74,75.63,74.33,75.88,4739591
2010-01-06,75.29,75.61,75.13,76.25,3670120
2010-01-07,75.2,75.66,74.37,75.96,4523138
2010-01-08,74.94,76.32,74.94,76.36,5725092
2010-01-11,76.9,80.91,76.77,81.28,18075083
2010-01-12,79.6,78.63,77.29,79.79,10420065
2010-01-13,78.16,78.45,77.26,79.02,7013474
2010-01-14,78.5,78.35,78.06,79.44,4947154
2010-01-15,77.53,75.85,75.71,77.8,7850194
2010-01-19,75.11,76.58,74.6,76.92,6647470
2010-01-20,75.42,74.91,74.34,75.75,5247724
2010-01-21,74.38,71.06,70.88,74.88,11841220
2010-01-22,70.67,67.76,67.47,71.87,10888070
2010-01-25,68.98,68.96,68.57,70.27,7804603
2010-01-26,68.85,69.93,68.36,71.29,12254779
2010-01-27,66.19,66.79,63.78,67.29,28437334
2010-01-28,67.53,65.07,64.24,67.54,12526581
2010-01-29,66.15,65.48,65.18,67.41,11084364
2010-02-01,65.98,66.13,65.58,66.83,5736823
2010-02-02,66.68,66.77,65.61,66.98,5508301
2010-02-03,66.45,66.68,66.32,67.45,5222568
2010-02-04,66.19,64.43,64.41,66.26,9214020
2010-02-05,64.13,64.8,63.47,65.09,12390235
2010-02-08,64.66,63.59,63.23,65.3,6228014
2010-02-09,65.97,67.01,65.78,67.91,12664785
2010-02-10,67.16,66.54,65.66,67.66,6891287
2010-02-11,66.64,70.47,66.1,70.62,13204251
2010-02-12,69.13,70.52,68.52,70.96,10466735
2010-02-16,70.86,71.3,70.14,71.45,5595973
2010-02-17,72.71,72.02,71.67,73.09,6461135
2010-02-18,71.32,72.14,70.94,72.44,5405572
2010-02-19,71.84,72.66,71.49,72.95,6269410
2010-02-22,72.96,72.1,72.06,73.26,6089326
2010-02-23,72.23,70.69,70.15,72.84,8085470
2010-02-24,71.29,71.66,71.03,72.28,4737761
2010-02-25,70.13,71.98,68.71,72.27,8305209
2010-02-26,72.6,72.74,71.53,72.98,4731940
2010-03-01,73.23,73.9,73.13,74.59,6737835
2010-03-02,74.22,74.06,73.89,74.91,5469037
2010-03-03,74.97,75.12,74.89,76.87,7220219
2010-03-04,74.65,74.49,73.68,75.2,4871744
2010-03-05,75.9,75.67,75.25,76.12,5367740
2010-03-08,76.29,75.57,75.13,76.32,3323923
2010-03-09,74.84,75.76,74.76,76.45,5894881
2010-03-10,75.93,75.51,75.06,76.43,5196643
2010-03-11,75.41,75.55,74.29,75.65,4238849
2010-03-12,76.32,77.39,76.09,77.55,7495385
2010-03-15,76.35,75.62,74.24,76.62,6530542
2010-03-16,76.11,75.85,75.07,76.14,5838513
2010-03-17,76.31,77.04,76.11,77.4,6177109
2010-03-18,76.6,76.8,76.25,77.6,6126456
2010-03-19,77.61,76.65,76.11,77.86,7147056
2010-03-22,75.86,77.47,75.8,77.88,5589171
2010-03-23,77.94,80.94,77.82,81.07,10417618
2010-03-24,80.12,80.25,79.42,80.87,7969358
2010-03-25,81.22,80.53,80.41,82.56,9032616
2010-03-26,80.94,80.99,80.41,81.95,5712569
2010-03-29,81.56,82.49,81.56,82.65,5452446
2010-03-30,82.41,82.12,81.67,82.73,4688406
2010-03-31,81.28,81.4,81.11,82.24,5208661
2010-04-01,82.05,82.96,82.05,83.23,5792642
2010-04-05,83.34,84.16,83.14,84.17,5090953
2010-04-06,83.68,84.3,83.37,84.54,5169127
2010-04-07,84.55,83.54,82.94,84.72,5678226
2010-04-08,83.31,83.87,82.66,84.09,3759587
2010-04-09,84.48,84.97,84.38,85.29,4251564
2010-04-12,85.91,86.95,85.69,87.3,9444888
2010-04-13,87.08,86.42,86.38,87.8,5330742
2010-04-14,86.7,87.89,86.48,88.01,4471099
2010-04-15,87.49,88.87,87.49,89.51,5433994
2010-04-16,88.61,87.09,86.39,88.85,7731433
2010-04-19,87.57,88.08,86.48,89.02,5994683
2010-04-20,89.23,88.95,88.82,90.0,5661034
2010-04-21,89.15,88.61,87.78,89.38,4954413
2010-04-22,87.76,88.86,86.84,89.05,6412148
2010-04-23,88.61,90.7,88.34,90.92,6483093
2010-04-26,93.76,94.78,93.46,96.34,14782306
2010-04-27,94.83,91.21,90.88,95.27,10982590
2010-04-28,92.33,91.72,91.23,93.45,5991110
2010-04-29,93.23,94.28,92.77,94.29,5875352
2010-04-30,94.85,90.97,90.61,95.34,7062219
2010-05-03,91.05,93.14,90.68,93.44,5909668
2010-05-04,91.41,88.93,88.33,91.41,9630273
2010-05-05,87.52,87.65,85.15,89.62,8665488
2010-05-06,87.97,84.83,77.48,89.42,14461936
2010-05-07,83.98,82.71,80.77,85.84,11807910
2010-05-10,87.59,88.67,86.67,89.08,9184460
2010-05-11,86.68,87.87,86.44,89.08,5734484
2010-05-12,88.9,90.89,88.82,91.09,5996712
2010-05-13,90.93,89.28,88.96,91.27,4983847
2010-05-14,88.13,86.68,85.39,88.43,7561098
2010-05-17,86.6,84.96,82.58,87.57,8948300
2010-05-18,86.57,84.28,83.83,87.4,6960349
2010-05-19,84.25,82.24,79.35,84.56,13227768
2010-05-20,79.34,78.8,77.9,81.14,17248488
2010-05-21,76.57,80.3,76.43,80.84,13960055
2010-05-24,80.34,79.21,79.04,81.74,9255469
2010-05-25,75.1,78.92,74.29,79.12,10355202
2010-05-26,79.3,79.43,78.79,81.65,8464932
2010-05-27,81.95,82.88,81.23,82.96,6595669
2010-05-28,83.46,81.24,80.29,83.46,5969006
2010-06-01,80.29,79.26,79.2,82.43,5921247
2010-06-02,80.33,81.61,79.5,81.67,7652111
2010-06-03,83.94,82.35,81.42,84.03,6314426
2010-06-04,80.29,77.96,77.42,81.25,7198675
2010-06-07,78.31,75.37,75.32,78.67,6358697
2010-06-08,75.96,76.78,74.44,77.55,8107277
2010-06-09,78.15,77.22,76.92,80.0,7419389
2010-06-10,79.26,81.49,78.84,81.56,7562422
2010-06-11,80.46,81.84,80.15,81.85,5078857
2010-06-14,83.29,82.72,82.55,84.83,6796936
2010-06-15,83.85,86.1,83.45,86.24,8899581
2010-06-16,86.01,88.03,85.76,88.2,8021266
2010-06-17,88.3,88.73,86.98,88.79,7760791
2010-06-18,88.47,89.45,87.71,89.51,8644090
2010-06-21,91.58,89.56,88.85,92.65,8993221
2010-06-22,89.89,86.92,86.61,90.14,6535197
2010-06-23,86.92,87.29,84.99,88.02,6647898
2010-06-24,86.9,86.3,85.87,87.77,6130496
