date,open,close,low,high,volume
2010-01-04,51.9,52.17,51.73,52.96,821536
2010-01-05,52.5,51.95,51.5,52.54,913247
2010-01-06,51.76,52.89,51.72,52.96,1276374
2010-01-07,53.33,54.29,52.61,54.46,1117415
2010-01-08,53.76,54.0,53.28,54.1,574139
2010-01-11,54.64,53.74,53.61,54.64,689841
2010-01-12,53.16,52.95,52.34,53.61,902046
2010-01-13,52.88,53.26,52.81,53.47,715512
2010-01-14,53.37,53.34,53.23,53.68,627894
2010-01-15,53.08,51.46,51.46,53.29,1355869
2010-01-19,51.8,52.42,51.49,53.24,3012639
2010-01-20,52.39,52.39,51.97,52.77,1228917
2010-01-21,52.64,51.05,50.91,52.64,1465169
2010-01-22,51.17,50.3,50.2,51.9,1321727
2010-01-25,50.77,50.53,50.11,51.09,711081
2010-01-26,50.19,50.16,49.91,50.75,1063140
2010-01-27,50.01,49.42,48.59,50.25,1298401
2010-01-28,49.43,49.01,48.46,49.56,1358726
2010-01-29,48.36,46.81,45.57,48.67,4733746
2010-02-01,47.76,47.17,46.31,47.76,2709664
2010-02-02,48.62,49.34,47.92,50.18,2174240
2010-02-03,48.82,48.79,48.44,49.41,1415143
2010-02-04,48.61,47.04,46.98,48.74,1300888
2010-02-05,47.15,46.55,45.68,47.23,1709312
2010-02-08,48.16,47.56,47.32,48.75,1822519
2010-02-09,48.13,48.48,47.57,48.62,1112181
2010-02-10,48.75,48.08,47.59,48.82,1351396
2010-02-11,48.21,48.85,47.75,49.1,1629867
2010-02-12,48.33,49.0,47.83,49.11,885302
2010-02-16,49.16,48.98,48.59,49.3,1494964
2010-02-17,48.82,48.61,48.11,49.07,1132143
2010-02-18,48.3,48.8,48.2,49.04,605305
2010-02-19,48.4,48.54,48.23,48.72,1070908
2010-02-22,48.7,48.84,48.63,49.33,627699
2010-02-23,48.93,48.43,48.19,49.28,924208
2010-02-24,48.86,48.54,47.9,48.86,1058005
2010-02-25,48.38,48.88,47.78,49.1,1215957
2010-02-26,48.63,48.91,48.24,48.91,787556
2010-03-01,49.24,49.42,48.92,49.75,656283
2010-03-02,49.78,49.71,49.44,49.85,950324
2010-03-03,50.0,50.28,49.78,50.93,1522593
2010-03-04,50.4,51.12,50.26,51.3,911461
2010-03-05,51.66,52.6,51.59,52.82,1131965
2010-03-08,52.43,52.79,51.96,52.86,711519
2010-03-09,52.38,53.89,52.13,54.36,1912068
2010-03-10,53.91,55.06,53.59,55.92,2348529
2010-03-11,55.29,55.55,55.0,55.77,1216052
2010-03-12,56.24,56.17,55.69,56.31,646553
2010-03-15,55.98,56.12,55.47,56.27,756301
2010-03-16,55.95,56.53,55.84,56.53,670092
2010-03-17,56.59,57.13,55.97,57.53,1865836
2010-03-18,56.86,56.6,55.85,56.96,1174214
2010-03-19,56.72,55.17,54.85,56.79,1444798
2010-03-22,54.9,55.95,54.9,56.1,1427805
2010-03-23,56.59,56.84,56.22,57.06,706759
2010-03-24,56.87,56.4,55.85,56.87,723298
2010-03-25,57.62,56.51,56.51,57.73,981124
2010-03-26,56.96,56.55,56.11,57.09,800657
2010-03-29,56.77,56.66,56.21,56.92,594413
2010-03-30,56.95,57.06,56.17,57.44,496990
2010-03-31,56.91,56.61,56.43,57.28,1180395
2010-04-01,56.69,57.72,56.32,57.76,1744685
2010-04-05,57.91,58.76,57.87,58.98,751095
2010-04-06,58.09,58.75,57.54,59.06,1423858
2010-04-07,58.94,59.08,58.57,59.49,1653383
2010-04-08,58.47,59.24,58.03,59.27,1031844
2010-04-09,59.42,59.9,58.98,60.19,732427
2010-04-12,60.33,61.43,60.14,61.76,1548058
2010-04-13,61.09,61.06,60.4,61.28,819525
2010-04-14,61.57,61.76,61.24,61.98,1113992
2010-04-15,61.53,62.19,60.83,62.23,794219
2010-04-16,62.29,61.7,61.11,62.66,1017699
2010-04-19,61.22,61.63,60.6,61.63,913435
2010-04-20,62.05,62.42,61.64,62.71,1054262
2010-04-21,62.27,63.18,62.19,63.25,1134842
2010-04-22,63.22,64.98,62.63,65.06,1224487
2010-04-23,65.35,65.46,64.9,66.12,1633231
2010-04-26,64.19,63.97,63.97,65.37,1810708
2010-04-27,63.62,62.77,62.66,64.28,1716026
2010-04-28,63.24,63.2,62.2,63.57,1162793
2010-04-29,63.6,62.74,62.52,63.93,1921148
2010-04-30,65.87,63.06,62.87,66.35,3022696
2010-05-03,63.89,65.82,63.89,66.04,1360978
2010-05-04,64.45,63.66,63.37,65.38,1277583
2010-05-05,62.81,61.92,61.6,63.95,1567587
2010-05-06,61.28,59.57,56.19,62.76,2265013
2010-05-07,59.97,58.55,57.69,60.08,2505640
2010-05-10,60.97,62.02,60.97,62.88,1221539
2010-05-11,61.05,62.5,61.05,63.36,1236391
2010-05-12,62.97,64.21,62.56,64.44,1092589
2010-05-13,64.2,62.59,62.33,64.24,1072321
2010-05-14,62.01,61.68,60.55,62.27,1587765
2010-05-17,61.79,62.83,60.89,63.02,1638579
2010-05-18,63.58,61.74,61.55,63.85,1245384
2010-05-19,61.65,61.62,60.59,62.37,1624859
2010-05-20,60.05,59.33,59.11,60.77,1819315
2010-05-21,57.72,59.45,57.72,60.55,1418417
2010-05-24,59.12,59.76,58.89,60.62,1371024
2010-05-25,59.22,61.16,57.89,61.2,2116050
2010-05-26,61.58,61.54,61.24,62.76,1825807
2010-05-27,62.62,63.99,62.47,64.02,1247797
2010-05-28,64.02,63.37,62.69,64.63,1037652
2010-06-01,62.73,63.15,62.35,66.33,2279267
2010-06-02,63.36,64.53,62.47,64.57,1651160
2010-06-03,64.72,64.5,63.7,65.07,760524
2010-06-04,62.93,61.91,61.63,63.19,1471793
2010-06-07,62.3,60.55,60.36,62.3,1641894
2010-06-08,60.14,60.86,59.46,61.05,2293369
2010-06-09,60.78,61.27,60.78,62.66,1578474
2010-06-10,62.27,61.97,61.45,62.95,1209763
2010-06-11,60.86,62.09,60.09,62.09,788977
2010-06-14,62.66,62.13,61.69,63.33,697733
2010-06-15,62.32,63.18,61.69,63.25,469551
2010-06-16,62.41,62.85,62.18,63.26,1380604
2010-06-17,62.9,62.27,60.01,62.9,1903748
2010-06-18,62.41,62.97,62.38,63.34,989257
2010-06-21,63.83,61.01,60.68,64.01,861960
2010-06-22,61.1,59.35,59.17,61.69,1421307
2010-06-23,59.65,60.36,58.45,60.81,1373327
2010-06-24,60.22,59.09,58.83,60.52,1982894
2010-06-25,59.04,59.53,58.44,59.9,1547544
2010-06-28,59.89,59.14,58.88,60.3,888782
2010-06-29,58.38,56.23,55.85,58.53,1554984
2010-06-30,55.66,54.79,54.45,56.03,1689186
2010-07-01,55.15,54.55,53.46,55.15,1646659
2010-07-02,54.12,53.05,52.67,54.35,868308
2010-07-06,54.04,52.74,52.23,54.11,1192137
2010-07-07,52.86,54.89,52.82,55.0,1106931
2010-07-08,56.55,56.04,55.19,56.55,928896
2010-07-09,56.27,56.9,55.86,57.14,781728
2010-07-12,56.59,56.15,55.33,57.03,1469144
2010-07-13,56.51,57.29,56.36,57.73,967747
2010-07-14,57.33,57.18,56.66,57.88,966506
2010-07-15,56.98,57.2,55.95,57.31,858977
2010-07-16,56.52,54.76,54.58,56.52,894789
2010-07-19,54.66,54.99,53.9,55.14,669279
2010-07-20,54.07,55.64,53.71,55.86,729202
2010-07-21,56.14,55.62,55.37,56.79,719966
2010-07-22,56.36,57.02,56.32,57.53,707150
2010-07-23,57.1,58.32,57.1,58.54,523804
2010-07-26,58.67,59.53,58.48,59.71,897233
2010-07-27,59.56,58.92,58.63,59.67,762264
2010-07-28,59.17,58.53,58.24,59.24,758372
2010-07-29,58.97,58.22,57.51,59.61,970643
2010-07-30,57.23,57.53,55.89,58.23,2012405
2010-08-02,58.21,59.17,58.06,59.76,3162519
2010-08-03,59.8,60.31,59.68,61.12,1880033
2010-08-04,60.51,60.66,60.29,60.99,739670
2010-08-05,60.03,60.51,59.77,60.76,503805
2010-08-06,59.61,59.83,58.55,59.94,489744
2010-08-09,60.54,60.83,60.06,60.94,745394
2010-08-10,59.96,61.24,59.78,61.64,1109718
2010-08-11,60.27,59.21,58.95,60.71,1078973
2010-08-12,57.85,58.36,57.52,58.51,576632
2010-08-13,58.01,58.34,57.9,58.92,444099
2010-08-16,57.87,58.52,57.54,58.92,427967
2010-08-17,58.26,57.68,57.42,58.29,5987279
2010-08-18,57.68,58.12,57.36,58.37,1209608
2010-08-19,57.74,56.32,55.78,57.81,1199552
2010-08-20,55.94,55.72,55.18,56.45,925640
2010-08-23,55.8,55.11,54.97,56.13,689384
2010-08-24,54.25,55.44,54.18,55.8,1323598
2010-08-25,55.08,55.44,54.5,55.59,921074
2010-08-26,55.71,54.95,54.64,56.07,1291617
2010-08-27,55.31,55.86,54.18,55.89,180385
2010-08-30,55.3,54.11,54.11,55.45,462503
2010-08-31,53.66,54.05,53.51,54.58,818005
2010-09-01,54.6,55.53,54.56,55.8,994860
2010-09-02,56.0,56.76,55.71,56.94,840458
2010-09-03,57.1,57.97,56.85,58.15,856938
2010-09-07,57.55,57.73,57.37,58.06,1204344
2010-09-08,58.22,58.36,57.82,59.12,1373703
2010-09-09,59.31,60.5,58.95,60.65,1338682
2010-09-10,61.55,60.9,60.72,62.56,1157242
2010-09-13,61.59,61.99,61.4,62.5,932897
2010-09-14,60.9,61.3,60.32,61.55,1006732
2010-09-15,61.26,61.26,60.35,61.58,849258
2010-09-16,61.15,61.01,60.54,61.73,912292
2010-09-17,61.01,60.54,60.1,61.26,1258604
2010-09-20,60.26,63.74,60.22,64.1,2366501
2010-09-21,63.74,62.77,62.19,64.02,1127660
2010-09-22,62.31,61.74,61.6,62.67,726031
2010-09-23,60.85,61.6,60.56,62.42,517692
2010-09-24,61.87,63.25,61.69,63.32,720894
2010-09-27,62.88,62.78,62.28,63.1,859879
2010-09-28,62.53,63.62,62.25,63.76,866543
2010-09-29,63.07,63.07,62.62,63.32,604895
2010-09-30,63.41,62.67,62.56,63.92,611440
2010-10-01,62.73,62.8,61.86,62.94,568179
2010-10-04,62.98,62.63,62.09,63.4,670727
2010-10-05,62.89,64.22,62.89,64.57,1312270
2010-10-06,64.16,63.78,63.39,64.47,2953527
2010-10-07,64.01,63.21,62.79,64.15,800483
2010-10-08,63.38,63.87,63.38,64.22,864676
2010-10-11,64.17,63.71,63.53,64.24,603584
2010-10-12,63.18,62.17,61.47,63.32,1987436
2010-10-13,62.36,63.09,61.94,63.96,1127484
2010-10-14,63.14,63.17,63.03,63.9,963750
2010-10-15,63.08,62.74,62.18,63.29,764334
2010-10-18,62.55,63.03,62.17,63.14,531601
2010-10-19,62.35,61.14,60.69,62.87,1591462
2010-10-20,61.26,61.78,61.09,62.16,991355
2010-10-21,62.02,62.37,61.79,62.64,753716
2010-10-22,62.4,62.78,62.33,63.06,612781
2010-10-25,63.46,63.29,63.15,64.3,816828
2010-10-26,62.88,62.7,62.44,63.15,872313
2010-10-27,62.07,62.7,61.82,62.8,795538
2010-10-28,63.58,62.66,62.24,63.82,996532
2010-10-29,61.58,61.83,60.22,62.28,2033644
2010-11-01,62.1,62.31,61.68,63.23,1305929
2010-11-02,62.42,62.24,61.75,63.05,845382
2010-11-03,62.17,62.31,61.26,62.55,765442
2010-11-04,62.38,61.86,61.83,62.68,1281399
2010-11-05,61.64,60.33,59.78,61.92,1831646
2010-11-08,60.11,60.7,59.73,60.84,1519192
2010-11-09,61.02,60.36,60.12,61.02,1237969
2010-11-10,60.69,60.38,59.99,60.69,989873
2010-11-11,59.8,60.64,59.7,60.78,660796
