date,open,close,low,high,volume
2010-01-04,190.72,187.02,186.07,193.35,592315
2010-01-05,186.62,186.34,184.32,187.57,881932
2010-01-06,186.98,188.05,186.98,189.11,552300
2010-01-07,186.55,189.3,185.94,191.54,611559
2010-01-08,188.72,187.03,185.58,189.95,407317
2010-01-11,188.68,186.89,186.27,190.26,402018
2010-01-12,185.42,184.24,182.84,187.17,488120
2010-01-13,185.88,190.85,185.6,191.3,628277
2010-01-14,189.0,190.3,188.04,190.92,337793
2010-01-15,189.34,188.21,187.59,189.9,470988
2010-01-19,190.4,193.89,188.49,194.12,475839
2010-01-20,192.58,190.6,189.87,192.58,483670
2010-01-21,190.44,185.59,185.31,192.91,811300
2010-01-22,186.08,180.27,179.59,188.51,787066
2010-01-25,182.73,180.75,178.26,183.41,627624
2010-01-26,179.38,179.77,177.68,182.65,422445
2010-01-27,179.26,182.98,177.12,183.27,546988
2010-01-28,183.64,181.61,179.42,183.81,396932
2010-01-29,183.07,181.15,179.62,184.88,543604
2010-02-01,182.35,184.89,181.96,185.34,423548
2010-02-02,184.97,188.3,183.11,188.3,549108
2010-02-03,186.41,182.08,181.57,186.41,461593
2010-02-04,191.07,183.93,183.76,195.17,1347224
2010-02-05,184.59,184.98,179.82,186.95,829800
2010-02-08,183.67,180.88,180.49,185.29,600988
2010-02-09,183.33,180.88,179.31,184.0,585592
2010-02-10,180.96,180.4,177.94,183.64,527612
2010-02-11,178.84,182.52,177.62,182.63,461260
2010-02-12,180.98,185.17,179.53,185.5,595386
2010-02-16,189.17,192.47,187.82,192.8,585284
2010-02-17,192.29,193.18,191.51,193.57,467801
2010-02-18,192.04,195.84,191.93,196.9,545597
2010-02-19,194.94,198.18,193.93,198.91,622426
2010-02-22,197.68,200.02,196.07,201.75,758352
2010-02-23,200.81,199.3,198.07,200.81,816130
2010-02-24,200.26,201.77,198.25,201.77,538681
2010-02-25,199.76,202.95,197.91,203.01,523415
2010-02-26,203.25,202.52,202.13,204.88,684931
2010-03-01,205.06,203.09,202.41,205.06,447640
2010-03-02,204.37,203.81,202.74,205.16,373025
2010-03-03,203.33,201.31,200.75,203.33,461189
2010-03-04,201.16,202.5,200.88,203.12,385157
2010-03-05,203.4,209.01,202.05,209.23,640307
2010-03-08,208.61,210.68,208.05,211.19,441955
2010-03-09,208.57,213.87,208.35,215.72,1016499
2010-03-10,214.91,214.91,212.06,215.36,628941
2010-03-11,212.69,213.42,210.45,213.47,362158
2010-03-12,213.59,212.31,210.8,214.71,457791
2010-03-15,211.62,212.4,208.94,213.29,350021
2010-03-16,213.87,219.38,212.86,220.0,609705
2010-03-17,221.48,223.39,219.92,223.78,460931
2010-03-18,222.65,221.14,220.98,225.55,605876
2010-03-19,220.75,218.91,217.68,221.8,798048
2010-03-22,217.23,220.34,216.45,220.95,471324
2010-03-23,219.06,219.28,216.4,219.72,401389
2010-03-24,216.4,217.84,216.07,219.67,745137
2010-03-25,219.54,219.15,218.88,222.98,726175
2010-03-26,219.04,217.22,215.73,219.92,509588
2010-03-29,219.6,218.6,217.21,219.71,390035
2010-03-30,219.48,220.09,217.98,221.6,493840
2010-03-31,217.42,217.48,216.64,219.92,456275
2010-04-01,220.5,218.6,216.98,220.5,465849
2010-04-05,219.24,224.66,218.96,224.82,645676
2010-04-06,223.76,232.08,223.15,232.31,627981
2010-04-07,230.57,226.23,225.28,231.69,612192
2010-04-08,224.61,225.89,223.77,226.22,623291
2010-04-09,227.09,234.0,226.98,234.06,696981
2010-04-12,234.94,235.28,233.82,236.34,489024
2010-04-13,235.66,241.67,235.33,242.46,602969
2010-04-14,244.42,242.78,241.15,244.42,519869
2010-04-15,241.48,236.2,235.58,242.55,596839
2010-04-16,234.32,230.73,229.88,236.67,722747
2010-04-19,228.41,230.54,227.12,232.61,470032
2010-04-20,231.03,234.66,229.02,234.66,357499
2010-04-21,233.9,239.31,233.23,242.59,613711
2010-04-22,237.75,244.75,236.36,245.31,645911
2010-04-23,245.57,249.77,243.38,250.05,588522
2010-04-26,253.91,254.64,252.39,256.95,536664
2010-04-27,253.32,246.33,246.22,255.8,556464
2010-04-28,249.09,247.68,246.78,250.5,553629
2010-04-29,250.42,265.33,249.01,266.57,845255
2010-04-30,255.5,253.49,252.7,263.62,856062
2010-05-03,255.22,265.73,255.22,268.42,776949
2010-05-04,262.62,262.78,259.93,265.86,676385
2010-05-05,261.8,259.39,257.42,265.44,579338
2010-05-06,258.08,248.77,232.89,266.28,1053412
2010-05-07,249.2,244.14,240.6,255.89,806193
2010-05-10,258.0,264.3,255.08,264.98,839035
2010-05-11,259.77,265.67,257.92,269.04,682838
2010-05-12,267.16,270.76,266.09,272.76,578029
2010-05-13,270.69,265.05,264.54,272.44,534036
2010-05-14,261.32,256.76,253.28,263.07,732208
2010-05-17,259.03,260.17,252.06,263.68,609118
2010-05-18,264.75,252.14,251.23,265.03,697906
