date,open,close,low,high,volume
2010-01-04,67.39,67.61,67.08,68.24,1070816
2010-01-05,67.81,67.74,67.68,68.24,1970834
2010-01-06,67.23,64.91,64.8,67.23,2965801
2010-01-07,65.19,64.3,64.1,65.32,2049762
2010-01-08,64.69,64.42,63.81,64.69,1209514
2010-01-11,64.81,64.99,64.5,65.07,1113666
2010-01-12,64.99,65.01,64.77,65.6,1146057
2010-01-13,65.54,65.83,65.29,65.91,977426
2010-01-14,66.3,66.26,66.0,66.58,845913
2010-01-15,66.32,65.61,65.2,66.4,1380320
2010-01-19,65.54,66.06,65.27,66.14,1415372
2010-01-20,65.8,65.9,65.52,66.51,2114787
2010-01-21,65.58,64.07,63.96,65.91,1817150
2010-01-22,63.66,62.88,62.82,64.06,1610336
2010-01-25,63.36,64.45,63.06,64.8,1592452
2010-01-26,64.83,64.7,63.73,65.02,1572249
2010-01-27,64.91,64.35,63.64,65.23,1932699
2010-01-28,63.91,63.28,62.78,64.1,1325273
2010-01-29,63.76,63.24,63.05,64.03,984080
2010-02-01,63.69,63.84,63.44,64.06,1080721
2010-02-02,63.84,63.47,63.17,63.84,1605798
2010-02-03,63.45,64.23,63.45,64.53,2661869
2010-02-04,64.11,62.95,62.95,64.56,1254772
2010-02-05,62.46,62.79,61.6,62.79,1799328
2010-02-08,63.87,63.94,63.29,65.41,1666872
2010-02-09,64.53,64.57,64.14,65.31,1355433
2010-02-10,64.88,65.19,64.58,65.57,1075850
2010-02-11,65.34,65.71,64.74,65.95,1220316
2010-02-12,65.22,64.64,64.1,65.42,2120400
2010-02-16,65.27,65.66,65.07,65.85,1075264
2010-02-17,65.67,65.36,65.02,65.8,1435236
2010-02-18,65.38,66.7,65.38,66.74,1120791
2010-02-19,66.86,65.57,65.39,66.86,1763886
2010-02-22,66.35,66.03,65.88,66.52,1241316
2010-02-23,66.12,65.99,65.67,66.61,1209716
2010-02-24,66.27,66.59,65.87,66.69,1155261
2010-02-25,65.12,65.44,64.4,65.61,2283434
2010-02-26,65.42,64.55,64.42,65.77,2061195
2010-03-01,64.83,65.57,64.76,65.59,1556423
2010-03-02,65.89,65.72,65.28,66.15,1704854
2010-03-03,65.88,65.28,64.97,66.05,2025433
2010-03-04,65.01,64.11,64.08,65.09,2519259
2010-03-05,63.27,62.71,61.96,63.31,2666408
2010-03-08,62.67,63.16,62.55,63.42,1908011
2010-03-09,63.0,63.81,62.95,64.07,2006057
2010-03-10,63.71,64.02,63.65,64.29,1941394
2010-03-11,64.17,65.11,64.17,65.14,2025609
2010-03-12,65.34,65.11,64.74,65.45,1315744
2010-03-15,65.22,65.7,65.22,65.7,1358873
2010-03-16,65.48,65.65,65.11,65.67,1583102
2010-03-17,65.47,65.79,65.41,66.05,1510659
2010-03-18,66.32,66.22,65.73,66.64,1301947
2010-03-19,65.97,65.75,65.49,66.46,1473267
2010-03-22,65.66,66.42,65.6,66.64,1110789
2010-03-23,66.71,66.82,66.26,66.94,861768
2010-03-24,66.53,66.31,66.08,66.69,1197035
2010-03-25,66.77,65.92,65.9,66.83,1298579
2010-03-26,66.16,66.83,65.94,66.94,3613146
2010-03-29,67.21,67.27,66.65,67.29,1502302
2010-03-30,67.43,67.01,66.98,67.83,1293050
2010-03-31,67.2,67.29,66.99,67.71,1253948
2010-04-01,67.26,67.65,67.22,67.82,1258598
2010-04-05,68.24,68.62,68.13,68.7,1195019
2010-04-06,68.29,68.12,67.46,68.29,1252747
2010-04-07,68.64,68.11,67.77,68.68,1374705
2010-04-08,68.23,68.21,67.33,68.37,1165951
2010-04-09,68.42,69.05,68.05,69.09,1205633
2010-04-12,69.29,69.31,69.12,69.66,731462
2010-04-13,69.97,69.84,69.36,70.21,975811
2010-04-14,70.57,70.53,70.03,70.65,902387
2010-04-15,70.59,70.83,70.3,71.08,1081632
2010-04-16,71.18,70.67,69.91,71.42,1389481
2010-04-19,70.71,71.08,70.51,71.12,863142
2010-04-20,71.76,71.98,71.59,72.42,1211712
2010-04-21,71.69,71.35,70.96,71.88,1169460
2010-04-22,70.02,68.97,68.66,70.43,11128055
2010-04-23,69.26,67.92,66.27,69.26,7181860
2010-04-26,67.96,67.48,67.06,68.27,3261279
2010-04-27,67.07,66.82,66.58,67.29,2858869
2010-04-28,67.4,67.22,66.72,67.56,2750600
2010-04-29,66.96,67.5,66.9,67.71,2726231
2010-04-30,67.87,67.69,67.69,68.45,2803906
2010-05-03,68.32,68.72,68.22,68.96,2599908
2010-05-04,68.27,67.75,67.33,68.38,2350787
2010-05-05,67.88,68.71,67.39,68.87,2723468
2010-05-06,68.84,66.93,20.29,68.92,3377638
2010-05-07,64.24,66.02,64.18,67.24,3804806
2010-05-10,67.42,67.3,66.57,67.92,2895563
2010-05-11,67.25,67.66,67.07,68.2,2360018
2010-05-12,67.95,68.91,67.44,69.07,1463409
2010-05-13,69.24,69.2,68.7,69.85,1538255
2010-05-14,69.35,69.12,68.37,69.43,1998061
2010-05-17,69.29,69.04,68.16,69.35,1700844
2010-05-18,69.12,68.43,68.17,69.42,1450985
2010-05-19,67.63,67.83,67.37,68.15,1642597
2010-05-20,67.44,65.98,65.94,67.44,2122701
2010-05-21,65.74,66.99,65.39,66.99,2046618
2010-05-24,67.9,68.12,67.29,69.2,2614272
2010-05-25,67.34,67.91,66.64,67.97,2898353
2010-05-26,68.57,68.41,68.1,69.12,1902969
2010-05-27,69.59,70.16,69.37,70.16,1303604
2010-05-28,70.42,69.81,69.65,70.62,1507315
2010-06-01,69.93,69.74,69.74,71.01,1417118
2010-06-02,69.87,70.96,69.56,70.98,2196087
2010-06-03,70.83,70.61,70.19,71.0,2864178
2010-06-04,68.64,68.11,67.91,69.18,2498981
2010-06-07,68.35,67.61,67.61,68.9,1667946
2010-06-08,67.2,67.96,66.94,68.08,1541143
2010-06-09,67.92,67.98,67.68,68.72,1822074
2010-06-10,68.6,68.8,68.18,69.08,1357232
2010-06-11,68.31,69.17,68.31,69.28,1126145
2010-06-14,69.21,68.39,68.37,69.26,1317760
2010-06-15,68.48,68.77,68.13,68.83,1350078
2010-06-16,68.55,69.14,68.49,69.3,1192369
2010-06-17,69.19,69.38,68.45,69.38,1198890
2010-06-18,69.64,69.44,69.31,69.8,1440053
2010-06-21,70.11,69.78,69.47,70.35,986682
2010-06-22,70.12,69.18,69.16,70.16,1160062
2010-06-23,68.98,68.42,68.22,69.12,1222974
2010-06-24,68.41,68.13,68.03,68.65,1571858
2010-06-25,68.3,67.28,67.05,68.3,2797162
2010-06-28,67.29,67.76,67.27,68.2,1564110
2010-06-29,67.38,67.02,66.77,67.48,2001289
2010-06-30,67.0,66.26,66.2,67.32,1930321
2010-07-01,66.5,66.36,65.82,66.8,2310524
2010-07-02,66.55,66.09,65.63,66.55,1322515
2010-07-06,66.44,66.4,65.89,66.79,1778844
2010-07-07,66.37,67.75,66.07,67.79,2883483
2010-07-08,68.47,68.27,67.69,68.47,1962223
2010-07-09,67.89,68.29,67.45,68.48,1428659
2010-07-12,68.24,68.46,68.08,68.68,1337935
2010-07-13,68.95,69.22,68.71,69.68,2266713
2010-07-14,69.53,69.93,69.13,69.93,1475215
2010-07-15,69.92,69.54,69.16,69.96,1248674
2010-07-16,69.19,68.87,68.67,69.73,2290697
2010-07-19,68.59,69.28,68.59,69.36,1199724
2010-07-20,68.3,69.31,68.26,69.37,1608026
2010-07-21,69.88,69.96,69.62,70.53,1748524
2010-07-22,70.58,70.9,70.56,71.34,1409395
2010-07-23,71.37,71.59,71.21,71.77,1603174
2010-07-26,71.62,72.06,71.2,72.08,1523751
2010-07-27,72.47,72.19,72.13,72.63,1602152
2010-07-28,72.14,72.12,71.96,72.49,1166609
2010-07-29,72.3,71.77,71.41,72.44,1474819
2010-07-30,71.63,72.43,71.37,72.79,1184772
2010-08-02,72.76,73.03,72.5,73.31,2030007
2010-08-03,73.4,73.27,73.15,73.72,877447
