date,open,close,low,high,volume
2010-01-04,89.3,90.3,88.8,91.13,715661
2010-01-05,89.16,93.15,89.16,93.32,1467400
2010-01-06,93.65,94.65,92.65,94.98,1440064
2010-01-07,94.88,103.43,94.21,104.27,2460370
2010-01-08,101.85,102.35,100.53,104.17,1567293
2010-01-11,103.02,103.84,99.74,104.67,1588735
2010-01-12,102.69,102.52,101.7,104.16,2011124
2010-01-13,102.68,104.99,100.37,106.98,2383528
2010-01-14,105.48,108.97,104.81,109.3,1808023
2010-01-15,107.68,108.01,103.87,108.51,1784176
2010-01-19,106.44,108.1,105.61,108.93,1293734
2010-01-20,107.52,112.01,106.69,112.18,1942100
2010-01-21,112.0,113.32,111.67,120.1,4772414
2010-01-22,112.24,108.94,107.12,113.06,2971656
2010-01-25,109.08,108.26,104.13,110.57,2087786
2010-01-26,103.9,101.08,100.74,107.56,3869369
2010-01-27,100.81,102.81,100.81,105.64,2418043
2010-01-28,106.23,107.56,103.55,109.57,2464827
2010-01-29,108.79,106.45,105.94,110.13,1748611
2010-02-01,108.03,111.91,107.69,112.24,1865518
2010-02-02,112.87,111.02,109.67,114.39,2137779
2010-02-03,109.59,108.07,106.21,110.77,1960848
2010-02-04,106.2,102.68,101.17,106.37,2626673
2010-02-05,102.49,103.33,98.81,104.33,1476876
2010-02-08,103.11,103.94,101.1,107.44,1414966
2010-02-09,105.37,104.87,104.2,107.53,1338339
2010-02-10,104.23,105.72,103.9,107.72,1139305
2010-02-11,106.19,105.53,105.2,107.68,1244536
2010-02-12,104.51,105.0,102.69,105.66,1357068
2010-02-16,105.73,109.19,104.9,109.69,1090746
2010-02-17,110.45,107.14,106.47,111.12,1044309
2010-02-18,106.74,106.91,105.08,107.57,1110734
2010-02-19,106.29,109.12,106.13,109.95,880679
2010-02-22,108.97,112.44,108.47,113.43,1420381
2010-02-23,111.37,108.06,107.56,111.87,1302315
2010-02-24,108.17,109.65,107.84,110.64,1117800
2010-02-25,106.97,107.96,105.65,108.46,1007093
2010-02-26,107.82,111.28,107.16,111.61,1257841
2010-03-01,111.3,109.49,107.84,112.45,937906
2010-03-02,109.83,108.84,108.02,111.14,928319
2010-03-03,109.1,109.27,108.77,110.42,760778
2010-03-04,109.87,110.7,109.2,111.2,688936
2010-03-05,112.24,113.9,111.41,114.07,1204683
2010-03-08,112.73,115.38,112.73,116.04,1226199
2010-03-09,114.2,113.87,111.4,115.36,1442575
2010-03-10,115.91,120.54,114.75,126.0,2159946
2010-03-11,120.66,121.32,119.18,122.64,1577241
2010-03-12,123.63,120.83,119.68,124.12,1963715
2010-03-15,119.78,118.96,116.99,121.43,1209281
2010-03-16,118.93,122.35,117.47,122.68,1399755
2010-03-17,123.96,125.59,123.14,126.65,1611454
2010-03-18,126.96,123.18,120.55,127.12,1627579
2010-03-19,123.97,121.18,120.2,124.79,1322653
2010-03-22,120.02,125.45,117.87,125.78,1259098
2010-03-23,125.13,126.94,123.16,127.1,1352835
2010-03-24,126.81,129.62,125.82,130.44,1693156
2010-03-25,130.57,125.98,125.33,131.88,2195315
2010-03-26,126.46,124.5,123.36,129.07,1322906
2010-03-29,125.36,124.54,122.59,126.82,1070113
2010-03-30,124.17,124.34,122.38,124.83,812967
2010-03-31,123.11,128.0,122.62,128.49,1298201
2010-04-01,128.67,126.55,124.76,129.32,1320590
2010-04-05,128.12,132.32,126.67,132.49,1646381
2010-04-06,132.48,138.47,132.15,142.68,3520406
2010-04-07,138.79,134.77,133.48,143.3,3584592
2010-04-08,132.3,137.58,131.18,138.86,2060489
2010-04-09,138.93,137.96,136.52,139.89,1127497
2010-04-12,138.49,140.91,138.33,143.81,2892555
2010-04-13,137.12,133.91,133.91,139.05,2405702
2010-04-14,136.09,141.05,134.97,142.33,2178632
2010-04-15,140.32,136.01,134.74,141.43,2317106
2010-04-16,137.15,132.36,127.74,137.15,3359471
2010-04-19,130.04,132.11,127.51,133.85,1859566
2010-04-20,131.11,139.85,127.13,139.85,3891467
2010-04-21,136.8,139.5,134.89,148.07,3957421
2010-04-22,137.5,141.32,136.23,142.27,1837663
2010-04-23,142.12,142.12,139.74,145.06,1781738
2010-04-26,143.78,138.68,137.24,144.42,1393386
2010-04-27,137.71,134.67,133.71,138.98,2341676
2010-04-28,137.42,136.29,135.49,140.31,1469437
2010-04-29,136.98,138.42,134.9,139.54,1528746
2010-04-30,138.12,142.11,137.32,142.95,1882222
2010-05-03,142.54,142.38,140.28,144.31,1302913
2010-05-04,140.73,138.15,136.87,142.18,1561005
2010-05-05,134.45,138.77,131.25,141.17,1635358
2010-05-06,138.52,132.08,122.11,140.77,2698661
2010-05-07,132.21,128.04,124.2,134.29,2951600
2010-05-10,134.63,136.23,132.87,138.64,1935692
2010-05-11,133.04,139.31,133.04,142.36,2041612
2010-05-12,140.92,142.05,140.44,143.18,1374953
2010-05-13,142.09,141.6,141.28,145.17,1180403
2010-05-14,138.04,133.99,131.23,138.04,2191447
2010-05-17,133.84,134.17,129.14,135.47,1533323
2010-05-18,136.11,128.49,124.43,136.6,1754445
2010-05-19,128.0,127.67,124.08,130.77,2315551
2010-05-20,122.4,118.0,117.84,123.7,2463892
2010-05-21,115.12,121.47,113.82,122.28,2689272
2010-05-24,121.91,117.35,117.35,122.08,1246243
2010-05-25,112.72,121.18,111.42,121.67,2373097
2010-05-26,122.63,119.24,118.6,123.11,1545963
2010-05-27,122.58,127.09,120.16,127.26,1435009
2010-05-28,127.71,123.19,122.55,128.2,966084
2010-06-01,121.94,119.36,119.36,124.37,1068550
2010-06-02,120.89,124.29,119.92,124.29,778964
2010-06-03,125.36,123.58,122.77,126.98,835712
2010-06-04,120.57,116.33,115.35,121.87,1656178
2010-06-07,116.65,112.11,111.62,118.59,1325714
2010-06-08,113.61,115.56,110.35,115.73,2092138
2010-06-09,117.46,111.08,110.27,117.79,1884344
2010-06-10,111.96,115.85,110.99,115.85,1442432
2010-06-11,114.9,114.74,111.32,114.9,1311189
2010-06-14,116.28,116.61,113.68,118.4,1286469
2010-06-15,117.36,119.14,114.44,119.63,967352
2010-06-16,117.65,116.51,115.21,118.46,1333220
2010-06-17,116.5,115.53,113.91,116.74,1254094
2010-06-18,115.08,115.24,113.63,116.2,896827
2010-06-21,116.44,115.0,113.96,117.81,1278370
2010-06-22,114.97,111.62,111.62,114.97,1008037
2010-06-23,111.3,112.25,109.55,113.21,1156902
2010-06-24,110.82,107.81,107.33,111.61,1504889
2010-06-25,109.64,110.51,106.79,110.58,1483148
2010-06-28,110.69,112.76,110.53,113.56,1175668
2010-06-29,110.69,107.67,106.23,111.33,1865209
2010-06-30,107.88,105.0,104.52,110.43,1004444
2010-07-01,104.82,101.64,98.94,107.37,1692632
2010-07-02,101.61,98.92,97.02,102.88,1133172
2010-07-06,101.31,102.27,100.83,105.14,1480331
2010-07-07,102.59,105.95,101.79,106.27,1903744
2010-07-08,107.74,109.34,106.46,109.5,1671760
2010-07-09,109.1,114.54,108.62,115.18,1226430
2010-07-12,114.11,116.69,113.63,118.14,1339582
2010-07-13,119.71,119.87,118.25,121.01,1281422
2010-07-14,117.46,115.84,113.57,117.46,1435822
2010-07-15,116.34,113.59,110.36,116.34,1415464
2010-07-16,112.74,106.56,105.91,113.06,1416792
2010-07-19,106.33,108.78,104.38,109.27,1081470
2010-07-20,106.01,106.66,102.92,107.15,1310956
2010-07-21,108.78,100.66,100.66,109.59,2422531
2010-07-22,102.37,107.08,102.21,107.4,1340822
