date,open,close,low,high,volume
2010-01-04,93.29,95.08,92.87,95.66,120890
2010-01-05,95.06,93.88,93.47,95.06,144725
2010-01-06,94.03,94.13,93.61,94.93,88637
2010-01-07,94.33,94.44,93.76,95.21,68499
2010-01-08,94.28,96.09,94.02,96.24,62078
2010-01-11,96.23,95.54,95.14,96.31,69493
2010-01-12,94.57,94.49,93.21,95.34,55608
2010-01-13,95.06,94.29,93.48,95.42,76044
2010-01-14,93.94,94.43,93.94,95.65,60136
2010-01-15,94.18,93.1,91.25,94.18,82496
2010-01-19,93.37,94.67,93.37,95.19,85302
2010-01-20,94.35,95.34,92.93,95.62,129286
2010-01-21,95.6,92.37,91.22,95.98,115482
2010-01-22,92.21,91.3,90.83,93.0,131771
2010-01-25,91.43,90.74,90.1,92.55,210828
2010-01-26,94.05,89.58,88.91,94.05,222519
2010-01-27,90.82,92.13,88.53,92.58,328738
2010-01-28,92.78,90.94,90.25,92.97,129448
2010-01-29,90.89,89.44,89.31,91.9,123127
2010-02-01,89.25,89.12,88.8,90.18,155845
2010-02-02,89.33,89.46,88.79,90.39,129010
2010-02-03,89.13,89.87,89.13,90.61,47345
2010-02-04,89.02,87.13,86.78,89.25,93582
2010-02-05,87.32,87.76,86.5,89.26,176776
2010-02-08,88.54,88.5,87.01,89.81,115307
2010-02-09,89.38,90.42,88.94,91.18,116764
2010-02-10,89.43,89.64,88.84,90.33,159948
2010-02-11,89.41,91.32,88.59,92.07,113048
2010-02-12,90.79,92.07,90.37,93.22,135822
2010-02-16,92.87,92.49,92.16,93.55,105809
2010-02-17,92.42,91.75,91.47,92.73,120266
2010-02-18,92.26,93.87,92.26,93.91,85520
2010-02-19,94.28,94.65,94.05,95.93,148295
2010-02-22,94.68,94.82,93.74,94.97,72530
2010-02-23,95.08,94.19,93.9,95.08,135791
2010-02-24,94.79,95.71,94.63,95.71,124137
2010-02-25,94.23,95.52,93.49,95.52,95143
2010-02-26,95.38,95.48,94.66,95.96,246476
2010-03-01,95.61,96.34,95.58,98.27,267948
2010-03-02,98.22,98.96,98.03,100.01,424200
2010-03-03,99.31,99.4,98.85,100.19,199435
2010-03-04,99.75,100.25,99.68,100.48,163049
2010-03-05,100.34,100.79,99.93,100.82,174103
2010-03-08,100.65,100.04,99.34,101.09,77418
2010-03-09,99.52,100.27,99.02,100.72,80690
2010-03-10,100.17,100.61,99.82,100.93,75811
2010-03-11,100.06,101.99,99.83,102.18,154388
2010-03-12,102.36,102.72,100.99,102.72,53701
2010-03-15,102.54,103.99,102.16,104.26,213997
2010-03-16,103.77,103.73,103.29,105.56,179452
2010-03-17,104.85,104.89,104.41,106.13,113253
2010-03-18,105.02,105.02,104.17,105.55,76890
2010-03-19,103.83,103.83,103.42,105.48,127060
2010-03-22,103.46,105.55,102.94,105.64,152874
2010-03-23,110.17,111.7,109.78,113.49,514554
2010-03-24,112.1,110.89,110.15,112.1,189199
2010-03-25,111.26,109.01,108.98,113.48,226183
2010-03-26,109.74,109.06,108.49,110.76,142900
2010-03-29,112.36,111.53,111.14,114.53,213243
2010-03-30,112.63,114.02,112.63,114.6,156166
2010-03-31,113.92,113.58,113.45,114.98,212255
2010-04-01,114.03,113.57,112.85,114.68,163798
2010-04-05,114.59,116.43,114.04,116.43,155926
2010-04-06,114.95,116.24,114.56,116.91,150488
2010-04-07,115.21,114.89,114.44,116.15,195974
2010-04-08,114.47,116.52,114.34,116.75,135981
2010-04-09,117.06,118.12,116.72,118.47,130040
2010-04-12,118.98,117.7,117.45,118.98,120448
2010-04-13,117.89,121.08,117.28,121.12,197476
2010-04-14,121.33,122.19,120.48,122.3,155825
2010-04-15,119.78,120.34,119.19,120.77,193595
2010-04-16,120.21,120.38,118.7,120.51,318624
2010-04-19,120.61,120.9,118.72,121.25,311259
2010-04-20,115.48,112.36,110.72,116.22,564811
2010-04-21,111.95,112.17,111.0,113.02,393929
2010-04-22,111.26,113.12,109.89,113.39,178034
2010-04-23,113.42,113.49,112.67,113.69,158157
2010-04-26,114.47,113.86,113.73,116.37,130200
2010-04-27,113.51,112.79,112.47,115.32,224662
2010-04-28,113.07,111.4,110.82,113.76,126198
2010-04-29,112.62,115.06,112.39,115.12,126867
2010-04-30,115.24,111.27,111.23,116.21,166842
2010-05-03,110.98,113.0,110.98,114.18,186877
2010-05-04,111.66,110.66,109.8,113.99,204420
2010-05-05,110.26,107.73,107.47,111.17,196574
2010-05-06,107.25,107.51,100.79,108.51,383266
2010-05-07,107.17,103.11,101.9,107.45,455233
2010-05-10,107.22,108.67,105.79,108.88,291045
2010-05-11,106.7,107.67,106.18,108.79,136766
2010-05-12,107.47,111.76,107.47,112.06,155285
2010-05-13,111.23,110.85,109.97,112.49,134827
2010-05-14,110.1,107.81,106.39,110.1,174014
2010-05-17,108.27,105.47,103.35,109.37,206909
2010-05-18,106.6,103.64,103.32,107.23,166581
2010-05-19,103.56,103.39,102.2,105.14,286213
2010-05-20,100.59,99.26,97.48,101.41,326118
2010-05-21,97.21,99.17,96.37,99.35,376756
2010-05-24,98.47,97.14,95.18,98.92,375084
2010-05-25,95.3,98.22,94.25,98.41,245629
2010-05-26,99.23,99.02,98.71,102.31,306012
2010-05-27,101.09,103.12,100.25,103.12,187928
2010-05-28,103.09,101.11,100.17,103.15,114234
2010-06-01,100.88,98.15,98.14,102.77,177233
2010-06-02,97.99,98.87,96.09,99.0,242367
2010-06-03,99.99,102.2,98.72,102.62,214954
2010-06-04,100.21,99.17,98.68,100.97,323329
2010-06-07,99.73,97.36,97.2,100.05,252257
2010-06-08,97.91,99.27,97.91,100.67,307671
2010-06-09,100.99,100.22,99.7,102.98,148531
2010-06-10,102.11,104.83,101.91,104.9,175548
2010-06-11,103.87,106.23,103.47,106.55,146142
