date,open,close,low,high,volume
2010-01-04,110.05,109.76,108.43,110.47,1221025
2010-01-05,110.21,112.84,109.83,113.07,1803291
2010-01-06,112.98,113.16,112.06,114.06,1479152
2010-01-07,112.48,112.14,111.33,113.02,1088461
2010-01-08,111.58,117.5,111.36,118.51,2832226
2010-01-11,117.52,115.87,114.9,117.7,1787108
2010-01-12,115.28,113.86,112.85,115.28,1624251
2010-01-13,113.47,114.05,112.01,114.43,1201457
2010-01-14,113.65,112.52,111.47,114.14,1072725
2010-01-15,112.14,110.7,109.5,112.18,1406746
2010-01-19,111.73,112.06,110.7,112.53,2211086
2010-01-20,106.37,104.73,102.57,106.44,5810025
2010-01-21,104.64,100.6,100.29,105.68,5694512
2010-01-22,100.08,97.78,97.45,101.15,3873662
2010-01-25,98.91,99.46,97.43,100.1,3132188
2010-01-26,99.05,99.78,97.69,101.12,2859366
2010-01-27,98.98,99.95,98.56,100.61,2438890
2010-01-28,100.61,96.01,95.92,101.29,2707370
2010-01-29,96.56,93.89,93.27,96.75,2350154
2010-02-01,95.82,95.8,94.51,96.52,2456118
2010-02-02,95.9,96.84,95.5,97.12,1624416
2010-02-03,96.22,95.81,95.68,98.57,2309678
2010-02-04,94.91,91.98,91.93,94.91,2738983
2010-02-05,92.24,93.73,91.83,93.97,3434376
2010-02-08,93.5,92.46,92.25,95.27,2038554
2010-02-09,94.7,93.38,93.12,95.18,3014460
2010-02-10,93.58,93.54,92.58,94.14,1624080
2010-02-11,94.2,97.4,94.03,98.24,3571677
2010-02-12,96.78,97.79,96.29,97.94,2244754
2010-02-16,99.52,100.85,98.6,101.09,2349028
2010-02-17,101.47,100.57,99.22,101.58,1797156
2010-02-18,100.15,101.2,99.67,101.37,1397918
2010-02-19,101.01,101.81,100.48,102.59,1731939
2010-02-22,102.92,102.46,101.93,103.22,1640199
2010-02-23,101.98,102.73,101.15,103.05,2221582
2010-02-24,102.41,103.02,101.63,103.15,1363312
2010-02-25,101.25,103.3,100.62,103.45,2232454
2010-02-26,103.13,103.09,102.02,103.87,1409036
2010-03-01,103.54,104.77,103.3,104.81,1404608
2010-03-02,104.6,104.77,104.03,105.68,1527813
2010-03-03,102.94,103.8,102.62,105.3,1779028
2010-03-04,103.72,104.26,103.26,104.52,1298199
2010-03-05,104.71,106.18,104.71,106.37,1504377
2010-03-08,106.16,105.9,105.42,107.19,967444
2010-03-09,105.5,106.9,105.5,107.94,1552567
2010-03-10,106.65,107.67,105.75,107.87,1993746
2010-03-11,106.94,109.21,106.94,109.85,2103739
2010-03-12,109.67,109.82,108.87,110.2,1135668
2010-03-15,109.09,109.74,108.66,110.01,1380778
2010-03-16,109.43,110.29,109.13,110.46,1104868
2010-03-17,110.63,109.97,109.36,111.19,1187608
2010-03-18,109.7,110.82,109.09,111.02,1429257
2010-03-19,109.57,109.57,108.81,111.6,1701574
2010-03-22,108.63,110.25,108.55,110.95,964238
2010-03-23,110.35,109.88,107.73,110.41,1586645
2010-03-24,109.82,108.81,108.01,109.86,1210040
2010-03-25,110.08,108.93,108.78,111.37,1587365
2010-03-26,109.32,108.62,107.57,109.59,1152518
2010-03-29,109.98,110.19,109.12,110.81,1004633
2010-03-30,110.52,109.82,109.39,110.84,1697179
2010-03-31,110.06,109.42,108.77,110.47,1633513
2010-04-01,110.78,112.66,110.78,112.77,1817609
2010-04-05,112.61,112.67,110.83,113.83,1484731
2010-04-06,111.43,112.37,110.98,112.54,994278
2010-04-07,113.09,111.59,110.75,113.09,1906578
2010-04-08,110.74,113.62,110.48,113.89,1444542
2010-04-09,113.98,113.4,112.02,114.5,1111892
2010-04-12,113.31,112.92,112.05,113.57,951642
2010-04-13,112.88,113.76,111.73,114.14,2540730
2010-04-14,116.24,118.29,114.19,118.58,4335550
2010-04-15,117.87,117.92,117.04,118.81,1870916
2010-04-16,117.34,115.73,113.88,117.64,2263798
2010-04-19,114.79,114.78,113.71,115.19,2106175
2010-04-20,115.21,116.38,114.74,117.04,1991987
2010-04-21,116.74,117.44,116.0,118.39,1701969
2010-04-22,115.99,117.51,114.37,117.85,1490570
2010-04-23,118.0,119.98,117.7,120.13,1714571
2010-04-26,119.3,119.38,118.37,119.74,1714477
2010-04-27,118.64,116.24,115.78,119.56,2383599
2010-04-28,117.13,116.44,114.94,117.38,2119766
2010-04-29,117.07,119.08,116.61,119.79,1816494
2010-04-30,118.49,115.56,115.48,119.4,1877333
2010-05-03,116.48,118.55,116.03,119.47,1662703
2010-05-04,117.74,114.29,113.2,117.76,2045756
2010-05-05,112.92,111.47,110.83,113.42,2472726
2010-05-06,110.6,109.73,99.92,128.05,4226764
2010-05-07,109.0,108.81,106.68,111.44,4107851
2010-05-10,112.85,114.19,112.43,115.6,2476274
2010-05-11,112.21,114.21,112.17,115.64,1333804
2010-05-12,114.51,116.38,114.27,116.99,1582622
2010-05-13,115.85,114.42,114.12,116.32,819639
2010-05-14,112.61,112.03,110.71,113.34,1265133
2010-05-17,112.14,111.3,108.45,113.07,1575462
2010-05-18,112.74,109.98,109.33,113.78,1680253
2010-05-19,108.86,108.29,105.31,110.28,2341542
2010-05-20,105.12,101.55,101.28,105.43,3915460
2010-05-21,100.21,104.64,98.86,105.51,2828936
2010-05-24,103.42,102.83,102.73,105.01,1329982
2010-05-25,99.12,102.97,98.54,103.16,2248745
2010-05-26,103.79,103.72,103.27,106.15,1881261
2010-05-27,105.85,107.96,104.58,108.04,2121017
2010-05-28,108.26,107.21,105.96,108.69,1804303
2010-06-01,106.71,105.29,104.32,108.75,1423075
2010-06-02,106.08,109.14,105.26,109.22,1630176
2010-06-03,110.7,108.77,107.5,110.78,2580031
2010-06-04,106.95,102.78,102.27,107.31,2715418
2010-06-07,103.19,100.18,99.98,103.58,2741451
2010-06-08,100.62,101.3,98.72,101.93,2634405
2010-06-09,101.82,100.83,100.34,104.48,3040923
2010-06-10,103.74,106.99,103.74,107.05,1596112
2010-06-11,105.61,107.73,105.24,107.9,823388
2010-06-14,109.86,107.6,107.31,110.8,1706576
2010-06-15,109.28,111.59,108.82,111.65,1436054
2010-06-16,110.32,111.44,110.11,112.62,1656796
2010-06-17,112.13,113.7,110.62,113.93,2329933
2010-06-18,113.83,113.69,112.71,114.03,1492062
2010-06-21,114.75,115.53,114.75,116.87,2352883
2010-06-22,116.08,110.59,109.94,116.42,1921578
2010-06-23,110.59,109.97,108.12,110.82,1552131
2010-06-24,108.76,106.3,105.76,108.87,2002405
2010-06-25,107.55,108.15,106.18,108.65,1775062
2010-06-28,108.72,108.43,107.85,109.65,1621204
2010-06-29,106.53,103.83,102.79,106.91,2538139
2010-06-30,104.26,103.72,103.28,105.33,2252152
2010-07-01,104.8,103.29,101.1,105.87,2586115
2010-07-02,103.49,100.4,99.89,104.08,2687992
2010-07-06,103.09,100.33,99.31,103.69,2984494
2010-07-07,100.46,103.85,100.23,104.19,2921751
2010-07-08,105.13,107.41,104.81,107.65,3743736
2010-07-09,107.77,109.06,107.37,109.81,2943317
2010-07-12,109.58,110.77,108.68,111.1,3432882
2010-07-13,111.83,109.58,107.63,114.2,7073986
2010-07-14,108.77,109.83,107.84,111.22,3657924
2010-07-15,109.42,109.44,107.21,109.69,2703928
2010-07-16,108.03,104.75,103.68,108.26,3907399
2010-07-19,105.34,103.92,102.98,105.51,2282639
2010-07-20,102.67,106.04,102.67,106.38,2385295
2010-07-21,106.74,104.69,103.64,106.74,1837746
2010-07-22,106.83,108.7,106.83,109.94,1779655
2010-07-23,109.23,111.0,109.18,111.71,2527783
2010-07-26,111.3,113.62,110.62,114.42,2217359
2010-07-27,114.89,112.03,111.74,114.89,2635242
2010-07-28,112.07,111.98,110.79,112.64,1753590
2010-07-29,112.63,111.48,110.42,113.45,1432279
2010-07-30,110.19,111.95,109.53,112.4,1391429
2010-08-02,114.47,114.71,112.77,114.86,1143900
2010-08-03,114.18,114.4,112.7,115.21,985361
2010-08-04,115.56,116.25,115.01,116.34,1024382
2010-08-05,115.44,116.72,114.97,116.83,1116008
2010-08-06,115.29,114.2,112.53,115.97,1548576
2010-08-09,114.7,115.3,113.95,115.58,1191409
2010-08-10,114.2,114.41,112.54,114.78,1312368
2010-08-11,111.9,109.33,108.02,112.41,1903866
2010-08-12,107.22,108.16,106.01,108.95,1738718
2010-08-13,107.68,107.39,107.34,108.67,1277216
2010-08-16,107.08,107.55,106.38,108.32,1227093
2010-08-17,108.88,109.71,108.75,110.89,1124481
2010-08-18,109.19,110.01,108.3,110.6,1113256
