date,open,close,low,high,volume
2010-01-04,55.29,56.19,55.08,56.21,446425
2010-01-05,56.39,56.45,55.87,56.58,431000
2010-01-06,56.13,57.12,55.37,57.76,647861
2010-01-07,56.89,56.89,56.63,57.25,288597
2010-01-08,56.83,57.04,56.24,57.07,219450
2010-01-11,56.59,56.7,56.34,57.02,356919
2010-01-12,56.47,56.22,55.24,56.72,354789
2010-01-13,56.4,57.29,56.09,57.44,653787
2010-01-14,57.26,57.3,56.83,57.94,474870
2010-01-15,57.58,57.41,56.91,58.1,417904
2010-01-19,57.72,58.5,57.13,58.87,369986
2010-01-20,58.29,58.21,57.48,58.4,442582
2010-01-21,58.38,57.78,57.68,59.28,577309
2010-01-22,57.68,56.55,56.48,57.9,406527
2010-01-25,56.78,56.33,55.88,56.78,289012
2010-01-26,56.41,55.98,55.71,56.85,328554
2010-01-27,55.71,55.88,54.95,56.11,345232
2010-01-28,55.53,54.86,54.53,55.53,234290
2010-01-29,55.45,54.72,54.72,55.87,445046
2010-02-01,54.62,55.47,54.2,55.47,684979
2010-02-02,55.54,55.19,53.72,55.73,383685
2010-02-03,54.71,54.81,54.49,55.3,280191
2010-02-04,54.43,53.29,53.25,54.55,369361
2010-02-05,53.18,54.08,52.76,54.41,603434
2010-02-08,54.01,53.26,53.06,54.14,276274
2010-02-09,54.0,53.95,53.66,54.66,353461
2010-02-10,53.61,53.57,52.87,54.04,249028
2010-02-11,53.64,54.46,53.31,54.54,318982
2010-02-12,54.09,54.53,53.82,54.63,382967
2010-02-16,54.58,54.21,54.04,54.84,291108
2010-02-17,54.23,54.89,53.91,55.0,501626
2010-02-18,55.16,56.45,55.12,56.81,591661
2010-02-19,56.6,56.97,55.29,57.35,459730
2010-02-22,57.46,56.87,56.57,57.52,332979
2010-02-23,56.69,55.96,55.96,57.42,460795
2010-02-24,55.96,56.05,55.11,56.38,717656
2010-02-25,54.93,55.91,54.77,58.05,1948674
2010-02-26,56.44,57.56,55.84,57.6,1168666
2010-03-01,57.76,57.82,57.52,58.53,1055268
2010-03-02,57.84,57.98,57.09,58.3,1304073
2010-03-03,58.09,57.32,57.05,58.13,993030
2010-03-04,57.61,57.88,57.17,57.9,481480
2010-03-05,57.74,57.22,56.66,57.76,578375
2010-03-08,57.04,56.84,56.82,57.26,271158
2010-03-09,56.15,56.02,55.97,56.68,626121
2010-03-10,55.96,55.92,55.69,56.54,448662
2010-03-11,55.56,56.43,55.51,56.46,494253
2010-03-12,56.83,57.44,56.74,57.44,732588
2010-03-15,57.66,57.53,57.19,58.46,856901
2010-03-16,57.31,57.69,56.78,57.72,551065
2010-03-17,57.86,58.14,57.69,58.84,478556
2010-03-18,58.52,58.11,57.96,58.65,317245
2010-03-19,58.57,58.91,57.31,59.84,1246587
2010-03-22,58.71,58.78,58.07,59.9,491997
2010-03-23,58.99,59.5,58.94,59.61,511576
2010-03-24,59.39,59.08,59.08,59.68,272378
2010-03-25,59.29,59.35,59.16,59.9,343644
2010-03-26,59.57,59.29,59.04,59.97,448485
2010-03-29,59.23,58.76,58.53,59.68,289659
2010-03-30,58.61,58.95,58.14,59.43,789112
2010-03-31,59.0,59.1,58.72,59.87,487994
