date,open,close,low,high,volume
2010-01-04,132.29,132.81,131.87,134.04,1090429
2010-01-05,132.72,131.3,130.13,133.02,1116960
2010-01-06,130.84,132.35,130.81,132.58,1335842
2010-01-07,131.83,131.6,130.49,131.84,1055492
2010-01-08,130.76,129.92,129.45,131.25,940751
2010-01-11,130.51,130.09,128.36,132.94,2507297
2010-01-12,128.65,126.48,125.74,128.65,2403917
2010-01-13,126.29,127.06,124.79,127.68,2545784
2010-01-14,124.48,123.28,122.39,124.83,3378497
2010-01-15,122.47,124.54,121.73,124.74,2188706
2010-01-19,123.65,125.25,123.38,125.27,1311340
2010-01-20,124.48,123.01,121.53,124.48,1579253
2010-01-21,122.97,120.76,120.44,123.91,1965288
2010-01-22,121.11,118.93,118.88,121.33,1495978
2010-01-25,120.04,118.4,118.23,120.36,2340717
2010-01-26,120.15,121.93,119.18,122.8,2674593
2010-01-27,121.85,123.36,120.93,123.38,1821447
2010-01-28,123.05,121.05,120.7,123.05,1287127
2010-01-29,120.88,120.31,120.14,121.4,2353600
2010-02-01,119.79,121.22,119.52,121.36,1090715
2010-02-02,121.09,122.01,119.84,122.03,1111469
2010-02-03,121.13,121.38,120.61,121.57,1577655
2010-02-04,120.73,118.24,118.12,120.97,1837591
2010-02-05,117.79,116.49,114.87,117.96,2556083
2010-02-08,116.48,115.25,115.2,121.17,1012841
2010-02-09,115.71,113.94,113.6,116.08,2852877
2010-02-10,114.25,112.88,112.54,114.25,1976066
2010-02-11,113.07,113.0,111.79,113.32,1823121
2010-02-12,112.53,112.43,111.74,113.07,1392520
2010-02-16,113.15,114.53,113.15,114.56,1110856
2010-02-17,114.42,112.67,112.5,114.72,1180994
2010-02-18,112.64,112.37,111.95,112.77,1218063
2010-02-19,112.83,115.41,112.51,115.9,1669151
2010-02-22,116.23,115.4,115.22,116.43,1197325
2010-02-23,115.63,115.6,115.21,116.15,1475835
2010-02-24,116.36,116.41,115.77,116.98,2108986
2010-02-25,115.87,116.32,114.76,116.52,1192787
2010-02-26,116.82,115.28,115.28,117.02,1224761
2010-03-01,116.6,117.64,116.2,118.45,1385940
2010-03-02,118.4,117.78,117.75,119.8,1188186
2010-03-03,117.84,117.24,116.79,118.56,1187651
2010-03-04,117.37,118.17,117.0,118.37,1010030
