date,open,close,low,high,volume
2010-01-04,170.34,166.97,164.67,170.52,71124
2010-01-05,169.03,167.6,165.82,171.18,57536
2010-01-06,167.69,171.89,167.15,172.16,37219
2010-01-07,175.36,186.63,173.3,187.71,158591
2010-01-08,189.16,194.65,187.99,194.74,70601
2010-01-11,195.78,192.71,190.62,195.78,45482
2010-01-12,191.09,189.84,187.41,193.97,23397
2010-01-13,185.99,192.12,185.99,193.02,20181
2010-01-14,189.28,183.44,183.09,192.78,49744
2010-01-15,184.46,182.76,177.37,184.46,25910
2010-01-19,180.2,180.56,179.31,182.71,41634
2010-01-20,180.66,180.75,177.25,182.64,33526
2010-01-21,180.37,178.94,174.46,183.3,31907
2010-01-22,178.56,179.37,175.07,183.3,30610
2010-01-25,180.42,176.74,176.61,183.32,16590
2010-01-26,176.13,178.91,172.37,181.51,54675
2010-01-27,178.27,178.09,175.67,178.89,13402
2010-01-28,179.96,173.58,172.32,181.4,22286
2010-01-29,171.98,172.78,171.89,177.85,22137
2010-02-01,173.61,176.28,172.98,178.06,25955
2010-02-02,175.27,173.05,167.63,175.27,36781
2010-02-03,173.35,170.5,169.43,174.91,10716
2010-02-04,169.35,161.12,161.03,170.06,35829
2010-02-05,159.72,159.01,155.46,160.9,36531
2010-02-08,157.96,158.14,155.13,164.6,24171
2010-02-09,160.29,158.7,157.46,161.53,52000
2010-02-10,158.52,153.63,151.5,159.94,67855
2010-02-11,151.6,156.81,150.63,158.31,24731
2010-02-12,154.93,157.84,154.93,158.2,33788
2010-02-16,160.82,162.95,158.79,163.84,21052
2010-02-17,163.1,162.39,160.72,164.42,22621
2010-02-18,160.72,161.16,159.58,162.21,11064
2010-02-19,161.3,157.01,156.92,161.47,38728
2010-02-22,157.32,157.59,153.91,160.18,22752
2010-02-23,155.91,153.91,150.0,156.43,69589
2010-02-24,154.84,160.17,153.71,160.73,23961
2010-02-25,157.85,158.02,156.71,161.52,21564
2010-02-26,158.15,159.55,157.72,161.03,12721
2010-03-01,161.54,166.95,160.52,167.74,39701
2010-03-02,166.84,170.57,165.89,170.74,32714
2010-03-03,170.93,173.71,167.62,174.21,44919
2010-03-04,174.24,184.51,172.85,184.51,59171
2010-03-05,186.57,186.14,182.31,188.05,63226
2010-03-08,187.44,183.67,181.57,190.33,47734
2010-03-09,183.72,185.03,181.1,187.83,65591
2010-03-10,186.08,188.1,184.68,189.41,28918
2010-03-11,187.83,189.06,181.16,189.24,57271
2010-03-12,192.3,204.48,189.15,204.66,234171
2010-03-15,196.79,193.21,185.0,201.51,118518
2010-03-16,194.62,199.06,190.79,199.76,62569
2010-03-17,202.79,198.21,197.77,204.22,36559
2010-03-18,199.82,201.15,194.4,201.95,28751
2010-03-19,199.65,192.64,191.84,199.74,49271
2010-03-22,191.84,196.84,190.15,197.55,35691
2010-03-23,196.52,197.15,191.91,197.94,33193
2010-03-24,196.11,195.31,186.69,198.16,31597
2010-03-25,196.89,202.05,195.65,207.03,57138
2010-03-26,203.77,199.51,198.62,205.18,30041
2010-03-29,202.17,203.32,199.05,204.13,23860
2010-03-30,204.74,206.78,203.13,208.92,40302
2010-03-31,206.07,200.74,200.03,207.57,52491
2010-04-01,202.79,196.92,194.16,204.64,44641
2010-04-05,197.87,201.16,192.36,201.16,59033
2010-04-06,200.19,204.96,199.57,205.58,28475
2010-04-07,202.87,194.97,194.0,203.75,38193
2010-04-08,194.48,194.13,191.85,196.94,14984
2010-04-09,194.78,203.74,194.78,205.32,47001
2010-04-12,202.26,202.96,201.39,210.65,92899
2010-04-13,200.05,197.46,194.0,200.05,27606
2010-04-14,199.54,201.54,196.86,201.8,26902
2010-04-15,202.97,206.88,202.53,209.31,32087
2010-04-16,206.72,204.98,200.56,208.2,24046
2010-04-19,204.8,193.45,192.49,205.23,44727
2010-04-20,194.06,198.76,193.8,199.28,23071
2010-04-21,196.59,200.04,193.56,201.07,38556
2010-04-22,199.06,212.9,196.98,215.2,68773
2010-04-23,214.72,220.19,210.9,220.53,48728
2010-04-26,219.34,215.12,213.05,221.92,30482
2010-04-27,196.35,195.32,185.97,203.04,186580
2010-04-28,200.58,197.74,196.7,204.1,48007
2010-04-29,200.44,207.51,200.27,207.68,36776
2010-04-30,207.46,198.61,198.36,212.62,41019
2010-05-03,200.86,204.8,199.41,210.11,38209
2010-05-04,204.09,197.81,196.27,204.35,29269
2010-05-05,195.9,194.68,190.44,200.14,28885
2010-05-06,193.2,188.99,177.99,195.7,52382
2010-05-07,188.21,182.12,181.26,192.67,35612
2010-05-10,194.55,195.92,190.6,197.47,36666
2010-05-11,193.78,199.93,192.32,205.82,33875
2010-05-12,200.6,210.12,198.47,213.02,34205
2010-05-13,211.33,204.89,203.02,215.18,56806
2010-05-14,203.1,201.91,199.87,206.08,27130
2010-05-17,204.07,202.37,201.35,210.8,84712
2010-05-18,203.29,199.63,199.38,208.13,19998
2010-05-19,197.62,199.32,194.23,203.22,25789
2010-05-20,193.79,187.93,187.42,194.77,39334
2010-05-21,185.32,199.15,182.33,203.51,48356
2010-05-24,198.6,200.48,198.6,204.9,27382
2010-05-25,193.42,194.7,187.37,196.66,57171
2010-05-26,198.4,202.17,195.07,206.19,85260
2010-05-27,207.59,209.9,198.37,211.52,36756
2010-05-28,215.27,218.08,211.52,221.66,71842
2010-06-01,216.18,210.56,210.56,221.03,64879
2010-06-02,211.17,200.7,194.49,213.47,135833
2010-06-03,201.11,204.1,197.87,206.15,57822
2010-06-04,201.78,197.19,193.53,203.49,84789
2010-06-07,199.49,189.51,183.89,200.17,107933
2010-06-08,189.27,181.96,180.52,191.31,69267
2010-06-09,183.16,185.71,180.11,188.17,110273
2010-06-10,188.87,190.66,186.57,192.36,96737
2010-06-11,192.1,209.13,191.67,210.74,586415
2010-06-14,210.39,208.52,201.89,211.58,133399
2010-06-15,214.05,213.54,210.9,215.66,97892
2010-06-16,214.31,221.24,212.77,226.81,169120
2010-06-17,223.11,220.29,212.26,225.93,80935
2010-06-18,220.74,222.52,219.55,225.16,94753
2010-06-21,225.43,217.43,213.86,227.64,92723
2010-06-22,217.52,213.43,212.24,220.42,81875
2010-06-23,213.52,213.22,208.91,215.31,60839
2010-06-24,211.04,208.23,205.5,211.54,64587
2010-06-25,208.79,212.63,203.58,212.63,94349
2010-06-28,214.86,222.53,214.77,224.34,81735
2010-06-29,218.36,207.81,205.83,218.36,80940
2010-06-30,207.15,204.43,202.4,211.56,49060
2010-07-01,203.84,197.4,194.66,205.9,162305
2010-07-02,198.9,198.56,196.06,200.54,54681
2010-07-06,199.83,190.48,188.85,204.8,118646
2010-07-07,191.11,200.83,189.74,201.78,91176
2010-07-08,204.44,198.9,195.78,205.48,66892
2010-07-09,197.03,201.84,193.16,202.09,33756
2010-07-12,200.75,197.76,192.79,201.1,50299
2010-07-13,200.78,204.2,196.97,204.54,50714
2010-07-14,202.94,201.74,194.73,202.94,52471
2010-07-15,199.51,197.31,192.48,199.51,46992
2010-07-16,194.36,192.16,190.64,194.61,71225
2010-07-19,193.51,193.51,190.22,194.87,61079
2010-07-20,191.04,195.17,187.42,195.93,51133
2010-07-21,195.84,192.06,188.61,195.84,41473
2010-07-22,196.56,203.74,194.87,204.16,56043
2010-07-23,203.76,209.35,201.82,209.52,46960
2010-07-26,210.18,215.26,208.65,215.85,49068
2010-07-27,217.32,209.83,207.62,220.21,38838
2010-07-28,209.08,209.51,205.25,211.3,33797
2010-07-29,212.93,217.28,211.56,219.25,88081
2010-07-30,214.48,216.45,211.48,218.76,56068
2010-08-02,219.65,217.76,215.54,221.53,47256
2010-08-03,218.45,218.02,210.96,219.4,55291
2010-08-04,219.99,215.24,213.77,219.99,36059
2010-08-05,212.7,213.99,207.8,214.67,44168
2010-08-06,210.53,213.55,202.95,214.32,61646
2010-08-09,214.72,213.08,210.66,215.58,37916
2010-08-10,210.03,206.93,205.82,211.83,43091
2010-08-11,203.39,198.63,197.68,206.86,61540
2010-08-12,193.55,197.42,190.03,199.83,31464
2010-08-13,194.9,189.52,188.49,196.91,52905
2010-08-16,187.55,191.28,184.93,194.25,45791
2010-08-17,193.01,196.05,191.57,198.49,41710
2010-08-18,194.46,202.46,191.6,203.39,44066
2010-08-19,201.09,195.99,195.74,203.1,63863
2010-08-20,195.03,194.7,190.7,196.28,64094
2010-08-23,195.11,193.03,192.78,197.27,40413
2010-08-24,191.23,191.58,185.23,195.24,42358
2010-08-25,189.53,196.96,189.53,197.55,31130
2010-08-26,196.13,192.25,191.09,198.03,45467
2010-08-27,197.2,197.78,193.61,200.03,39528
2010-08-30,195.89,196.02,193.31,198.14,73153
2010-08-31,195.46,188.32,186.25,195.46,94516
2010-09-01,191.1,185.52,172.27,193.52,403936
2010-09-02,186.97,186.47,181.18,197.04,176885
2010-09-03,211.08,220.03,203.3,221.45,365402
2010-09-07,220.67,220.59,217.75,223.43,105069
2010-09-08,223.77,223.44,220.76,225.45,95789
2010-09-09,224.5,219.74,216.57,224.83,49936
2010-09-10,219.79,218.54,218.38,224.13,44326
2010-09-13,219.84,229.38,219.1,229.8,100868
2010-09-14,227.77,236.62,226.28,242.09,124007
2010-09-15,233.55,230.35,229.2,234.87,54101
2010-09-16,231.05,232.21,228.07,233.2,31917
2010-09-17,232.97,231.49,226.47,233.95,56103
2010-09-20,234.42,233.76,228.04,234.58,59913
2010-09-21,233.39,239.64,233.39,242.61,135887
2010-09-22,239.27,230.13,228.73,239.93,81327
2010-09-23,228.56,228.89,227.65,234.77,68859
2010-09-24,234.88,241.82,234.23,241.91,48931
2010-09-27,240.69,237.54,237.21,241.88,40116
2010-09-28,239.29,243.78,233.31,244.78,73991
2010-09-29,245.31,248.9,241.72,251.99,89203
2010-09-30,247.56,241.04,239.47,247.56,59486
2010-10-01,240.66,241.9,237.44,243.46,46652
2010-10-04,242.94,233.72,232.49,243.76,78797
2010-10-05,236.68,235.86,234.05,240.95,58116
2010-10-06,236.51,233.46,231.39,238.74,60188
2010-10-07,237.11,236.53,230.15,239.27,98408
2010-10-08,237.63,240.71,237.47,241.95,46872
