date,open,close,low,high,volume
2010-01-04,119.62,118.3,118.17,119.62,2650297
2010-01-05,118.71,118.83,117.81,119.06,1303679
2010-01-06,118.81,119.63,118.41,120.43,1235235
2010-01-07,119.75,119.72,118.85,119.95,1080698
2010-01-08,120.1,122.1,119.5,122.1,1281570
2010-01-11,123.0,123.32,122.08,123.75,1136141
2010-01-12,123.35,121.6,121.0,123.35,1245187
2010-01-13,121.84,121.91,120.43,122.59,1129998
2010-01-14,121.81,120.91,120.54,122.09,744773
2010-01-15,120.9,119.28,118.28,120.93,2111997
2010-01-19,119.79,122.26,119.29,122.31,1582844
2010-01-20,121.6,121.25,119.83,122.69,1460400
2010-01-21,121.53,119.23,118.98,122.75,1204446
2010-01-22,118.61,116.97,116.95,119.21,1598357
2010-01-25,117.8,117.2,117.05,118.55,1028316
2010-01-26,116.05,115.01,114.36,116.05,1528847
2010-01-27,115.07,115.44,114.35,115.74,829493
2010-01-28,116.24,115.24,115.04,117.31,1112236
2010-01-29,116.73,115.43,115.41,117.31,1024807
2010-02-01,115.67,117.7,115.39,117.8,1633003
2010-02-02,117.18,118.8,116.63,119.05,1629057
2010-02-03,124.21,121.47,120.84,124.68,2840259
2010-02-04,120.96,118.67,118.57,120.98,1822190
2010-02-05,118.77,118.4,115.95,119.08,1522880
2010-02-08,117.92,117.52,117.07,118.85,1064936
2010-02-09,118.0,119.51,117.88,120.19,1282021
2010-02-10,119.17,118.19,117.72,119.82,1056908
2010-02-11,118.13,119.01,117.5,119.44,923353
2010-02-12,118.17,118.77,116.99,118.87,794883
2010-02-16,119.06,120.81,118.58,120.81,651723
2010-02-17,120.8,122.06,120.7,122.43,885455
2010-02-18,122.54,123.85,121.91,124.35,1074397
2010-02-19,123.95,124.17,123.39,124.85,757888
2010-02-22,124.92,121.63,114.73,125.35,7762299
2010-02-23,120.73,125.51,120.68,126.19,5609451
2010-02-24,124.99,122.31,121.42,125.31,2605638
2010-02-25,121.47,124.71,120.36,124.84,3685042
2010-02-26,124.41,123.65,122.3,124.72,1588595
2010-03-01,124.22,123.71,122.75,125.24,2552736
2010-03-02,123.76,125.23,123.51,125.71,952349
2010-03-03,125.88,125.17,124.53,126.01,1129010
2010-03-04,124.82,123.5,123.22,125.74,805324
2010-03-05,123.77,125.75,123.56,126.33,1117692
2010-03-08,125.85,127.38,125.44,128.04,1325005
2010-03-09,127.34,128.34,126.91,129.49,1798662
2010-03-10,127.92,128.61,127.41,128.97,772502
2010-03-11,128.56,129.68,127.9,129.71,1071915
2010-03-12,129.82,128.06,127.5,129.82,1198466
2010-03-15,128.07,127.64,126.46,128.43,1209273
2010-03-16,127.75,126.37,126.01,127.75,1208322
2010-03-17,126.17,127.47,126.17,127.88,1460230
2010-03-18,127.97,127.63,127.07,128.63,897171
2010-03-19,128.34,127.68,126.86,128.47,1238991
2010-03-22,127.79,130.23,127.05,130.43,878802
2010-03-23,130.55,130.62,128.82,130.93,1491040
2010-03-24,130.55,130.24,129.34,130.55,931466
2010-03-25,129.7,128.32,128.19,130.69,1169097
2010-03-26,128.69,127.28,126.52,128.69,1266531
2010-03-29,127.72,128.56,127.03,128.56,1097177
2010-03-30,128.63,131.49,128.28,133.34,2187724
2010-03-31,131.02,131.02,130.38,131.37,1205123
2010-04-01,131.36,131.84,130.77,134.81,780565
2010-04-05,131.86,132.02,131.41,132.75,584830
2010-04-06,131.47,131.7,131.01,132.08,577799
2010-04-07,132.28,131.59,130.88,132.28,1150938
2010-04-08,131.26,131.29,129.86,131.36,1008964
2010-04-09,130.6,132.84,130.2,132.84,674493
2010-04-12,133.13,132.52,131.83,133.18,728332
2010-04-13,132.06,133.03,130.99,133.28,899541
2010-04-14,132.25,136.05,130.93,136.1,1945526
2010-04-15,135.44,137.04,134.52,137.09,1303560
2010-04-16,137.23,135.4,133.87,137.23,1659356
2010-04-19,135.61,136.01,134.49,136.37,889588
2010-04-20,137.4,138.37,137.38,140.26,2649850
2010-04-21,137.97,136.49,135.42,139.02,2121468
2010-04-22,136.17,136.05,133.86,136.2,1413885
2010-04-23,135.71,136.44,135.06,136.55,1044119
2010-04-26,138.75,136.58,136.12,139.08,1484025
2010-04-27,135.22,135.39,135.16,138.72,2497182
2010-04-28,144.52,141.73,138.92,145.45,3563842
2010-04-29,142.17,141.74,140.35,143.87,2087444
2010-04-30,141.76,139.79,139.66,142.88,1124604
2010-05-03,140.42,140.37,138.37,140.47,1280139
2010-05-04,139.57,138.25,136.24,139.57,2025790
2010-05-05,137.52,139.43,137.14,139.58,1843681
2010-05-06,138.93,135.35,124.47,139.21,1895143
2010-05-07,134.08,130.18,129.17,134.72,2298456
2010-05-10,132.97,137.54,132.97,137.9,1850154
2010-05-11,136.95,137.0,135.7,138.12,1702482
2010-05-12,136.91,139.69,136.54,140.23,1418687
2010-05-13,138.27,136.17,135.79,138.98,1023599
2010-05-14,136.43,133.28,131.98,137.42,1704372
2010-05-17,133.41,133.69,131.61,134.55,1402272
2010-05-18,134.9,132.62,131.94,135.74,1080279
2010-05-19,131.68,131.2,130.11,133.4,1061361
2010-05-20,129.57,126.22,126.2,129.79,1620796
2010-05-21,124.92,128.95,124.59,129.59,1955468
2010-05-24,128.46,129.07,127.07,130.84,1544672
2010-05-25,126.61,128.49,125.93,128.62,2314659
2010-05-26,128.57,128.92,128.31,130.72,1265146
2010-05-27,131.63,133.94,131.35,133.94,1651111
2010-05-28,133.9,132.5,131.17,134.15,1154289
2010-06-01,130.83,129.23,129.21,131.74,965443
2010-06-02,129.52,131.81,127.34,131.81,1459063
2010-06-03,132.33,132.25,131.42,133.09,693943
2010-06-04,130.16,125.89,125.49,130.44,1809090
2010-06-07,126.32,126.04,125.49,127.87,1498736
2010-06-08,126.24,126.5,124.92,128.28,1535838
2010-06-09,126.58,126.12,125.74,128.35,2228483
2010-06-10,128.19,131.13,127.55,131.3,1258073
2010-06-11,130.04,131.94,129.53,132.02,862900
