date,open,close,low,high,volume
2010-01-04,65.4,65.66,65.4,66.68,229976
2010-01-05,65.74,65.36,65.28,65.89,178865
2010-01-06,65.36,65.31,65.11,65.6,197092
2010-01-07,64.59,65.22,64.56,65.39,208163
2010-01-08,65.27,66.55,64.69,66.6,258162
2010-01-11,66.52,66.85,65.89,66.92,117257
2010-01-12,66.1,65.24,65.16,66.24,173544
2010-01-13,65.52,65.74,65.03,65.8,144103
2010-01-14,65.58,65.95,65.51,66.71,101477
2010-01-15,65.81,65.06,64.81,66.16,85707
2010-01-19,65.18,65.44,65.12,66.44,194489
2010-01-20,64.87,64.73,64.35,65.14,159889
2010-01-21,64.72,64.65,64.27,65.66,214838
2010-01-22,64.65,63.08,62.97,64.75,181728
2010-01-25,63.57,62.81,62.49,63.61,447336
2010-01-26,62.87,61.97,61.03,62.89,546144
2010-01-27,62.04,61.43,60.77,62.35,294875
2010-01-28,61.2,61.62,60.68,61.81,311792
2010-01-29,61.75,61.35,61.35,63.01,488882
2010-02-01,61.5,61.72,61.42,62.12,229517
2010-02-02,61.59,62.58,61.4,62.87,262425
2010-02-03,62.43,62.58,62.12,63.24,182618
2010-02-04,62.06,60.9,60.9,62.14,295376
2010-02-05,60.93,61.19,60.09,61.31,315191
2010-02-08,61.29,61.42,60.96,62.1,272414
2010-02-09,62.07,62.37,61.8,62.58,257332
2010-02-10,61.87,62.07,61.83,62.81,228326
2010-02-11,62.2,63.09,62.04,63.23,201107
2010-02-12,62.63,63.75,62.06,63.77,270308
2010-02-16,63.89,64.16,63.72,64.24,204946
2010-02-17,63.88,63.68,63.25,64.32,180150
2010-02-18,64.05,64.57,63.81,64.62,108623
2010-02-19,64.21,65.17,64.21,65.26,185839
2010-02-22,65.31,65.28,65.02,65.49,163049
2010-02-23,65.17,64.26,64.12,65.56,145185
2010-02-24,64.78,64.56,64.3,64.83,200354
2010-02-25,63.47,65.58,63.32,65.72,334769
2010-02-26,66.04,66.24,65.58,66.4,294565
2010-03-01,66.27,67.09,66.21,67.6,148661
2010-03-02,67.14,67.6,67.04,67.97,170506
2010-03-03,67.78,68.09,67.43,68.53,195229
2010-03-04,68.25,67.8,67.48,68.36,215962
