date,open,close,low,high,volume
2010-01-04,70.53,70.69,70.53,71.18,294741
2010-01-05,70.3,67.84,67.4,70.3,896514
2010-01-06,68.43,67.24,66.5,68.82,976659
2010-01-07,66.95,66.69,66.25,67.13,333759
2010-01-08,67.21,66.79,66.22,67.44,381417
2010-01-11,67.92,69.42,67.29,69.54,725504
2010-01-12,70.0,72.2,70.0,72.93,772263
2010-01-13,72.73,73.83,72.61,74.34,459059
2010-01-14,73.43,74.19,73.34,74.22,345481
2010-01-15,73.77,73.75,73.17,74.05,438869
2010-01-19,73.6,75.12,73.39,75.29,587950
2010-01-20,74.79,74.86,73.76,75.03,316806
2010-01-21,74.51,73.96,73.29,74.91,411898
2010-01-22,73.6,73.73,73.21,74.6,522683
2010-01-25,73.93,72.08,72.01,74.0,492500
2010-01-26,71.83,73.79,71.62,74.32,667923
2010-01-27,72.92,73.97,72.92,74.17,469212
2010-01-28,74.44,75.25,74.02,75.75,469287
2010-01-29,75.35,76.35,74.97,76.88,669423
2010-02-01,77.09,76.64,75.79,77.73,773633
2010-02-02,75.12,79.71,74.81,80.02,1655558
2010-02-03,78.79,80.5,78.37,81.59,930710
2010-02-04,80.34,79.78,79.76,81.0,763225
2010-02-05,79.81,78.78,77.76,79.87,680514
2010-02-08,79.31,79.88,78.94,80.65,555162
2010-02-09,80.82,80.95,80.46,81.56,605557
2010-02-10,81.31,80.5,80.31,81.31,237748
2010-02-11,80.23,82.65,79.05,83.0,706539
2010-02-12,82.76,85.66,81.79,85.8,1220011
2010-02-16,86.84,85.93,85.72,86.84,508790
2010-02-17,85.79,85.25,84.83,86.3,639876
2010-02-18,85.2,87.11,84.94,87.17,641642
2010-02-19,87.18,88.19,86.9,88.69,710403
2010-02-22,87.8,87.0,85.96,87.8,572823
2010-02-23,87.35,87.03,86.66,87.63,540471
2010-02-24,86.27,86.41,85.92,87.0,479237
2010-02-25,86.32,88.38,86.23,89.04,837603
2010-02-26,88.25,87.86,87.42,88.55,330258
2010-03-01,89.33,90.75,89.32,91.05,687045
2010-03-02,90.22,92.49,89.99,92.56,801532
2010-03-03,93.02,92.35,91.68,93.21,529910
2010-03-04,92.66,90.68,90.45,92.8,672786
2010-03-05,91.51,89.92,88.36,91.9,1243185
2010-03-08,89.52,88.46,87.35,89.96,1015084
2010-03-09,88.56,87.44,87.21,88.59,832376
2010-03-10,86.91,88.55,86.82,88.62,498807
2010-03-11,89.12,90.31,88.94,90.54,474397
2010-03-12,90.25,90.09,89.37,90.55,288452
2010-03-15,90.1,90.8,89.67,90.87,462904
2010-03-16,91.57,92.3,91.31,92.41,270308
2010-03-17,93.16,89.97,89.44,93.19,961557
2010-03-18,90.3,90.19,89.52,90.39,370864
2010-03-19,89.99,90.17,89.21,90.35,570343
2010-03-22,90.06,91.51,90.03,92.01,224203
2010-03-23,96.95,102.3,95.93,102.82,3418500
2010-03-24,102.4,103.35,100.95,103.63,1317820
2010-03-25,103.4,100.84,100.62,104.65,1204510
2010-03-26,101.06,101.28,99.71,101.37,577595
2010-03-29,100.74,102.88,100.73,102.88,442514
2010-03-30,102.34,103.19,101.99,104.19,609836
2010-03-31,102.88,102.83,102.71,104.62,526053
2010-04-01,105.2,104.68,104.32,105.67,402947
2010-04-05,105.43,108.36,105.27,109.07,522977
2010-04-06,108.55,108.54,107.41,109.27,374799
2010-04-07,108.06,106.71,105.92,108.27,560746
2010-04-08,105.86,105.77,103.97,105.93,442209
2010-04-09,105.62,105.52,104.71,106.02,255115
2010-04-12,105.59,106.7,104.75,106.82,543189
2010-04-13,106.48,107.88,106.16,108.15,453529
2010-04-14,107.5,107.5,106.58,108.27,377010
2010-04-15,107.07,109.03,106.86,109.68,388202
2010-04-16,108.46,105.61,104.79,108.9,568943
2010-04-19,105.04,104.11,103.12,105.9,487167
2010-04-20,105.59,105.89,104.92,106.15,273433
2010-04-21,105.8,104.01,103.31,105.8,296313
2010-04-22,102.96,104.68,101.41,105.6,609010
2010-04-23,104.13,105.01,103.31,105.55,518935
2010-04-26,102.89,103.61,102.89,104.3,474700
