date,open,close,low,high,volume
2010-01-04,149.16,148.25,147.45,150.52,153388
2010-01-05,149.7,150.5,147.49,150.5,120650
2010-01-06,150.97,150.46,148.99,150.97,178680
2010-01-07,151.78,154.58,150.41,154.98,217352
2010-01-08,153.87,156.49,153.71,156.78,143898
2010-01-11,156.76,155.11,154.88,156.88,122918
2010-01-12,154.41,155.49,154.07,155.72,105959
2010-01-13,157.35,157.52,155.21,157.92,135881
2010-01-14,156.36,156.41,155.73,157.55,118584
2010-01-15,157.81,156.72,156.61,158.2,124659
2010-01-19,155.94,158.49,155.94,159.33,169938
2010-01-20,158.24,156.65,156.54,159.3,99037
2010-01-21,156.87,153.01,153.01,158.29,186406
2010-01-22,153.56,148.91,148.91,157.3,258745
2010-01-25,150.95,152.26,148.85,153.05,129039
2010-01-26,152.3,154.51,151.45,156.1,125258
2010-01-27,153.76,157.43,152.0,157.43,147685
2010-01-28,158.24,157.28,154.9,158.24,177108
2010-01-29,157.16,157.78,155.18,157.9,184839
2010-02-01,157.31,156.58,154.22,157.37,156654
2010-02-02,157.16,156.26,155.02,157.95,133027
2010-02-03,155.92,153.15,152.58,156.99,116246
2010-02-04,153.05,147.72,147.6,154.98,271973
2010-02-05,149.49,148.98,146.01,151.43,337489
2010-02-08,151.09,147.2,147.2,151.54,151947
2010-02-09,148.75,145.5,145.04,148.75,206017
2010-02-10,145.35,146.32,143.65,146.72,163586
2010-02-11,145.13,147.51,144.05,148.7,160802
2010-02-12,147.86,153.37,146.61,153.72,214476
2010-02-16,154.06,158.38,154.0,158.78,224638
2010-02-17,158.65,160.75,158.36,160.75,177184
2010-02-18,160.79,163.4,160.57,164.14,155250
2010-02-19,162.4,162.12,161.33,163.31,137579
2010-02-22,163.65,161.31,160.23,163.65,149521
2010-02-23,161.2,159.78,157.95,162.85,183648
2010-02-24,159.93,161.35,159.82,162.04,113325
2010-02-25,160.63,161.14,158.52,161.25,80600
2010-02-26,161.78,160.18,160.01,162.7,122904
2010-03-01,159.96,159.5,158.13,161.38,164353
2010-03-02,161.21,160.17,158.17,161.61,124322
2010-03-03,160.59,159.79,158.87,161.73,102833
2010-03-04,159.83,160.4,159.09,160.63,64945
2010-03-05,160.59,162.13,159.4,162.7,127071
2010-03-08,161.79,162.53,161.16,163.21,107091
2010-03-09,162.5,165.86,162.33,166.31,128523
2010-03-10,166.34,166.8,165.03,167.77,171686
2010-03-11,166.38,167.13,164.84,168.04,102747
2010-03-12,167.4,166.65,165.17,167.97,153961
2010-03-15,167.46,167.86,166.08,169.06,112159
2010-03-16,168.4,171.5,168.17,172.07,118631
2010-03-17,171.71,173.15,171.71,174.23,145807
2010-03-18,172.17,174.34,172.08,176.46,181624
2010-03-19,174.13,171.05,169.34,174.13,239935
2010-03-22,170.0,173.71,170.0,173.99,110614
