date,open,close,low,high,volume
2010-01-04,130.48,128.43,127.72,130.48,972008
2010-01-05,129.13,130.59,127.53,132.47,988198
2010-01-06,130.17,133.08,129.88,133.43,817140
2010-01-07,132.48,132.16,131.46,133.82,796045
2010-01-08,132.18,132.35,130.97,132.64,908533
2010-01-11,132.84,135.89,132.84,136.56,1114504
2010-01-12,134.51,136.27,133.27,136.45,1260371
2010-01-13,136.69,135.7,133.89,136.69,934112
2010-01-14,135.87,133.35,132.21,136.3,1261223
2010-01-15,132.86,130.21,129.68,133.92,1624985
2010-01-19,132.41,133.59,130.91,133.87,1478479
2010-01-20,126.29,126.83,125.54,128.81,4330231
2010-01-21,127.83,123.41,121.2,128.04,2784915
2010-01-22,121.82,122.54,120.7,124.34,1859526
2010-01-25,122.66,121.73,120.44,123.94,1557198
2010-01-26,121.43,123.36,120.86,124.78,1573381
2010-01-27,123.17,124.77,122.49,125.34,1777635
2010-01-28,125.51,124.65,123.87,126.44,1957260
2010-01-29,127.06,126.69,126.15,128.44,1528343
2010-02-01,127.49,128.47,126.87,128.8,997047
2010-02-02,128.74,130.34,128.04,130.49,1261898
2010-02-03,128.32,128.93,127.08,129.37,1251554
2010-02-04,127.09,124.81,123.72,127.96,1336478
2010-02-05,121.49,124.09,119.17,124.35,2621824
2010-02-08,123.96,123.74,122.69,126.06,959694
2010-02-09,125.73,125.7,124.18,126.21,965693
2010-02-10,125.87,126.27,124.81,127.25,844785
2010-02-11,126.59,129.07,125.61,130.2,1142158
2010-02-12,127.35,129.03,125.9,129.24,1384668
2010-02-16,129.85,131.64,128.25,132.13,916130
2010-02-17,133.22,131.79,130.77,133.22,1308425
2010-02-18,130.37,132.58,130.26,132.84,982633
2010-02-19,131.34,131.85,130.54,132.28,995600
2010-02-22,132.01,132.44,131.79,133.82,1213009
2010-02-23,132.41,132.96,131.4,133.69,1339445
2010-02-24,132.31,134.26,131.59,134.37,1243329
2010-02-25,132.53,132.85,131.08,133.43,1514077
2010-02-26,132.41,131.43,131.36,133.82,1096849
2010-03-01,131.59,133.35,130.33,133.57,1532196
2010-03-02,133.49,132.66,132.34,133.6,1293738
2010-03-03,132.33,131.43,130.96,133.12,1321038
2010-03-04,131.34,134.19,131.34,134.64,1200175
2010-03-05,135.09,136.21,133.9,136.75,954248
2010-03-08,137.44,136.35,135.52,137.72,925187
2010-03-09,135.83,140.98,135.61,142.22,1658273
2010-03-10,141.89,140.4,139.92,142.43,1183958
2010-03-11,138.81,139.46,137.86,139.62,792190
2010-03-12,139.78,138.58,137.1,140.54,740091
2010-03-15,138.3,138.01,136.12,139.13,831314
2010-03-16,139.31,138.36,137.85,139.9,850510
2010-03-17,139.37,140.54,139.37,140.98,578985
2010-03-18,139.66,139.58,138.74,141.12,711620
2010-03-19,140.37,139.16,138.54,141.07,980635
2010-03-22,137.97,141.21,137.34,142.09,1194956
2010-03-23,142.04,141.41,140.57,143.33,1104345
2010-03-24,141.59,142.7,141.52,143.34,906852
2010-03-25,144.21,143.28,143.21,145.43,827974
2010-03-26,147.09,149.39,145.16,150.46,1492996
2010-03-29,149.04,147.02,145.15,149.04,1184167
2010-03-30,149.55,146.51,145.88,149.55,733169
2010-03-31,146.14,145.45,145.11,147.58,787155
2010-04-01,146.19,147.18,145.57,147.74,930797
2010-04-05,147.35,148.45,146.18,149.03,741526
2010-04-06,148.42,149.45,147.43,149.63,589882
2010-04-07,149.72,149.17,148.1,151.16,1086631
2010-04-08,149.23,149.46,147.72,150.42,640583
2010-04-09,150.68,152.97,149.83,153.9,901792
2010-04-12,153.57,152.61,152.46,154.13,673338
2010-04-13,154.43,154.65,153.87,155.77,783349
2010-04-14,156.21,158.78,155.54,159.12,903444
2010-04-15,159.09,160.44,157.97,161.41,1007621
2010-04-16,159.65,157.2,156.34,160.21,1338177
2010-04-19,155.91,154.4,150.86,156.5,1633132
2010-04-20,158.06,154.78,153.64,158.39,1605716
2010-04-21,155.91,158.41,154.95,158.56,1587812
2010-04-22,156.22,158.28,155.75,158.86,1669495
2010-04-23,157.3,159.6,156.46,159.97,1207253
2010-04-26,160.42,159.28,158.44,160.68,876988
2010-04-27,158.03,153.82,153.6,158.66,1202352
