date,open,close,low,high,volume
2010-01-04,89.05,87.05,86.85,89.35,1492430
2010-01-05,87.06,86.39,85.5,87.28,1178218
2010-01-06,86.02,85.48,85.1,87.08,1290814
2010-01-07,85.31,85.9,84.67,86.84,1635579
2010-01-08,85.73,85.56,84.0,86.18,1123152
2010-01-11,86.32,86.55,85.83,87.91,1181040
2010-01-12,86.13,84.73,84.26,86.9,1016602
2010-01-13,85.53,86.98,85.06,87.15,1000819
2010-01-14,86.76,86.64,86.23,87.56,803793
2010-01-15,86.48,86.31,85.9,87.11,985944
2010-01-19,85.85,87.82,85.85,88.01,949855
2010-01-20,86.71,85.95,84.69,86.71,1230791
2010-01-21,86.4,84.3,83.98,86.75,1451152
2010-01-22,85.1,82.46,82.28,85.1,1685735
2010-01-25,83.63,83.66,81.35,83.85,1798726
2010-01-26,82.79,83.77,82.16,84.5,1377364
2010-01-27,84.01,84.63,82.58,84.96,1176866
2010-01-28,85.75,84.7,84.1,85.75,1063850
2010-01-29,85.25,84.53,84.15,86.87,1263590
2010-02-01,85.17,86.2,84.94,86.57,938585
2010-02-02,86.55,88.1,85.51,88.45,1193143
2010-02-03,87.51,86.21,85.66,87.7,1149192
2010-02-04,82.32,82.17,80.8,84.62,3418190
2010-02-05,82.36,84.05,81.99,84.27,2005914
2010-02-08,84.54,82.36,82.27,84.74,1335628
2010-02-09,83.23,82.1,81.02,83.26,1152763
2010-02-10,81.86,81.8,80.17,82.89,820181
2010-02-11,81.62,82.86,80.85,82.92,715611
2010-02-12,82.13,84.29,81.68,84.67,1099734
2010-02-16,84.87,86.58,84.57,86.74,996102
2010-02-17,87.21,87.32,86.58,87.76,827302
2010-02-18,86.9,88.93,86.56,89.24,888486
2010-02-19,88.15,88.31,87.34,89.06,1061154
2010-02-22,88.6,89.71,88.3,90.14,847166
2010-02-23,89.13,89.61,88.74,90.17,1027434
2010-02-24,89.45,90.01,88.76,90.02,796171
2010-02-25,88.4,90.04,87.79,90.14,522889
2010-02-26,90.68,90.37,89.8,91.39,959330
2010-03-01,90.5,90.34,89.89,90.99,823651
2010-03-02,90.93,90.44,89.96,91.1,598997
2010-03-03,90.42,89.65,89.38,90.71,657130
