date,open,close,low,high,volume
2010-01-04,183.29,183.58,182.17,184.89,2501850
2010-01-05,182.0,181.64,179.29,182.48,2958739
2010-01-06,181.57,179.38,179.25,181.72,1970839
2010-01-07,179.17,180.82,178.29,181.32,3582902
2010-01-08,181.67,182.04,180.44,182.86,1382651
2010-01-11,183.23,181.64,180.42,184.12,1552085
2010-01-12,181.39,180.89,179.86,182.37,1603910
2010-01-13,181.21,182.63,180.14,182.76,1594973
2010-01-14,182.1,183.09,181.12,183.28,2208301
2010-01-15,182.89,180.09,179.63,183.02,2596683
2010-01-19,180.55,184.06,179.56,185.23,1738792
2010-01-20,184.12,183.58,181.25,184.25,1526306
2010-01-21,184.3,177.98,177.28,185.24,2926754
2010-01-22,176.56,173.82,171.53,177.3,3263839
2010-01-25,174.64,171.78,170.47,175.5,2017250
2010-01-26,169.19,168.79,168.45,171.67,1480626
2010-01-27,169.37,175.71,168.8,176.17,2431100
2010-01-28,176.55,172.98,170.37,176.8,1469147
2010-01-29,172.83,171.64,171.3,177.81,2271677
2010-02-01,171.85,174.71,171.66,176.99,1960932
2010-02-02,175.99,175.47,174.4,176.42,1677712
2010-02-03,175.58,174.08,171.12,176.1,4346823
2010-02-04,178.3,173.69,173.17,180.24,7527324
2010-02-05,173.48,171.89,167.69,174.6,4607933
2010-02-08,172.77,173.07,172.06,175.85,2737708
2010-02-09,174.68,173.81,172.62,175.6,2061961
2010-02-10,172.52,172.83,171.28,173.38,1842329
2010-02-11,172.53,175.3,171.41,175.44,2063334
2010-02-12,173.8,174.38,172.06,174.71,2740859
2010-02-16,175.38,176.71,175.31,176.84,1919680
2010-02-17,176.58,177.42,176.06,177.66,1706396
2010-02-18,177.81,179.79,177.81,180.8,1806659
2010-02-19,178.05,179.73,176.99,180.08,1742466
2010-02-22,179.78,179.49,179.29,181.25,1380753
2010-02-23,179.68,177.82,177.7,180.86,2190161
2010-02-24,178.43,177.2,175.39,179.23,1825046
2010-02-25,175.4,176.39,173.31,176.83,1710983
2010-02-26,176.6,175.98,175.45,176.89,1515866
2010-03-01,176.14,178.86,175.69,179.11,1655091
2010-03-02,178.88,178.12,177.71,179.21,1483951
2010-03-03,178.57,178.98,177.83,179.83,1613207
2010-03-04,179.96,180.46,178.56,181.31,1763960
2010-03-05,181.51,183.82,180.88,183.91,2419462
2010-03-08,183.82,188.35,183.08,188.98,3786250
2010-03-09,188.42,188.21,187.6,191.39,4329725
2010-03-10,187.47,191.19,187.07,191.8,3225248
2010-03-11,190.76,194.47,190.4,195.6,6891483
2010-03-12,195.91,196.08,194.82,196.87,3353520
2010-03-15,194.74,193.77,191.07,195.33,2644105
2010-03-16,194.15,191.99,191.36,194.63,2358164
2010-03-17,192.46,191.19,190.62,193.06,1748190
2010-03-18,192.21,189.33,189.23,192.88,2233574
2010-03-19,190.6,187.06,186.74,191.09,2952859
2010-03-22,186.0,187.79,185.56,188.87,1921462
2010-03-23,188.16,189.17,187.64,189.84,1728380
2010-03-24,187.67,185.89,185.56,188.38,1797182
2010-03-25,187.77,189.29,187.36,192.16,2477817
2010-03-26,189.65,188.65,187.4,190.74,1619586
2010-03-29,188.85,188.17,187.96,190.09,1333018
2010-03-30,189.42,190.54,189.16,192.3,1946375
2010-03-31,189.55,190.25,189.18,192.69,1386886
2010-04-01,191.9,193.72,191.13,193.79,1975726
2010-04-05,194.62,193.4,192.63,194.93,1713571
2010-04-06,191.86,192.62,191.4,194.56,1571577
2010-04-07,193.34,189.59,189.42,193.34,1609311
2010-04-08,189.59,191.32,189.26,192.56,1273833
2010-04-09,192.04,193.25,191.44,193.43,1121909
2010-04-12,194.14,194.44,192.99,195.06,1197739
2010-04-13,195.16,193.88,192.56,195.97,1358350
2010-04-14,194.79,197.09,194.16,197.47,2030111
2010-04-15,197.44,197.64,196.55,199.33,2609861
2010-04-16,197.22,196.73,194.53,198.95,2261880
2010-04-19,194.85,194.68,192.51,196.9,1360513
2010-04-20,195.78,196.6,193.37,196.7,976355
2010-04-21,198.44,195.87,195.31,198.5,1332230
2010-04-22,195.27,200.15,194.51,200.28,1639931
2010-04-23,203.01,203.84,200.97,204.32,1438545
2010-04-26,204.5,202.32,201.35,204.84,2490712
2010-04-27,203.18,196.83,196.7,203.77,2264230
2010-04-28,198.37,198.14,195.37,199.09,2343203
2010-04-29,197.35,195.35,193.83,199.1,3525624
2010-04-30,197.41,190.96,190.51,197.61,3023548
2010-05-03,191.74,189.03,187.24,193.27,3511718
2010-05-04,188.87,186.83,186.29,192.28,3803766
2010-05-05,183.06,182.36,177.23,185.57,4357259
2010-05-06,180.52,174.37,159.62,182.02,6838111
2010-05-07,174.77,173.15,169.91,177.11,5383262
2010-05-10,181.67,181.11,181.0,183.67,4143852
2010-05-11,180.33,178.28,176.12,180.6,6040445
2010-05-12,179.87,181.22,179.26,185.17,4136571
2010-05-13,182.42,182.11,179.53,186.88,3765196
