date,open,close,low,high,volume
2010-01-04,122.85,124.11,122.76,124.32,5923071
2010-01-05,122.94,123.61,122.39,124.4,6277320
2010-01-06,123.61,127.18,123.48,128.15,12186534
2010-01-07,126.19,124.89,123.97,126.58,6750753
2010-01-08,125.9,129.06,124.24,129.21,7275914
2010-01-11,132.21,129.45,127.96,133.06,9375721
2010-01-12,127.04,124.36,122.67,127.29,10951691
2010-01-13,124.52,125.76,121.25,126.14,8789247
2010-01-14,126.18,124.27,123.44,126.64,6426041
2010-01-15,124.5,123.47,122.99,125.45,8595540
2010-01-19,123.71,123.54,121.78,123.81,7832956
2010-01-20,120.33,120.88,117.52,121.68,12125358
2010-01-21,119.54,110.12,109.71,119.67,24514597
2010-01-22,105.65,106.21,103.8,110.8,23274082
2010-01-25,107.12,106.22,105.83,108.35,11195973
2010-01-26,105.51,103.38,102.78,106.25,15896417
2010-01-27,102.12,102.09,98.58,103.68,15522493
2010-01-28,104.14,98.73,97.27,104.39,20909933
2010-01-29,100.17,95.64,94.93,102.22,18710630
2010-02-01,97.96,102.93,97.84,103.0,17854406
2010-02-02,104.62,103.55,101.65,105.18,17854727
2010-02-03,102.18,100.38,99.23,104.27,15160691
2010-02-04,97.64,95.12,94.78,98.33,19966643
2010-02-05,95.54,100.54,94.53,100.62,25576844
2010-02-08,102.47,100.2,99.78,104.24,16533759
2010-02-09,103.86,104.52,103.36,106.52,16989422
2010-02-10,103.54,103.27,100.55,104.37,13930367
2010-02-11,103.24,106.82,102.14,107.63,15641311
2010-02-12,104.57,106.4,103.27,106.63,13883508
2010-02-16,107.52,107.97,106.42,108.16,11735651
2010-02-17,107.97,106.26,104.52,108.41,12281612
2010-02-18,105.7,108.51,105.63,108.77,12734406
2010-02-19,108.12,109.77,107.9,110.79,11351413
2010-02-22,110.29,108.47,108.36,110.55,8283846
2010-02-23,108.42,105.54,104.72,109.13,12284617
2010-02-24,105.63,104.34,103.23,106.86,12168571
2010-02-25,101.14,106.03,100.74,106.28,14885477
2010-02-26,106.15,107.22,104.02,107.35,9934170
2010-03-01,108.99,107.98,106.44,109.16,10206282
2010-03-02,109.03,110.44,107.99,111.42,13649818
2010-03-03,111.49,111.2,110.62,112.8,12935719
2010-03-04,109.56,109.01,107.71,110.14,8926787
2010-03-05,110.81,111.99,110.05,112.39,10191234
2010-03-08,113.18,112.51,111.92,113.95,8150997
2010-03-09,110.43,110.47,109.76,111.84,8963559
2010-03-10,110.88,110.67,109.6,112.37,10909075
2010-03-11,109.84,111.3,108.75,111.37,7784867
2010-03-12,112.3,111.36,111.01,112.67,7830910
2010-03-15,110.49,111.91,109.61,112.15,8495455
2010-03-16,112.18,113.12,112.07,113.46,10182599
2010-03-17,112.96,111.2,110.88,113.62,8568974
2010-03-18,110.74,109.5,109.19,112.45,8249877
2010-03-19,111.67,108.36,107.81,111.74,11534854
2010-03-22,106.23,109.73,105.57,109.89,9903703
2010-03-23,110.35,112.4,109.81,112.47,9456547
2010-03-24,110.74,110.88,110.57,112.4,8188857
2010-03-25,112.23,108.36,108.13,112.55,9000811
2010-03-26,109.71,110.51,109.15,111.58,8554061
2010-03-29,113.58,116.31,112.97,116.47,12491470
2010-03-30,117.93,118.63,117.71,120.39,9609766
2010-03-31,118.09,118.26,117.68,119.28,5509823
2010-04-01,119.48,121.44,119.31,121.45,9258134
2010-04-05,123.45,124.14,122.15,124.91,7628464
2010-04-06,124.73,125.18,124.25,126.57,7517286
2010-04-07,126.04,123.71,122.24,126.26,9222945
2010-04-08,122.68,124.05,121.48,124.17,7708290
2010-04-09,124.21,122.78,121.1,124.6,7458738
2010-04-12,122.41,121.56,121.02,123.82,7072458
2010-04-13,119.81,120.59,118.67,120.9,6852765
2010-04-14,123.48,123.03,122.37,124.1,5786506
2010-04-15,122.5,121.36,121.1,122.99,4783082
2010-04-16,120.37,116.92,116.2,121.16,10763364
2010-04-19,114.83,115.53,112.52,116.2,10179445
2010-04-20,116.91,115.62,115.58,117.62,6506465
2010-04-21,115.79,112.1,109.43,115.88,18309301
2010-04-22,110.82,114.78,110.08,114.87,11381664
2010-04-23,114.61,112.83,111.92,114.76,8440557
2010-04-26,112.93,113.1,112.79,114.87,7068435
2010-04-27,111.69,107.39,106.75,111.69,13486808
2010-04-28,108.94,108.08,106.44,109.7,8969740
2010-04-29,108.71,109.72,108.37,110.36,9903264
2010-04-30,111.26,107.11,106.5,111.57,8542887
2010-05-03,107.36,104.72,102.28,108.31,12796002
2010-05-04,101.98,100.01,98.46,101.99,16362249
2010-05-05,96.7,100.2,96.6,103.03,17221081
2010-05-06,101.19,99.08,93.29,104.35,19103014
2010-05-07,100.0,96.66,93.29,100.28,23435857
2010-05-10,102.25,104.47,101.43,105.9,14250976
2010-05-11,103.18,101.88,101.83,105.1,12528490
2010-05-12,102.41,104.45,101.78,104.6,19144434
2010-05-13,104.14,102.09,101.62,104.87,10616099
2010-05-14,101.33,100.83,98.2,102.16,11560052
2010-05-17,99.98,98.01,95.26,100.64,14325059
2010-05-18,100.6,97.58,97.34,102.81,13310562
2010-05-19,95.79,98.0,94.44,98.86,15126994
2010-05-20,95.67,92.7,92.08,96.02,17297307
2010-05-21,91.13,97.29,91.02,98.51,19199840
2010-05-24,98.36,95.79,95.68,99.47,10007121
2010-05-25,92.61,98.74,91.66,98.95,14236641
2010-05-26,101.75,96.88,96.75,101.84,13097001
2010-05-27,100.36,102.8,99.11,102.85,10248912
2010-05-28,103.17,101.57,100.41,103.46,7523158
2010-06-01,99.91,96.1,96.04,100.43,8801403
2010-06-02,97.61,100.48,96.14,100.51,7604196
2010-06-03,101.07,95.95,94.26,101.09,10647088
2010-06-04,92.75,90.74,90.32,94.54,9780673
2010-06-07,91.15,85.14,84.53,91.42,16068244
2010-06-08,85.93,89.42,85.59,89.5,14177576
2010-06-09,90.2,87.12,86.4,91.62,11201486
2010-06-10,90.19,92.66,90.07,92.79,9796880
2010-06-11,93.23,94.45,92.66,95.33,7849982
2010-06-14,96.19,93.89,93.84,96.52,8275415
2010-06-15,95.79,97.28,94.13,97.43,5955167
2010-06-16,97.12,98.39,96.51,99.46,6730522
2010-06-17,98.95,97.55,95.79,99.24,7251571
2010-06-18,97.71,97.76,96.67,98.32,6398824
2010-06-21,103.53,101.83,101.35,104.69,12924208
2010-06-22,102.47,97.86,97.59,102.53,9106001
2010-06-23,97.81,98.01,94.76,98.7,9808149
2010-06-24,98.13,96.04,95.9,98.49,7533025
2010-06-25,95.79,100.0,94.91,100.4,10838345
2010-06-28,100.21,97.97,97.35,100.5,9923555
2010-06-29,96.32,93.7,92.81,97.3,9239957
2010-06-30,94.68,91.44,91.1,95.42,8180920
2010-07-01,91.11,89.55,87.29,92.74,11916465
2010-07-02,91.72,90.59,89.57,92.32,6266024
2010-07-06,92.6,90.45,89.21,94.27,9290530
2010-07-07,91.83,96.55,90.84,96.55,9310480
2010-07-08,97.7,96.8,95.26,98.65,9601356
2010-07-09,96.91,101.28,96.54,101.53,7833702
2010-07-12,100.36,97.22,96.21,100.64,12608223
2010-07-13,100.1,99.12,97.73,100.42,7975630
2010-07-14,98.61,98.5,97.48,100.14,6815452
2010-07-15,99.27,98.38,96.31,99.3,7071171
2010-07-16,97.58,93.6,93.34,98.07,8829053
2010-07-19,94.99,95.6,94.27,96.5,5815571
