date,open,close,low,high,volume
2010-01-04,142.37,142.56,140.65,144.25,123262
2010-01-05,141.29,149.5,141.29,150.15,182619
2010-01-06,147.39,148.2,147.18,151.0,187701
2010-01-07,148.6,147.42,147.02,153.2,195508
2010-01-08,146.72,143.93,142.72,149.28,147116
2010-01-11,145.37,143.3,141.41,145.87,149171
2010-01-12,142.55,146.64,142.17,147.01,118214
2010-01-13,147.32,151.42,145.79,152.47,85801
2010-01-14,150.61,150.64,149.88,152.14,67162
2010-01-15,148.15,145.45,143.81,148.36,157797
2010-01-19,145.87,149.83,145.08,149.95,106349
2010-01-20,147.28,148.27,144.58,149.07,124061
2010-01-21,148.59,148.71,147.16,151.6,170500
2010-01-22,148.74,144.02,143.54,150.11,100832
2010-01-25,145.58,146.58,145.18,147.75,80197
2010-01-26,145.86,142.57,142.45,146.99,103961
2010-01-27,141.45,146.01,139.77,146.69,138306
2010-01-28,142.06,130.2,130.15,143.82,430461
2010-01-29,131.43,125.62,125.22,132.25,192162
2010-02-01,126.73,129.14,126.2,129.3,107469
2010-02-02,130.35,135.03,130.11,135.03,173732
2010-02-03,134.24,134.64,132.33,135.86,181593
2010-02-04,129.46,128.9,127.45,131.2,346594
2010-02-05,128.01,129.06,126.46,129.78,190550
2010-02-08,128.14,129.42,127.37,131.48,147627
2010-02-09,129.76,131.61,129.25,132.91,134743
2010-02-10,131.15,125.66,124.98,131.43,167869
2010-02-11,125.43,127.51,124.64,128.77,229911
2010-02-12,127.31,129.57,124.33,129.84,135281
2010-02-16,131.31,134.62,130.6,135.58,122464
2010-02-17,134.07,134.07,132.5,135.04,110958
2010-02-18,134.98,139.89,134.61,140.01,141775
2010-02-19,140.29,144.12,139.65,145.55,233542
2010-02-22,144.97,141.0,140.75,147.54,141925
2010-02-23,140.62,138.48,137.71,142.41,106215
2010-02-24,138.08,138.25,137.26,139.63,80602
2010-02-25,135.5,137.65,135.34,138.12,104802
2010-02-26,138.01,139.13,136.82,139.59,124082
2010-03-01,140.3,148.07,140.27,149.38,275630
2010-03-02,149.6,144.84,144.65,150.67,173909
2010-03-03,145.93,146.6,144.09,147.72,79285
2010-03-04,146.33,145.0,142.93,147.37,89534
2010-03-05,146.68,148.99,145.4,149.09,167026
2010-03-08,148.81,145.19,144.63,151.11,126455
2010-03-09,145.48,152.98,145.48,153.01,295359
2010-03-10,152.62,161.4,152.62,162.53,343453
2010-03-11,161.11,163.05,160.51,163.41,214704
2010-03-12,160.87,162.1,159.02,162.42,172147
2010-03-15,161.45,163.52,161.39,165.01,167084
2010-03-16,162.53,160.73,160.01,163.07,147330
2010-03-17,161.23,163.55,159.42,164.38,152889
2010-03-18,164.12,161.2,161.2,165.16,83321
2010-03-19,159.95,158.81,155.18,160.24,194880
2010-03-22,158.54,164.41,157.29,164.97,120615
2010-03-23,165.15,166.64,162.9,167.1,101793
2010-03-24,165.32,163.54,162.3,167.15,104136
2010-03-25,165.32,164.55,164.47,169.64,132415
2010-03-26,165.51,165.38,164.55,170.44,95582
2010-03-29,165.8,164.91,164.43,168.04,60551
2010-03-30,164.3,163.98,162.51,165.92,67419
2010-03-31,162.93,164.32,162.73,167.4,129885
2010-04-01,165.94,163.15,162.43,167.09,112135
2010-04-05,163.87,164.35,161.58,164.43,81674
2010-04-06,163.85,164.77,163.85,167.02,80278
2010-04-07,165.18,161.39,160.75,165.18,121282
2010-04-08,161.41,168.59,161.41,172.46,228075
2010-04-09,169.64,169.85,165.87,170.01,68849
2010-04-12,170.82,174.93,170.58,176.11,142234
2010-04-13,174.2,175.54,172.57,177.02,178279
2010-04-14,177.05,178.39,176.27,179.23,129598
2010-04-15,179.51,182.5,178.86,184.04,143571
2010-04-16,183.61,175.43,172.45,184.34,196808
2010-04-19,168.54,169.27,167.44,174.33,123447
2010-04-20,171.22,170.81,166.78,172.6,97245
2010-04-21,171.26,167.63,163.6,173.6,186139
2010-04-22,166.15,171.07,164.48,173.36,179444
2010-04-23,174.46,178.74,173.68,180.58,181500
2010-04-26,180.45,183.22,178.77,183.71,145951
2010-04-27,180.11,170.59,169.68,185.29,182337
2010-04-28,172.55,171.74,168.43,173.72,195705
2010-04-29,173.31,170.79,169.82,174.53,117666
2010-04-30,170.35,167.16,167.13,172.52,149144
2010-05-03,173.61,181.23,172.65,184.72,365646
2010-05-04,178.89,169.18,166.68,178.89,209478
2010-05-05,167.94,169.82,164.37,172.99,204687
2010-05-06,169.11,159.16,148.72,171.11,263303
2010-05-07,159.63,164.57,157.34,169.26,326646
2010-05-10,173.6,175.46,170.56,175.84,142199
2010-05-11,173.41,179.79,171.9,180.68,122846
2010-05-12,180.51,187.3,180.51,187.51,128223
2010-05-13,186.94,185.83,184.61,191.04,96235
2010-05-14,184.72,182.71,180.43,185.62,81465
2010-05-17,182.89,184.89,178.58,187.51,112727
2010-05-18,187.48,184.79,184.06,189.19,195704
2010-05-19,182.87,184.0,180.84,186.59,229334
2010-05-20,176.93,171.69,171.58,181.31,224928
2010-05-21,166.76,179.64,166.55,181.5,228893
2010-05-24,180.0,180.08,178.78,182.65,150392
2010-05-25,174.43,186.23,173.78,187.28,216927
2010-05-26,187.89,189.59,185.05,195.08,281218
2010-05-27,192.66,197.53,191.17,198.94,198501
2010-05-28,196.7,188.55,188.34,196.7,212750
2010-06-01,189.64,186.92,186.27,190.56,159161
2010-06-02,189.96,202.05,189.96,202.05,241483
2010-06-03,199.66,203.91,199.66,205.58,147910
2010-06-04,197.56,195.83,195.24,201.46,141938
2010-06-07,197.43,190.86,190.58,197.65,88969
2010-06-08,192.89,192.95,187.78,195.16,86033
2010-06-09,196.09,194.63,193.36,199.98,113738
2010-06-10,195.36,198.64,193.58,199.3,132818
2010-06-11,196.16,205.74,193.41,205.74,247034
2010-06-14,209.36,207.55,206.61,212.92,172120
2010-06-15,208.42,210.13,208.42,212.03,152491
2010-06-16,209.63,214.92,205.39,216.5,224877
2010-06-17,217.39,217.39,215.57,219.52,158323
2010-06-18,216.36,213.65,212.51,219.9,134467
2010-06-21,217.28,209.74,208.19,217.76,95815
2010-06-22,209.58,200.54,200.33,210.48,124309
2010-06-23,200.88,201.9,196.91,205.09,152413
2010-06-24,199.62,196.04,195.73,201.91,111743
2010-06-25,195.18,190.87,188.99,196.74,204695
2010-06-28,191.91,194.82,191.8,199.1,103034
2010-06-29,190.32,181.88,181.04,190.32,138710
2010-06-30,183.55,181.5,181.32,189.46,148589
2010-07-01,183.85,179.12,175.04,188.35,153917
2010-07-02,180.03,174.31,169.31,180.37,110592
2010-07-06,175.06,179.62,175.06,188.44,190921
2010-07-07,180.39,188.95,177.39,189.19,138331
2010-07-08,190.07,190.68,186.28,192.45,93291
2010-07-09,190.29,191.61,189.23,192.63,55732
2010-07-12,191.08,189.25,184.89,192.16,80051
2010-07-13,191.79,192.68,190.42,193.56,132567
2010-07-14,193.37,198.02,193.37,200.21,122297
2010-07-15,197.68,197.08,194.4,199.6,113746
2010-07-16,197.7,195.38,195.18,198.59,107541
2010-07-19,196.13,194.54,186.79,196.13,116959
2010-07-20,193.22,198.95,191.4,199.11,132904
2010-07-21,199.57,194.98,194.05,201.51,118282
2010-07-22,198.64,200.51,195.71,200.72,142988
2010-07-23,200.56,203.58,199.75,204.07,272483
2010-07-26,205.48,211.6,204.89,211.96,157158
2010-07-27,212.82,206.81,202.92,214.72,196242
2010-07-28,206.22,209.15,206.22,212.04,119320
2010-07-29,211.17,210.03,205.44,212.46,92274
2010-07-30,207.58,210.15,206.44,211.85,91484
2010-08-02,216.02,216.64,213.07,216.84,96003
2010-08-03,213.11,208.56,207.18,214.24,69182
2010-08-04,211.02,209.23,206.57,211.35,94652
2010-08-05,207.68,213.55,206.82,214.52,141499
2010-08-06,211.81,215.66,209.11,216.28,102170
2010-08-09,216.58,221.6,215.98,223.92,230798
2010-08-10,220.72,217.04,214.99,220.72,92785
2010-08-11,210.21,203.07,202.75,213.24,120417
2010-08-12,197.43,203.27,195.28,206.24,91666
2010-08-13,203.02,208.24,200.98,209.44,93556
2010-08-16,207.09,212.44,205.21,213.65,84416
2010-08-17,213.87,215.99,213.67,218.7,121525
2010-08-18,215.9,220.01,214.63,220.74,216816
2010-08-19,219.21,209.83,209.5,221.04,130339
2010-08-20,209.19,204.85,199.78,209.19,175109
2010-08-23,205.55,197.44,197.32,209.18,118347
2010-08-24,193.07,192.09,188.26,195.48,118249
2010-08-25,189.61,185.49,183.24,189.61,234045
2010-08-26,185.7,180.62,180.25,186.6,156659
2010-08-27,183.7,183.25,180.31,184.51,214082
2010-08-30,182.35,180.79,180.75,184.5,166302
2010-08-31,181.83,181.32,179.94,183.17,223795
2010-09-01,183.94,185.11,179.9,186.42,216375
2010-09-02,185.38,191.0,183.44,192.65,133175
2010-09-03,194.28,194.08,192.64,197.69,128131
2010-09-07,192.17,188.03,187.54,192.17,124633
2010-09-08,187.8,184.95,183.72,188.7,92213
2010-09-09,188.85,189.78,185.68,191.14,141237
2010-09-10,191.15,189.73,189.6,192.56,85510
2010-09-13,193.39,194.33,192.65,196.63,96367
2010-09-14,193.58,195.36,192.31,200.34,109929
2010-09-15,194.9,199.23,194.7,201.7,120259
2010-09-16,198.89,197.53,195.3,198.89,78868
2010-09-17,198.46,193.31,192.19,199.4,111008
2010-09-20,194.8,195.58,193.76,196.6,88605
2010-09-21,196.26,203.53,196.1,205.18,126438
2010-09-22,202.61,199.91,199.58,204.41,70242
2010-09-23,198.58,194.61,193.7,200.94,85258
2010-09-24,196.99,197.16,195.38,199.09,71849
2010-09-27,198.13,204.8,197.18,209.03,145474
2010-09-28,204.72,203.05,200.63,205.84,80857
2010-09-29,201.49,207.27,200.43,208.77,119156
2010-09-30,208.85,208.08,207.57,211.42,159849
2010-10-01,208.74,200.91,199.62,209.24,101206
2010-10-04,199.44,194.83,192.51,202.0,92522
2010-10-05,197.19,196.47,192.13,197.59,150650
2010-10-06,196.01,195.5,193.89,198.82,64966
2010-10-07,196.05,185.64,179.09,197.13,453064
2010-10-08,184.45,190.66,184.4,192.63,201424
2010-10-11,190.65,186.22,186.14,191.79,77868
2010-10-12,185.56,187.81,184.71,188.65,78319
2010-10-13,189.16,188.73,187.38,189.57,102984
2010-10-14,188.33,188.14,186.66,188.98,97767
2010-10-15,190.92,187.37,185.81,191.0,106265
2010-10-18,188.8,190.58,188.34,190.77,66259
2010-10-19,187.38,185.59,184.15,189.9,99354
2010-10-20,187.3,197.74,187.3,198.91,125895
2010-10-21,200.33,196.86,192.34,201.48,159669
2010-10-22,197.77,201.37,197.21,201.82,107874
2010-10-25,202.76,203.88,201.52,206.09,84008
2010-10-26,204.92,206.81,202.13,209.23,75470
2010-10-27,205.05,209.72,202.76,210.2,88482
2010-10-28,209.84,211.08,206.56,211.91,98294
2010-10-29,209.06,209.89,206.99,210.68,54077
2010-11-01,209.49,208.11,206.52,209.77,89572
2010-11-02,209.22,210.74,207.92,211.24,72641
2010-11-03,209.55,212.46,207.95,213.37,67802
2010-11-04,214.81,216.74,213.07,217.4,125191
2010-11-05,216.48,219.14,216.48,221.5,115901
2010-11-08,215.68,214.0,212.45,216.33,79886
2010-11-09,215.56,209.46,208.75,216.58,73692
2010-11-10,209.69,211.81,207.73,212.17,77033
2010-11-11,211.48,210.3,208.55,215.4,81287
2010-11-12,208.14,210.48,208.11,214.0,90791
2010-11-15,211.16,209.94,207.89,211.62,51298
2010-11-16,207.77,209.86,206.41,210.51,125030
2010-11-17,208.73,203.31,202.39,210.12,85742
2010-11-18,203.04,207.04,203.04,208.45,93091
2010-11-19,208.12,211.9,207.11,213.35,84456
2010-11-22,212.48,214.58,211.16,215.15,71412
2010-11-23,213.06,211.82,210.3,213.63,64261
2010-11-24,211.77,216.6,210.18,216.6,91986
2010-11-26,215.19,216.19,214.18,216.5,44748
2010-11-29,215.39,215.31,212.05,217.87,60306
2010-11-30,212.64,213.15,211.4,214.47,62798
2010-12-01,214.7,213.39,211.7,215.47,84646
2010-12-02,212.55,212.52,210.13,213.48,55102
2010-12-03,215.38,214.96,213.33,215.38,67921
2010-12-06,214.52,215.25,213.3,216.44,64956
2010-12-07,220.39,218.6,216.61,221.4,63594
2010-12-08,219.31,218.34,215.3,219.31,51741
2010-12-09,220.4,220.19,218.37,221.22,80641
2010-12-10,220.13,221.7,217.53,221.89,94323
2010-12-13,221.74,219.34,218.32,222.98,62172
2010-12-14,219.84,219.25,218.5,222.52,72696
2010-12-15,220.4,220.92,218.6,222.63,109210
2010-12-16,219.51,219.23,216.7,220.32,94312
2010-12-17,219.16,223.04,217.41,223.7,200361
2010-12-20,224.12,224.82,222.23,225.68,95131
2010-12-21,224.27,228.77,223.3,229.2,73349
2010-12-22,230.41,226.53,225.75,231.55,58875
2010-12-23,225.0,221.48,221.09,226.11,36201
2010-12-27,219.61,217.18,214.03,220.11,60877
2010-12-28,217.3,218.6,215.97,219.22,54302
2010-12-29,218.42,219.14,217.0,222.73,75734
2010-12-30,220.25,220.63,220.16,222.05,38695
2010-12-31,219.19,216.17,216.17,220.8,49453
2011-01-03,218.71,220.16,218.1,221.6,55119
2011-01-04,223.79,220.32,216.96,224.01,66533
2011-01-05,219.43,226.9,219.27,229.76,128702
2011-01-06,228.26,229.84,226.22,230.07,111615
2011-01-07,229.72,240.14,228.88,241.62,185464
2011-01-10,240.89,241.91,238.33,244.52,135509
2011-01-11,242.04,238.63,235.83,242.22,74687
2011-01-12,242.07,243.85,241.58,244.82,75947
2011-01-13,243.34,245.5,242.31,246.7,50927
2011-01-14,244.5,247.44,243.0,248.36,54765
2011-01-18,248.43,244.61,241.8,248.62,91614
2011-01-19,245.99,242.89,242.27,248.93,83945
2011-01-20,241.75,236.75,233.99,243.19,133824
2011-01-21,239.01,233.05,232.48,240.02,133612
2011-01-24,234.42,237.87,232.93,239.43,139271
2011-01-25,241.18,239.77,231.49,244.46,190052
2011-01-26,240.42,239.64,233.7,240.97,179758
2011-01-27,238.14,246.94,238.14,248.15,109336
2011-01-28,246.43,234.72,233.73,246.67,117282
2011-01-31,234.23,231.99,231.88,237.75,89985
2011-02-01,234.19,243.55,234.19,244.68,140212
2011-02-02,241.07,235.04,234.61,241.65,130203
2011-02-03,235.68,233.05,230.94,236.9,150674
2011-02-04,233.3,240.18,233.3,242.34,149193
2011-02-07,238.96,237.61,237.18,242.96,64058
2011-02-08,236.05,239.21,236.05,241.79,69891
2011-02-09,235.76,240.49,235.45,240.65,73029
2011-02-10,238.63,240.61,237.99,242.45,89674
2011-02-11,236.45,243.67,235.2,245.42,93610
2011-02-14,243.51,246.46,241.49,247.56,103981
2011-02-15,246.84,248.54,246.69,248.54,77213
2011-02-16,249.58,248.26,246.41,250.81,63901
2011-02-17,247.69,249.74,247.69,250.65,40183
2011-02-18,251.81,248.41,248.01,252.09,77898
2011-02-22,245.19,234.44,232.49,245.19,202751
2011-02-23,236.03,225.45,223.48,236.08,226886
2011-02-24,225.16,227.83,220.46,229.58,181668
2011-02-25,230.59,233.75,228.96,233.87,83427
2011-02-28,237.06,235.13,231.49,237.98,119684
2011-03-01,236.58,226.17,223.56,236.82,130929
2011-03-02,226.88,225.05,223.52,229.94,119643
2011-03-03,228.45,234.22,227.9,235.82,128223
2011-03-04,235.85,233.85,230.74,235.85,61535
2011-03-07,233.08,231.59,227.7,236.56,91349
2011-03-08,232.26,243.65,231.53,245.42,137911
2011-03-09,245.28,242.73,240.65,245.28,92606
2011-03-10,241.28,244.0,236.88,246.42,120371
2011-03-11,236.83,245.18,236.83,248.57,103205
2011-03-14,243.35,242.54,239.21,245.51,68776
2011-03-15,233.42,239.67,232.89,241.94,85709
2011-03-16,237.36,235.57,234.28,242.62,129852
2011-03-17,240.1,232.76,232.5,241.02,80849
2011-03-18,236.61,244.01,236.45,247.5,143249
2011-03-21,246.42,249.77,244.59,251.35,77141
2011-03-22,250.31,245.06,244.29,252.12,72643
2011-03-23,245.17,248.57,242.15,250.21,55749
2011-03-24,250.59,250.21,247.86,251.66,48578
2011-03-25,252.39,254.12,250.54,258.29,59743
2011-03-28,254.45,253.38,252.72,255.4,66321
2011-03-29,252.42,256.76,251.85,257.25,69372
2011-03-30,257.32,260.47,257.16,261.83,38314
2011-03-31,260.36,258.89,257.58,261.26,58963
2011-04-01,261.93,256.74,255.88,262.39,76975
2011-04-04,256.37,255.66,253.46,257.51,66488
2011-04-05,256.58,256.62,255.03,259.26,46853
2011-04-06,258.66,258.95,253.55,260.06,52660
2011-04-07,260.13,257.82,255.17,260.77,45088
2011-04-08,259.43,247.06,246.53,259.63,107301
2011-04-11,248.53,247.73,245.72,250.31,94442
2011-04-12,245.53,256.49,245.53,259.75,175001
2011-04-13,258.02,250.17,248.15,258.02,91209
2011-04-14,245.54,246.79,244.86,248.54,88502
2011-04-15,247.25,248.55,245.3,249.96,54533
2011-04-18,250.28,250.17,244.56,251.77,82895
2011-04-19,252.57,250.57,248.77,253.62,63351
2011-04-20,254.46,253.87,252.12,256.71,50839
2011-04-21,258.8,253.69,248.92,258.8,45380
2011-04-25,251.9,253.98,249.18,256.02,65465
2011-04-26,254.48,260.02,252.84,261.07,127387
2011-04-27,261.79,270.05,260.86,270.45,103161
2011-04-28,270.98,271.5,267.03,272.46,74985
2011-04-29,273.94,278.99,270.16,279.92,94631
2011-05-02,280.18,275.45,273.9,280.98,51857
2011-05-03,274.09,277.82,270.91,278.52,96420
2011-05-04,279.86,278.9,275.58,284.54,77257
2011-05-05,276.57,285.37,276.15,289.09,93370
2011-05-06,288.59,287.13,284.48,290.46,102057
2011-05-09,285.45,285.28,281.94,288.21,63535
2011-05-10,287.8,288.36,286.51,291.57,100560
2011-05-11,285.8,287.8,282.89,289.55,67484
2011-05-12,285.71,288.22,282.7,289.46,79707
2011-05-13,287.03,284.92,283.02,288.71,56147
2011-05-16,283.98,281.68,281.14,286.58,85341
2011-05-17,278.66,281.21,278.25,283.31,58584
2011-05-18,281.7,282.19,277.17,283.39,41142
2011-05-19,284.72,287.58,282.0,288.57,42682
2011-05-20,285.58,285.95,282.62,287.63,56547
2011-05-23,284.66,281.65,280.96,286.61,80118
2011-05-24,282.74,281.0,278.13,283.45,86202
2011-05-25,280.54,279.14,276.36,283.8,63491
2011-05-26,275.55,275.93,273.37,277.22,47870
2011-05-27,278.08,277.06,274.96,279.53,38557
2011-05-31,279.94,277.35,275.89,280.71,83651
2011-06-01,278.1,270.5,269.27,280.41,80002
2011-06-02,268.8,268.44,266.56,270.45,47467
2011-06-03,264.54,261.89,261.02,268.85,89216
2011-06-06,259.74,257.33,255.57,260.56,84140
2011-06-07,258.31,259.25,255.05,262.7,95812
2011-06-08,256.5,252.53,251.51,259.39,76794
2011-06-09,251.32,248.66,248.07,251.84,44566
2011-06-10,247.32,247.03,246.08,250.05,72504
2011-06-13,249.65,252.27,248.72,256.3,60790
2011-06-14,254.5,261.03,254.28,265.63,141360
2011-06-15,257.69,257.85,253.7,260.22,82671
2011-06-16,258.09,259.42,256.32,263.1,53186
2011-06-17,263.32,264.63,260.94,269.15,93211
2011-06-20,265.05,271.54,264.8,275.08,68779
