date,open,close,low,high,volume
2010-01-04,82.43,79.88,79.75,82.64,1318606
2010-01-05,80.44,79.96,78.7,80.81,1332785
2010-01-06,79.61,79.5,79.21,80.65,1021059
2010-01-07,79.53,80.57,78.7,80.86,1431088
2010-01-08,80.17,80.92,80.06,81.05,1067897
2010-01-11,81.19,81.72,80.87,81.96,836667
2010-01-12,81.36,80.61,80.03,81.97,1023329
2010-01-13,80.66,81.12,80.12,81.41,1522821
2010-01-14,80.73,80.86,79.93,81.1,1010852
2010-01-15,80.86,80.94,80.4,81.26,1303158
2010-01-19,80.16,82.78,80.13,82.91,1417183
2010-01-20,81.74,80.72,79.95,81.74,1247457
2010-01-21,80.72,78.2,78.04,81.06,1788884
2010-01-22,78.09,77.01,76.73,79.22,1680931
2010-01-25,78.21,77.29,76.16,78.21,1086686
2010-01-26,76.96,75.25,75.06,77.02,1563595
2010-01-27,75.91,76.52,74.58,76.58,1814055
2010-01-28,77.24,76.07,75.27,77.24,1540991
2010-01-29,76.54,75.61,75.1,77.02,1918892
2010-02-01,76.08,77.23,76.03,77.71,999769
2010-02-02,77.52,79.2,76.74,79.44,1616013
2010-02-03,79.0,78.28,77.63,79.11,1108170
2010-02-04,77.91,74.5,74.45,77.93,2999922
2010-02-05,74.72,75.01,72.96,75.58,2616736
2010-02-08,74.97,72.79,72.52,75.19,1557386
2010-02-09,72.47,72.47,71.5,73.08,1543615
2010-02-10,72.14,73.69,71.68,74.41,1683296
2010-02-11,73.22,74.66,72.74,74.85,1213821
2010-02-12,72.74,72.8,71.92,73.35,1793766
2010-02-16,74.1,76.61,73.65,76.8,1653256
2010-02-17,77.48,78.01,77.4,78.51,1156209
2010-02-18,77.63,79.2,77.29,79.68,1226184
2010-02-19,78.8,79.6,78.24,80.08,1215719
2010-02-22,79.67,78.68,78.36,79.74,1322752
2010-02-23,78.69,77.28,77.2,79.28,1477056
2010-02-24,77.37,78.22,77.21,78.22,1275628
2010-02-25,77.58,77.42,76.7,77.71,1470187
2010-02-26,77.3,76.8,76.8,77.76,1902455
2010-03-01,77.5,77.74,77.05,78.09,1119517
2010-03-02,78.1,78.35,77.77,78.69,1959936
2010-03-03,78.58,78.5,77.86,78.88,894577
2010-03-04,78.46,79.4,78.38,79.59,975608
2010-03-05,79.61,81.21,78.88,81.32,1382158
2010-03-08,81.29,81.74,80.97,82.47,938164
2010-03-09,81.75,82.37,81.65,82.99,956929
2010-03-10,82.63,83.82,81.99,84.03,1130816
2010-03-11,83.56,85.53,83.18,85.64,1401259
2010-03-12,85.87,86.98,85.68,87.09,1171114
2010-03-15,85.02,87.19,84.18,87.52,1481495
2010-03-16,87.54,89.8,87.29,90.09,1460850
2010-03-17,90.15,91.75,89.69,91.99,1847586
2010-03-18,91.27,91.6,90.86,92.33,1202099
2010-03-19,91.94,90.7,90.59,92.49,2032323
2010-03-22,90.52,93.41,90.3,93.74,1426885
2010-03-23,92.46,93.09,91.88,93.83,1750284
2010-03-24,93.33,93.63,93.03,94.6,1914293
2010-03-25,93.95,92.41,92.41,94.61,1604705
2010-03-26,93.16,92.19,91.78,93.96,1345360
2010-03-29,92.74,91.63,91.14,93.07,1107008
2010-03-30,91.33,91.28,90.97,91.99,1357559
2010-03-31,90.91,90.91,90.53,91.77,1076591
2010-04-01,92.12,91.12,90.76,93.03,1124298
2010-04-05,90.88,91.52,90.64,91.64,1135300
2010-04-06,90.98,92.21,90.54,92.87,1189039
2010-04-07,91.78,89.07,88.74,91.78,1163580
2010-04-08,88.52,89.29,88.22,89.56,1404505
2010-04-09,89.77,90.78,89.52,90.78,1007102
2010-04-12,91.02,89.71,89.46,91.18,825926
2010-04-13,89.94,90.24,89.27,90.86,1286395
2010-04-14,90.7,89.16,88.97,90.97,1386674
2010-04-15,89.15,86.79,86.66,89.32,1351097
2010-04-16,86.37,85.22,85.22,87.57,2609054
2010-04-19,84.71,85.97,84.05,86.46,1585851
2010-04-20,86.29,86.84,84.79,86.86,1264246
2010-04-21,86.62,87.37,86.02,88.0,1453920
2010-04-22,86.71,89.02,86.19,89.42,1124357
2010-04-23,89.38,90.0,88.37,90.17,785873
2010-04-26,89.75,91.77,89.75,92.69,1470893
2010-04-27,89.68,87.83,87.5,91.48,1739455
2010-04-28,88.5,87.9,87.47,88.94,1127633
2010-04-29,87.2,89.45,86.92,89.7,1017893
2010-04-30,89.53,87.75,87.62,90.81,1391097
2010-05-03,88.55,90.79,88.19,91.28,1123530
2010-05-04,89.46,87.98,86.92,89.84,1518847
2010-05-05,86.54,86.51,85.42,88.11,1097579
2010-05-06,86.38,84.44,77.94,87.12,2861916
2010-05-07,84.01,84.8,81.9,86.36,2451710
2010-05-10,89.28,92.3,88.66,92.46,2224557
2010-05-11,91.08,92.42,90.72,93.65,1396366
2010-05-12,92.88,93.51,92.27,93.88,1229523
2010-05-13,93.14,92.2,92.12,93.82,1107647
2010-05-14,91.39,89.98,88.9,91.99,1437422
2010-05-17,90.69,90.25,87.67,91.88,1023301
2010-05-18,91.62,88.38,88.07,92.01,1812869
2010-05-19,88.01,87.9,85.95,89.71,1369982
2010-05-20,85.27,83.16,83.05,86.38,2206639
2010-05-21,80.7,86.28,80.7,86.51,2152041
2010-05-24,86.57,84.74,84.55,87.18,1226619
2010-05-25,82.71,85.6,81.74,85.88,1589205
2010-05-26,86.84,85.37,84.98,87.93,1389450
2010-05-27,87.2,90.34,86.5,90.48,1430169
2010-05-28,89.74,88.44,88.22,90.66,922961
2010-06-01,87.89,87.36,87.19,89.48,1140558
2010-06-02,88.03,89.92,86.39,89.95,1333609
2010-06-03,89.32,88.08,87.69,89.66,1087728
2010-06-04,85.37,83.43,83.1,87.0,1872972
2010-06-07,83.99,83.46,83.4,85.42,1099055
2010-06-08,83.77,86.07,82.3,86.21,1640824
2010-06-09,86.44,85.7,85.31,88.47,1125048
2010-06-10,87.3,90.36,87.3,90.5,1126072
2010-06-11,89.16,91.47,88.96,91.63,721223
2010-06-14,92.21,93.08,91.49,93.47,1256721
2010-06-15,93.31,95.34,92.81,95.45,1373083
2010-06-16,93.41,93.96,93.22,94.54,996400
2010-06-17,93.87,94.28,92.88,94.7,881811
2010-06-18,90.52,89.83,89.78,90.74,3676125
2010-06-21,91.83,89.47,89.08,91.83,1585657
2010-06-22,89.55,88.2,87.57,90.18,2231956
2010-06-23,87.63,88.67,86.48,89.16,1809918
2010-06-24,88.19,87.86,87.42,89.29,2058174
2010-06-25,88.61,89.84,87.87,90.56,2167551
2010-06-28,90.51,89.35,89.08,90.56,1246299
2010-06-29,88.59,89.11,87.82,90.69,3639297
2010-06-30,89.37,88.99,88.74,91.2,2458604
2010-07-01,88.72,88.78,86.62,89.61,1826782
2010-07-02,89.71,88.02,87.7,89.71,1617156
2010-07-06,89.39,86.8,85.86,90.25,1867943
2010-07-07,86.95,90.51,86.87,90.57,1804887
2010-07-08,91.62,90.71,89.38,92.15,1361165
2010-07-09,90.87,92.75,90.12,92.77,1020537
2010-07-12,92.54,92.87,91.68,93.51,883539
2010-07-13,94.12,95.23,93.79,95.59,1118527
2010-07-14,94.47,95.14,93.2,95.69,1014007
2010-07-15,95.28,94.94,93.17,95.28,1001460
2010-07-16,94.38,93.34,92.76,95.35,1447161
2010-07-19,93.83,95.26,92.41,95.86,1130024
2010-07-20,94.48,97.14,93.98,97.42,1112422
2010-07-21,96.57,93.82,93.48,97.01,1365259
2010-07-22,95.47,97.59,95.38,98.26,1370974
2010-07-23,96.57,97.63,95.4,97.85,1217562
2010-07-26,97.1,99.9,97.1,100.04,1109073
2010-07-27,100.67,99.19,98.44,101.23,1135669
2010-07-28,98.45,98.54,97.84,99.68,1457962
2010-07-29,99.36,98.8,97.43,99.75,1182960
2010-07-30,97.79,99.33,97.39,99.72,1108709
2010-08-02,101.37,103.17,100.95,103.36,1345744
2010-08-03,101.4,101.31,100.64,103.0,1078604
2010-08-04,101.39,102.23,101.11,102.86,1263125
2010-08-05,98.33,99.01,98.11,99.91,1566690
2010-08-06,98.3,99.63,97.68,99.8,1119495
2010-08-09,100.24,100.27,99.6,100.5,826159
2010-08-10,98.66,98.74,98.18,99.78,1098573
2010-08-11,97.21,97.41,96.26,98.25,2197012
2010-08-12,95.78,95.95,95.45,97.07,933460
2010-08-13,96.57,97.01,96.45,97.77,876618
2010-08-16,96.88,97.42,96.73,98.35,782980
2010-08-17,98.08,99.18,97.4,99.63,1113262
2010-08-18,99.85,98.3,98.01,99.9,1004220
2010-08-19,97.25,95.69,94.76,97.48,1211917
2010-08-20,94.89,95.59,94.44,95.74,711065
2010-08-23,96.32,95.71,95.54,96.83,555985
2010-08-24,94.68,95.01,93.75,95.74,1057582
2010-08-25,95.01,97.24,94.87,97.52,1042872
2010-08-26,97.97,97.32,97.12,99.11,990806
2010-08-27,97.51,98.97,95.39,99.11,1336725
2010-08-30,98.84,99.72,98.48,101.24,1235666
2010-08-31,99.88,99.6,98.92,100.65,1269317
2010-09-01,101.29,103.3,100.75,103.7,1776656
2010-09-02,103.26,103.85,102.92,104.22,1194054
2010-09-03,104.88,105.51,103.72,105.65,904104
2010-09-07,103.86,102.65,102.62,104.45,932680
2010-09-08,102.59,103.15,102.53,103.6,833155
2010-09-09,104.82,102.06,101.66,105.07,737105
2010-09-10,102.22,102.67,101.6,102.92,417666
2010-09-13,104.23,104.46,103.24,104.63,618268
2010-09-14,104.35,104.66,103.95,105.28,771226
2010-09-15,104.28,105.1,103.46,105.47,649250
2010-09-16,105.11,104.23,103.66,105.14,539712
2010-09-17,104.34,105.19,103.63,105.19,970956
2010-09-20,105.98,108.06,105.61,108.29,892365
2010-09-21,108.68,105.84,105.43,109.2,1181207
2010-09-22,105.83,104.88,104.19,106.35,939655
2010-09-23,103.72,101.86,101.74,104.58,967697
2010-09-24,103.07,104.93,102.65,105.36,960784
2010-09-27,104.86,103.32,103.12,105.06,713441
2010-09-28,103.74,104.02,102.1,104.19,724496
2010-09-29,104.06,103.66,102.97,104.24,649440
2010-09-30,104.08,103.53,102.73,105.08,834144
2010-10-01,104.71,103.38,101.88,104.79,984633
2010-10-04,102.74,102.8,102.14,103.18,1352482
2010-10-05,103.49,103.89,102.57,104.58,2135715
2010-10-06,104.19,104.8,103.59,104.88,969639
2010-10-07,105.64,104.89,104.66,105.93,524145
2010-10-08,105.19,104.9,104.47,105.39,882868
2010-10-11,104.64,104.18,103.97,105.27,775547
2010-10-12,104.14,105.15,103.79,105.38,865757
2010-10-13,106.03,106.49,105.56,107.59,633593
2010-10-14,105.74,104.81,104.44,105.91,997652
2010-10-15,105.9,105.15,104.54,105.99,852193
2010-10-18,105.07,106.67,104.7,106.67,858131
2010-10-19,105.02,106.07,104.76,106.96,973990
2010-10-20,105.9,107.25,105.69,108.37,998380
2010-10-21,108.14,107.36,106.69,108.51,1543172
2010-10-22,107.31,104.41,104.18,107.31,2034830
2010-10-25,104.97,106.05,104.45,106.25,1695321
2010-10-26,104.84,105.07,104.47,105.7,896908
2010-10-27,104.06,102.44,101.96,104.91,1267236
2010-10-28,102.56,101.83,100.92,103.38,842698
2010-10-29,101.21,101.74,101.16,102.22,518301
2010-11-01,102.45,102.65,101.77,103.38,681784
2010-11-02,103.15,103.37,101.68,103.43,669688
2010-11-03,100.88,100.85,98.75,101.21,4326672
2010-11-04,101.05,101.55,99.76,101.67,1405544
2010-11-05,101.5,101.72,100.8,102.59,981194
