date,open,close,low,high,volume
2010-01-04,111.43,111.14,110.43,112.2,498890
2010-01-05,110.86,110.68,110.02,111.82,552055
2010-01-06,110.06,109.84,109.37,110.74,801531
2010-01-07,109.4,111.28,109.4,111.74,472930
2010-01-08,111.52,115.11,110.81,115.13,533246
2010-01-11,116.54,118.01,115.46,118.44,813910
2010-01-12,117.85,118.85,117.71,119.16,809457
2010-01-13,119.59,119.92,117.53,120.62,658311
2010-01-14,118.82,120.38,117.86,120.68,460893
2010-01-15,120.15,119.95,118.68,121.16,822086
2010-01-19,126.7,126.04,124.32,128.98,1838926
2010-01-20,125.19,124.12,121.64,125.29,1142562
2010-01-21,123.68,121.88,120.32,125.79,999784
2010-01-22,121.69,117.96,117.9,121.69,720347
2010-01-25,120.03,117.67,115.62,121.09,976333
2010-01-26,116.54,115.93,114.84,117.36,1035442
2010-01-27,115.78,117.65,115.09,118.35,1682667
2010-01-28,118.36,115.51,114.2,118.55,725300
2010-01-29,117.27,115.37,114.88,119.39,987063
2010-02-01,115.82,117.76,115.53,118.29,849303
2010-02-02,118.62,119.84,117.9,119.98,888862
2010-02-03,118.5,117.48,117.13,120.18,845523
2010-02-04,115.62,112.36,112.36,116.07,946528
2010-02-05,112.45,112.47,109.46,113.19,864569
2010-02-08,113.15,112.3,111.09,113.6,877249
2010-02-09,114.11,114.98,113.19,116.32,792849
2010-02-10,114.9,114.59,113.17,115.48,498847
2010-02-11,114.57,116.98,113.66,117.04,626422
2010-02-12,115.02,115.37,113.58,118.6,1346489
2010-02-16,117.96,117.98,116.25,118.09,703934
2010-02-17,118.6,119.5,117.59,119.79,661671
2010-02-18,119.25,120.73,119.11,120.96,699575
2010-02-19,120.63,121.47,119.83,122.07,545617
2010-02-22,121.65,121.12,120.52,121.77,634032
2010-02-23,120.23,119.39,118.27,120.93,732839
2010-02-24,120.13,120.72,119.2,120.8,1007249
2010-02-25,117.57,120.33,117.39,120.65,789067
2010-02-26,121.47,123.52,121.18,123.81,1023581
2010-03-01,123.1,126.25,123.06,128.03,1714125
2010-03-02,127.21,127.31,126.9,128.01,959389
2010-03-03,129.35,127.73,127.51,130.29,1382351
2010-03-04,127.89,127.19,126.06,128.6,980616
2010-03-05,129.13,129.28,128.41,129.89,560015
2010-03-08,129.24,129.47,128.48,130.06,712722
2010-03-09,129.01,129.92,128.58,130.47,733712
2010-03-10,130.63,131.37,130.06,131.66,575154
2010-03-11,131.05,130.74,129.39,131.07,440423
2010-03-12,131.27,130.49,129.87,131.7,433635
2010-03-15,130.23,130.62,129.45,130.72,378338
2010-03-16,130.22,131.2,130.08,131.67,513840
2010-03-17,131.06,132.33,130.49,133.08,777252
2010-03-18,132.57,133.26,132.27,133.89,635282
2010-03-19,133.35,132.05,131.61,134.69,793540
2010-03-22,130.72,132.78,130.07,132.93,441915
2010-03-23,133.42,135.03,132.17,135.31,574526
2010-03-24,135.02,132.69,132.53,135.14,756332
2010-03-25,134.77,131.98,131.8,135.3,954060
2010-03-26,132.34,131.52,131.18,134.21,865628
2010-03-29,132.89,133.54,132.58,133.69,589191
2010-03-30,133.22,133.12,132.76,134.57,642528
2010-03-31,132.67,131.47,131.37,133.12,597574
2010-04-01,131.71,132.01,131.06,132.86,442447
2010-04-05,132.62,134.69,132.62,134.97,491860
2010-04-06,134.3,134.62,133.36,134.62,484309
2010-04-07,132.99,133.9,132.69,135.03,644423
2010-04-08,133.66,136.12,132.59,136.44,815835
2010-04-09,136.65,138.08,136.13,138.46,570933
2010-04-12,139.9,139.78,137.8,140.14,774758
2010-04-13,139.69,140.67,139.2,140.85,658190
2010-04-14,142.29,142.94,142.19,143.49,1285408
2010-04-15,142.37,142.19,141.78,143.22,734548
2010-04-16,140.58,139.14,138.74,141.06,1004431
2010-04-19,138.99,139.69,136.87,140.4,1101398
2010-04-20,145.41,137.41,136.03,146.93,2451337
2010-04-21,138.72,144.06,138.72,144.4,1809879
2010-04-22,143.09,142.93,141.43,143.66,1382967
2010-04-23,142.86,144.61,142.09,144.61,697898
2010-04-26,144.61,144.93,144.38,146.1,601084
2010-04-27,144.48,140.62,140.11,145.96,811969
2010-04-28,141.77,141.36,139.37,142.12,595581
2010-04-29,141.52,144.73,141.52,144.85,619092
2010-04-30,144.67,140.53,140.34,145.81,747827
2010-05-03,141.45,143.38,140.52,143.7,505992
2010-05-04,140.61,137.6,136.56,140.61,1005434
2010-05-05,137.01,137.5,136.27,138.29,1022235
2010-05-06,136.82,132.12,121.82,138.39,1678066
2010-05-07,132.32,127.92,127.22,133.22,1815257
2010-05-10,135.1,139.07,132.76,139.75,1617175
