date,open,close,low,high,volume
2010-01-04,149.38,149.74,148.61,150.43,2384968
2010-01-05,149.47,148.62,148.35,149.69,2814280
2010-01-06,148.23,146.44,145.51,148.73,4290780
2010-01-07,146.46,148.02,146.13,149.07,3016637
2010-01-08,148.82,147.79,147.22,149.16,2461438
2010-01-11,148.44,149.16,148.03,149.42,2628134
2010-01-12,148.2,149.71,148.13,149.71,3037005
2010-01-13,150.06,149.42,149.34,151.09,3694888
2010-01-14,149.27,149.48,148.13,149.67,2913738
2010-01-15,149.64,148.71,148.16,150.38,3804214
2010-01-19,149.98,151.36,149.67,152.17,3358814
2010-01-20,150.75,149.61,148.99,151.01,2989847
2010-01-21,148.97,149.51,148.57,150.46,5142691
2010-01-22,149.43,149.81,148.43,153.09,6432988
2010-01-25,149.61,149.02,148.62,150.22,2884410
2010-01-26,148.39,150.9,148.39,151.35,3819431
2010-01-27,150.45,150.59,149.57,151.23,3550680
2010-01-28,150.75,148.35,148.16,150.8,3498831
2010-01-29,147.99,147.07,146.98,148.93,3293135
2010-02-01,148.24,150.74,148.24,150.93,3296586
2010-02-02,150.14,150.51,148.91,150.56,3015589
2010-02-03,151.72,153.08,151.67,154.35,6069206
2010-02-04,153.19,150.53,150.44,153.38,4406494
2010-02-05,150.24,148.6,146.86,150.87,5768259
2010-02-08,149.39,148.07,148.07,150.14,2676808
2010-02-09,148.64,149.63,147.75,150.29,4712637
2010-02-10,149.97,149.3,148.64,150.67,2834320
2010-02-11,149.46,150.74,147.79,150.86,3098721
2010-02-12,149.16,150.05,149.11,150.76,2917169
2010-02-16,149.5,150.7,148.98,151.1,2896161
2010-02-17,151.22,151.34,150.18,151.55,2282883
2010-02-18,150.85,151.72,150.59,152.05,2237201
2010-02-19,151.69,152.35,151.32,152.71,2429167
2010-02-22,152.5,152.12,151.8,152.5,1793859
2010-02-23,151.98,152.19,151.79,152.61,3125967
2010-02-24,152.63,153.33,152.18,154.01,3097003
2010-02-25,151.16,151.37,149.91,151.98,3720540
2010-02-26,152.26,150.82,150.82,152.9,3556189
2010-03-01,150.73,150.73,150.0,151.11,2969780
2010-03-02,151.84,151.01,150.64,151.84,2812527
2010-03-03,151.67,150.2,149.78,151.88,2667940
2010-03-04,150.47,149.99,149.68,150.84,2503942
2010-03-05,151.03,150.91,149.91,151.12,3482436
2010-03-08,152.79,154.48,152.37,155.47,4857951
2010-03-09,153.98,154.24,153.62,155.18,2806227
2010-03-10,153.23,153.04,152.54,153.74,2953097
2010-03-11,153.11,154.08,152.8,154.08,1850714
2010-03-12,154.88,155.05,154.65,156.12,2812227
2010-03-15,154.95,155.49,154.93,156.1,2428887
2010-03-16,156.23,155.88,155.24,156.28,2250491
2010-03-17,156.06,156.42,155.22,156.56,1907592
2010-03-18,156.48,156.97,156.22,157.11,2698117
2010-03-19,157.42,156.57,155.33,157.47,4416237
2010-03-22,155.35,157.56,154.95,158.13,3021419
2010-03-23,157.76,158.26,157.04,158.26,3196853
2010-03-24,157.26,156.82,156.3,157.73,2858280
2010-03-25,157.46,156.92,156.78,158.19,2615992
2010-03-26,157.87,158.27,157.49,158.71,2658398
2010-03-29,158.4,157.48,156.36,158.45,2853639
2010-03-30,157.73,158.03,157.28,158.62,2281676
2010-03-31,157.64,156.63,156.42,158.2,2610209
2010-04-01,157.12,158.34,157.12,158.65,2234362
2010-04-05,158.8,159.43,158.8,159.83,2258072
2010-04-06,158.58,158.68,158.3,159.03,1382433
2010-04-07,158.8,158.57,157.54,159.57,3169332
2010-04-08,158.75,160.77,158.68,161.4,3072398
2010-04-09,160.65,160.7,159.43,160.91,2500192
2010-04-12,160.59,160.03,159.65,160.77,1843588
2010-04-13,160.47,161.03,159.6,161.33,2614351
2010-04-14,162.1,162.67,161.8,162.92,2624652
2010-04-15,162.48,162.13,161.68,162.9,2166849
2010-04-16,161.47,161.28,159.65,161.87,3390446
2010-04-19,160.98,163.13,160.96,163.24,3203010
2010-04-20,162.98,163.82,162.91,164.41,3101097
2010-04-21,164.38,163.77,163.05,165.7,4636470
2010-04-22,163.75,165.57,163.44,166.59,3025494
2010-04-23,166.16,165.99,165.06,166.46,2623597
2010-04-26,166.3,165.65,164.97,166.58,2867260
2010-04-27,164.74,164.32,164.02,166.18,3197840
2010-04-28,164.23,163.9,162.55,164.81,3264021
2010-04-29,164.84,167.03,164.84,167.45,2926577
2010-04-30,166.82,164.63,164.16,167.24,3232788
2010-05-03,164.94,166.19,164.4,167.17,2599265
2010-05-04,165.94,164.75,163.96,166.29,3226789
2010-05-05,164.27,164.87,163.64,165.81,4412713
2010-05-06,164.58,162.18,157.67,167.01,7392355
2010-05-07,161.68,159.32,157.94,162.39,6413048
2010-05-10,164.08,165.27,163.33,166.37,4479096
2010-05-11,164.51,165.23,164.41,166.69,3004298
2010-05-12,166.11,165.97,164.75,166.61,2576016
2010-05-13,166.42,165.93,165.81,167.81,2324655
2010-05-14,165.4,163.78,162.62,165.8,4254327
2010-05-17,164.52,165.27,163.41,165.53,3055357
2010-05-18,166.24,165.03,164.61,166.9,2977569
2010-05-19,163.84,163.23,162.05,164.52,3448200
2010-05-20,161.43,159.35,159.28,163.35,5916266
2010-05-21,157.36,159.21,153.79,159.63,5384904
2010-05-24,158.74,158.32,157.39,160.31,2885971
2010-05-25,156.43,159.37,155.52,159.37,4141003
2010-05-26,159.34,154.93,154.9,159.74,4741588
2010-05-27,156.01,157.87,155.1,157.87,4234717
2010-05-28,158.03,157.16,156.88,158.95,3222373
2010-06-01,155.82,156.13,155.38,158.37,2307222
2010-06-02,156.41,159.33,155.64,159.4,2321064
2010-06-03,159.55,159.67,158.71,160.61,1939162
2010-06-04,157.08,156.8,156.38,160.07,3067469
2010-06-07,156.58,156.84,155.66,159.35,4342735
2010-06-08,157.11,159.95,153.95,160.12,5505410
2010-06-09,160.9,159.91,159.4,161.41,3916904
2010-06-10,161.7,162.62,161.07,162.71,2776444
2010-06-11,161.98,163.58,161.72,163.6,2418033
2010-06-14,164.39,162.87,162.87,164.46,1870547
2010-06-15,165.47,166.56,165.26,166.78,2683887
2010-06-16,165.62,166.17,165.51,166.66,1711821
2010-06-17,166.68,165.5,163.92,166.75,2864469
2010-06-18,166.09,165.22,165.05,166.51,4014062
2010-06-21,166.69,165.86,165.5,167.23,2169883
2010-06-22,166.91,163.64,163.43,167.76,2205704
2010-06-23,164.29,163.84,163.46,165.44,2390530
2010-06-24,163.38,161.71,161.42,163.64,2589544
2010-06-25,161.52,160.83,160.71,162.9,3133033
2010-06-28,161.13,160.54,160.35,161.87,1724627
2010-06-29,159.13,158.78,157.89,159.56,3792373
2010-06-30,157.91,156.91,156.74,159.22,3006207
2010-07-01,159.03,159.01,155.67,159.46,4554600
2010-07-02,159.32,157.86,157.45,159.92,2046433
2010-07-06,159.17,158.19,157.04,160.56,2695368
2010-07-07,158.53,161.46,158.33,161.6,2794498
2010-07-08,162.72,165.65,162.12,165.96,3389857
2010-07-09,165.81,166.14,165.02,166.41,1763470
2010-07-12,165.21,167.56,165.21,167.7,2544255
2010-07-13,168.66,169.61,167.89,170.17,2438794
2010-07-14,169.24,170.2,168.42,170.39,1883396
2010-07-15,169.73,170.76,168.61,171.07,2209193
2010-07-16,170.35,167.43,167.24,170.64,2499786
2010-07-19,167.57,167.43,166.33,168.56,2050675
2010-07-20,166.76,170.12,166.69,170.34,2371239
2010-07-21,169.89,167.92,166.82,170.05,2355015
2010-07-22,169.11,171.25,169.11,171.58,2678708
2010-07-23,170.31,168.24,165.93,171.29,4876911
2010-07-26,167.76,169.75,167.42,169.75,2260575
2010-07-27,170.13,168.62,167.64,170.13,2596268
2010-07-28,167.82,166.76,165.81,168.22,2943568
2010-07-29,168.26,166.29,165.14,168.38,2061238
2010-07-30,165.09,167.03,164.3,167.62,2311835
2010-08-02,169.06,168.46,167.69,169.06,2291855
2010-08-03,168.49,169.07,168.13,170.0,1987895
2010-08-04,168.65,169.4,168.25,170.02,2108538
2010-08-05,168.51,168.39,166.93,168.51,2237812
2010-08-06,167.48,171.25,167.14,171.39,2717273
2010-08-09,173.02,174.24,172.87,175.23,3409437
2010-08-10,172.99,173.8,171.73,174.14,2273189
2010-08-11,172.08,171.03,170.86,172.82,2483115
2010-08-12,169.99,172.43,169.99,172.64,2468438
2010-08-13,171.82,172.3,171.82,173.69,2518218
2010-08-16,171.67,171.74,171.14,172.53,2131240
2010-08-17,171.88,174.6,171.07,175.61,3334982
2010-08-18,174.72,174.77,173.69,176.13,2664781
2010-08-19,174.21,173.78,172.54,174.81,3072172
2010-08-20,173.51,174.01,173.06,174.29,2372141
2010-08-23,174.54,174.09,174.06,175.51,2219357
2010-08-24,172.64,172.57,171.31,173.47,2424495
2010-08-25,171.56,173.67,171.56,174.29,3014371
2010-08-26,174.74,173.48,173.36,174.91,2043646
2010-08-27,173.94,175.17,172.49,175.36,2702506
2010-08-30,173.8,172.45,172.45,174.18,1831597
2010-08-31,172.55,173.73,172.52,174.35,2275232
