date,open,close,low,high,volume
2010-01-04,190.03,193.59,189.59,194.66,586147
2010-01-05,193.0,196.27,191.46,196.52,636505
2010-01-06,197.18,202.31,196.59,202.64,845124
2010-01-07,201.26,209.1,200.92,210.28,995866
2010-01-08,208.0,211.61,208.0,212.57,402948
2010-01-11,211.53,209.69,207.71,211.93,428795
2010-01-12,207.97,206.02,204.63,208.19,318103
2010-01-13,205.67,206.76,204.18,207.64,320588
2010-01-14,205.83,205.83,203.57,206.15,386615
2010-01-15,205.84,203.25,202.16,206.57,467045
2010-01-19,203.3,205.42,203.15,206.29,379578
2010-01-20,203.14,202.41,200.44,203.39,350104
2010-01-21,200.99,196.28,196.21,201.15,529320
2010-01-22,194.98,192.46,191.99,195.89,374220
2010-01-25,194.16,194.16,192.9,194.95,445293
2010-01-26,191.95,191.69,191.12,195.08,439940
2010-01-27,190.26,188.61,185.26,191.73,996856
2010-01-28,189.11,184.69,184.62,190.04,517958
2010-01-29,186.19,184.25,183.35,187.49,726688
2010-02-01,185.58,187.95,184.28,188.35,376093
2010-02-02,188.31,195.48,188.08,195.88,817921
2010-02-03,197.27,202.74,196.8,206.41,1499125
2010-02-04,201.71,197.48,197.3,202.39,635188
2010-02-05,197.73,197.23,191.18,198.31,660171
2010-02-08,197.92,194.4,194.22,197.92,504833
2010-02-09,197.82,197.56,194.83,198.91,443557
2010-02-10,198.6,196.66,195.23,198.96,277087
2010-02-11,196.39,197.96,194.85,198.88,389459
2010-02-12,196.76,198.36,194.64,198.47,610168
2010-02-16,200.47,200.8,198.1,200.88,418832
2010-02-17,201.4,204.18,200.27,204.73,380616
2010-02-18,205.04,206.8,203.72,207.68,779427
2010-02-19,206.15,205.24,204.61,207.0,304580
2010-02-22,206.49,207.38,204.98,207.53,419889
2010-02-23,206.49,203.54,202.1,207.34,294242
2010-02-24,203.18,206.41,202.0,206.78,399617
2010-02-25,202.8,205.92,201.43,206.25,333855
2010-02-26,207.32,211.16,206.69,212.08,747793
2010-03-01,209.62,216.74,208.67,216.89,678362
2010-03-02,217.1,215.52,214.86,219.62,438529
2010-03-03,216.73,215.67,214.6,217.83,192156
2010-03-04,217.26,215.97,214.78,217.89,653940
2010-03-05,217.07,217.81,215.41,219.36,514420
2010-03-08,217.08,216.39,214.81,217.08,225140
2010-03-09,217.2,218.67,216.28,219.85,263943
2010-03-10,217.55,218.29,215.53,218.73,260796
2010-03-11,216.66,215.49,214.13,216.88,453200
2010-03-12,216.93,211.69,209.24,216.93,1461521
2010-03-15,212.33,210.36,206.27,213.54,912806
2010-03-16,211.71,211.67,211.08,214.38,418985
2010-03-17,213.45,215.32,213.45,216.1,545927
2010-03-18,215.71,215.02,214.5,216.45,426139
2010-03-19,216.13,212.87,212.73,217.56,581280
2010-03-22,212.06,216.2,212.06,216.42,417521
2010-03-23,218.06,220.68,217.36,220.97,818800
2010-03-24,220.91,217.67,217.19,220.91,360308
2010-03-25,219.97,213.95,213.91,219.97,448816
2010-03-26,215.08,216.23,214.16,216.89,512572
2010-03-29,217.78,215.16,214.42,219.18,416513
2010-03-30,215.55,215.47,214.66,216.73,223765
2010-03-31,214.15,211.57,211.16,214.7,335463
2010-04-01,213.65,214.35,212.35,215.31,354395
2010-04-05,217.11,220.73,216.89,220.8,354478
2010-04-06,218.38,221.27,217.86,221.38,269537
2010-04-07,220.06,219.14,217.66,220.32,415650
2010-04-08,217.9,217.93,216.7,218.74,340798
2010-04-09,218.13,221.5,217.91,222.64,601771
2010-04-12,223.81,222.7,222.59,225.02,363930
2010-04-13,223.74,226.41,222.82,227.08,446647
2010-04-14,228.47,230.82,226.57,231.27,479779
2010-04-15,229.54,227.72,227.35,231.0,345534
2010-04-16,228.76,226.7,223.81,231.61,466120
2010-04-19,226.53,226.64,223.38,228.06,263040
2010-04-20,227.78,230.69,227.78,231.22,683468
2010-04-21,231.19,231.64,229.66,231.72,368747
2010-04-22,229.87,234.98,227.48,235.02,327207
2010-04-23,233.64,233.23,230.37,236.05,452875
2010-04-26,233.49,234.12,232.71,237.23,660319
2010-04-27,238.54,237.29,235.67,244.33,1340976
2010-04-28,235.79,236.59,232.56,238.39,1131009
2010-04-29,240.22,239.71,238.42,241.29,474700
2010-04-30,239.99,229.5,229.43,239.99,860916
2010-05-03,231.07,233.13,229.04,234.01,605221
2010-05-04,231.26,227.52,226.03,231.52,559230
2010-05-05,225.83,222.09,221.17,227.31,572102
2010-05-06,221.18,216.44,206.55,225.92,1008683
2010-05-07,214.8,207.48,206.85,218.68,1008810
2010-05-10,220.08,225.75,217.64,225.9,924167
2010-05-11,221.98,225.95,221.76,231.1,798990
2010-05-12,226.99,229.67,226.44,231.58,615907
2010-05-13,229.25,226.32,226.1,233.65,728374
2010-05-14,224.79,220.95,218.49,225.23,529663
2010-05-17,221.15,219.36,214.07,221.73,463357
2010-05-18,222.3,215.3,214.64,224.16,675219
2010-05-19,214.32,210.85,207.85,216.37,832580
2010-05-20,206.67,199.04,196.1,206.82,1132093
2010-05-21,194.86,203.38,194.2,204.15,1129482
2010-05-24,202.94,199.68,199.16,203.16,572955
2010-05-25,193.91,201.55,191.05,201.88,910520
2010-05-26,203.28,201.84,200.37,207.77,555247
2010-05-27,205.23,209.59,205.23,209.81,631554
2010-05-28,208.32,204.73,202.71,208.32,465634
2010-06-01,203.35,201.3,201.15,207.61,611833
2010-06-02,201.99,210.02,200.89,210.28,592646
2010-06-03,209.69,209.83,207.1,213.15,451860
2010-06-04,205.25,199.81,199.01,205.94,961043
2010-06-07,199.96,193.5,192.59,200.9,686522
2010-06-08,194.66,196.99,193.1,197.61,416550
2010-06-09,198.29,192.36,191.27,200.44,884278
2010-06-10,195.81,196.21,193.74,197.0,1086519
2010-06-11,194.89,200.21,194.38,201.26,413198
2010-06-14,202.9,201.81,201.08,206.33,400585
2010-06-15,202.53,209.29,202.42,209.73,539113
2010-06-16,206.99,207.53,205.27,208.74,319498
2010-06-17,208.52,203.36,201.82,208.88,537305
2010-06-18,204.62,205.1,202.94,206.16,521645
2010-06-21,210.09,203.32,202.18,210.09,482936
2010-06-22,202.01,192.76,192.61,204.63,939468
2010-06-23,191.98,192.31,187.0,193.88,1269710
2010-06-24,192.26,192.7,189.56,195.4,578006
2010-06-25,192.47,191.59,188.05,192.84,616966
2010-06-28,191.06,190.28,189.51,193.15,381938
2010-06-29,188.39,184.98,182.23,188.39,944479
2010-06-30,184.87,185.64,183.36,188.03,760751
2010-07-01,184.61,183.8,178.81,185.6,864581
2010-07-02,183.26,181.18,180.16,184.43,389201
2010-07-06,182.82,181.22,178.99,185.34,515205
2010-07-07,181.52,189.27,181.52,189.3,429697
2010-07-08,191.42,187.77,184.74,191.57,560679
2010-07-09,187.79,190.5,187.35,190.72,212332
2010-07-12,189.7,191.35,189.26,191.82,387397
2010-07-13,194.69,198.47,193.35,199.65,474205
2010-07-14,196.71,196.75,194.58,197.73,297122
2010-07-15,196.49,194.07,190.26,196.49,733510
2010-07-16,192.79,187.0,185.94,194.55,578991
2010-07-19,188.0,189.76,187.08,190.5,312732
2010-07-20,187.52,193.85,187.0,194.0,640813
2010-07-21,202.28,195.82,192.79,204.48,1326142
2010-07-22,198.45,205.5,197.53,205.61,947695
2010-07-23,205.54,210.04,203.3,212.16,826635
2010-07-26,210.42,213.49,209.32,214.15,472468
2010-07-27,213.51,207.59,206.93,214.16,361285
2010-07-28,207.85,206.23,204.43,209.31,366969
2010-07-29,207.37,209.61,206.9,210.89,669086
2010-07-30,200.6,212.77,200.6,213.84,625654
2010-08-02,216.45,216.45,214.14,217.11,572317
2010-08-03,213.72,213.47,212.52,215.29,351727
2010-08-04,212.87,212.51,212.04,215.78,524138
2010-08-05,210.48,209.72,208.96,211.17,321529
2010-08-06,207.19,209.61,206.46,211.1,350906
2010-08-09,210.34,209.6,208.66,211.4,362593
2010-08-10,207.01,208.41,205.2,210.0,353902
2010-08-11,204.65,199.31,198.16,204.87,776025
2010-08-12,196.59,198.43,196.01,199.05,366011
2010-08-13,197.79,198.91,196.7,201.01,318302
2010-08-16,196.66,199.04,195.43,199.69,315122
2010-08-17,197.39,205.82,197.39,206.32,485777
2010-08-18,206.47,206.4,203.94,207.01,293930
2010-08-19,204.74,198.8,198.01,204.85,330675
2010-08-20,196.33,197.8,195.82,198.41,317958
2010-08-23,198.92,195.59,195.12,199.75,185155
2010-08-24,192.89,191.88,188.5,194.07,415454
2010-08-25,190.99,193.77,188.93,194.49,342581
2010-08-26,194.31,191.96,191.86,197.17,416128
2010-08-27,193.79,197.22,191.04,197.37,242064
2010-08-30,196.57,193.21,193.14,198.09,179005
2010-08-31,192.46,193.83,190.61,195.31,416681
2010-09-01,196.57,205.25,195.88,205.25,677726
2010-09-02,205.6,206.53,205.15,207.79,439486
2010-09-03,210.27,211.25,210.27,214.15,391625
2010-09-07,209.12,208.17,207.63,210.24,222659
2010-09-08,208.66,212.58,208.66,212.91,344941
2010-09-09,215.84,214.03,212.76,216.5,431471
2010-09-10,215.01,215.34,214.25,217.21,464692
2010-09-13,216.48,220.25,216.01,220.75,512218
2010-09-14,218.9,220.56,218.24,221.07,516290
2010-09-15,220.14,219.05,217.64,220.28,429534
2010-09-16,216.27,214.39,212.95,219.35,596112
2010-09-17,215.12,215.66,213.47,216.06,593563
2010-09-20,215.9,219.52,214.96,220.13,352551
2010-09-21,218.19,217.79,216.92,219.81,438060
2010-09-22,218.89,216.91,215.64,219.51,295536
2010-09-23,215.9,212.13,211.55,216.85,381987
2010-09-24,215.16,219.32,214.61,220.41,394816
2010-09-27,218.77,217.97,216.88,219.39,411720
2010-09-28,217.56,222.09,216.25,222.67,355322
2010-09-29,220.75,220.6,219.58,222.16,236631
2010-09-30,222.52,222.62,219.94,224.37,462953
2010-10-01,226.03,226.29,223.55,227.45,424138
2010-10-04,225.87,226.89,224.18,229.53,335961
2010-10-05,226.78,228.31,226.75,230.46,486630
2010-10-06,229.06,227.3,225.69,230.04,371819
2010-10-07,227.62,225.76,222.91,228.05,296721
2010-10-08,225.86,228.0,224.75,228.73,365386
2010-10-11,228.85,228.74,227.86,229.51,192225
2010-10-12,228.12,229.28,225.53,230.05,206766
2010-10-13,228.93,230.62,227.98,232.22,439319
2010-10-14,229.2,226.51,225.39,229.24,423688
2010-10-15,227.6,223.54,220.19,229.08,610017
2010-10-18,224.43,228.75,224.43,230.04,502270
2010-10-19,224.93,224.1,223.49,228.81,508209
2010-10-20,226.17,220.63,218.58,227.43,1295365
2010-10-21,221.62,216.06,214.22,222.13,907020
2010-10-22,216.36,219.63,216.14,220.17,655539
2010-10-25,221.53,218.33,217.79,223.68,361624
2010-10-26,217.05,215.48,215.26,219.39,310126
2010-10-27,213.71,215.36,211.16,215.46,338512
2010-10-28,216.82,218.11,215.78,218.72,478645
2010-10-29,217.59,221.26,217.59,221.51,737787
2010-11-01,216.97,219.38,215.83,220.38,972274
2010-11-02,222.96,221.35,220.12,224.15,1367729
2010-11-03,221.37,222.12,218.42,222.27,645266
2010-11-04,223.5,224.54,222.61,226.58,582682
2010-11-05,226.43,226.79,225.02,227.07,463596
2010-11-08,224.79,226.48,224.42,227.02,344751
2010-11-09,227.23,222.48,221.26,227.23,413328
2010-11-10,223.14,223.29,222.6,224.58,567054
2010-11-11,220.73,222.13,219.73,223.28,426384
2010-11-12,219.42,217.95,216.8,221.78,262834
2010-11-15,218.83,216.9,216.36,220.15,428909
2010-11-16,215.26,212.19,210.38,216.94,557413
2010-11-17,212.69,213.05,212.01,215.37,357726
2010-11-18,214.87,214.02,213.45,215.77,393631
2010-11-19,214.15,212.62,211.3,214.22,382452
2010-11-22,211.63,212.63,210.36,213.59,351726
2010-11-23,209.7,209.59,208.27,210.74,520321
2010-11-24,211.58,217.29,211.16,217.29,502995
2010-11-26,216.16,216.41,214.44,217.23,98312
2010-11-29,213.97,215.76,210.33,216.41,277227
2010-11-30,212.37,212.12,210.98,213.58,630621
2010-12-01,214.67,215.64,213.67,218.63,723953
2010-12-02,217.05,223.53,217.01,224.82,1408135
2010-12-03,223.4,224.59,222.46,225.09,427167
2010-12-06,221.91,222.37,220.73,223.27,327690
2010-12-07,224.95,225.66,223.93,226.88,615733
2010-12-08,226.99,227.85,225.41,228.53,511201
2010-12-09,229.78,229.6,228.14,230.64,528927
2010-12-10,230.16,231.85,229.11,233.55,694930
2010-12-13,230.92,228.37,228.01,231.6,443977
2010-12-14,230.37,231.49,230.19,232.5,415038
2010-12-15,230.59,228.94,228.62,232.1,931488
2010-12-16,228.31,227.23,226.4,229.71,510660
2010-12-17,224.91,227.82,224.37,228.61,528030
2010-12-20,231.1,236.4,230.2,237.3,756136
2010-12-21,235.53,237.82,234.85,238.64,481380
2010-12-22,237.21,239.53,236.46,239.53,361456
2010-12-23,239.89,240.07,239.53,242.07,367027
2010-12-27,239.44,240.51,238.4,241.98,277644
2010-12-28,240.58,240.01,238.58,240.69,242967
2010-12-29,240.41,239.99,239.52,241.95,255451
2010-12-30,241.45,241.66,241.27,242.92,216814
2010-12-31,241.24,240.55,239.95,242.32,232792
2011-01-03,242.12,244.52,241.0,245.1,328880
2011-01-04,242.89,241.68,239.4,242.89,306801
2011-01-05,238.51,238.87,237.16,242.53,401466
2011-01-06,239.74,236.54,236.08,240.38,328584
2011-01-07,235.8,232.7,232.24,238.85,470320
2011-01-10,230.29,232.06,228.81,232.87,308805
2011-01-11,233.51,239.3,233.05,240.57,487690
2011-01-12,240.19,240.02,238.36,240.97,350035
2011-01-13,238.88,238.46,237.19,240.32,234254
2011-01-14,237.14,238.75,235.7,239.94,288556
2011-01-18,238.95,238.87,237.4,239.47,267067
