date,open,close,low,high,volume
2010-01-04,110.64,112.7,110.27,112.78,2718044
2010-01-05,112.07,112.82,111.87,112.91,2394465
2010-01-06,112.25,112.22,111.67,112.53,2194302
2010-01-07,112.23,114.37,111.23,114.79,3734084
2010-01-08,113.68,117.02,113.32,117.24,2584768
2010-01-11,117.5,118.45,117.47,119.78,1925529
2010-01-12,117.16,116.55,115.69,117.49,1657754
2010-01-13,116.59,117.03,115.7,117.53,1580064
2010-01-14,117.15,118.06,116.81,118.5,1124909
2010-01-15,117.82,118.07,116.9,118.57,2205365
2010-01-19,118.55,118.91,117.89,119.91,1910283
2010-01-20,118.5,117.91,116.63,118.77,1757921
2010-01-21,117.24,112.73,112.59,117.66,2554583
2010-01-22,112.39,110.48,110.4,113.81,2471327
2010-01-25,112.03,111.84,111.45,113.09,998697
2010-01-26,111.05,110.83,110.1,112.18,961359
2010-01-27,111.59,111.89,109.61,112.23,2136913
2010-01-28,112.38,110.41,108.85,112.54,2196015
2010-01-29,106.65,107.03,104.1,108.5,5481890
2010-02-01,107.48,108.72,107.31,108.86,1781962
2010-02-02,108.45,108.69,107.43,108.91,2334418
2010-02-03,107.85,107.44,106.67,108.35,1595009
2010-02-04,107.46,103.54,103.4,107.46,3542025
2010-02-05,103.64,102.93,100.76,104.14,3146308
2010-02-08,103.39,101.54,101.35,103.39,2259225
2010-02-09,103.13,104.37,102.8,105.53,2497938
2010-02-10,103.98,103.98,103.01,104.75,1402479
2010-02-11,104.15,105.86,103.26,106.2,1605971
2010-02-12,104.41,104.57,103.11,104.96,1997667
2010-02-16,105.6,106.93,105.46,107.93,2121137
2010-02-17,107.95,108.45,107.48,108.81,1721945
2010-02-18,108.13,110.29,107.88,110.56,1811705
2010-02-19,109.96,111.18,109.3,111.87,2169824
2010-02-22,111.63,110.89,110.47,111.85,1499087
2010-02-23,110.93,110.33,109.94,111.82,1882740
2010-02-24,110.75,112.05,110.58,112.79,1644241
2010-02-25,110.38,110.9,108.97,111.01,1967761
2010-02-26,111.06,111.01,110.32,111.75,1674614
2010-03-01,110.75,111.63,110.75,112.37,1722183
2010-03-02,112.12,112.04,111.63,112.89,1429338
2010-03-03,112.47,113.08,112.47,113.8,1886100
2010-03-04,112.5,113.22,112.04,113.33,1322125
2010-03-05,113.42,114.99,113.12,115.01,1979446
2010-03-08,114.59,113.47,113.36,114.84,1285659
2010-03-09,113.79,115.96,113.6,116.59,2161359
2010-03-10,115.53,115.99,115.34,116.43,1910901
2010-03-11,115.68,116.75,114.94,116.75,1270227
2010-03-12,116.97,117.33,116.04,117.87,2094086
2010-03-15,117.22,117.38,116.37,117.55,1764383
2010-03-16,117.48,117.18,116.15,117.59,2508949
2010-03-17,117.7,116.86,116.12,118.11,1842995
2010-03-18,116.86,118.25,116.51,118.52,1674033
2010-03-19,120.06,119.6,119.0,120.88,3275634
2010-03-22,118.43,118.48,118.08,119.65,1645969
2010-03-23,118.86,120.28,118.64,120.66,2060991
2010-03-24,120.45,121.13,119.96,122.68,2870245
2010-03-25,122.11,120.99,120.88,123.56,1987613
2010-03-26,121.06,121.52,120.84,122.58,1532734
2010-03-29,122.32,122.21,121.88,122.92,1729293
2010-03-30,122.86,122.69,121.6,123.6,1869459
2010-03-31,124.32,123.34,122.87,124.73,3238585
2010-04-01,123.78,122.47,121.63,124.7,2316887
2010-04-05,122.92,123.39,122.38,123.9,1424678
2010-04-06,123.73,123.75,123.45,124.54,1396922
2010-04-07,124.0,123.32,122.85,124.71,2033603
2010-04-08,123.3,124.06,122.75,124.39,1485899
2010-04-09,124.62,124.89,123.8,125.46,1438062
2010-04-12,124.85,125.2,124.66,125.69,1229722
2010-04-13,124.83,123.99,123.61,125.1,1476751
2010-04-14,124.46,125.9,124.38,126.01,1639833
2010-04-15,126.02,126.48,125.47,126.64,1241278
2010-04-16,126.22,124.53,123.17,126.41,2817446
2010-04-19,123.05,123.86,122.32,124.16,1914707
2010-04-20,125.0,125.86,124.07,126.0,1749920
2010-04-21,126.3,126.84,125.35,126.95,1640371
2010-04-22,125.64,128.68,124.42,128.73,2594737
2010-04-23,129.35,129.35,126.59,129.52,3018965
2010-04-26,129.38,130.59,129.27,131.03,2161979
2010-04-27,130.46,126.97,126.67,130.46,2839812
2010-04-28,127.85,127.29,125.82,128.18,1711771
2010-04-29,128.13,130.93,127.75,131.01,1998341
2010-04-30,131.27,128.54,128.54,131.68,1954807
2010-05-03,129.1,130.99,128.94,131.04,1558095
2010-05-04,129.6,126.89,125.86,129.87,2847148
2010-05-05,123.71,123.34,122.05,124.49,1962124
2010-05-06,122.77,119.53,107.87,124.71,3696254
2010-05-07,118.19,117.73,115.95,120.71,3133244
2010-05-10,123.9,124.93,122.98,125.85,2357487
2010-05-11,123.74,124.31,123.55,126.37,1726517
2010-05-12,125.51,127.41,125.21,127.76,1643736
2010-05-13,127.52,125.78,125.62,127.82,1089734
2010-05-14,125.5,124.65,122.6,125.81,2862222
2010-05-17,125.08,124.86,122.66,125.87,2592552
2010-05-18,124.91,122.77,122.25,126.56,2735982
2010-05-19,121.45,120.33,118.79,122.3,2653132
2010-05-20,116.4,114.51,113.72,117.53,3112218
2010-05-21,111.65,114.84,111.29,116.15,4328698
2010-05-24,115.31,114.46,114.19,116.73,2559359
2010-05-25,111.35,114.67,110.03,114.78,2838559
2010-05-26,116.03,115.92,115.46,118.35,3240197
2010-05-27,118.34,119.06,116.95,119.28,2062282
2010-05-28,119.0,117.38,116.4,119.47,1653167
2010-06-01,116.53,115.6,115.4,128.45,1884301
2010-06-02,116.23,118.21,115.52,118.3,1967158
2010-06-03,117.97,118.69,117.56,119.15,1365311
2010-06-04,115.02,112.34,111.82,115.98,2181532
2010-06-07,112.38,109.29,109.24,112.57,2049605
2010-06-08,109.5,110.76,107.69,110.95,3068806
2010-06-09,111.03,109.36,109.17,113.23,3853652
2010-06-10,112.1,113.39,111.66,113.97,2531128
2010-06-11,112.02,113.59,111.27,113.75,2409739
2010-06-14,112.98,113.47,112.98,115.28,2293011
2010-06-15,114.48,117.42,114.04,117.45,1997198
2010-06-16,116.23,116.69,116.04,117.38,1856934
2010-06-17,117.3,116.7,115.09,117.41,2424830
2010-06-18,117.16,117.57,116.42,117.68,3058142
2010-06-21,118.59,117.26,116.49,119.55,1844031
2010-06-22,117.88,115.39,115.18,118.35,1749565
2010-06-23,115.54,114.63,113.7,115.98,1747088
2010-06-24,114.01,112.34,112.08,114.48,1894549
2010-06-25,112.8,114.11,112.3,114.77,2326213
2010-06-28,114.6,112.9,112.65,114.74,1043117
2010-06-29,110.77,107.62,106.91,110.94,2905343
2010-06-30,105.82,107.03,105.69,109.44,2984755
2010-07-01,106.91,105.71,103.9,106.91,2671137
2010-07-02,105.67,105.5,104.53,106.87,1908010
2010-07-06,106.7,105.53,104.6,107.28,2149534
2010-07-07,105.49,109.43,105.4,109.43,2315314
2010-07-08,111.03,111.19,109.64,111.52,1530789
2010-07-09,110.86,112.03,110.21,112.24,1803205
2010-07-12,111.79,110.95,110.54,112.44,1140703
2010-07-13,112.28,113.44,111.98,114.12,1632343
2010-07-14,112.73,112.84,112.02,113.74,1306785
2010-07-15,112.93,113.04,110.14,113.77,1880351
2010-07-16,111.96,108.61,108.31,112.28,2098876
2010-07-19,108.96,108.75,107.89,109.29,1498929
2010-07-20,107.42,111.34,107.02,111.53,1690032
