date,open,close,low,high,volume
2010-01-04,137.93,142.92,137.67,142.99,6373402
2010-01-05,142.6,140.64,139.81,142.67,6378687
2010-01-06,140.24,139.78,139.11,141.36,5841841
2010-01-07,139.67,138.84,138.32,139.89,5161068
2010-01-08,139.26,139.71,138.51,139.93,4117259
2010-01-11,140.86,140.86,139.66,141.76,4501066
2010-01-12,141.1,140.88,139.9,142.53,5316371
2010-01-13,141.71,144.26,141.71,144.94,8318702
2010-01-14,144.3,145.65,143.78,146.56,6240876
2010-01-15,146.08,146.53,144.8,147.96,10653696
2010-01-19,146.89,150.43,146.67,150.95,10576704
2010-01-20,150.74,149.91,149.39,153.07,10220843
2010-01-21,150.6,144.59,144.06,151.43,10003980
2010-01-22,144.57,142.32,141.87,149.5,7353888
2010-01-25,144.46,141.53,141.46,144.54,6116730
2010-01-26,140.75,141.2,140.07,142.1,5575423
2010-01-27,140.63,142.27,139.73,142.95,7969149
2010-01-28,143.12,139.82,139.67,143.35,7083318
2010-01-29,140.64,140.34,139.29,142.67,7424791
2010-02-01,140.87,140.87,140.2,142.37,4790190
2010-02-02,141.42,142.85,140.67,144.87,8406496
2010-02-03,139.23,138.71,137.22,140.42,15709405
2010-02-04,136.87,134.48,134.33,137.54,12607478
2010-02-05,133.25,133.62,130.94,135.3,12715465
2010-02-08,133.15,132.63,131.74,133.82,6831638
2010-02-09,132.62,132.69,130.98,134.69,8873945
2010-02-10,133.2,131.86,131.06,133.64,8104139
2010-02-11,132.22,133.11,131.25,134.3,7716436
2010-02-12,133.11,132.73,131.39,133.4,6074789
2010-02-16,133.33,131.55,130.73,134.22,8184587
2010-02-17,132.51,131.17,130.13,132.58,7945311
2010-02-18,130.81,131.18,129.84,131.32,8192194
2010-02-19,131.82,133.08,131.15,133.89,6853257
2010-02-22,132.62,132.4,131.15,133.87,8487987
2010-02-23,131.98,130.72,130.28,132.72,6182205
2010-02-24,131.15,131.67,130.12,133.22,9105591
2010-02-25,130.27,131.16,129.23,131.45,7978030
2010-02-26,131.16,130.12,129.75,132.05,8626284
2010-03-01,130.29,131.32,130.06,132.14,6436074
2010-03-02,132.23,130.23,129.86,132.3,8478637
2010-03-03,129.57,128.61,127.79,130.65,12573627
2010-03-04,129.14,129.22,128.4,129.74,7229704
2010-03-05,129.05,129.79,127.94,129.94,8679114
2010-03-08,131.18,129.39,128.79,131.25,6778411
2010-03-09,128.75,128.45,127.86,129.13,7416695
2010-03-10,128.6,128.16,127.86,129.65,7568263
2010-03-11,127.92,129.19,127.77,129.42,6398973
2010-03-12,128.06,127.24,126.57,128.35,11511692
2010-03-15,127.1,128.82,126.81,128.97,5251827
2010-03-16,129.05,128.6,127.49,129.5,7602950
2010-03-17,128.65,128.28,127.9,129.02,7598379
2010-03-18,128.73,127.91,127.1,128.8,6975706
2010-03-19,128.92,126.01,125.19,128.92,15069459
2010-03-22,127.07,128.19,126.92,128.94,9029503
2010-03-23,129.37,131.32,128.77,131.62,8816494
2010-03-24,131.39,131.39,130.87,132.14,9568233
2010-03-25,132.65,130.03,129.73,132.95,6846641
2010-03-26,129.82,128.17,127.87,129.97,7567267
2010-03-29,129.05,129.65,128.6,130.1,6594785
