date,open,close,low,high,volume
2010-01-04,121.34,121.3,120.02,121.77,905504
2010-01-05,121.21,121.23,119.99,121.8,1256659
2010-01-06,121.22,119.67,119.58,121.22,1238793
2010-01-07,120.29,119.22,118.29,120.29,1757167
2010-01-08,118.34,118.04,116.31,118.51,1484293
2010-01-11,118.42,118.31,115.6,118.43,1560281
2010-01-12,117.87,118.79,117.63,119.53,1250424
2010-01-13,119.59,120.25,119.08,120.4,971704
2010-01-14,120.56,119.31,119.1,120.56,1016379
2010-01-15,119.32,118.14,117.97,119.54,1793232
2010-01-19,118.58,119.38,118.45,120.24,1710776
2010-01-20,119.11,118.13,116.47,119.11,1413466
2010-01-21,118.68,116.55,116.34,119.24,1765832
2010-01-22,114.26,114.89,113.65,117.28,2199268
2010-01-25,115.98,115.41,114.07,116.08,1469233
2010-01-26,116.37,115.14,114.51,116.37,2000472
2010-01-27,115.36,114.17,113.57,115.99,2033039
2010-01-28,115.41,114.04,113.96,115.91,2372621
2010-01-29,115.11,114.94,114.34,116.47,1898831
2010-02-01,115.72,114.91,113.94,115.72,1633390
2010-02-02,115.22,117.17,114.44,117.53,1676868
2010-02-03,117.11,116.72,115.52,117.11,1799632
2010-02-04,116.41,114.9,114.8,116.88,1408228
2010-02-05,114.79,114.29,112.91,115.39,1477248
2010-02-08,114.46,114.05,113.33,115.27,1322526
2010-02-09,114.74,115.05,113.97,115.67,1168825
2010-02-10,114.12,113.08,112.57,114.39,1278744
2010-02-11,113.24,113.41,112.51,113.81,1237942
2010-02-12,112.78,112.6,111.99,113.16,1385336
2010-02-16,112.63,113.13,112.06,113.13,1525650
2010-02-17,113.07,112.96,112.77,113.51,1483918
2010-02-18,112.93,115.03,112.84,115.29,1103052
2010-02-19,114.52,114.33,113.66,114.97,1087843
2010-02-22,114.58,113.67,113.48,115.05,1244388
2010-02-23,113.65,114.76,113.27,115.21,1716986
2010-02-24,115.6,115.06,114.68,115.69,1482161
2010-02-25,114.29,115.02,113.44,115.09,1409636
2010-02-26,115.55,115.75,114.96,116.34,1339615
2010-03-01,117.17,115.85,115.45,117.17,1618404
2010-03-02,114.49,115.26,113.04,115.75,3257783
2010-03-03,114.59,114.73,114.5,115.43,1331515
2010-03-04,114.7,114.74,113.91,115.52,1630455
2010-03-05,115.47,115.22,114.6,115.9,1477225
2010-03-08,115.39,115.21,114.41,115.48,1400768
2010-03-09,115.06,115.06,115.02,115.65,1105696
2010-03-10,115.27,114.08,113.64,115.27,1815945
2010-03-11,114.6,114.77,113.85,114.85,1441143
2010-03-12,114.78,115.3,114.34,115.57,1886946
2010-03-15,114.98,115.36,114.43,115.36,1361341
2010-03-16,114.31,115.74,114.25,115.76,2340259
2010-03-17,115.54,116.15,114.85,116.32,1484903
2010-03-18,116.0,116.51,115.62,116.6,1563489
2010-03-19,116.76,116.83,116.17,117.14,1874841
2010-03-22,117.08,120.01,117.08,120.13,2339638
2010-03-23,120.66,121.1,119.84,121.27,1575194
2010-03-24,120.54,119.4,119.04,120.54,996594
2010-03-25,119.44,119.3,118.43,119.89,1712240
2010-03-26,119.43,118.94,118.36,119.87,1382269
2010-03-29,119.13,119.77,118.81,120.15,1094941
2010-03-30,119.91,119.56,119.2,120.12,918060
2010-03-31,119.07,118.99,118.29,119.46,989068
2010-04-01,119.73,118.44,117.45,119.73,1600087
2010-04-05,118.89,117.77,117.44,118.95,1248864
2010-04-06,117.73,117.63,116.59,118.09,1268107
2010-04-07,116.66,116.08,115.79,116.91,1324251
2010-04-08,115.97,115.89,115.61,116.44,1263607
2010-04-09,115.43,116.1,115.01,116.1,1079787
2010-04-12,116.4,115.36,114.97,116.51,1431733
2010-04-13,114.97,114.39,114.09,115.06,1406569
2010-04-14,114.57,114.79,113.93,114.98,1302217
2010-04-15,114.84,115.76,114.6,116.34,1256295
2010-04-16,115.35,116.31,115.35,117.08,1271156
2010-04-19,115.66,116.54,115.66,116.61,1806469
2010-04-20,117.21,117.41,116.36,117.49,1708409
2010-04-21,117.95,118.44,117.6,118.61,1570717
2010-04-22,118.32,117.26,116.28,118.45,1961658
2010-04-23,117.91,115.36,114.56,117.91,2220533
2010-04-26,117.07,115.91,115.36,117.07,1925317
2010-04-27,115.76,115.47,115.41,116.9,2034619
2010-04-28,115.82,115.8,114.87,116.54,1514430
2010-04-29,116.1,116.04,115.21,116.68,1335665
2010-04-30,116.6,116.28,116.26,117.76,1624434
2010-05-03,116.29,115.93,115.53,116.55,1283298
2010-05-04,115.05,115.83,114.6,116.27,2034979
