date,open,close,low,high,volume
2010-01-04,144.85,142.01,140.94,144.85,188751
2010-01-05,141.85,144.28,141.18,145.87,317912
2010-01-06,142.92,140.87,139.71,144.55,176982
2010-01-07,141.62,140.14,139.45,142.87,271111
2010-01-08,147.01,149.15,146.08,150.52,741470
2010-01-11,151.46,156.16,149.27,158.15,874888
2010-01-12,155.98,154.2,153.23,156.24,366078
2010-01-13,153.23,153.83,151.59,154.34,223312
2010-01-14,155.96,159.47,155.36,159.94,541587
2010-01-15,159.3,156.9,154.93,159.33,374648
2010-01-19,156.2,158.59,155.47,159.34,262113
2010-01-20,158.57,157.34,156.59,160.48,285080
2010-01-21,157.53,160.92,157.53,165.49,532279
2010-01-22,160.15,156.54,156.34,161.38,190935
2010-01-25,156.96,153.15,152.41,157.33,213768
2010-01-26,151.72,154.85,151.72,156.8,237680
2010-01-27,154.88,156.16,152.5,157.02,220994
2010-01-28,157.01,156.75,153.59,158.38,321338
2010-01-29,158.78,154.69,154.65,159.8,164126
2010-02-01,155.54,161.15,155.49,161.19,278192
2010-02-02,162.05,162.81,160.34,163.69,315887
2010-02-03,163.28,162.84,162.24,164.06,137500
2010-02-04,162.63,160.21,159.22,162.63,330961
2010-02-05,159.74,155.0,152.74,160.67,527875
2010-02-08,155.74,162.86,155.12,164.39,576089
2010-02-09,164.35,164.53,162.11,164.9,330844
2010-02-10,163.28,161.29,161.19,165.02,236092
2010-02-11,161.35,163.98,159.55,164.56,598805
2010-02-12,160.01,170.14,158.99,170.56,1430079
2010-02-16,172.5,169.35,168.34,173.75,340392
2010-02-17,169.66,170.74,169.16,171.13,237276
2010-02-18,169.64,169.44,168.74,171.1,170579
2010-02-19,169.7,172.04,169.7,172.81,219756
2010-02-22,171.34,169.6,168.08,171.34,219212
2010-02-23,169.49,169.0,167.76,170.57,205984
2010-02-24,168.78,170.66,168.55,171.4,162653
2010-02-25,168.8,169.01,167.56,169.89,130777
2010-02-26,169.26,170.26,168.29,171.9,186512
2010-03-01,172.93,176.86,172.61,177.8,395166
2010-03-02,176.79,179.58,175.93,179.74,461621
2010-03-03,179.38,179.27,178.16,181.99,237274
2010-03-04,178.87,176.82,176.55,178.87,180250
2010-03-05,176.28,178.65,176.13,180.14,202315
2010-03-08,180.41,181.43,180.16,183.14,228462
2010-03-09,180.87,181.69,179.89,183.66,244066
2010-03-10,182.98,183.09,180.47,183.4,164766
2010-03-11,181.78,184.23,181.53,184.57,150855
2010-03-12,186.01,188.37,185.12,189.45,312958
2010-03-15,187.32,187.47,185.42,189.85,184775
2010-03-16,185.69,186.63,185.48,187.55,232259
2010-03-17,188.24,188.09,186.92,188.93,205065
2010-03-18,188.95,187.14,186.64,189.34,196910
2010-03-19,188.41,187.25,186.81,190.11,187951
2010-03-22,186.94,189.28,183.11,189.38,193478
2010-03-23,189.02,189.86,188.18,190.42,172682
2010-03-24,190.15,188.96,188.69,190.86,116401
2010-03-25,189.24,189.79,188.25,193.31,284591
2010-03-26,190.77,188.44,187.91,191.53,151868
2010-03-29,189.02,188.99,188.06,189.65,88030
2010-03-30,191.4,190.52,189.09,193.83,159611
2010-03-31,189.43,186.97,186.74,190.69,184173
2010-04-01,187.63,189.64,187.18,190.7,140102
2010-04-05,190.49,197.41,190.08,198.26,470800
2010-04-06,197.35,201.61,195.88,202.35,481128
2010-04-07,202.75,202.07,200.41,205.52,400600
2010-04-08,199.66,200.32,197.9,201.09,141358
2010-04-09,201.47,200.18,197.34,201.67,337287
2010-04-12,200.78,200.77,199.97,203.26,163098
2010-04-13,199.82,203.55,199.79,204.28,275081
2010-04-14,206.62,204.88,203.32,206.8,197304
2010-04-15,203.46,201.77,201.17,205.19,141631
