date,open,close,low,high,volume
2010-01-04,198.81,200.59,196.71,201.4,668320
2010-01-05,199.32,198.21,197.66,200.43,483279
2010-01-06,199.45,195.32,194.52,199.45,584905
2010-01-07,194.68,194.68,192.96,196.83,693266
2010-01-08,194.82,194.14,193.4,195.74,672666
2010-01-11,194.14,196.72,194.14,198.56,1206388
2010-01-12,196.51,195.11,194.12,196.51,640089
2010-01-13,196.55,196.92,196.31,197.72,843909
2010-01-14,196.95,200.08,195.6,200.39,874063
2010-01-15,200.05,198.33,197.53,200.05,443019
2010-01-19,199.21,203.08,199.15,203.57,406966
2010-01-20,202.84,201.73,199.89,204.56,549137
2010-01-21,202.17,197.79,195.19,202.54,772378
2010-01-22,195.53,197.07,195.53,199.17,1133341
2010-01-25,199.59,199.16,198.66,201.45,675062
2010-01-26,198.24,199.41,196.52,200.64,595451
2010-01-27,199.41,192.64,192.58,199.41,1229038
2010-01-28,203.72,203.17,200.64,206.94,1547953
2010-01-29,207.58,203.64,203.39,208.14,860616
2010-02-01,204.36,207.32,201.96,207.32,790712
2010-02-02,209.37,212.35,208.75,213.4,858565
2010-02-03,211.93,209.08,207.77,212.05,483878
2010-02-04,208.47,201.72,201.41,208.47,884642
2010-02-05,199.45,200.62,197.04,200.74,677066
2010-02-08,200.17,199.49,199.15,201.84,499745
2010-02-09,200.65,201.58,199.85,203.37,380229
2010-02-10,201.62,199.27,198.4,201.93,457518
2010-02-11,204.93,205.98,201.65,206.67,759775
2010-02-12,204.42,206.4,202.2,206.87,611919
2010-02-16,207.74,207.31,205.14,208.11,623930
2010-02-17,208.02,208.39,205.05,208.7,511231
2010-02-18,208.31,208.49,207.72,209.73,444434
2010-02-19,205.98,207.08,204.45,207.33,526232
2010-02-22,208.07,206.35,204.82,208.07,446653
2010-02-23,205.58,202.27,201.84,206.13,482836
2010-02-24,203.76,204.06,202.47,205.11,591582
2010-02-25,203.13,206.69,201.53,207.12,795753
2010-02-26,206.9,208.62,206.65,210.03,763174
2010-03-01,208.71,214.96,208.22,214.99,973247
2010-03-02,216.05,218.51,216.05,219.55,868488
2010-03-03,218.52,215.94,214.96,219.19,764521
2010-03-04,215.93,216.42,215.2,217.71,465989
2010-03-05,218.52,219.2,217.97,220.07,599214
2010-03-08,219.48,218.0,217.63,219.91,367314
2010-03-09,217.84,216.55,215.76,217.84,356220
2010-03-10,217.36,216.5,215.45,217.98,592560
2010-03-11,217.4,217.28,215.17,218.02,738239
2010-03-12,217.52,216.1,215.11,218.39,367018
2010-03-15,214.96,219.1,214.96,219.29,435065
2010-03-16,218.63,217.95,217.55,219.37,530737
2010-03-17,218.86,218.8,217.75,219.54,466959
2010-03-18,220.54,219.18,217.76,221.96,626929
2010-03-19,221.16,220.54,218.85,221.46,872895
2010-03-22,218.4,222.33,218.28,223.32,465111
2010-03-23,223.25,223.0,221.16,223.43,401325
2010-03-24,222.55,220.03,219.91,223.41,453145
2010-03-25,222.03,219.7,219.7,222.71,414395
2010-03-26,220.78,218.44,217.64,222.02,381442
2010-03-29,218.98,222.19,218.55,222.74,348239
2010-03-30,222.61,225.27,222.18,225.89,420069
2010-03-31,224.81,222.4,221.9,224.99,537193
2010-04-01,222.23,223.15,221.24,223.21,479387
2010-04-05,225.58,224.65,224.25,226.26,343944
2010-04-06,223.95,223.09,221.36,224.39,357961
2010-04-07,221.17,219.39,218.22,221.29,378769
2010-04-08,218.74,220.89,218.37,221.57,401066
2010-04-09,221.57,224.47,221.26,224.59,370492
2010-04-12,225.56,221.74,220.57,225.56,491803
2010-04-13,220.11,220.85,219.01,220.91,459747
2010-04-14,220.87,219.03,218.1,220.87,387467
2010-04-15,218.77,219.32,218.09,220.86,313309
2010-04-16,215.66,215.29,213.51,217.44,671795
2010-04-19,215.15,215.95,214.23,216.38,476615
2010-04-20,217.52,220.78,217.52,221.39,374399
2010-04-21,222.14,220.1,219.45,222.39,477978
2010-04-22,220.51,223.69,219.74,224.31,582673
2010-04-23,223.52,224.82,221.72,225.38,374688
2010-04-26,224.95,225.32,224.2,227.87,455251
2010-04-27,223.56,221.39,220.95,226.59,583602
2010-04-28,223.4,225.96,221.29,226.64,871699
2010-04-29,224.46,221.54,220.61,226.14,840172
2010-04-30,219.64,213.67,213.11,220.44,775310
2010-05-03,213.88,217.89,213.08,218.01,589511
2010-05-04,215.4,214.67,213.56,217.74,471469
2010-05-05,213.72,220.88,213.72,221.0,778122
2010-05-06,221.81,213.62,200.84,222.12,707364
