date,open,close,low,high,volume
2010-01-04,82.79,83.17,82.42,84.36,932119
2010-01-05,83.75,83.37,82.27,83.77,683885
2010-01-06,83.32,82.9,82.71,84.37,1014624
2010-01-07,82.83,83.06,82.13,83.88,710697
2010-01-08,82.77,84.91,82.3,85.4,934838
2010-01-11,86.38,87.48,85.95,87.75,1613732
2010-01-12,85.57,81.21,81.02,85.78,1595095
2010-01-13,81.67,81.38,78.91,82.0,1408909
2010-01-14,81.16,80.47,79.75,81.68,1085751
2010-01-15,80.66,77.2,76.8,80.7,1295407
2010-01-19,77.33,77.54,76.79,78.02,1068962
2010-01-20,76.41,77.25,75.03,77.52,1179135
2010-01-21,76.94,76.08,75.87,79.17,1047228
2010-01-22,74.84,71.28,71.26,76.06,1605108
2010-01-25,71.62,72.6,71.47,73.24,1051305
2010-01-26,71.94,72.29,71.25,73.61,1535188
2010-01-27,71.35,73.48,71.0,73.59,1292241
2010-01-28,73.86,69.18,68.83,74.44,3305119
2010-01-29,70.59,68.98,68.13,71.05,2141165
2010-02-01,69.19,70.17,68.94,70.48,1350704
2010-02-02,70.56,70.56,69.7,70.93,1736424
2010-02-03,69.65,68.74,68.3,70.37,2119554
2010-02-04,67.51,66.42,66.05,67.8,1701388
2010-02-05,66.35,68.24,65.92,68.32,1553199
2010-02-08,67.92,67.43,66.8,68.92,1014194
2010-02-09,67.99,68.83,67.46,69.48,1475550
2010-02-10,69.4,69.26,67.8,70.37,723371
2010-02-11,68.94,71.34,68.28,71.73,1409093
2010-02-12,69.98,71.84,69.3,72.7,1317444
2010-02-16,72.92,73.46,72.68,73.52,1120356
2010-02-17,74.05,72.58,71.97,74.05,1117974
2010-02-18,72.07,72.15,70.36,72.29,1437259
2010-02-19,71.76,73.28,71.35,73.34,1097167
2010-02-22,73.76,72.85,72.69,74.17,981214
2010-02-23,72.0,68.1,67.3,72.31,3462458
2010-02-24,68.19,68.87,68.03,70.05,2615102
2010-02-25,67.87,68.89,66.66,69.13,1415391
2010-02-26,68.97,69.38,67.48,69.52,873332
2010-03-01,69.85,72.0,69.85,72.18,1130717
2010-03-02,72.46,72.98,72.36,74.23,1513832
2010-03-03,73.44,72.41,71.94,73.79,840480
2010-03-04,72.87,71.24,70.7,73.26,1207126
2010-03-05,71.26,71.43,70.03,72.13,991526
2010-03-08,71.24,71.73,71.04,71.94,623594
2010-03-09,71.55,71.3,70.38,71.92,790193
2010-03-10,71.66,73.14,71.16,73.28,1163796
2010-03-11,72.64,71.49,71.04,73.57,1326692
2010-03-12,71.55,70.38,69.99,71.98,1472495
2010-03-15,67.49,66.65,66.4,68.0,3047462
2010-03-16,67.49,69.36,67.41,69.5,1534339
2010-03-17,70.15,69.76,69.06,70.38,1586573
2010-03-18,69.31,69.47,68.47,70.68,1423618
2010-03-19,70.16,69.68,68.8,70.26,1662628
2010-03-22,69.58,73.68,69.35,73.79,2998539
2010-03-23,73.75,76.36,73.57,76.66,2090895
2010-03-24,76.01,74.69,74.57,76.42,1341474
2010-03-25,75.98,75.85,75.34,77.38,1933709
2010-03-26,76.32,75.06,74.61,77.04,1041478
2010-03-29,75.9,76.7,75.79,76.93,1169220
2010-03-30,77.22,77.49,75.87,77.86,1348050
2010-03-31,76.17,76.97,75.92,77.69,1109535
2010-04-01,76.67,76.63,75.71,78.24,1083264
2010-04-05,76.91,78.15,76.85,78.54,840010
2010-04-06,77.47,78.02,77.37,78.64,833197
2010-04-07,77.93,78.92,76.75,79.32,1406900
2010-04-08,78.49,78.06,77.13,78.61,900516
2010-04-09,77.54,78.35,77.05,78.56,717569
2010-04-12,78.53,79.02,78.36,79.92,647275
2010-04-13,79.33,79.55,78.69,79.84,540099
