date,open,close,low,high,volume
2010-01-04,75.58,74.77,74.51,75.59,2714442
2010-01-05,74.08,74.61,73.58,74.82,1407786
2010-01-06,74.04,73.83,73.52,74.37,3027408
2010-01-07,73.88,74.71,73.8,74.88,1692981
2010-01-08,74.57,74.49,73.6,74.63,1657637
2010-01-11,75.05,73.9,73.61,75.07,2424485
2010-01-12,73.6,73.85,73.24,74.17,2477486
2010-01-13,74.11,74.44,73.74,74.75,1383165
2010-01-14,74.69,74.12,73.85,75.08,1440580
2010-01-15,74.14,73.7,73.2,74.41,2469950
2010-01-19,73.49,74.07,73.21,74.17,1609139
2010-01-20,73.88,73.85,73.15,74.11,1749879
2010-01-21,74.0,73.23,72.53,74.04,2947068
2010-01-22,73.37,72.76,72.72,74.21,2997265
2010-01-25,72.61,72.95,72.54,73.38,2373209
2010-01-26,72.57,73.05,72.25,73.47,1540334
2010-01-27,73.13,73.5,72.64,73.7,2703062
2010-01-28,73.78,72.94,72.76,74.64,1690060
2010-01-29,72.88,73.01,72.77,74.04,2319422
2010-02-01,73.51,73.66,72.98,74.07,1375549
2010-02-02,74.17,73.75,73.38,74.17,1996082
2010-02-03,73.7,74.06,73.27,74.18,1703187
2010-02-04,73.02,71.36,71.31,73.27,3969513
2010-02-05,71.69,71.32,70.38,71.93,3039276
2010-02-08,71.05,70.68,70.6,71.63,1746850
2010-02-09,71.35,72.19,71.22,72.87,2155595
2010-02-10,72.08,72.24,71.79,72.6,1640563
2010-02-11,71.8,72.4,71.45,72.66,1431836
2010-02-12,71.98,71.95,71.06,72.01,2265876
2010-02-16,72.11,73.06,71.54,73.06,2192748
2010-02-17,73.25,73.96,72.97,74.19,2320104
2010-02-18,73.99,73.93,73.32,74.1,1366380
2010-02-19,73.32,73.56,73.18,73.85,2326342
2010-02-22,74.02,73.73,73.41,74.25,1635065
2010-02-23,74.1,73.9,73.3,74.38,1736681
2010-02-24,73.46,74.53,73.46,74.63,2626687
2010-02-25,74.78,76.11,73.63,76.24,3585930
2010-02-26,76.28,77.85,76.28,78.14,4067402
2010-03-01,78.09,78.47,77.75,79.01,2373477
2010-03-02,78.3,78.27,77.86,78.61,2215315
2010-03-03,77.92,77.85,77.41,78.23,1851154
2010-03-04,78.3,77.85,77.63,78.35,1302427
2010-03-05,77.73,78.3,77.73,78.52,1673589
2010-03-08,78.35,79.34,78.35,79.5,1480345
2010-03-09,79.53,79.73,79.26,80.01,1347370
2010-03-10,79.59,79.83,79.01,79.98,1250355
2010-03-11,79.86,80.62,79.41,80.73,1383164
2010-03-12,80.01,80.57,80.0,80.67,1523655
2010-03-15,80.28,81.02,80.24,81.41,2086947
2010-03-16,80.83,80.89,80.57,81.66,2306305
2010-03-17,80.88,81.44,80.75,81.96,3168455
2010-03-18,84.38,85.89,84.32,86.68,9581014
2010-03-19,84.92,84.07,83.62,84.99,3890822
2010-03-22,82.87,84.0,82.79,84.31,2561056
2010-03-23,84.8,84.9,84.3,85.01,2056299
2010-03-24,84.91,83.81,83.39,84.96,2266017
2010-03-25,84.44,83.76,83.71,85.14,2489111
2010-03-26,84.45,84.55,83.96,85.54,1998916
2010-03-29,84.92,84.7,84.26,85.12,1316614
2010-03-30,85.04,84.81,84.5,85.48,1302977
2010-03-31,84.41,84.42,84.17,85.11,1798011
2010-04-01,84.74,84.8,84.5,85.23,1879573
2010-04-05,85.24,85.15,84.59,85.97,1461654
2010-04-06,84.35,84.77,84.3,85.05,1768134
2010-04-07,85.06,84.63,84.29,85.31,1963653
2010-04-08,84.52,85.13,84.06,85.46,2358235
2010-04-09,85.09,86.23,84.48,86.35,2610580
2010-04-12,86.02,86.29,85.91,86.77,1992258
2010-04-13,86.15,86.24,85.37,86.72,1480969
2010-04-14,86.29,86.51,85.6,86.58,1523466
2010-04-15,86.65,86.73,85.96,86.94,1568288
2010-04-16,86.68,86.2,85.98,87.15,2916700
2010-04-19,85.88,86.6,85.08,86.85,1928669
2010-04-20,87.06,87.45,86.92,87.7,2116160
2010-04-21,87.56,87.93,87.3,88.41,2473228
2010-04-22,87.36,89.58,87.27,89.92,3034535
2010-04-23,89.13,89.23,88.54,89.84,2325175
2010-04-26,89.3,89.43,89.16,89.94,1317436
2010-04-27,89.03,87.96,87.81,89.96,2340989
2010-04-28,88.55,87.98,87.63,89.81,2204411
2010-04-29,88.67,89.21,88.23,89.35,1914292
2010-04-30,88.97,87.19,87.18,89.46,2280833
2010-05-03,87.14,89.15,87.02,89.86,1740661
2010-05-04,89.42,88.65,88.37,90.03,3351923
2010-05-05,87.63,85.73,85.15,88.12,3816471
2010-05-06,84.57,82.02,76.0,86.21,5894883
2010-05-07,81.02,80.18,79.24,82.26,4656177
2010-05-10,83.74,86.87,83.57,87.0,6055641
2010-05-11,85.81,86.53,85.77,87.25,2784089
2010-05-12,86.74,88.02,85.95,88.17,1966800
2010-05-13,88.19,85.8,85.58,88.58,4736156
2010-05-14,84.46,83.46,82.82,84.88,3824647
2010-05-17,83.61,83.49,81.68,83.74,3680479
2010-05-18,84.01,82.62,82.35,84.97,4326319
2010-05-19,82.47,82.14,80.72,82.67,5124515
2010-05-20,80.41,80.16,79.31,81.61,5454202
2010-05-21,79.43,82.02,78.28,82.46,3864134
2010-05-24,81.38,81.57,80.85,82.22,4835846
2010-05-25,80.17,83.39,79.23,83.5,4757833
2010-05-26,84.14,82.99,82.31,84.25,3851150
2010-05-27,83.96,84.67,83.36,84.74,3301916
2010-05-28,84.45,83.03,82.55,84.73,3484594
2010-06-01,81.51,81.21,80.66,82.86,3146822
2010-06-02,81.57,83.5,81.57,83.57,2956997
2010-06-03,83.74,84.23,83.45,84.5,2500615
2010-06-04,82.99,81.16,80.47,83.11,3558423
2010-06-07,80.44,79.36,79.23,80.99,2401350
2010-06-08,79.74,80.5,78.66,80.7,2872845
2010-06-09,80.82,80.24,79.85,81.75,2722352
2010-06-10,81.78,82.43,81.73,83.34,2593461
2010-06-11,81.91,83.1,81.61,83.46,2080890
2010-06-14,83.45,83.14,82.78,83.98,2019894
2010-06-15,83.05,84.99,83.05,84.99,1887284
2010-06-16,84.42,84.95,84.09,85.72,2825400
2010-06-17,85.31,85.48,84.4,85.63,2829055
2010-06-18,85.83,85.99,85.45,86.32,2344735
2010-06-21,86.81,85.5,84.89,87.31,2432626
2010-06-22,85.96,83.68,83.34,86.61,2148878
2010-06-23,83.79,83.63,82.45,84.38,2723956
2010-06-24,81.34,80.89,80.4,82.11,7584615
2010-06-25,80.82,81.12,79.71,81.52,4195275
2010-06-28,81.19,81.19,80.18,81.62,2729716
2010-06-29,79.97,78.3,77.46,80.02,4652877
2010-06-30,77.72,77.27,76.99,79.1,3948979
2010-07-01,77.44,77.64,76.16,78.14,4149677
2010-07-02,77.95,77.58,77.09,78.81,2249039
2010-07-06,77.96,76.82,75.83,79.07,3778698
2010-07-07,77.07,78.32,76.55,78.35,3754826
2010-07-08,78.83,80.02,78.59,80.25,3726126
2010-07-09,80.0,80.0,79.27,80.06,2233515
2010-07-12,79.95,79.77,79.16,80.52,2071245
2010-07-13,80.27,80.35,79.84,80.86,2897500
2010-07-14,79.9,80.33,79.11,80.4,2690389
2010-07-15,79.82,80.17,78.69,80.34,3197541
2010-07-16,79.7,78.13,77.82,80.05,2936051
2010-07-19,78.28,77.68,77.2,78.65,2055137
2010-07-20,76.8,78.99,76.48,79.17,3299203
2010-07-21,79.26,78.72,78.34,80.32,3222302
2010-07-22,79.56,80.88,79.52,81.51,2944481
2010-07-23,80.5,81.89,80.12,82.37,2768046
2010-07-26,82.23,82.8,81.97,83.63,2289567
2010-07-27,83.09,83.07,82.12,83.26,2132797
2010-07-28,83.24,82.63,82.37,83.67,1789636
2010-07-29,83.57,83.44,82.47,84.09,2175552
2010-07-30,82.94,83.65,82.51,84.0,2027184
2010-08-02,84.84,84.76,84.32,85.5,2387256
2010-08-03,84.94,83.68,83.4,84.94,2678400
2010-08-04,83.46,84.4,83.4,84.82,2755895
2010-08-05,83.82,84.51,83.64,84.85,1769326
2010-08-06,83.73,84.34,83.0,84.49,1625781
2010-08-09,84.72,84.7,84.43,85.71,1599944
2010-08-10,84.06,84.62,83.35,85.18,2055992
2010-08-11,83.38,82.59,81.9,83.39,2544855
2010-08-12,81.39,82.0,81.06,82.31,2163743
2010-08-13,82.5,81.55,81.43,82.59,1852979
2010-08-16,80.91,82.0,80.51,82.48,2146329
2010-08-17,82.47,82.42,82.14,83.57,2405260
2010-08-18,81.99,82.62,81.14,83.16,1849541
2010-08-19,81.91,81.37,80.48,82.14,2313453
2010-08-20,80.41,81.01,80.13,81.18,1530538
2010-08-23,81.11,80.35,80.35,81.98,1805420
2010-08-24,79.09,79.1,78.38,79.88,2395484
2010-08-25,78.12,78.88,76.85,79.15,2832816
2010-08-26,79.51,79.22,79.16,80.71,3038201
2010-08-27,79.67,79.9,78.5,80.15,2457015
2010-08-30,79.66,79.25,78.8,80.42,2109920
2010-08-31,78.48,78.47,78.0,79.32,2682058
2010-09-01,79.6,80.72,79.25,80.82,3104506
2010-09-02,80.73,81.71,80.38,81.83,2161186
2010-09-03,82.58,83.15,82.03,83.36,2747962
2010-09-07,82.27,82.54,82.24,83.04,1854123
2010-09-08,83.34,83.22,82.95,83.86,2170419
2010-09-09,83.95,82.94,82.58,84.17,1394545
2010-09-10,83.5,83.05,82.96,84.28,1803362
2010-09-13,84.01,84.32,83.98,85.0,2085487
2010-09-14,84.07,84.97,83.96,85.66,2232375
2010-09-15,84.82,86.41,84.58,86.58,3346948
2010-09-16,86.22,86.6,85.79,86.86,2023139
2010-09-17,86.32,86.69,85.81,87.0,2936028
2010-09-20,86.41,87.61,86.4,88.35,3284567
2010-09-21,87.0,86.73,86.21,87.15,3173782
2010-09-22,86.59,86.41,85.73,87.17,2200286
2010-09-23,85.98,86.84,85.64,87.35,4009354
2010-09-24,90.56,88.58,88.48,90.95,7096378
2010-09-27,88.29,87.94,86.88,88.38,4081867
2010-09-28,87.92,89.67,87.37,89.87,4470635
2010-09-29,89.7,89.33,88.55,89.86,3370848
2010-09-30,89.53,89.67,88.97,90.41,3083204
2010-10-01,90.96,90.16,89.68,90.96,3350319
2010-10-04,89.84,89.8,88.85,90.22,2250427
2010-10-05,90.55,91.34,90.18,91.52,2922769
2010-10-06,90.91,91.22,90.67,91.22,2113181
2010-10-07,91.28,90.97,90.21,91.34,2624649
2010-10-08,90.81,92.04,90.76,92.67,4094749
2010-10-11,91.46,91.86,91.33,92.22,2257080
2010-10-12,93.17,91.92,91.82,93.61,5175425
2010-10-13,91.99,91.59,91.01,92.4,2690624
2010-10-14,91.26,91.31,90.83,91.87,2083825
2010-10-15,92.12,91.82,91.4,92.34,1609642
2010-10-18,91.98,91.6,91.42,92.11,1508292
2010-10-19,90.39,90.69,89.96,91.61,2410239
2010-10-20,90.86,91.09,90.65,91.57,1536515
2010-10-21,91.44,91.99,91.3,92.81,2496397
2010-10-22,92.09,91.88,91.64,92.57,956037
2010-10-25,92.73,92.15,92.11,93.25,2157011
2010-10-26,92.04,92.24,91.61,92.7,2219840
2010-10-27,91.97,91.73,90.87,92.09,2227272
2010-10-28,91.57,91.34,90.73,92.01,1478095
2010-10-29,90.91,91.47,90.59,91.53,1939288
2010-11-01,91.59,90.72,90.15,91.72,1683839
2010-11-02,91.21,91.16,90.89,91.7,1566781
2010-11-03,90.84,90.95,89.98,91.33,1571630
2010-11-04,92.3,93.07,91.94,93.16,2243114
2010-11-05,92.33,93.29,92.33,93.29,2083281
2010-11-08,92.99,92.93,92.21,93.19,1724657
2010-11-09,93.0,92.5,92.14,93.04,1985473
2010-11-10,92.5,93.32,92.14,93.44,2048718
2010-11-11,92.62,92.98,92.22,93.12,1771387
2010-11-12,92.15,91.52,90.89,92.67,1714320
2010-11-15,91.88,90.66,90.54,91.92,1876771
2010-11-16,90.37,89.18,88.91,91.1,2804193
2010-11-17,89.36,90.04,89.12,90.63,2563125
2010-11-18,91.19,91.52,91.19,92.04,1879085
2010-11-19,92.13,95.4,92.13,95.96,4428310
2010-11-22,94.71,95.65,94.71,95.74,1556971
2010-11-23,94.82,95.05,94.63,95.74,1550003
2010-11-24,94.77,95.98,94.77,96.46,2079224
2010-11-26,95.93,95.54,95.48,96.25,839701
2010-11-29,94.55,94.28,92.91,94.55,2273063
2010-11-30,93.18,94.98,93.04,95.5,3077339
2010-12-01,96.36,96.54,96.28,97.25,1838227
2010-12-02,96.39,96.37,95.42,96.56,1414844
2010-12-03,95.92,95.94,95.16,96.43,1964918
2010-12-06,95.76,96.0,95.25,96.25,1173183
2010-12-07,96.76,95.44,95.37,96.83,1724488
2010-12-08,95.7,95.55,94.55,95.92,1253543
2010-12-09,96.27,95.54,95.29,96.67,1518899
2010-12-10,95.36,95.4,95.08,96.05,1172914
2010-12-13,97.19,96.75,96.51,98.15,2663279
2010-12-14,96.48,96.8,95.97,97.3,1803576
2010-12-15,97.0,96.25,96.09,97.36,1727609
2010-12-16,96.72,97.48,95.88,97.5,1559148
2010-12-17,97.36,98.11,97.27,98.43,2670070
2010-12-20,98.57,98.28,97.58,98.94,1910790
2010-12-21,98.94,100.35,98.37,100.56,5511255
2010-12-22,94.74,94.68,94.3,96.1,7849189
2010-12-23,94.56,93.6,92.93,94.64,3208469
2010-12-27,94.02,93.86,93.5,94.13,1508901
2010-12-28,94.41,94.51,94.27,95.01,2066462
2010-12-29,94.52,93.13,93.11,94.52,1583213
2010-12-30,93.23,93.73,93.03,94.12,1533567
2010-12-31,93.09,93.11,92.78,93.57,1424290
2011-01-03,93.45,93.74,92.83,94.27,2091839
2011-01-04,92.63,90.86,90.63,92.79,3360703
2011-01-05,90.64,91.58,90.49,91.92,2403756
2011-01-06,91.7,90.95,90.73,91.75,1924472
2011-01-07,90.92,90.73,90.45,91.19,2051378
2011-01-10,90.6,91.6,90.39,91.94,2151101
2011-01-11,91.71,91.52,91.08,92.37,1307658
2011-01-12,92.29,91.56,91.5,92.39,2283922
2011-01-13,91.64,90.26,90.14,91.64,2237704
2011-01-14,90.69,92.28,90.41,92.53,1804488
2011-01-18,92.91,92.51,92.3,93.52,1904917
2011-01-19,93.17,92.7,91.77,93.26,2545283
2011-01-20,92.28,92.13,91.5,92.78,2152687
2011-01-21,92.36,91.02,90.89,92.41,1571861
2011-01-24,90.92,91.65,90.36,91.91,1815927
2011-01-25,91.44,91.78,90.72,91.86,1795966
2011-01-26,92.36,93.31,91.97,93.51,2222066
2011-01-27,93.15,91.71,91.62,93.45,2359609
2011-01-28,92.02,90.41,90.23,92.1,1933248
2011-01-31,90.92,91.99,90.35,92.08,1809238
2011-02-01,92.7,93.59,92.55,93.76,2016128
2011-02-02,93.73,94.27,93.38,94.3,1868547
