date,open,close,low,high,volume
2010-01-04,59.83,59.29,59.21,59.95,1173611
2010-01-05,59.06,59.15,58.39,59.33,1576640
2010-01-06,59.01,58.47,58.36,59.38,1390635
2010-01-07,58.52,58.5,58.2,59.12,1593609
2010-01-08,58.48,59.93,58.08,60.0,2384958
2010-01-11,59.78,60.34,59.78,60.71,1826349
2010-01-12,59.68,60.12,59.47,60.49,1495099
2010-01-13,60.32,60.76,60.03,60.97,1349659
2010-01-14,60.91,61.08,60.39,61.27,1352714
2010-01-15,60.64,60.15,59.44,61.12,1845648
2010-01-19,60.22,60.9,60.07,61.26,1125903
2010-01-20,60.67,60.07,59.17,60.86,1512457
2010-01-21,59.81,59.1,58.76,60.2,1616265
2010-01-22,59.42,58.07,57.99,59.77,1403572
2010-01-25,58.14,58.45,57.87,58.81,1583823
2010-01-26,57.99,57.51,57.41,58.39,1919170
2010-01-27,57.28,57.51,56.76,57.64,1986117
2010-01-28,57.15,56.86,56.37,57.65,1989529
2010-01-29,57.17,56.63,56.48,57.38,1888013
2010-02-01,56.56,57.32,56.56,57.69,1381344
2010-02-02,57.3,57.45,56.84,57.59,1814678
2010-02-03,56.78,57.18,56.67,57.49,1109026
2010-02-04,57.04,55.81,55.81,57.13,1739701
2010-02-05,56.26,56.38,55.59,56.87,2055160
2010-02-08,56.51,56.43,55.95,56.79,1144538
2010-02-09,56.64,56.2,55.63,56.97,2260127
2010-02-10,56.03,56.39,55.78,56.51,1150484
2010-02-11,56.16,56.73,55.58,56.89,1279095
2010-02-12,55.54,56.17,55.5,56.28,1536567
2010-02-16,56.29,56.9,55.89,56.92,1043057
2010-02-17,57.02,57.15,56.5,57.31,1459560
2010-02-18,57.36,58.05,57.21,58.11,1403460
2010-02-19,61.8,62.7,61.71,63.53,5359237
2010-02-22,62.3,61.84,61.52,62.74,2568285
2010-02-23,61.37,60.67,60.11,61.83,3055014
2010-02-24,60.94,61.57,60.9,61.8,2354591
2010-02-25,60.94,62.2,60.77,62.51,2661830
2010-02-26,62.02,61.77,61.39,62.02,1505742
2010-03-01,61.77,62.86,61.69,62.95,1364858
2010-03-02,62.52,63.21,62.49,63.52,2310948
2010-03-03,63.67,63.93,63.59,64.42,1800824
2010-03-04,63.76,64.05,63.15,64.16,1669239
2010-03-05,63.76,64.81,63.76,64.85,1901159
2010-03-08,64.5,64.86,64.41,64.9,1411234
2010-03-09,64.69,65.07,64.69,65.19,1513987
2010-03-10,65.12,66.12,64.95,66.27,2352928
2010-03-11,65.87,66.43,65.87,66.45,1349301
2010-03-12,66.14,66.58,66.02,66.7,1385832
2010-03-15,66.42,66.81,66.42,66.87,1027227
2010-03-16,66.73,66.71,66.4,66.92,1381103
2010-03-17,66.48,66.52,66.04,67.12,1821625
2010-03-18,66.17,66.65,66.17,66.96,1487924
2010-03-19,67.03,66.76,66.26,67.46,2088853
2010-03-22,66.38,67.46,66.38,67.52,1308467
2010-03-23,67.35,67.02,66.67,67.48,1233922
2010-03-24,67.2,67.55,67.2,67.79,1729959
2010-03-25,67.69,66.89,66.89,67.84,1584633
2010-03-26,66.93,66.6,66.25,67.36,1450902
2010-03-29,66.56,66.74,66.33,67.07,1434955
