date,open,close,low,high,volume
2010-01-04,89.94,91.02,89.94,91.2,469781
2010-01-05,92.4,93.3,91.39,93.39,1143365
2010-01-06,93.48,93.24,92.6,93.57,849942
2010-01-07,94.61,95.32,93.57,95.89,1122470
2010-01-08,92.82,93.09,91.76,94.37,1498139
2010-01-11,93.85,95.3,93.55,95.97,1038559
2010-01-12,94.76,93.17,92.56,95.3,1058801
2010-01-13,92.99,93.43,92.2,93.79,517005
2010-01-14,93.33,93.82,92.95,94.03,501438
2010-01-15,93.44,92.34,91.89,93.74,919517
2010-01-19,92.41,95.05,92.35,95.1,1054457
2010-01-20,94.98,93.23,92.5,96.57,1074188
2010-01-21,93.0,91.24,91.01,93.7,687285
2010-01-22,92.66,90.41,90.36,94.02,1002224
2010-01-25,91.59,91.02,90.55,92.98,1207507
2010-01-26,90.4,90.37,90.01,91.12,908203
2010-01-27,89.84,88.96,87.49,89.84,1118169
2010-01-28,86.36,84.29,83.81,87.89,2266995
2010-01-29,84.61,83.68,82.24,84.65,2433651
2010-02-01,83.96,84.81,82.64,84.9,1456068
2010-02-02,84.65,86.41,84.41,86.74,1536372
2010-02-03,85.97,84.44,84.33,85.97,861152
2010-02-04,83.54,82.11,82.03,83.97,1097197
2010-02-05,82.16,82.06,81.01,82.3,1176670
2010-02-08,81.88,82.19,81.88,83.51,946053
2010-02-09,82.33,82.61,81.85,83.27,1012180
2010-02-10,82.52,83.51,82.36,84.3,1597591
2010-02-11,82.62,84.35,82.62,84.85,1579949
2010-02-12,83.35,83.62,82.63,83.9,724382
2010-02-16,83.82,85.11,83.63,85.11,646804
2010-02-17,85.54,85.42,84.96,85.72,686136
2010-02-18,85.54,85.95,85.35,86.08,501399
2010-02-19,86.24,85.96,85.29,86.73,722235
2010-02-22,85.86,85.92,85.31,86.17,472235
2010-02-23,85.57,84.75,84.22,85.69,580445
2010-02-24,84.86,84.82,84.48,85.51,760574
2010-02-25,84.28,84.53,83.4,84.64,738391
2010-02-26,84.36,84.52,84.04,85.16,629643
2010-03-01,84.68,85.86,84.46,86.36,812965
2010-03-02,86.5,87.42,86.19,87.81,627855
2010-03-03,87.7,87.76,87.28,88.05,600093
2010-03-04,88.1,87.54,87.13,88.1,714169
2010-03-05,87.65,89.48,87.53,89.77,1116870
2010-03-08,89.66,88.8,88.74,90.25,676723
2010-03-09,87.69,87.58,87.48,88.13,784571
2010-03-10,87.24,87.13,86.59,87.44,889919
2010-03-11,86.23,83.85,82.48,86.39,6157957
2010-03-12,84.31,86.95,84.31,87.04,3309548
2010-03-15,86.69,85.6,85.26,87.23,1707055
2010-03-16,85.92,84.98,84.36,86.21,1294220
2010-03-17,85.37,85.08,84.74,85.61,1373064
2010-03-18,84.78,84.5,84.33,85.01,1190596
2010-03-19,83.69,83.69,82.61,84.59,1681651
