date,open,close,low,high,volume
2010-01-04,56.8,56.99,56.73,57.23,1651771
2010-01-05,57.15,57.28,56.95,57.33,1466060
2010-01-06,57.42,57.16,57.16,57.42,2032524
2010-01-07,57.0,57.22,56.95,57.27,1795975
2010-01-08,57.18,57.15,57.03,57.18,1899598
2010-01-11,57.2,57.08,56.79,57.39,2972006
2010-01-12,56.78,56.59,56.59,57.05,2112595
2010-01-13,56.87,56.69,56.68,57.08,1785919
2010-01-14,56.89,56.69,56.59,56.89,1576953
2010-01-15,57.05,55.88,55.69,57.05,2700133
2010-01-19,56.43,57.4,56.2,57.5,6478538
2010-01-20,58.43,60.16,57.8,60.62,15274004
2010-01-21,61.6,62.98,61.07,63.59,320901
2010-01-22,62.95,60.53,59.89,63.27,11161315
2010-01-25,61.57,59.29,58.76,61.81,7695078
2010-01-26,59.59,58.45,58.34,59.89,5614162
2010-01-27,62.99,61.34,60.09,62.99,23861562
2010-01-28,61.82,63.37,61.69,63.58,15746553
2010-01-29,63.79,65.4,63.68,66.57,21702487
2010-02-01,66.65,64.61,63.93,66.83,31555855
2010-02-02,64.94,64.78,64.26,65.34,19497367
2010-02-03,64.73,63.81,63.63,64.8,16266659
2010-02-04,63.55,62.53,62.05,63.55,24445760
2010-02-05,61.98,63.12,61.43,63.22,25628542
2010-02-08,63.5,63.71,62.59,63.94,27214683
2010-02-09,64.15,63.99,63.45,64.15,30168667
2010-02-10,64.03,63.92,63.78,64.07,30851454
2010-02-11,64.16,66.04,63.85,66.14,60106817
2010-02-12,66.51,66.29,64.28,67.12,6300864
2010-02-16,65.75,65.9,65.55,65.99,31888949
2010-02-17,66.12,66.04,65.34,66.18,12955714
2010-02-18,66.07,66.46,65.79,66.52,10463867
2010-02-19,66.72,68.56,66.61,69.09,27090684
2010-02-22,68.95,69.19,68.11,69.65,20056183
2010-02-23,69.05,68.92,68.77,69.71,16630257
2010-02-24,69.09,69.21,68.45,69.49,13802214
2010-02-25,68.87,69.21,68.53,69.21,11836951
2010-02-26,69.61,70.01,69.11,70.05,12143089
2010-03-01,70.06,71.74,69.31,71.77,17967457
2010-03-02,71.94,70.61,70.59,72.32,18519379
2010-03-03,71.07,72.46,70.53,72.63,14831619
2010-03-04,72.25,72.02,71.79,72.58,9454770
2010-03-05,72.28,72.41,71.94,72.44,9969827
2010-03-08,72.54,71.86,71.74,72.54,8476388
2010-03-09,71.63,71.47,71.08,71.69,7346078
2010-03-10,71.53,71.12,70.76,71.79,6279271
2010-03-11,70.56,71.09,70.27,71.12,7385700
2010-03-12,71.41,71.07,70.6,71.6,5783302
2010-03-15,70.92,70.88,70.58,71.17,5178024
2010-03-16,70.97,70.99,70.51,71.17,5250268
2010-03-17,71.02,71.03,70.6,71.15,5342162
2010-03-18,71.03,70.9,70.6,71.07,4184169
2010-03-19,71.17,70.55,70.33,71.34,11739238
2010-03-22,69.98,70.68,69.68,70.69,4981356
2010-03-23,70.73,70.63,70.09,70.73,5820197
2010-03-24,70.46,70.02,69.64,70.5,6785628
2010-03-25,70.12,70.14,69.85,70.64,6466757
2010-03-26,70.09,69.77,69.47,70.5,5442897
2010-03-29,69.73,69.9,69.73,70.08,4219809
2010-03-30,69.93,69.99,69.84,70.17,4315734
2010-03-31,69.63,69.69,69.3,69.88,5041134
2010-04-01,69.92,69.97,69.44,70.22,3595324
2010-04-05,70.02,69.37,69.23,70.04,4465071
2010-04-06,69.07,68.99,68.66,69.08,3794802
2010-04-07,68.98,68.25,67.87,69.01,6520766
2010-04-08,68.17,68.37,67.88,68.42,4898781
2010-04-09,68.39,68.96,68.12,69.01,3527682
