date,open,close,low,high,volume
2010-01-04,165.5,166.8,163.85,166.8,1888220
2010-01-05,165.67,165.23,163.53,165.94,2435774
2010-01-06,161.9,164.4,160.82,166.96,2130108
2010-01-07,163.48,164.59,162.5,164.86,1175974
2010-01-08,164.18,164.49,162.98,164.85,1387128
2010-01-11,164.69,164.92,164.25,165.32,1151691
2010-01-12,164.11,163.66,163.04,164.69,1030501
2010-01-13,163.35,165.26,163.12,165.62,1015657
2010-01-14,165.47,165.25,164.23,165.87,1141420
2010-01-15,164.39,162.92,162.3,164.93,1924643
2010-01-19,163.28,163.82,162.12,164.4,1213637
2010-01-20,163.42,164.98,163.02,165.43,1274313
2010-01-21,167.18,164.03,162.99,167.72,1800798
2010-01-22,163.34,161.9,161.81,165.54,1573213
2010-01-25,162.48,164.5,161.4,165.37,1348129
2010-01-26,163.61,161.91,161.65,164.29,1534249
2010-01-27,160.98,163.43,160.76,164.01,1519693
2010-01-28,163.45,161.89,161.76,164.56,1305805
2010-01-29,162.22,160.13,159.91,164.63,1972552
2010-02-01,162.34,162.74,161.08,162.87,1310875
2010-02-02,163.05,164.98,162.47,165.25,1735108
2010-02-03,161.72,155.52,153.77,162.58,5164462
2010-02-04,156.78,151.04,151.0,158.49,3715563
2010-02-05,151.03,150.4,149.0,152.07,2963673
2010-02-08,152.8,150.05,149.96,152.8,2604240
2010-02-09,151.29,151.56,150.66,152.6,1580135
2010-02-10,151.55,150.42,149.18,151.82,1448430
2010-02-11,150.14,151.72,149.19,151.72,1175857
2010-02-12,151.12,150.98,150.44,152.25,1263903
2010-02-16,152.69,155.1,151.78,155.1,1185736
2010-02-17,153.23,155.51,153.05,157.24,1579979
2010-02-18,155.36,156.99,154.91,157.27,1099205
2010-02-19,157.57,158.53,156.98,158.94,1117672
2010-02-22,160.12,157.62,157.44,160.16,1267425
2010-02-23,157.06,157.69,154.43,157.92,1838138
2010-02-24,158.29,160.73,156.66,161.1,1678836
2010-02-25,159.92,163.46,158.65,163.96,2596779
2010-02-26,163.73,160.5,160.22,164.28,1519066
