date,open,close,low,high,volume
2010-01-04,171.93,174.84,171.66,175.24,2758420
2010-01-05,175.4,174.97,173.96,175.93,1407529
2010-01-06,172.68,173.26,172.2,175.5,2129202
2010-01-07,172.47,178.61,172.26,179.19,3735053
2010-01-08,178.23,179.97,177.38,182.14,3922147
2010-01-11,180.72,179.4,178.4,180.72,2027513
2010-01-12,179.29,177.7,177.01,179.87,2277661
2010-01-13,175.9,179.06,175.11,179.75,2285928
2010-01-14,177.66,178.5,176.87,179.03,1875504
2010-01-15,179.43,179.22,177.69,180.44,2600744
2010-01-19,179.25,179.89,178.51,180.47,1722116
2010-01-20,178.85,178.95,177.21,179.93,1855813
2010-01-21,178.08,175.12,174.49,178.97,2447357
2010-01-22,174.44,175.34,172.49,178.4,2070724
2010-01-25,177.34,175.16,174.95,177.34,1429071
2010-01-26,174.58,173.89,173.63,175.91,1385727
2010-01-27,173.06,171.95,170.73,174.96,2068519
2010-01-28,172.22,170.9,170.69,175.82,2641077
2010-01-29,170.84,170.42,170.21,173.73,2352381
2010-02-01,171.32,173.16,170.59,173.32,1488269
2010-02-02,173.22,175.27,171.28,176.48,1722150
2010-02-03,171.46,170.0,169.58,173.19,2507322
2010-02-04,171.0,164.3,164.2,171.0,2959426
2010-02-05,163.1,162.78,159.06,165.03,5373250
2010-02-08,177.98,171.69,169.8,177.98,6704044
2010-02-09,174.16,171.6,169.86,174.37,3125889
2010-02-10,171.45,171.29,169.19,171.92,1594726
2010-02-11,171.49,174.06,171.12,174.47,2084919
2010-02-12,173.36,172.52,171.32,174.25,2028683
2010-02-16,172.93,174.91,172.41,175.49,1494831
2010-02-17,176.15,177.51,175.58,178.34,1716753
2010-02-18,178.0,178.63,177.27,179.31,1726519
2010-02-19,177.93,179.13,176.47,179.71,1597918
2010-02-22,179.6,178.61,178.08,180.02,1325496
2010-02-23,177.7,177.96,175.3,178.43,1921779
2010-02-24,178.17,179.74,177.86,179.84,1423324
2010-02-25,177.07,177.02,176.35,179.78,2549530
2010-02-26,177.16,175.7,175.18,177.37,2500430
2010-03-01,176.35,179.16,175.94,179.53,2193221
2010-03-02,179.02,180.01,178.45,180.48,2057132
2010-03-03,179.31,180.4,178.99,181.64,1685595
2010-03-04,180.72,181.4,179.99,182.54,2074393
2010-03-05,182.3,182.87,181.31,183.55,1417708
2010-03-08,183.15,181.8,181.49,183.52,893144
2010-03-09,181.58,181.11,180.49,182.78,1169940
2010-03-10,180.38,181.42,179.8,182.25,1184208
2010-03-11,181.09,180.25,179.06,181.5,1683868
2010-03-12,180.35,179.78,178.79,180.76,1233396
2010-03-15,179.3,180.13,178.11,180.85,1027621
2010-03-16,180.1,181.13,179.47,182.0,1523957
2010-03-17,181.31,182.5,180.48,183.49,1391663
2010-03-18,183.08,181.94,181.17,183.08,1350495
2010-03-19,182.7,179.53,177.87,183.22,3017487
2010-03-22,179.23,182.92,178.45,183.39,2429463
2010-03-23,183.72,186.42,182.79,186.83,2286678
2010-03-24,186.68,184.6,184.13,187.67,1965590
2010-03-25,186.24,189.94,186.08,190.62,2930030
2010-03-26,190.27,191.83,190.27,192.93,2855309
2010-03-29,191.89,193.25,190.33,193.61,2740998
2010-03-30,193.14,192.93,192.2,194.44,1475904
2010-03-31,192.36,190.54,190.12,192.68,1440083
2010-04-01,187.79,188.36,187.48,189.82,2690303
2010-04-05,187.93,186.63,185.85,188.13,2075026
2010-04-06,186.57,186.41,185.68,187.24,1464370
2010-04-07,186.49,185.6,184.98,186.59,1590681
2010-04-08,185.31,189.78,185.1,191.08,2502360
2010-04-09,189.86,194.45,189.86,194.61,2312543
2010-04-12,192.15,192.46,191.78,193.61,1837517
2010-04-13,192.7,194.43,191.34,194.8,1557457
2010-04-14,194.81,195.87,193.92,196.18,1819164
2010-04-15,194.92,195.97,194.19,197.65,1994725
2010-04-16,194.96,194.23,194.13,197.27,2410098
2010-04-19,193.42,193.68,191.95,194.62,1468944
2010-04-20,194.27,195.06,194.27,196.26,1512616
2010-04-21,195.76,193.98,192.35,196.61,2029098
2010-04-22,194.13,193.82,192.61,195.13,1506821
2010-04-23,193.92,195.03,192.45,195.51,1561464
2010-04-26,194.03,193.77,193.19,195.08,2032241
2010-04-27,193.05,190.69,190.37,194.65,2213086
2010-04-28,191.51,195.29,191.29,197.19,2859293
2010-04-29,196.59,196.33,196.04,198.22,1571114
2010-04-30,195.01,193.85,193.54,198.58,2568812
2010-05-03,194.46,194.93,192.77,196.77,1827802
2010-05-04,192.18,191.6,190.49,196.38,1976464
2010-05-05,190.52,189.11,188.27,193.43,1966981
2010-05-06,188.06,184.04,175.16,189.57,2506195
2010-05-07,183.25,181.58,176.74,184.91,2895871
2010-05-10,187.81,189.12,186.61,189.49,1727786
2010-05-11,186.88,185.94,185.42,189.37,1682877
2010-05-12,186.14,188.74,185.36,189.05,1277523
2010-05-13,188.56,189.71,186.33,191.42,1782880
2010-05-14,187.99,185.5,184.3,188.97,1957592
2010-05-17,186.06,186.01,182.84,186.63,1323564
2010-05-18,185.95,181.47,180.59,185.95,3134967
2010-05-19,179.75,179.24,177.39,179.86,2272021
2010-05-20,176.07,174.22,173.6,177.28,2466321
2010-05-21,170.6,176.1,170.4,176.15,2791189
2010-05-24,175.04,174.11,173.75,176.11,1789471
2010-05-25,169.73,174.6,169.43,174.81,3383230
2010-05-26,174.8,172.65,172.04,175.7,2894401
2010-05-27,173.7,176.3,173.09,176.41,2404122
2010-05-28,176.25,176.56,174.06,178.34,3639707
2010-06-01,176.35,176.04,174.3,179.07,2496245
2010-06-02,176.53,180.17,176.38,180.22,2238791
2010-06-03,179.41,178.9,176.1,180.18,1584446
2010-06-04,176.12,172.75,171.98,176.73,2463103
2010-06-07,157.61,158.12,150.88,163.21,9513223
2010-06-08,157.11,158.12,155.89,159.09,4788922
2010-06-09,158.35,155.36,153.49,159.31,4957434
2010-06-10,155.96,161.22,155.81,161.62,4574108
2010-06-11,159.62,161.53,158.05,161.73,3244014
2010-06-14,162.95,160.34,160.14,164.77,3194594
2010-06-15,160.1,161.7,159.89,161.93,3113046
2010-06-16,160.93,160.03,159.73,161.93,3178442
2010-06-17,160.18,159.48,158.11,160.68,1942878
2010-06-18,168.15,163.02,162.97,168.4,5240503
2010-06-21,165.35,159.67,159.22,166.0,2352330
2010-06-22,158.23,158.23,157.98,160.45,2242022
2010-06-23,157.73,157.88,156.63,158.94,2559114
2010-06-24,156.92,154.81,153.4,157.27,2598658
2010-06-25,154.3,153.45,153.15,154.81,3013157
2010-06-28,153.31,154.41,152.51,155.36,1776009
2010-06-29,152.36,148.62,147.63,152.76,3680530
2010-06-30,149.7,146.6,146.1,151.25,2793711
2010-07-01,145.02,145.22,141.45,145.57,3262311
2010-07-02,145.61,144.71,143.61,147.0,1319452
2010-07-06,146.4,142.66,141.46,147.75,2729979
2010-07-07,143.57,145.26,141.12,145.31,3368771
2010-07-08,146.4,146.75,144.41,147.2,2239534
2010-07-09,147.1,148.69,145.95,149.04,1669712
2010-07-12,148.69,149.79,148.34,150.13,1548785
2010-07-13,150.13,152.33,150.13,152.98,2031060
2010-07-14,151.79,152.54,150.35,153.07,1423362
2010-07-15,152.9,153.55,150.76,153.85,1701587
2010-07-16,152.67,149.77,149.38,153.41,2253514
2010-07-19,149.91,150.26,148.96,151.0,1674497
2010-07-20,148.27,151.45,147.93,151.7,1424005
2010-07-21,152.05,148.58,148.03,152.05,1724600
2010-07-22,150.32,148.73,145.15,153.1,3739509
2010-07-23,149.0,153.93,148.7,154.87,2621555
2010-07-26,153.34,153.24,151.16,154.43,1252724
2010-07-27,153.64,151.37,151.07,154.29,1646553
2010-07-28,145.76,155.84,145.76,158.55,5389820
2010-07-29,155.26,153.17,151.69,158.33,3273708
2010-07-30,151.85,152.15,150.51,153.14,2134402
2010-08-02,153.89,154.38,153.04,154.93,1825290
2010-08-03,153.62,153.37,152.92,155.31,1505074
