date,open,close,low,high,volume
2010-01-04,147.89,147.77,147.6,148.57,449249
2010-01-05,148.17,147.54,146.86,148.34,585422
2010-01-06,147.26,146.29,146.04,148.15,607782
2010-01-07,145.75,146.34,145.46,146.77,415308
2010-01-08,145.63,145.71,144.79,146.13,673559
2010-01-11,146.55,148.4,145.8,149.41,994851
2010-01-12,148.61,149.74,147.82,150.91,1193541
2010-01-13,150.09,150.34,148.83,151.22,969649
2010-01-14,149.76,151.3,148.88,151.47,719875
2010-01-15,151.92,149.4,148.73,152.12,1100819
2010-01-19,149.84,149.84,149.17,150.43,878429
2010-01-20,148.14,147.13,146.46,148.98,816561
2010-01-21,147.36,146.27,145.56,148.11,852388
2010-01-22,145.02,143.35,143.22,146.32,844101
2010-01-25,144.23,143.31,143.22,144.64,901414
2010-01-26,141.65,142.61,141.45,143.43,589403
2010-01-27,141.96,143.9,141.38,144.27,816849
2010-01-28,143.91,141.23,141.07,144.85,997625
2010-01-29,142.24,140.92,140.84,143.46,681020
2010-02-01,140.96,144.93,140.71,145.05,906311
2010-02-02,144.29,145.92,143.36,146.37,872323
2010-02-03,145.2,144.47,142.95,145.49,928709
2010-02-04,142.82,136.76,136.47,144.09,2514792
2010-02-05,137.04,134.95,133.97,137.61,1873679
2010-02-08,135.78,134.06,133.77,136.11,1196393
2010-02-09,135.73,136.43,134.04,137.01,1935911
2010-02-10,136.29,136.99,136.09,137.66,1011629
2010-02-11,136.95,138.03,136.12,138.19,938272
2010-02-12,136.51,137.88,135.85,138.54,1396921
2010-02-16,137.65,138.47,137.44,138.68,940321
2010-02-17,139.24,138.99,138.54,139.86,701875
2010-02-18,138.64,138.64,138.14,139.46,672333
2010-02-19,137.97,139.09,137.73,139.21,733382
2010-02-22,139.44,138.94,138.16,139.6,802864
2010-02-23,137.82,137.5,136.76,138.28,709753
2010-02-24,138.14,138.06,137.04,138.47,677644
2010-02-25,136.65,137.96,136.16,138.12,1261573
2010-02-26,137.81,137.77,137.24,138.34,680012
2010-03-01,138.15,138.6,137.49,139.09,705507
2010-03-02,139.8,139.96,139.14,140.25,1188841
2010-03-03,139.54,138.76,138.31,139.99,660745
2010-03-04,138.87,139.08,137.93,139.89,717995
2010-03-05,139.22,142.24,138.59,142.4,1364872
2010-03-08,143.17,144.43,142.84,145.41,1275849
2010-03-09,147.38,149.05,146.81,150.64,2303537
2010-03-10,148.94,149.71,148.05,150.08,1275677
2010-03-11,149.24,151.35,148.95,151.67,853354
2010-03-12,152.57,152.45,150.9,152.97,1119394
2010-03-15,152.69,154.04,152.33,154.04,792065
2010-03-16,153.51,153.23,151.88,153.63,768219
2010-03-17,152.6,156.65,152.44,157.54,1933826
2010-03-18,156.09,154.51,154.29,156.46,1183689
2010-03-19,154.71,153.3,152.97,155.76,1645913
2010-03-22,151.93,153.38,151.93,153.76,722153
2010-03-23,154.73,154.41,153.32,155.02,717535
2010-03-24,154.86,153.4,153.28,154.86,905686
2010-03-25,155.24,154.67,154.67,156.3,838024
2010-03-26,154.47,154.87,154.19,155.36,568495
2010-03-29,155.05,153.8,152.63,155.53,880171
2010-03-30,153.77,154.61,153.48,155.06,811616
2010-03-31,154.51,154.96,153.58,155.36,816297
