date,open,close,low,high,volume
2010-01-04,98.36,96.63,95.67,99.37,313924
2010-01-05,96.43,95.49,94.69,96.84,332650
2010-01-06,95.93,95.26,94.64,96.52,409260
2010-01-07,94.94,95.82,94.26,96.37,530736
2010-01-08,95.3,95.09,94.73,96.01,457564
2010-01-11,96.19,95.6,94.77,96.61,266227
2010-01-12,94.71,95.68,94.56,96.04,814107
2010-01-13,96.44,96.15,95.68,97.18,539863
2010-01-14,96.25,96.28,95.24,96.61,302784
2010-01-15,96.21,95.32,95.32,97.54,458933
2010-01-19,95.65,96.52,95.3,97.04,763038
2010-01-20,97.47,97.35,95.89,97.97,636602
2010-01-21,97.49,94.72,94.2,97.52,620744
2010-01-22,94.9,94.26,92.99,95.99,634424
2010-01-25,94.99,94.2,93.09,94.99,470714
2010-01-26,93.13,92.26,91.84,93.23,475241
2010-01-27,91.7,91.9,89.76,92.32,288067
2010-01-28,92.0,90.9,90.02,92.0,242767
2010-01-29,91.07,90.12,89.48,91.94,381760
2010-02-01,90.88,91.7,90.45,92.14,274182
2010-02-02,91.7,92.88,90.79,93.01,299033
2010-02-03,92.28,92.83,91.3,93.1,380131
2010-02-04,92.09,88.91,88.86,92.36,388841
2010-02-05,89.01,89.93,87.3,90.46,247611
2010-02-08,90.2,86.96,86.91,90.2,227333
2010-02-09,88.35,86.76,85.62,88.35,415642
2010-02-10,86.6,86.88,85.04,87.49,277476
2010-02-11,86.27,86.04,84.0,86.8,394389
2010-02-12,84.69,88.08,84.69,88.2,366874
2010-02-16,89.34,92.38,89.27,92.68,373375
2010-02-17,92.86,92.56,91.82,93.47,186930
2010-02-18,91.68,92.99,91.67,93.46,368589
2010-02-19,92.96,93.14,92.64,93.81,216149
2010-02-22,93.62,92.61,92.55,93.86,256448
2010-02-23,92.02,92.85,91.84,93.46,575404
2010-02-24,92.44,92.44,91.96,92.98,350562
2010-02-25,91.47,93.07,90.8,93.27,327969
2010-02-26,92.88,92.25,91.89,93.69,372205
2010-03-01,92.98,92.98,92.46,93.38,191582
2010-03-02,93.7,93.76,92.69,93.89,403950
2010-03-03,93.98,94.04,92.97,94.83,367208
2010-03-04,93.97,93.56,93.2,94.89,362840
2010-03-05,93.83,94.89,93.35,95.37,358592
2010-03-08,95.17,97.01,94.84,97.31,173647
2010-03-09,96.75,97.62,96.42,99.54,226257
2010-03-10,97.64,98.18,97.01,98.45,221823
2010-03-11,97.74,98.6,97.6,99.21,260337
2010-03-12,99.05,98.93,98.21,99.58,156750
2010-03-15,98.67,99.01,97.32,99.42,263637
2010-03-16,99.01,101.47,98.68,101.59,374606
2010-03-17,101.43,102.05,101.07,102.48,236259
2010-03-18,101.72,101.89,101.62,103.11,271928
2010-03-19,101.55,100.19,100.07,101.68,171470
2010-03-22,98.96,101.17,98.5,101.6,148273
2010-03-23,100.24,100.06,98.33,100.28,301114
2010-03-24,99.4,100.55,99.15,101.36,453989
2010-03-25,100.74,100.82,100.55,102.54,253423
2010-03-26,100.64,101.28,100.17,101.95,265548
2010-03-29,101.29,101.35,100.33,101.66,157021
2010-03-30,100.79,100.63,100.07,101.13,276137
2010-03-31,100.62,100.04,99.61,101.26,375188
2010-04-01,100.4,100.56,99.85,101.13,421909
2010-04-05,101.08,103.33,100.65,103.57,221612
2010-04-06,103.1,106.46,102.37,106.59,732151
2010-04-07,106.44,105.22,104.57,107.28,331666
2010-04-08,104.95,105.51,104.55,106.11,209709
2010-04-09,105.52,107.46,105.44,107.61,278911
2010-04-12,107.88,106.28,105.73,108.05,211666
2010-04-13,106.34,108.17,106.13,108.99,199626
2010-04-14,109.27,107.35,106.72,109.7,343001
2010-04-15,107.39,105.11,104.87,108.15,411004
2010-04-16,104.95,104.0,103.09,105.97,312361
2010-04-19,103.39,104.34,102.7,105.64,175857
2010-04-20,104.67,105.55,103.16,105.6,166031
2010-04-21,105.27,105.42,103.94,106.32,365234
2010-04-22,104.85,106.37,104.73,106.68,264932
2010-04-23,106.75,111.28,106.01,111.46,384094
2010-04-26,111.25,111.77,110.59,112.64,271781
2010-04-27,111.3,108.23,107.87,111.92,294435
2010-04-28,108.83,107.93,107.39,109.64,235233
2010-04-29,109.02,110.97,108.39,111.48,535048
