date,open,close,low,high,volume
2010-01-04,175.34,178.49,175.34,178.72,234150
2010-01-05,177.91,176.25,175.57,178.98,215945
2010-01-06,181.67,180.21,179.06,181.67,350844
2010-01-07,179.63,178.02,175.83,179.63,260435
2010-01-08,177.87,175.14,174.24,179.36,344161
2010-01-11,175.29,171.9,171.38,175.81,369904
2010-01-12,170.37,170.95,169.99,171.72,292921
2010-01-13,172.41,171.56,169.02,172.58,316397
2010-01-14,172.08,171.52,170.91,172.47,138613
2010-01-15,172.82,168.92,168.47,172.82,302143
2010-01-19,168.71,172.29,168.38,172.29,228987
2010-01-20,170.57,170.75,167.95,171.06,229365
2010-01-21,171.29,165.72,163.95,171.69,389889
2010-01-22,166.82,161.75,161.54,168.3,344489
2010-01-25,164.05,162.21,162.01,164.9,420277
2010-01-26,161.38,160.88,159.36,163.27,318334
2010-01-27,159.11,158.26,155.07,159.11,562002
2010-01-28,158.15,155.9,152.67,158.48,370957
2010-01-29,156.37,154.53,154.08,158.77,336604
2010-02-01,155.41,157.94,154.8,157.94,328062
2010-02-02,159.35,161.16,158.9,161.84,220955
2010-02-03,159.64,158.08,157.61,161.23,166793
2010-02-04,155.59,152.62,152.48,155.59,266978
2010-02-05,152.45,153.04,148.44,153.48,284871
2010-02-08,153.2,155.39,151.05,156.32,361700
2010-02-09,150.99,148.97,146.44,152.85,1442202
2010-02-10,147.52,150.38,143.75,151.48,667396
2010-02-11,148.88,150.75,146.89,150.87,211322
2010-02-12,148.94,150.63,147.22,150.65,224522
2010-02-16,152.34,154.22,151.47,154.4,158254
2010-02-17,154.88,154.47,153.5,155.42,110232
2010-02-18,154.3,156.06,153.66,156.33,176857
2010-02-19,155.5,157.78,155.19,158.29,206272
2010-02-22,157.88,158.6,156.41,159.51,261433
2010-02-23,157.71,157.57,155.97,158.81,284471
2010-02-24,159.05,159.27,157.56,159.71,246247
2010-02-25,157.01,157.6,155.34,158.03,146327
2010-02-26,158.22,154.19,152.96,158.67,455511
2010-03-01,154.47,152.0,151.3,154.47,279672
2010-03-02,151.69,150.55,150.06,152.99,273738
2010-03-03,150.55,153.23,150.34,154.39,330438
2010-03-04,154.29,155.52,154.0,156.03,298208
2010-03-05,156.93,158.84,156.93,159.21,228985
2010-03-08,159.6,160.32,159.35,161.21,317019
2010-03-09,159.44,159.21,158.53,160.2,418798
2010-03-10,158.89,158.89,157.71,159.86,193816
2010-03-11,158.22,159.65,157.16,160.04,258895
2010-03-12,160.51,159.67,158.53,160.78,206242
2010-03-15,159.57,157.99,156.83,159.57,185603
2010-03-16,158.38,160.92,157.89,161.02,322840
2010-03-17,160.97,173.3,160.97,174.22,933094
2010-03-18,172.96,169.99,168.43,174.09,315044
2010-03-19,167.29,169.64,165.96,169.9,692996
2010-03-22,167.67,172.18,166.38,174.58,605241
2010-03-23,173.24,171.68,169.83,173.24,278977
2010-03-24,171.34,169.52,169.27,172.34,211929
2010-03-25,170.51,162.82,162.49,172.29,771500
2010-03-26,161.89,160.01,158.34,162.05,540611
2010-03-29,161.55,163.63,160.97,163.65,155764
2010-03-30,164.2,162.5,161.94,165.49,223055
2010-03-31,162.34,161.41,160.62,163.05,185065
2010-04-01,163.26,168.32,163.26,169.02,382422
2010-04-05,168.72,169.37,167.67,171.06,157223
2010-04-06,167.73,166.31,165.83,167.73,241590
2010-04-07,166.81,167.33,165.98,168.23,386052
2010-04-08,167.11,170.38,165.22,170.63,306843
2010-04-09,166.27,170.48,162.72,172.06,393355
2010-04-12,170.65,169.62,168.84,171.45,505925
2010-04-13,169.2,168.03,167.76,170.28,381935
2010-04-14,169.47,170.52,168.65,170.72,744095
2010-04-15,170.73,173.92,168.91,174.78,1344914
2010-04-16,174.69,179.01,171.83,180.19,973958
2010-04-19,178.64,177.75,174.43,179.12,569134
2010-04-20,179.7,183.58,178.27,184.07,430366
2010-04-21,183.99,185.62,183.23,187.33,326441
2010-04-22,182.39,189.77,181.66,190.54,513807
2010-04-23,187.87,191.06,187.79,192.88,348955
2010-04-26,190.31,190.94,189.47,195.29,456938
2010-04-27,190.63,184.37,183.6,192.14,460790
2010-04-28,184.39,183.7,182.97,186.41,391358
2010-04-29,184.7,189.68,184.7,189.86,386566
2010-04-30,190.67,189.17,187.61,193.12,384396
2010-05-03,182.74,196.73,182.74,197.75,943119
2010-05-04,194.75,183.34,181.1,194.75,804449
2010-05-05,184.93,178.16,174.66,184.93,825188
2010-05-06,176.89,174.6,166.49,184.81,934218
2010-05-07,173.92,175.89,172.34,180.05,721459
2010-05-10,181.53,186.56,181.53,187.27,459288
2010-05-11,183.47,180.95,180.73,186.1,511884
2010-05-12,182.24,186.25,182.24,186.47,279020
2010-05-13,186.29,185.27,183.9,187.12,243684
2010-05-14,184.03,183.49,182.03,184.94,328425
2010-05-17,184.3,186.88,180.97,187.24,434572
2010-05-18,188.01,184.93,184.31,189.35,520492
2010-05-19,184.43,185.03,182.86,187.88,574011
2010-05-20,179.74,177.02,176.4,181.77,707648
2010-05-21,174.86,180.12,174.54,180.86,486943
2010-05-24,181.03,181.81,179.27,183.31,409240
2010-05-25,176.81,184.92,175.89,185.28,424581
2010-05-26,187.35,189.96,187.35,192.93,664463
2010-05-27,193.88,192.15,190.05,194.15,397241
2010-05-28,193.24,189.0,188.54,193.24,415321
2010-06-01,187.61,185.77,185.6,191.49,322178
2010-06-02,186.68,190.29,186.4,190.29,259499
2010-06-03,190.62,192.04,189.11,192.67,284971
2010-06-04,188.49,182.12,181.54,191.06,478821
2010-06-07,182.7,179.99,178.68,183.27,726062
2010-06-08,179.87,181.33,178.72,181.68,397287
2010-06-09,182.07,180.55,179.9,184.55,310093
2010-06-10,186.04,187.7,183.33,189.14,333892
2010-06-11,187.29,189.37,186.88,190.11,182750
2010-06-14,190.67,189.27,188.73,193.51,195594
2010-06-15,189.9,190.77,188.22,191.2,255337
2010-06-16,190.13,190.5,187.61,192.39,287323
2010-06-17,191.77,189.3,186.65,192.51,213147
2010-06-18,188.88,188.99,188.53,190.69,107416
2010-06-21,191.12,188.29,187.07,192.44,169406
2010-06-22,187.39,181.36,180.83,188.32,195937
