date,open,close,low,high,volume
2010-01-04,77.78,76.26,75.81,78.42,3784106
2010-01-05,76.24,75.63,74.47,76.27,4871309
2010-01-06,75.07,74.47,74.16,76.12,3789521
2010-01-07,74.39,75.23,72.88,76.16,4008245
2010-01-08,74.71,73.16,72.05,74.77,4438872
2010-01-11,73.68,73.4,72.9,74.16,2861485
2010-01-12,72.87,71.9,71.48,73.26,4932982
2010-01-13,72.04,72.84,72.04,73.56,4939210
2010-01-14,72.61,73.25,72.03,73.5,2776305
2010-01-15,72.83,71.95,71.83,73.03,4061488
2010-01-19,71.69,73.51,71.24,73.59,4749085
2010-01-20,73.03,72.05,71.31,73.6,3547937
2010-01-21,71.97,69.65,69.45,72.45,5316171
2010-01-22,69.8,67.95,67.75,70.3,5310269
2010-01-25,68.57,69.22,67.36,69.73,4037475
2010-01-26,68.61,68.75,68.12,69.87,2740763
2010-01-27,69.11,69.63,68.0,69.69,4714047
2010-01-28,69.7,68.96,67.99,69.7,3536360
2010-01-29,69.62,69.33,68.69,70.92,4539323
2010-02-01,69.45,70.6,69.36,70.61,2961417
2010-02-02,70.74,71.36,69.67,71.54,4265943
2010-02-03,70.97,69.7,69.32,70.97,3338410
2010-02-04,69.36,66.44,66.4,69.36,5933570
2010-02-05,67.13,70.09,67.0,70.2,8577327
2010-02-08,69.86,67.72,67.47,70.15,5964637
2010-02-09,68.16,67.36,67.04,68.57,5177953
2010-02-10,66.88,66.68,65.55,67.72,3746076
2010-02-11,65.54,67.2,64.84,67.27,4023473
2010-02-12,66.43,67.79,65.91,67.94,4372909
2010-02-16,68.52,70.29,68.29,70.4,6926933
2010-02-17,70.05,71.0,70.0,71.74,5483690
2010-02-18,70.75,72.38,70.75,72.84,4719372
2010-02-19,72.11,72.83,71.5,73.02,4251320
2010-02-22,73.05,73.74,72.45,74.23,3739111
2010-02-23,73.41,73.27,72.55,73.92,4579713
2010-02-24,73.33,72.89,72.54,73.84,6100772
2010-02-25,72.72,73.96,71.77,73.98,4067471
