date,open,close,low,high,volume
2010-01-04,82.66,83.8,82.52,83.91,3664565
2010-01-05,83.34,85.9,83.26,86.08,3798309
2010-01-06,85.65,86.67,85.25,87.26,3100818
2010-01-07,86.6,88.54,86.09,89.68,4575391
2010-01-08,87.81,88.69,86.96,88.87,2926439
2010-01-11,89.7,89.04,88.27,89.7,2217160
2010-01-12,88.44,88.91,87.92,89.75,3592346
2010-01-13,88.9,90.43,88.27,91.09,3288085
2010-01-14,90.03,92.71,89.78,93.0,3782017
2010-01-15,92.54,90.34,89.75,92.54,3847283
2010-01-19,89.76,89.76,88.29,90.78,4400408
2010-01-20,90.98,91.75,90.87,92.96,5090648
2010-01-21,92.3,92.01,90.25,94.2,6719196
2010-01-22,91.89,90.46,90.09,98.42,5906927
2010-01-25,91.84,91.1,89.67,92.28,3720358
2010-01-26,89.34,89.04,88.75,91.24,4554195
2010-01-27,88.64,92.12,88.45,92.5,5202997
2010-01-28,92.79,91.9,91.17,93.3,5060531
2010-01-29,93.1,92.66,91.96,94.06,4994462
2010-02-01,92.82,92.94,91.9,93.6,3254482
2010-02-02,93.13,92.05,91.61,93.68,3953463
2010-02-03,91.51,90.4,89.51,91.84,3565434
2010-02-04,89.64,87.28,87.17,90.05,5214748
2010-02-05,88.23,88.75,86.19,89.78,6508447
2010-02-08,88.36,86.77,86.48,88.77,4565404
2010-02-09,87.14,86.63,85.78,87.99,3288175
2010-02-10,86.8,87.32,86.06,88.32,3514419
2010-02-11,87.85,87.18,86.42,87.96,2288107
2010-02-12,86.15,86.19,85.15,86.67,4234148
2010-02-16,86.15,88.37,86.0,88.45,2949920
2010-02-17,88.79,88.38,87.45,88.98,5467354
2010-02-18,87.97,89.01,87.59,89.34,2478045
2010-02-19,88.73,89.88,88.65,90.29,3068645
2010-02-22,90.96,91.14,90.06,91.74,3421894
2010-02-23,90.79,90.19,89.93,91.53,3765039
2010-02-24,90.78,92.08,90.59,92.56,3277961
2010-02-25,89.84,90.4,89.28,92.18,3300368
2010-02-26,89.8,91.28,89.8,91.65,2544605
2010-03-01,91.18,90.77,90.33,91.59,1823151
2010-03-02,92.21,91.8,91.2,92.43,2081508
2010-03-03,91.75,91.6,91.46,92.57,2100646
2010-03-04,91.63,91.97,91.26,92.23,2067830
2010-03-05,92.13,93.39,91.32,93.58,2549711
2010-03-08,93.28,92.69,92.69,93.87,2366108
2010-03-09,91.8,91.32,90.76,92.1,3627253
2010-03-10,91.88,92.47,91.73,93.36,3330249
2010-03-11,92.24,94.46,92.05,94.65,3835475
2010-03-12,95.08,95.0,94.6,96.21,3571722
2010-03-15,94.49,95.63,93.97,95.93,2257912
2010-03-16,96.13,96.72,95.53,96.79,2881048
2010-03-17,96.35,97.01,95.87,97.42,3302973
2010-03-18,96.58,96.21,95.51,97.19,2334563
2010-03-19,96.96,96.99,95.62,97.92,3679481
2010-03-22,96.42,97.65,96.34,98.24,2534958
2010-03-23,97.87,97.95,96.79,98.13,2686048
2010-03-24,97.09,97.42,97.09,98.39,1938375
2010-03-25,97.9,97.27,97.12,99.24,3049644
2010-03-26,97.29,96.55,95.73,97.99,2689448
2010-03-29,96.52,96.26,95.67,96.97,1751259
2010-03-30,96.78,96.34,96.19,97.64,2493844
2010-03-31,96.13,96.77,95.87,97.22,2259075
2010-04-01,97.77,98.52,97.13,98.6,1877277
2010-04-05,98.55,99.11,97.91,99.15,2025122
2010-04-06,99.19,101.82,99.19,102.2,3236061
2010-04-07,102.07,100.41,99.59,102.37,3248039
2010-04-08,99.57,101.71,99.35,102.31,3702932
2010-04-09,101.87,101.91,100.86,102.32,2064005
2010-04-12,102.48,103.61,102.14,103.97,2772173
2010-04-13,103.49,103.87,102.87,104.28,3590111
2010-04-14,104.38,106.41,104.19,106.64,3977707
2010-04-15,106.66,106.73,105.79,107.38,4870414
2010-04-16,106.52,103.76,100.77,106.78,7751370
2010-04-19,102.52,104.41,102.03,104.75,4271192
2010-04-20,103.82,107.16,103.09,107.82,6095450
2010-04-21,104.94,106.27,104.26,108.1,5616490
2010-04-22,104.83,103.81,102.74,105.13,7347644
2010-04-23,103.68,103.38,102.21,103.91,2991845
2010-04-26,103.0,101.64,101.33,103.75,3251641
2010-04-27,100.41,98.79,98.48,101.61,5607704
2010-04-28,99.93,99.89,99.25,101.24,3205724
2010-04-29,100.78,102.35,100.33,103.79,5466602
2010-04-30,102.65,100.33,100.26,102.92,4732154
2010-05-03,100.94,101.92,100.23,102.33,2955869
2010-05-04,100.49,99.1,98.24,101.12,5079382
2010-05-05,97.84,98.77,97.47,100.23,3775338
2010-05-06,98.13,95.22,90.62,99.11,6451050
2010-05-07,95.27,94.33,93.4,97.37,6684594
2010-05-10,99.2,99.73,98.15,100.55,5514031
2010-05-11,97.66,99.86,97.32,101.44,4791717
2010-05-12,101.02,101.1,100.16,101.55,3934618
2010-05-13,100.88,99.48,99.48,101.26,3254002
2010-05-14,99.26,96.91,95.46,99.3,6772656
2010-05-17,97.28,97.51,95.11,97.74,3426427
2010-05-18,97.83,93.17,92.21,98.37,8786607
2010-05-19,92.72,92.45,91.77,94.45,6868816
2010-05-20,90.8,89.0,88.96,91.91,5733157
2010-05-21,85.38,92.11,85.12,92.34,7337833
2010-05-24,92.62,90.47,90.09,92.89,4556980
2010-05-25,87.41,91.35,87.41,91.35,6574383
2010-05-26,92.74,90.52,90.02,93.12,5619002
2010-05-27,91.5,93.76,90.96,93.88,4195895
2010-05-28,93.76,91.92,91.5,93.76,3621656
2010-06-01,90.9,89.22,89.1,92.36,3934723
2010-06-02,90.44,92.29,89.13,92.4,3251864
2010-06-03,92.21,90.48,89.71,92.51,3445356
2010-06-04,88.14,87.49,87.22,88.9,5566085
2010-06-07,87.98,85.92,85.88,88.44,4056934
2010-06-08,85.22,86.7,84.11,86.86,6302902
2010-06-09,87.58,86.17,85.97,88.38,4360929
2010-06-10,87.73,90.56,87.58,90.71,4231969
2010-06-11,89.14,88.99,88.34,90.29,3561040
2010-06-14,89.41,87.12,86.75,89.41,5057522
2010-06-15,87.96,88.72,86.92,88.72,4236216
2010-06-16,87.92,88.31,87.39,88.88,4221437
2010-06-17,88.47,88.24,87.67,88.97,3414249
2010-06-18,88.68,90.25,88.15,90.41,4136426
2010-06-21,91.2,90.74,90.36,91.93,4246746
2010-06-22,91.04,90.28,89.97,92.0,3693815
2010-06-23,90.68,89.1,88.29,90.84,4230494
2010-06-24,88.12,86.89,86.46,88.61,4180797
2010-06-25,88.71,89.78,87.48,90.25,4458825
2010-06-28,89.37,88.64,88.38,89.91,2576150
2010-06-29,88.0,86.54,86.08,88.76,5087411
2010-06-30,86.7,85.36,85.17,88.23,3639109
2010-07-01,85.37,85.64,83.8,86.98,3440712
2010-07-02,86.01,83.87,83.29,86.28,2919647
2010-07-06,85.82,84.78,83.74,85.86,3378576
2010-07-07,85.15,88.47,84.5,88.67,3942580
2010-07-08,88.82,89.24,87.63,89.55,3711123
2010-07-09,89.24,91.86,88.59,91.97,2935692
2010-07-12,91.08,90.89,89.93,91.34,1844284
2010-07-13,91.93,93.46,91.89,93.96,3081355
2010-07-14,92.77,92.05,91.29,92.85,2769736
2010-07-15,92.43,93.0,90.22,93.3,4033299
2010-07-16,92.54,88.11,87.99,92.73,4528353
2010-07-19,87.81,87.81,86.51,88.76,1954743
2010-07-20,86.52,88.58,86.02,88.78,3652642
2010-07-21,91.29,88.76,88.49,92.33,5503752
2010-07-22,90.16,91.16,89.78,92.11,4581329
2010-07-23,90.97,91.43,90.0,92.39,3573427
2010-07-26,91.83,93.29,91.28,93.53,2405988
2010-07-27,94.25,94.14,93.67,94.8,2451145
2010-07-28,93.71,92.78,92.35,94.13,2027958
2010-07-29,92.98,92.24,90.74,93.05,2887289
2010-07-30,91.26,91.64,90.64,92.25,2705688
2010-08-02,93.3,94.5,92.64,94.53,2647334
2010-08-03,93.99,93.53,93.33,94.65,2279768
2010-08-04,94.07,92.44,92.17,94.07,3019771
2010-08-05,91.95,91.68,90.51,92.14,2610571
2010-08-06,90.57,89.95,88.59,90.92,2771034
2010-08-09,90.18,91.22,88.68,91.49,2710339
2010-08-10,90.12,90.39,89.58,91.12,2223968
2010-08-11,88.73,86.57,86.53,88.96,2715675
