date,open,close,low,high,volume
2010-01-04,93.64,92.84,92.65,93.8,737549
2010-01-05,93.07,92.48,92.21,93.74,950553
2010-01-06,93.34,94.42,93.04,94.66,955779
2010-01-07,93.73,93.41,93.03,93.84,742787
2010-01-08,93.24,93.0,92.4,93.55,586068
2010-01-11,93.46,94.97,93.46,95.21,1156730
2010-01-12,94.93,95.17,94.66,95.58,909566
2010-01-13,95.33,96.11,95.03,96.3,580290
2010-01-14,95.55,95.77,95.04,95.9,559807
2010-01-15,96.56,95.21,94.32,96.75,911710
2010-01-19,95.47,97.02,95.39,97.13,574778
2010-01-20,96.5,96.48,95.13,97.08,768344
2010-01-21,97.14,95.55,94.84,97.69,862912
2010-01-22,94.94,92.61,92.59,95.16,1022869
2010-01-25,93.33,93.03,92.15,93.74,550369
2010-01-26,93.04,93.45,92.25,93.78,1011927
2010-01-27,93.34,93.26,91.92,93.53,699531
2010-01-28,93.14,91.42,91.33,93.38,843303
2010-01-29,91.21,90.53,90.42,92.02,810388
2010-02-01,90.62,91.13,89.62,91.27,732447
2010-02-02,91.36,92.09,90.36,92.09,658791
2010-02-03,91.69,91.17,90.96,92.1,658375
2010-02-04,90.4,87.96,87.91,90.51,1035851
2010-02-05,87.74,87.77,86.2,88.23,734599
2010-02-08,88.15,86.93,86.82,88.23,484547
2010-02-09,87.36,87.84,87.17,88.92,493840
2010-02-10,87.61,87.23,86.45,87.77,424992
2010-02-11,86.92,87.46,85.93,87.68,697748
2010-02-12,87.81,87.97,86.92,88.02,703523
2010-02-16,88.88,90.48,88.74,90.51,585952
2010-02-17,91.92,90.53,90.18,91.95,628167
2010-02-18,90.56,91.62,90.56,92.41,621589
2010-02-19,91.11,93.26,90.94,93.69,739647
2010-02-22,93.23,91.93,91.87,93.8,654260
2010-02-23,91.32,90.29,90.16,91.78,683042
2010-02-24,90.73,90.32,89.56,91.17,876416
2010-02-25,89.37,89.48,88.42,89.7,990292
2010-02-26,89.63,89.19,88.94,90.2,754970
2010-03-01,90.03,91.23,90.03,91.42,930372
2010-03-02,91.88,91.22,90.81,92.51,1086319
2010-03-03,91.76,91.62,91.29,92.8,890178
2010-03-04,91.76,91.29,91.07,91.95,766912
2010-03-05,91.42,92.79,91.22,92.87,795242
2010-03-08,93.02,92.06,91.98,93.02,672630
2010-03-09,92.05,92.08,91.7,92.38,697326
2010-03-10,92.95,93.14,92.32,93.55,1048565
2010-03-11,93.91,93.88,93.0,94.15,796729
2010-03-12,94.57,92.84,92.84,94.57,632916
2010-03-15,92.39,93.35,92.18,93.35,743011
2010-03-16,93.21,94.19,92.58,94.25,609711
2010-03-17,94.28,95.24,94.06,95.47,786709
2010-03-18,95.28,94.81,94.29,95.94,776451
2010-03-19,95.07,94.6,93.78,95.35,1119365
2010-03-22,94.0,93.86,93.59,94.44,825922
2010-03-23,93.85,94.56,93.67,94.77,820573
2010-03-24,93.86,93.18,93.15,94.19,828687
2010-03-25,93.55,92.45,92.4,93.96,621137
2010-03-26,93.15,93.29,92.27,93.4,677343
2010-03-29,92.53,93.63,92.2,93.74,665136
2010-03-30,93.43,94.38,93.43,94.52,674116
2010-03-31,94.18,93.58,93.31,94.4,676667
2010-04-01,94.46,94.33,94.02,95.12,524500
2010-04-05,94.61,94.67,94.1,94.86,449458
2010-04-06,93.82,95.0,93.43,95.0,482859
2010-04-07,94.68,94.16,93.78,94.89,718223
2010-04-08,93.77,93.93,93.22,94.04,430361
2010-04-09,93.82,93.63,92.95,93.82,395643
2010-04-12,94.2,94.7,94.17,95.05,515979
2010-04-13,94.57,94.54,93.55,94.82,420379
2010-04-14,93.73,94.19,93.15,94.25,615404
2010-04-15,93.49,94.06,92.97,94.47,782255
2010-04-16,93.91,92.41,92.25,93.99,800104
2010-04-19,92.18,92.26,91.77,92.7,658876
2010-04-20,93.2,93.59,93.07,93.86,773600
2010-04-21,93.59,94.06,93.43,94.3,871861
2010-04-22,93.51,93.34,92.52,93.51,817466
2010-04-23,92.82,93.83,92.41,93.89,623760
2010-04-26,93.57,93.05,93.05,93.93,605454
