date,open,close,low,high,volume
2010-01-04,99.02,97.29,97.2,99.02,767693
2010-01-05,97.27,97.36,96.35,97.63,458181
2010-01-06,98.09,97.58,97.37,98.32,546307
2010-01-07,97.39,97.66,96.7,97.88,300323
2010-01-08,97.4,97.58,96.69,97.85,429937
2010-01-11,98.14,96.98,96.41,98.35,632442
2010-01-12,96.64,95.16,94.7,97.0,547092
2010-01-13,95.4,94.74,94.27,95.58,668653
2010-01-14,94.1,94.64,94.1,95.0,397637
2010-01-15,93.82,91.47,91.36,95.19,1169070
2010-01-19,91.98,93.08,91.77,93.88,823440
2010-01-20,93.03,92.5,91.69,93.6,1073166
2010-01-21,92.56,92.38,92.05,93.72,836352
2010-01-22,92.24,90.66,90.6,92.86,1070212
2010-01-25,91.52,91.55,89.79,92.21,847533
2010-01-26,91.93,91.51,90.74,92.5,541661
2010-01-27,91.17,90.79,89.66,91.2,616861
2010-01-28,90.58,88.8,87.85,90.79,783052
2010-01-29,89.56,87.78,87.69,90.0,498329
2010-02-01,87.71,88.54,87.06,88.66,390462
2010-02-02,88.34,89.05,87.77,89.55,322084
2010-02-03,88.27,88.92,88.03,89.21,313334
2010-02-04,88.19,87.21,87.19,88.34,519097
2010-02-05,86.48,86.45,84.28,87.07,502225
2010-02-08,86.26,86.02,84.3,86.84,544548
2010-02-09,87.23,87.2,86.55,87.9,668211
2010-02-10,86.58,86.55,85.67,87.38,530731
2010-02-11,80.97,79.18,78.72,81.14,2309734
2010-02-12,78.45,77.09,76.75,78.74,1841946
2010-02-16,77.17,77.06,75.93,77.46,912105
2010-02-17,77.5,77.96,76.86,78.36,1007509
2010-02-18,77.42,78.18,77.42,78.87,967209
2010-02-19,77.88,78.81,77.64,79.39,715277
2010-02-22,78.67,78.09,77.86,79.05,440956
2010-02-23,78.34,77.29,77.15,78.45,717710
2010-02-24,77.05,77.25,76.56,77.45,620788
2010-02-25,76.25,76.22,74.46,76.25,1000395
2010-02-26,75.89,76.83,75.08,76.95,672387
2010-03-01,77.48,77.48,76.99,77.94,582814
2010-03-02,77.16,76.42,76.13,77.31,1229063
2010-03-03,76.99,76.56,76.3,77.08,709688
2010-03-04,76.23,76.06,75.66,76.54,655261
2010-03-05,76.15,76.41,75.76,76.72,898888
2010-03-08,76.73,76.13,76.01,76.87,571128
2010-03-09,76.02,75.96,75.67,76.3,777832
2010-03-10,75.79,76.07,75.7,76.44,925272
2010-03-11,75.89,75.98,75.86,76.4,1063389
2010-03-12,76.16,76.1,75.67,76.47,628421
2010-03-15,75.78,76.15,75.75,76.38,444786
2010-03-16,75.97,76.45,75.6,76.65,674780
2010-03-17,76.29,76.09,75.89,76.92,637776
2010-03-18,76.5,76.82,76.25,77.1,1137345
2010-03-19,77.01,77.75,76.27,77.76,1383060
2010-03-22,77.38,77.89,76.86,78.4,592284
2010-03-23,78.11,78.67,77.6,78.67,562197
2010-03-24,78.21,78.32,77.82,78.71,571634
2010-03-25,79.16,79.06,78.58,79.54,790357
2010-03-26,79.07,79.09,78.61,79.52,532960
2010-03-29,79.19,79.1,78.67,79.9,532665
2010-03-30,78.67,78.98,78.13,79.2,318029
2010-03-31,79.65,79.71,79.2,80.25,536800
2010-04-01,80.09,79.4,78.81,80.59,433913
2010-04-05,79.47,79.98,79.27,80.54,740558
2010-04-06,79.49,81.04,78.95,81.07,557801
2010-04-07,80.89,82.05,80.89,82.22,808794
2010-04-08,81.76,81.82,81.19,82.13,842687
2010-04-09,81.61,81.89,81.24,82.03,455168
2010-04-12,81.65,80.77,80.32,81.65,570574
2010-04-13,80.41,79.73,79.23,80.41,471094
2010-04-14,79.72,81.55,79.49,81.67,785026
2010-04-15,81.44,81.41,81.13,81.81,500191
2010-04-16,81.53,82.84,81.53,83.32,1135033
2010-04-19,82.74,82.26,81.78,83.31,820058
2010-04-20,82.14,83.1,81.52,83.13,522394
2010-04-21,83.06,83.91,82.53,84.36,840408
2010-04-22,83.47,85.0,82.82,85.25,962421
2010-04-23,84.86,89.21,84.47,89.38,1123226
2010-04-26,88.28,85.35,85.32,88.31,706691
2010-04-27,85.7,85.64,85.08,88.3,850013
2010-04-28,85.73,86.55,85.67,86.95,461904
2010-04-29,86.8,87.93,86.26,88.3,336642
2010-04-30,88.49,86.78,86.78,88.94,373908
2010-05-03,87.58,89.38,86.95,89.61,393009
2010-05-04,88.42,85.91,85.39,88.42,454935
2010-05-05,85.44,84.65,83.94,85.87,578298
2010-05-06,84.02,82.16,76.67,84.67,833267
2010-05-07,81.9,80.56,79.52,82.57,729208
2010-05-10,82.22,84.57,82.22,85.02,770977
2010-05-11,83.95,84.26,83.66,85.42,394488
2010-05-12,84.36,86.35,83.82,86.43,402627
2010-05-13,86.18,86.03,85.66,87.51,356002
2010-05-14,84.42,82.66,81.78,85.55,683628
2010-05-17,83.06,84.76,82.94,84.96,715592
2010-05-18,85.12,84.18,83.81,85.84,742647
2010-05-19,83.85,83.56,82.57,84.62,593469
2010-05-20,81.27,79.33,79.16,81.75,812197
2010-05-21,78.12,79.53,77.16,80.3,844363
2010-05-24,77.84,78.12,77.84,79.33,366396
2010-05-25,77.31,79.1,75.75,79.1,819906
2010-05-26,79.62,79.62,79.13,80.64,712887
2010-05-27,80.99,82.59,80.49,82.59,583045
2010-05-28,82.69,81.97,81.05,83.01,543974
2010-06-01,81.78,80.71,80.62,82.93,464647
2010-06-02,81.57,83.37,80.76,83.4,340358
2010-06-03,83.04,83.13,82.38,83.91,516218
2010-06-04,81.5,79.94,79.71,81.96,722791
2010-06-07,79.92,77.93,77.82,80.26,570029
2010-06-08,78.19,78.01,76.51,79.23,569894
2010-06-09,78.8,77.47,77.27,79.26,607465
2010-06-10,78.31,79.35,77.24,79.38,412792
2010-06-11,78.06,79.76,78.06,79.93,363397
2010-06-14,80.27,80.16,80.07,81.57,306584
2010-06-15,81.36,82.4,80.57,82.49,417246
2010-06-16,81.68,82.51,81.59,82.98,253930
2010-06-17,82.22,82.65,81.27,82.74,325434
2010-06-18,83.32,83.47,82.54,84.25,527057
2010-06-21,84.57,83.76,83.21,85.39,471781
2010-06-22,83.9,82.92,82.74,84.83,406637
2010-06-23,83.21,84.23,82.37,84.37,646642
2010-06-24,83.85,84.63,83.67,85.27,706582
2010-06-25,84.72,84.83,82.48,85.88,784415
2010-06-28,85.48,87.15,84.58,87.93,752950
2010-06-29,86.02,85.87,85.26,86.63,1004969
2010-06-30,86.32,85.27,84.94,86.76,824050
2010-07-01,85.5,86.12,84.24,86.44,1102099
2010-07-02,86.39,86.89,85.8,87.63,829671
2010-07-06,87.34,87.78,86.96,88.58,631220
2010-07-07,87.43,89.05,87.05,89.11,611161
2010-07-08,89.57,89.66,88.55,90.06,539143
2010-07-09,90.36,90.22,89.57,90.9,541009
2010-07-12,89.76,88.37,87.96,89.76,995011
2010-07-13,89.35,89.88,89.05,90.23,695291
2010-07-14,90.58,90.43,90.11,91.62,848602
2010-07-15,90.64,90.97,90.11,91.18,751882
2010-07-16,91.95,90.2,90.11,91.95,981105
2010-07-19,90.67,90.94,89.8,91.33,511598
2010-07-20,89.57,91.68,89.57,91.8,588101
2010-07-21,91.83,91.11,90.09,92.07,897302
2010-07-22,91.04,89.9,89.36,91.1,1049954
2010-07-23,89.85,90.63,88.77,90.66,668947
2010-07-26,90.39,91.24,90.18,91.24,480919
2010-07-27,92.05,90.29,89.9,92.2,335950
2010-07-28,89.73,90.82,89.24,91.24,729032
2010-07-29,91.78,90.29,89.83,92.3,370126
2010-07-30,89.81,90.97,89.11,91.55,319258
2010-08-02,91.52,93.45,90.91,93.9,529961
2010-08-03,92.7,92.46,91.73,93.22,392947
2010-08-04,92.79,93.5,92.15,93.65,392468
2010-08-05,91.96,92.12,91.14,92.4,546411
2010-08-06,91.12,90.93,89.56,91.94,518814
2010-08-09,90.59,90.35,89.8,90.74,310719
2010-08-10,90.03,88.08,87.44,90.03,675051
2010-08-11,86.24,84.03,83.73,86.97,898830
2010-08-12,83.44,82.59,82.14,83.6,378949
2010-08-13,82.5,82.26,81.71,82.81,549561
2010-08-16,81.51,82.24,81.36,83.15,532080
2010-08-17,83.35,84.69,82.74,85.09,439724
2010-08-18,83.92,83.98,83.09,84.56,324137
2010-08-19,83.85,81.41,81.28,83.85,639092
