date,open,close,low,high,volume
2010-01-04,117.88,118.95,117.76,119.91,672310
2010-01-05,118.83,123.07,118.41,123.6,881181
2010-01-06,124.34,125.1,122.81,125.49,1011393
2010-01-07,124.55,124.7,124.13,125.85,700479
2010-01-08,124.49,125.22,123.99,125.9,630235
2010-01-11,125.12,124.44,123.83,125.54,623206
2010-01-12,124.06,121.02,120.9,124.25,776155
2010-01-13,120.1,121.01,118.36,121.42,674222
2010-01-14,119.95,119.84,119.57,121.84,415609
2010-01-15,123.51,122.94,122.26,125.18,1191424
2010-01-19,122.48,123.01,121.99,123.32,516304
2010-01-20,122.44,122.36,121.49,123.08,495443
2010-01-21,122.92,120.98,119.12,123.65,689926
2010-01-22,120.93,117.69,117.66,121.77,524988
2010-01-25,118.36,117.56,116.76,119.27,451267
2010-01-26,117.69,117.42,116.2,117.88,473552
2010-01-27,117.25,115.76,113.5,118.06,546167
2010-01-28,115.4,115.86,113.79,116.68,519527
2010-01-29,116.42,113.44,113.28,116.5,717329
2010-02-01,114.04,113.39,112.63,114.68,655029
2010-02-02,112.91,112.07,111.35,113.63,970353
2010-02-03,112.81,112.2,112.01,112.97,1185760
2010-02-04,111.27,109.32,109.02,111.54,964746
2010-02-05,109.26,108.99,106.04,109.26,1127790
2010-02-08,109.62,109.31,108.96,110.5,1065364
2010-02-09,109.67,112.05,109.67,112.39,1374420
2010-02-10,108.19,106.85,106.73,109.76,2170949
2010-02-11,106.32,107.05,105.86,107.62,1721512
2010-02-12,106.98,109.69,105.87,109.88,1295300
2010-02-16,109.0,110.68,108.66,111.14,687819
2010-02-17,117.86,120.01,117.37,121.61,5340192
2010-02-18,119.67,121.12,119.47,122.23,1110533
2010-02-19,120.37,122.16,119.91,123.65,1535248
2010-02-22,123.35,122.74,122.54,124.92,1610925
2010-02-23,119.92,122.4,119.42,123.66,3103763
2010-02-24,123.17,122.22,120.69,123.17,2540640
2010-02-25,122.22,120.57,119.65,122.26,3699164
2010-02-26,121.7,120.04,119.19,121.7,29429738
2010-03-01,119.83,119.1,118.79,120.29,3996067
2010-03-02,120.97,119.8,119.6,121.16,2919592
2010-03-03,120.63,119.07,119.07,120.63,1532276
2010-03-04,118.49,120.42,118.22,121.66,1737892
2010-03-05,121.78,122.51,120.91,122.68,1295158
2010-03-08,122.94,123.44,122.2,124.11,1104160
2010-03-09,121.14,124.7,120.75,125.01,955025
2010-03-10,124.06,124.77,122.42,125.98,1179038
2010-03-11,124.5,126.81,123.79,127.01,917028
2010-03-12,126.87,127.34,125.54,127.54,1291740
2010-03-15,127.03,126.64,125.66,127.19,1012850
2010-03-16,124.97,125.67,124.53,125.94,747302
2010-03-17,125.74,126.4,124.96,127.37,650747
2010-03-18,127.53,127.02,126.35,127.64,506942
2010-03-19,128.02,126.85,126.07,128.88,1178540
