date,open,close,low,high,volume
2010-01-04,35.61,35.91,35.02,36.04,9664754
2010-01-05,35.86,36.99,35.71,37.16,14588450
2010-01-06,37.02,38.01,36.8,38.14,13772122
2010-01-07,37.83,39.54,37.52,39.61,25162239
2010-01-08,39.15,39.18,38.71,39.3,10979522
2010-01-11,39.57,38.88,38.65,39.66,9286806
2010-01-12,38.35,38.58,38.25,39.07,7714703
2010-01-13,38.77,39.12,38.61,39.47,7370464
2010-01-14,38.97,39.3,38.81,39.34,4551190
2010-01-15,39.36,38.91,38.52,39.38,8019119
2010-01-19,38.65,38.68,38.24,38.91,9731463
2010-01-20,38.4,38.32,37.25,38.55,8575782
2010-01-21,38.5,37.79,37.6,39.11,8332593
2010-01-22,37.4,36.86,36.82,37.76,8047824
2010-01-25,37.4,37.03,36.85,37.65,5360816
2010-01-26,36.92,37.03,36.72,37.54,6766958
2010-01-27,37.66,39.64,37.65,39.73,20878980
2010-01-28,39.98,40.24,39.44,40.49,14296343
2010-01-29,40.51,39.09,38.91,40.89,12897034
2010-02-01,39.21,39.83,39.19,39.93,8766451
2010-02-02,39.66,39.81,39.48,40.12,12313380
2010-02-03,39.71,39.67,39.28,39.89,8468932
2010-02-04,39.5,38.44,38.4,39.64,12107353
2010-02-05,38.34,37.82,37.0,38.68,16060355
2010-02-08,37.89,37.61,37.54,38.31,7505176
2010-02-09,38.25,38.98,38.1,39.43,11869586
2010-02-10,39.02,38.91,38.51,39.24,6319437
2010-02-11,38.92,39.47,38.4,39.58,6820782
2010-02-12,38.95,38.81,38.34,38.98,8232338
2010-02-16,39.07,39.61,38.73,39.63,6599780
2010-02-17,39.77,40.05,39.52,40.17,6336598
2010-02-18,39.95,40.67,39.91,40.75,6629469
2010-02-19,40.53,41.14,40.53,41.62,10667603
2010-02-22,41.34,41.59,41.09,41.92,8359802
2010-02-23,41.18,40.51,40.17,41.41,9867417
2010-02-24,40.61,40.92,40.38,41.06,5149475
2010-02-25,40.35,40.44,39.88,40.51,8587160
2010-02-26,40.59,40.64,40.55,41.1,6074534
2010-03-01,40.47,41.08,40.44,41.3,8396044
2010-03-02,41.51,41.39,41.33,41.96,6670290
2010-03-03,41.71,41.62,41.36,41.96,6810194
2010-03-04,41.96,42.25,41.8,42.41,12866759
2010-03-05,42.59,43.79,42.57,43.86,12343529
2010-03-08,43.83,43.33,43.26,43.83,7844732
2010-03-09,43.49,43.63,43.35,43.99,12094326
2010-03-10,43.7,44.9,43.63,45.2,17062409
2010-03-11,45.14,45.14,44.55,45.37,10547034
2010-03-12,45.49,45.07,44.69,45.49,8237809
2010-03-15,44.65,44.67,44.1,44.91,11565630
2010-03-16,44.59,44.26,43.99,44.64,11849025
2010-03-17,44.42,44.69,43.99,44.76,9231539
2010-03-18,44.58,45.55,44.47,45.59,12346787
2010-03-19,47.29,45.69,45.69,47.36,26860013
2010-03-22,46.15,46.32,46.06,46.79,13463206
2010-03-23,46.63,46.4,45.97,46.69,8382774
2010-03-24,46.61,46.54,46.19,47.11,12472200
2010-03-25,46.79,46.5,46.18,47.1,8055219
2010-03-26,46.76,46.71,46.56,46.97,7014431
2010-03-29,47.06,47.72,47.01,48.0,13563343
2010-03-30,47.83,47.63,47.09,48.05,7012379
2010-03-31,47.16,46.96,46.53,47.25,8882117
2010-04-01,47.32,47.16,46.71,47.49,6927117
2010-04-05,47.06,46.45,45.75,47.1,15065531
2010-04-06,46.33,46.67,46.28,47.19,7997290
2010-04-07,46.58,46.55,46.14,46.82,10727070
2010-04-08,46.52,46.77,46.08,46.89,5851467
2010-04-09,46.83,46.94,46.54,47.09,5124416
2010-04-12,46.77,46.62,46.54,47.04,5931985
2010-04-13,46.26,46.03,45.59,46.36,8333222
2010-04-14,45.84,46.41,45.83,46.45,5376127
2010-04-15,46.22,46.71,46.22,47.04,4730354
2010-04-16,46.59,45.75,45.16,46.59,11569902
2010-04-19,45.48,45.93,45.41,46.14,6146924
2010-04-20,46.46,46.37,46.07,46.74,7485507
2010-04-21,46.55,48.28,46.55,48.6,18966755
2010-04-22,48.62,49.36,48.11,49.63,14192079
2010-04-23,48.94,48.99,48.62,49.35,8790094
2010-04-26,48.58,48.42,48.29,49.04,6323648
2010-04-27,48.61,47.2,47.04,48.8,8686960
2010-04-28,47.6,47.23,46.55,47.63,8740841
2010-04-29,47.51,48.02,47.29,48.16,7991580
2010-04-30,47.99,47.1,46.99,48.43,8398338
2010-05-03,47.01,48.16,46.91,48.36,8226820
2010-05-04,47.26,46.92,46.56,47.35,9378698
2010-05-05,46.41,45.83,45.47,46.5,8327926
2010-05-06,45.78,44.03,40.17,46.31,22029412
2010-05-07,44.2,43.19,42.59,44.74,13441549
2010-05-10,45.35,46.02,45.25,46.5,13161640
2010-05-11,45.65,46.37,45.54,47.18,10398698
2010-05-12,46.74,47.28,46.74,47.6,9753600
2010-05-13,47.43,46.85,46.72,47.85,6000608
2010-05-14,46.22,45.4,44.86,46.43,12564044
2010-05-17,45.97,45.53,44.18,45.98,6793618
2010-05-18,45.81,44.4,44.11,45.97,13958930
2010-05-19,44.0,43.58,42.97,44.46,15131563
2010-05-20,42.76,41.44,41.31,42.83,17135597
2010-05-21,40.82,42.52,40.43,42.81,15550289
2010-05-24,41.83,41.5,41.44,42.46,9272651
2010-05-25,39.98,41.15,39.73,41.28,10908751
2010-05-26,41.78,41.56,41.39,42.97,10952495
2010-05-27,42.68,42.86,42.05,42.92,11299213
2010-05-28,43.02,42.38,41.93,43.09,8301056
2010-06-01,42.48,41.6,41.55,43.09,7945190
2010-06-02,41.83,42.46,40.95,42.48,6873452
2010-06-03,42.87,42.52,41.99,42.87,5746000
2010-06-04,41.7,40.31,40.17,41.8,12533955
2010-06-07,40.68,39.64,39.62,40.69,9240486
2010-06-08,39.98,40.43,39.66,40.49,10539494
2010-06-09,40.95,41.1,40.74,42.08,11942554
2010-06-10,41.91,42.63,41.56,42.71,8686609
2010-06-11,41.93,43.41,41.93,43.62,12653705
2010-06-14,44.07,43.13,43.06,44.28,9868966
2010-06-15,43.65,44.85,43.51,44.91,9922130
2010-06-16,44.18,44.24,43.96,44.59,6560092
2010-06-17,44.56,44.41,43.5,44.56,5530523
2010-06-18,44.57,44.95,44.42,45.08,9713066
2010-06-21,45.57,44.92,44.65,45.82,6268426
2010-06-22,45.09,43.97,43.89,45.43,6404056
2010-06-23,44.1,44.78,43.59,45.07,9609828
2010-06-24,44.63,44.81,44.61,45.35,10615223
2010-06-25,44.85,45.82,44.42,45.82,22088053
2010-06-28,45.74,44.98,44.96,45.87,8041842
2010-06-29,44.01,41.96,41.64,44.06,12298179
2010-06-30,42.16,41.96,41.85,42.94,10389182
2010-07-01,41.89,41.74,41.11,42.05,10712098
2010-07-02,41.69,41.44,40.92,41.81,5386702
2010-07-06,41.98,41.08,40.6,42.19,7628048
2010-07-07,41.3,42.53,41.0,42.57,7538460
2010-07-08,43.08,43.51,42.72,43.62,6586433
2010-07-09,43.85,43.48,43.05,43.85,4689519
2010-07-12,43.17,43.03,42.8,43.45,3505258
2010-07-13,43.67,43.18,43.02,43.81,8575264
2010-07-14,43.16,43.47,43.0,43.9,5582027
2010-07-15,44.03,43.17,42.49,44.12,11636389
2010-07-16,42.94,41.56,41.41,43.14,10671826
2010-07-19,41.88,42.19,41.42,42.31,7289960
2010-07-20,41.44,42.52,41.16,42.6,7446292
2010-07-21,42.99,42.17,41.83,43.26,6334909
2010-07-22,42.4,44.11,42.4,44.45,10891476
2010-07-23,44.04,44.99,43.95,45.15,7677478
2010-07-26,45.44,45.91,45.34,46.0,7952274
2010-07-27,46.38,45.96,45.81,46.71,8203830
2010-07-28,45.33,45.13,44.85,45.59,7875986
2010-07-29,45.48,45.05,44.7,45.93,6812052
2010-07-30,44.72,45.74,44.62,45.9,8768848
2010-08-02,46.05,46.51,45.71,46.67,8363557
2010-08-03,46.13,46.28,45.88,46.59,5502098
2010-08-04,46.35,46.23,46.17,46.69,5966783
2010-08-05,45.72,45.71,45.46,46.07,6263177
2010-08-06,44.85,45.29,44.41,45.31,6921474
2010-08-09,45.7,45.58,45.23,45.9,4494718
2010-08-10,44.87,45.09,44.38,45.32,5970913
2010-08-11,44.14,43.1,42.65,44.19,7273143
2010-08-12,42.5,42.54,42.36,42.91,5545692
2010-08-13,42.33,42.5,42.3,43.06,5622290
2010-08-16,41.93,42.01,41.52,42.36,4634430
2010-08-17,42.64,43.19,42.31,43.79,6192312
2010-08-18,43.16,43.13,42.47,43.37,4115711
2010-08-19,42.95,42.22,41.91,43.0,6281063
2010-08-20,41.81,42.07,41.42,42.16,6071453
2010-08-23,42.36,41.2,41.14,42.46,5875272
2010-08-24,41.0,39.94,39.67,41.17,15670233
2010-08-25,39.56,39.73,38.9,39.96,8547254
2010-08-26,40.11,40.08,39.92,40.89,7269133
2010-08-27,39.86,41.18,39.49,41.3,10800226
2010-08-30,41.24,40.65,40.65,41.37,5439604
2010-08-31,40.41,39.84,39.62,40.52,8037989
2010-09-01,40.38,40.71,40.3,41.23,8299558
2010-09-02,40.77,41.46,40.68,41.46,5663989
2010-09-03,42.28,42.39,42.03,42.9,4797104
2010-09-07,42.23,41.68,41.6,42.23,3737658
2010-09-08,41.73,42.32,41.72,42.65,5561211
2010-09-09,43.01,41.65,41.33,43.09,5667456
2010-09-10,41.48,41.79,41.21,41.96,4748821
2010-09-13,42.24,41.89,41.71,42.4,4672024
2010-09-14,41.89,41.07,40.85,42.11,9628926
2010-09-15,40.84,40.99,40.44,41.03,7581318
2010-09-16,40.97,41.1,40.85,41.6,6619149
2010-09-17,41.66,41.45,40.83,41.71,16804004
2010-09-20,41.44,41.92,41.14,42.04,6048429
2010-09-21,42.08,42.36,41.81,42.54,8219360
2010-09-22,42.44,42.13,41.95,42.76,5712945
2010-09-23,41.72,41.29,41.23,41.84,5739796
2010-09-24,42.03,42.74,41.9,42.89,6786334
2010-09-27,42.95,42.47,42.41,43.01,4298830
2010-09-28,42.7,43.15,42.09,43.25,4845469
2010-09-29,43.36,44.21,43.18,44.4,8660744
2010-09-30,44.89,44.52,44.2,45.48,11483158
2010-10-01,45.17,44.7,44.59,45.47,6639554
2010-10-04,44.65,44.49,44.17,45.53,5821579
2010-10-05,45.11,46.17,45.11,46.43,11151712
2010-10-06,46.24,46.22,46.11,46.77,6903834
2010-10-07,46.76,46.42,45.97,46.88,8211147
2010-10-08,46.43,46.95,46.22,47.28,5159878
2010-10-11,47.09,47.42,46.9,47.6,5247988
2010-10-12,47.44,47.48,46.59,47.74,6976449
2010-10-13,47.73,48.23,47.68,48.7,9034678
2010-10-14,48.42,48.17,47.83,48.6,5685927
2010-10-15,48.34,47.17,47.13,48.37,7954871
2010-10-18,47.37,47.4,47.27,47.95,7583652
2010-10-19,46.92,46.57,46.1,47.18,6644863
2010-10-20,47.27,48.19,46.98,48.58,12257676
2010-10-21,48.39,48.31,47.68,48.57,6990568
2010-10-22,48.18,48.1,47.66,48.35,4691105
2010-10-25,48.32,48.3,48.17,48.86,7133226
2010-10-26,47.6,47.73,47.35,47.96,5525030
2010-10-27,47.53,47.52,46.75,47.69,5798498
2010-10-28,47.46,47.44,46.83,47.79,5995368
2010-10-29,47.34,47.0,46.81,47.55,4609118
2010-11-01,47.0,46.85,46.47,47.79,4688986
2010-11-02,47.28,46.57,45.91,47.37,9814961
2010-11-03,46.55,46.07,45.47,46.6,7269349
2010-11-04,46.48,47.04,46.33,47.53,7944000
2010-11-05,46.79,47.07,46.56,47.32,5434477
2010-11-08,46.35,46.45,46.15,46.58,6278267
2010-11-09,46.6,45.92,45.64,46.78,6635814
2010-11-10,44.86,44.45,44.26,44.86,14769265
2010-11-11,44.08,43.3,43.08,44.18,14888972
2010-11-12,43.18,41.9,41.85,43.34,25281348
2010-11-15,41.89,42.06,41.41,42.39,18020783
2010-11-16,41.69,41.31,40.7,41.69,13818597
2010-11-17,41.26,41.15,40.93,41.49,12705027
2010-11-18,41.5,42.33,41.09,42.4,16260968
2010-11-19,42.4,41.79,41.66,42.54,14078345
2010-11-22,41.52,42.18,41.37,42.27,8475443
2010-11-23,41.64,41.75,41.42,42.08,10503435
2010-11-24,42.21,42.89,41.98,43.0,10269776
2010-11-26,42.67,42.48,42.4,42.92,3615618
2010-11-29,42.31,42.33,41.72,42.55,6189856
2010-11-30,41.8,41.82,41.63,42.11,8763044
2010-12-01,42.25,42.94,42.15,42.98,11235786
2010-12-02,42.47,43.09,42.42,43.23,7563126
2010-12-03,43.06,43.03,42.65,43.12,5101290
2010-12-06,42.8,42.92,42.52,43.16,5528895
2010-12-07,43.03,42.51,42.37,43.25,6856846
2010-12-08,42.5,41.85,41.68,42.74,8123751
2010-12-09,42.18,41.54,41.4,42.18,7927319
2010-12-10,41.61,41.31,41.18,41.7,8905637
2010-12-13,41.45,41.16,41.06,41.55,7378275
2010-12-14,41.16,41.57,41.05,41.97,9575119
2010-12-15,41.3,41.26,41.17,41.55,4947664
2010-12-16,41.21,41.26,40.81,41.54,8195225
2010-12-17,41.48,41.56,41.13,41.73,14003516
2010-12-20,41.38,40.44,40.15,41.39,14012228
2010-12-21,40.62,40.99,40.41,41.09,8259406
2010-12-22,41.0,41.1,40.72,41.44,8139378
2010-12-23,41.31,41.63,41.17,41.67,5398174
2010-12-27,41.66,41.67,41.4,41.78,3828956
2010-12-28,41.47,41.5,41.16,41.59,4342815
2010-12-29,41.62,41.66,41.38,41.75,3757101
