date,open,close,low,high,volume
2010-01-04,176.67,177.5,176.67,179.47,1120385
2010-01-05,177.24,177.15,175.98,177.72,924998
2010-01-06,176.44,179.22,176.23,179.36,1235817
2010-01-07,180.25,179.14,177.79,181.33,1557132
2010-01-08,178.57,178.0,177.46,179.0,744719
2010-01-11,176.88,177.3,176.25,177.5,597126
2010-01-12,176.94,176.34,175.41,177.41,710293
2010-01-13,176.79,177.65,176.28,178.22,688277
2010-01-14,176.75,175.56,175.53,177.14,725472
2010-01-15,176.63,176.04,174.96,176.63,1083822
2010-01-19,177.21,176.56,176.08,177.53,835410
2010-01-20,175.79,175.15,173.2,176.39,1464304
2010-01-21,175.01,173.17,172.66,176.42,1090185
2010-01-22,172.09,171.1,171.01,173.77,1353287
2010-01-25,171.81,172.41,170.01,173.22,938106
2010-01-26,170.91,173.09,170.73,174.74,1118452
2010-01-27,171.49,170.96,170.21,172.47,1366758
2010-01-28,172.31,171.18,170.31,172.58,1139351
2010-01-29,172.48,172.0,171.91,175.33,1896120
2010-02-01,173.43,173.76,172.11,173.79,1405258
2010-02-02,174.38,176.7,173.18,177.03,1754376
2010-02-03,176.28,175.77,175.64,177.36,1822494
2010-02-04,175.23,176.29,175.02,177.55,2094318
2010-02-05,176.56,176.53,174.99,177.49,1714300
2010-02-08,175.98,175.6,175.57,177.53,1029160
2010-02-09,177.65,177.53,175.84,178.25,1170287
2010-02-10,176.86,178.34,176.02,178.85,1650050
2010-02-11,177.57,180.01,177.0,180.34,1380853
2010-02-12,178.19,178.46,177.47,178.88,1487513
2010-02-16,179.61,182.77,178.65,183.32,1294137
2010-02-17,183.03,183.81,182.88,184.56,936336
2010-02-18,183.6,183.69,182.55,184.2,777552
2010-02-19,182.98,184.22,182.77,184.88,787879
2010-02-22,184.86,183.02,182.72,185.01,936480
2010-02-23,182.72,182.33,182.03,183.56,1039084
2010-02-24,183.07,183.25,182.49,184.33,934609
2010-02-25,181.66,185.0,181.42,185.36,1224591
2010-02-26,184.37,183.2,182.63,184.7,1149496
2010-03-01,183.35,185.31,182.39,186.69,1287057
2010-03-02,186.6,184.38,183.84,186.6,1417163
2010-03-03,180.29,183.09,179.95,185.81,3478801
2010-03-04,183.13,183.28,182.32,184.37,1136018
2010-03-05,183.52,183.01,182.47,183.88,1087008
2010-03-08,182.81,183.2,182.75,184.2,963103
2010-03-09,182.28,181.52,181.25,182.85,1012499
2010-03-10,181.56,180.44,180.2,182.16,1113192
2010-03-11,180.47,180.83,180.44,181.32,1254940
2010-03-12,180.55,181.43,180.34,182.36,1211120
2010-03-15,181.31,182.76,181.25,182.96,828196
2010-03-16,183.97,184.58,183.61,184.73,925569
