date,open,close,low,high,volume
2010-01-04,157.68,160.32,156.71,160.78,1861036
2010-01-05,161.05,160.91,159.29,161.1,1802649
2010-01-06,160.65,160.31,158.38,160.9,1463001
2010-01-07,157.83,157.95,156.06,158.25,1384407
2010-01-08,157.24,158.72,155.85,158.97,1141946
2010-01-11,157.64,156.35,154.85,158.26,1249478
2010-01-12,153.5,153.77,152.22,154.37,1154690
2010-01-13,153.58,155.22,151.66,155.8,987590
2010-01-14,155.45,153.05,152.12,155.78,1220470
2010-01-15,153.81,152.81,151.07,154.92,1624920
2010-01-19,152.64,154.64,151.97,154.76,1046718
2010-01-20,151.37,150.72,148.09,151.37,1370678
2010-01-21,149.97,148.41,148.18,151.38,1284601
2010-01-22,149.1,144.52,144.1,149.56,1571822
2010-01-25,144.66,146.85,144.2,147.95,1355582
2010-01-26,144.56,144.05,142.54,147.19,1791093
2010-01-27,143.62,142.78,140.16,144.82,1653908
2010-01-28,144.53,141.98,140.39,146.48,1745198
2010-01-29,144.12,139.33,138.4,146.06,2368867
2010-02-01,142.61,146.95,142.34,147.25,1551518
2010-02-02,147.18,150.41,146.25,150.74,1711729
2010-02-03,149.39,148.07,147.16,150.15,1474418
2010-02-04,147.41,141.45,141.15,147.86,2101141
2010-02-05,141.5,141.5,137.11,142.49,2409799
2010-02-08,140.36,139.33,138.64,142.43,1468925
2010-02-09,141.99,142.4,140.7,144.85,1756799
2010-02-10,140.12,138.7,135.9,140.56,1914903
2010-02-11,137.89,140.21,137.7,141.53,1732371
2010-02-12,136.78,139.08,136.35,139.54,1742456
2010-02-16,142.17,143.04,141.26,143.29,1503654
2010-02-17,146.35,144.86,143.72,147.16,2316437
2010-02-18,143.73,144.95,143.69,145.68,1531811
2010-02-19,146.01,148.69,145.74,149.51,1781909
2010-02-22,150.4,146.31,146.02,150.4,1504456
2010-02-23,145.18,141.98,141.4,145.41,2360956
2010-02-24,142.05,142.76,141.21,143.68,1255821
2010-02-25,138.66,142.51,138.14,142.68,1831590
2010-02-26,143.13,142.64,141.61,143.3,1883284
2010-03-01,142.69,142.73,141.64,143.61,1545349
2010-03-02,143.98,145.12,143.94,145.82,1575774
2010-03-03,145.74,146.12,145.45,147.42,1499168
2010-03-04,145.04,143.21,141.87,145.9,1839433
2010-03-05,144.55,144.06,140.94,144.65,2004248
2010-03-08,144.06,143.38,141.65,144.06,2168389
2010-03-09,141.42,144.63,141.07,145.26,2806758
2010-03-10,144.57,146.01,143.89,147.44,3048706
2010-03-11,151.05,147.84,147.25,151.07,4666023
2010-03-12,149.5,145.26,144.45,149.52,2958436
2010-03-15,144.96,142.25,140.64,145.11,2807394
2010-03-16,143.74,140.44,139.43,143.74,4163528
2010-03-17,141.14,139.11,138.8,142.16,3635084
2010-03-18,137.98,134.54,133.76,138.76,3731412
2010-03-19,134.72,132.56,131.82,134.99,4615365
2010-03-22,131.4,131.98,129.63,132.31,4015095
2010-03-23,132.66,134.23,131.75,134.95,2882710
2010-03-24,132.03,133.11,131.23,135.36,5294554
2010-03-25,134.91,129.28,128.99,134.93,3278417
2010-03-26,129.67,129.37,127.69,129.84,2428443
2010-03-29,130.28,132.2,130.03,133.07,2898923
2010-03-30,132.71,132.17,131.0,133.39,1607558
2010-03-31,131.64,131.31,131.05,132.8,2168913
2010-04-01,132.55,134.04,132.55,134.63,2511731
2010-04-05,134.3,136.54,133.22,136.66,2149522
2010-04-06,136.67,135.33,134.9,136.75,1435361
2010-04-07,134.61,133.8,133.04,136.07,2162658
2010-04-08,132.38,133.74,130.66,134.17,1918096
2010-04-09,133.97,136.26,133.57,136.42,2247007
2010-04-12,135.73,135.59,134.74,136.94,1566943
2010-04-13,135.04,133.97,132.64,135.06,1738268
2010-04-14,133.84,134.32,131.76,134.46,1852689
2010-04-15,134.45,134.21,134.08,136.05,1438511
2010-04-16,132.9,131.21,130.32,133.8,2038201
2010-04-19,129.87,131.23,128.98,131.54,1551469
2010-04-20,131.75,135.18,131.71,135.68,2064964
2010-04-21,135.69,136.32,134.87,137.59,1891526
2010-04-22,134.55,136.94,134.07,137.79,2676670
2010-04-23,137.96,142.5,137.15,142.68,2676772
2010-04-26,140.82,138.44,138.13,141.02,2319965
2010-04-27,137.3,134.42,134.25,139.36,2328985
2010-04-28,135.48,135.84,134.15,136.95,1990809
2010-04-29,135.94,134.8,134.04,138.1,1948249
2010-04-30,134.64,134.12,133.98,137.33,2518061
2010-05-03,135.25,135.6,133.36,136.9,1923602
2010-05-04,134.34,132.64,131.08,134.4,2234472
2010-05-05,134.51,135.11,131.21,137.38,4400606
2010-05-06,135.79,133.68,125.29,138.4,3720409
2010-05-07,134.93,132.41,131.0,137.76,2985708
2010-05-10,137.99,139.47,136.96,140.02,2506020
