date,open,close,low,high,volume
2010-01-04,66.42,66.16,65.85,66.77,561125
2010-01-05,65.78,65.13,64.16,66.23,974532
2010-01-06,65.21,65.47,65.15,65.74,1690737
2010-01-07,65.22,64.85,64.4,65.46,425976
2010-01-08,64.24,64.46,63.71,64.58,669073
2010-01-11,64.81,65.17,64.69,65.46,768345
2010-01-12,65.04,65.39,64.76,65.55,563767
2010-01-13,65.86,66.76,65.81,67.06,620283
2010-01-14,66.62,66.05,65.98,66.62,526235
2010-01-15,65.69,65.3,64.54,66.12,751888
2010-01-19,65.08,65.9,64.84,65.92,388216
2010-01-20,65.6,64.93,64.15,65.6,906802
2010-01-21,64.81,63.73,63.42,65.39,751558
2010-01-22,63.56,62.31,62.31,64.2,872630
2010-01-25,62.73,62.63,61.79,63.06,1006137
2010-01-26,62.45,62.6,62.09,63.05,659887
2010-01-27,62.52,61.52,60.82,62.54,1380489
2010-01-28,61.48,60.68,60.29,61.7,1744249
2010-01-29,60.75,60.17,60.05,61.34,1117719
2010-02-01,60.18,60.2,59.67,60.36,748735
2010-02-02,60.21,60.29,59.52,60.44,1359990
2010-02-03,59.99,59.78,59.5,60.13,819376
2010-02-04,59.41,58.21,58.21,59.66,1221106
2010-02-05,58.36,59.01,57.69,59.29,1440744
2010-02-08,59.01,58.56,58.46,59.26,824117
2010-02-09,59.51,59.35,58.94,60.23,1487296
2010-02-10,59.39,59.04,58.55,59.43,796665
2010-02-11,59.18,60.1,58.91,60.16,1723719
2010-02-12,59.64,59.79,58.91,59.87,1139356
2010-02-16,59.93,60.91,59.93,60.91,773260
2010-02-17,61.06,60.41,60.3,61.14,610005
2010-02-18,60.24,60.34,60.18,61.08,884497
2010-02-19,59.92,60.78,59.78,60.98,1052579
2010-02-22,61.11,59.65,59.65,61.11,1124177
2010-02-23,59.63,59.04,58.65,59.71,1417214
2010-02-24,59.54,58.93,58.48,59.54,1041153
2010-02-25,58.3,58.69,57.87,58.79,1181448
2010-02-26,59.03,57.95,57.93,59.03,1175636
2010-03-01,58.09,58.72,58.03,59.09,857195
2010-03-02,58.89,58.81,58.43,59.18,1111880
2010-03-03,58.8,58.29,58.13,59.21,887341
2010-03-04,58.07,57.97,57.67,58.23,1220057
2010-03-05,58.23,58.59,57.89,58.59,2456578
2010-03-08,57.89,58.43,57.87,58.53,1112810
2010-03-09,58.37,58.29,57.95,58.53,883021
2010-03-10,58.31,58.76,57.91,58.78,1097383
2010-03-11,58.65,58.51,58.21,58.76,711413
2010-03-12,58.31,56.8,56.8,58.37,1703655
2010-03-15,56.78,57.58,56.43,57.62,1682307
2010-03-16,57.84,58.24,57.44,58.28,1388744
2010-03-17,58.38,58.74,58.06,58.74,963076
2010-03-18,58.8,58.15,58.13,59.06,960052
2010-03-19,58.1,57.32,56.83,58.4,1823310
2010-03-22,57.08,56.78,56.64,57.18,991558
2010-03-23,56.73,57.31,56.45,57.37,1221456
2010-03-24,57.49,56.91,56.91,57.58,1079202
2010-03-25,56.59,55.99,55.95,56.92,1412162
2010-03-26,56.41,55.74,55.52,56.41,1344327
2010-03-29,55.81,56.19,55.52,56.31,1054369
2010-03-30,56.11,56.19,56.05,56.45,779760
2010-03-31,55.91,55.73,55.49,55.91,904257
2010-04-01,56.0,56.72,55.88,56.84,1025976
2010-04-05,56.64,56.4,56.12,56.8,1035900
2010-04-06,56.18,57.02,56.01,57.04,859566
2010-04-07,56.74,56.08,55.86,56.78,1004669
2010-04-08,56.04,55.7,55.44,56.06,1498180
2010-04-09,55.86,55.74,55.24,55.86,887016
2010-04-12,56.01,55.97,55.81,56.45,843424
2010-04-13,56.26,56.24,55.52,56.4,895484
2010-04-14,56.13,56.29,55.67,56.31,1026545
2010-04-15,56.12,55.98,55.72,56.18,907570
2010-04-16,55.85,54.68,54.54,55.85,1813970
2010-04-19,54.51,54.55,54.08,54.69,1327030
2010-04-20,55.1,55.84,54.88,55.86,803322
2010-04-21,56.02,55.76,55.36,56.02,1017347
2010-04-22,55.58,56.3,54.97,56.4,1957535
2010-04-23,56.15,57.52,55.95,57.54,2954627
2010-04-26,57.74,57.12,57.1,58.05,1163615
2010-04-27,56.88,55.78,55.77,57.15,977695
2010-04-28,56.1,51.6,51.48,56.24,8589791
2010-04-29,51.85,50.39,49.71,52.73,7739971
2010-04-30,50.59,50.01,49.95,50.98,3885849
2010-05-03,50.52,50.28,49.84,50.61,2444864
2010-05-04,49.98,49.92,49.7,50.25,2292713
2010-05-05,49.72,50.09,49.72,50.49,2357141
2010-05-06,50.19,50.17,48.3,51.25,4347435
2010-05-07,50.27,50.22,49.0,50.87,3592311
2010-05-10,51.59,51.99,50.96,52.18,2200879
2010-05-11,51.52,51.97,51.42,52.8,2199550
2010-05-12,51.92,52.53,51.5,52.77,2308445
2010-05-13,52.49,52.07,51.85,52.78,2024703
