date,open,close,low,high,volume
2010-01-04,196.58,196.49,195.67,197.43,3019248
2010-01-05,197.12,195.13,194.8,197.24,3705815
2010-01-06,194.89,196.57,194.68,196.85,3810459
2010-01-07,196.42,195.62,194.86,196.72,3654134
2010-01-08,195.47,196.36,194.59,196.51,2509930
2010-01-11,197.62,196.0,195.36,197.62,2824932
2010-01-12,195.8,197.11,195.45,197.6,3612356
2010-01-13,196.72,198.03,196.72,198.83,4297314
2010-01-14,198.96,198.65,197.59,199.16,2535407
2010-01-15,198.76,196.99,195.22,198.94,7296734
2010-01-19,195.55,199.24,195.46,200.46,4527306
2010-01-20,199.6,198.63,196.56,201.07,4376650
2010-01-21,198.33,194.98,194.46,199.55,4852086
2010-01-22,194.09,191.93,191.6,194.94,4677396
2010-01-25,193.27,191.91,191.39,193.36,3375918
2010-01-26,190.34,190.8,189.06,191.46,5149559
2010-01-27,190.24,192.24,190.0,193.09,4935813
2010-01-28,192.94,193.64,191.33,194.46,5826097
2010-01-29,194.07,190.76,190.64,195.04,6208865
2010-02-01,192.36,191.84,190.87,192.36,3329747
2010-02-02,191.98,194.38,190.25,195.01,4322785
2010-02-03,193.88,193.15,192.11,193.88,2983629
2010-02-04,192.3,189.73,189.67,192.69,6041337
2010-02-05,190.08,189.93,187.65,192.84,6105596
2010-02-08,189.29,188.9,188.56,190.74,3239608
2010-02-09,189.68,190.32,189.44,192.47,3536511
2010-02-10,190.62,190.44,188.86,191.47,3123625
2010-02-11,189.67,190.55,188.58,191.45,2759246
2010-02-12,189.38,189.71,187.86,190.56,4121675
2010-02-16,191.09,192.18,189.79,192.48,3308687
2010-02-17,192.13,193.18,192.07,194.33,3088134
2010-02-18,193.93,194.12,193.84,196.12,2419680
2010-02-19,194.26,193.23,192.65,195.19,5325804
2010-02-22,193.33,192.36,192.06,194.21,3443110
2010-02-23,192.55,191.79,191.55,193.43,4054311
2010-02-24,192.58,192.28,191.67,193.49,2912111
2010-02-25,190.9,192.38,190.07,192.6,3556728
2010-02-26,192.79,191.39,191.39,193.18,3138182
2010-03-01,192.05,192.41,191.75,192.63,3087097
2010-03-02,192.33,192.73,191.45,193.34,2741744
2010-03-03,193.03,192.45,191.91,193.52,3041256
2010-03-04,192.41,192.93,192.32,193.32,2651882
2010-03-05,193.39,194.54,193.05,194.63,3626570
2010-03-08,193.92,194.29,193.74,194.92,11330886
2010-03-09,195.48,194.63,194.09,195.48,3001844
2010-03-10,195.45,194.84,194.42,195.66,2544230
2010-03-11,194.43,194.64,192.76,194.64,3254187
2010-03-12,195.01,194.77,193.77,195.01,2859129
2010-03-15,195.15,196.46,194.94,196.46,2381579
2010-03-16,196.63,196.11,195.2,196.69,2808858
2010-03-17,196.42,196.21,195.69,196.48,2591317
2010-03-18,195.77,197.23,195.14,197.5,3602982
2010-03-19,197.61,197.19,196.28,198.34,7669943
2010-03-22,196.86,196.95,196.58,197.97,3112794
