date,open,close,low,high,volume
2010-01-04,153.59,154.04,152.92,156.52,555645
2010-01-05,152.7,152.81,150.79,154.27,559066
2010-01-06,153.03,153.71,152.13,154.94,603881
2010-01-07,152.74,158.7,152.74,159.04,648125
2010-01-08,157.08,155.74,154.06,158.53,513682
2010-01-11,157.48,158.26,155.46,158.71,500191
2010-01-12,154.02,153.91,153.12,157.49,863595
2010-01-13,154.1,159.38,153.65,161.63,650291
2010-01-14,158.77,157.19,155.22,159.67,472681
2010-01-15,155.6,152.69,151.79,156.83,676138
2010-01-19,149.48,154.4,149.04,154.96,674705
2010-01-20,152.05,151.6,149.27,152.27,705505
2010-01-21,152.49,148.03,147.8,153.38,880713
2010-01-22,148.18,145.51,144.61,150.97,889284
2010-01-25,147.82,145.26,142.48,147.82,521532
2010-01-26,144.44,142.88,142.33,145.78,591051
2010-01-27,142.88,142.65,139.21,143.43,753038
2010-01-28,144.91,140.45,138.33,144.91,558075
2010-01-29,141.15,140.37,138.59,142.82,676678
2010-02-01,141.15,143.48,140.43,143.48,440949
2010-02-02,143.28,143.94,141.18,144.83,524027
2010-02-03,143.84,140.41,139.07,144.95,539356
2010-02-04,139.53,140.53,138.64,143.31,1118698
2010-02-05,140.95,144.4,140.62,146.85,1050042
2010-02-08,143.77,139.89,139.66,145.55,549374
2010-02-09,141.91,142.47,139.74,143.47,925813
2010-02-10,142.95,142.17,139.27,144.84,295319
2010-02-11,142.57,142.01,139.89,143.35,460053
2010-02-12,140.3,142.41,138.85,142.63,425724
2010-02-16,142.16,146.7,142.16,147.03,385003
2010-02-17,147.97,148.97,146.86,150.63,390516
2010-02-18,148.2,152.64,148.2,153.98,434540
2010-02-19,152.79,152.9,150.44,153.79,426796
2010-02-22,153.41,152.73,152.17,154.53,309630
2010-02-23,151.82,150.36,149.69,153.05,385679
2010-02-24,151.37,154.62,150.59,154.62,443796
2010-02-25,152.17,155.97,150.72,156.64,394444
2010-02-26,156.2,155.19,155.08,157.42,747726
2010-03-01,155.29,155.85,154.4,156.96,476784
2010-03-02,156.44,155.88,154.99,156.99,531101
2010-03-03,155.83,155.83,154.61,157.39,561175
2010-03-04,156.06,156.5,155.33,157.06,367775
2010-03-05,157.48,162.83,156.14,163.39,534732
2010-03-08,162.76,164.32,162.65,165.44,280974
2010-03-09,163.86,163.75,162.19,166.54,366627
2010-03-10,164.7,164.7,162.69,166.04,293812
2010-03-11,164.31,166.99,162.85,167.22,269724
2010-03-12,167.51,168.74,166.95,169.63,257758
2010-03-15,167.25,168.03,165.47,169.14,333846
2010-03-16,168.63,173.07,167.96,173.69,473371
2010-03-17,173.94,176.94,173.05,178.61,464773
2010-03-18,176.69,173.69,173.25,176.69,506917
2010-03-19,173.94,173.49,172.16,175.61,516756
2010-03-22,171.75,175.19,170.42,175.85,363816
2010-03-23,174.85,173.2,171.54,175.52,507079
2010-03-24,172.11,174.75,171.89,175.96,395170
2010-03-25,176.56,177.33,176.45,181.52,458866
2010-03-26,177.52,177.52,175.1,178.96,503650
2010-03-29,178.26,177.92,175.5,178.48,403699
2010-03-30,178.26,176.82,176.05,178.7,468930
2010-03-31,176.04,173.27,173.16,176.54,631581
2010-04-01,175.38,174.83,173.05,176.38,487458
2010-04-05,173.83,177.26,173.72,178.03,527962
2010-04-06,176.61,182.46,175.95,182.68,486928
2010-04-07,182.35,177.04,176.26,183.24,571269
2010-04-08,176.68,178.12,175.68,179.55,481758
2010-04-09,179.16,181.94,178.5,182.71,542954
2010-04-12,183.14,180.24,180.24,184.14,409101
2010-04-13,180.07,183.98,180.07,184.98,437690
2010-04-14,185.31,181.2,180.53,185.98,571029
2010-04-15,181.08,174.07,173.3,181.3,660072
2010-04-16,173.31,168.19,167.97,175.31,979196
2010-04-19,167.64,169.2,165.4,170.99,920275
2010-04-20,172.02,169.55,167.31,172.02,850250
2010-04-21,169.03,171.27,168.47,173.5,737167
2010-04-22,169.59,175.4,168.14,176.19,461159
2010-04-23,175.78,175.78,173.77,177.56,437248
2010-04-26,175.42,177.2,175.42,179.76,429369
2010-04-27,175.31,170.86,170.64,177.98,492847
2010-04-28,173.26,172.7,170.81,175.05,477766
2010-04-29,174.69,181.95,174.69,182.06,556126
2010-04-30,181.35,174.41,174.19,184.37,575045
2010-05-03,177.01,180.94,176.78,181.72,525428
2010-05-04,179.2,177.16,174.57,180.66,717838
2010-05-05,173.72,172.59,170.79,176.77,415684
2010-05-06,171.79,169.98,154.85,176.87,1079511
2010-05-07,170.92,169.79,165.72,177.14,882757
2010-05-10,179.91,185.47,179.34,185.92,854243
2010-05-11,182.81,186.45,180.42,188.61,776986
2010-05-12,187.62,188.87,186.14,190.12,523154
2010-05-13,187.92,183.95,183.61,189.06,637669
2010-05-14,180.56,178.41,176.59,182.15,678033
2010-05-17,178.59,177.0,172.46,183.01,654677
2010-05-18,179.99,170.9,170.21,181.81,501365
2010-05-19,170.55,167.69,163.58,175.46,611720
2010-05-20,163.65,157.38,157.15,164.67,811106
2010-05-21,155.21,163.45,153.72,163.68,775086
2010-05-24,164.87,159.11,158.65,165.44,363088
2010-05-25,153.15,159.12,150.05,159.46,545219
2010-05-26,161.71,158.49,157.11,164.58,701588
2010-05-27,161.85,166.89,159.78,167.12,496637
2010-05-28,165.92,163.63,162.95,167.75,385472
2010-06-01,162.12,161.44,160.52,166.83,562640
2010-06-02,163.15,166.13,160.63,166.36,467757
2010-06-03,165.13,164.79,162.84,166.5,322154
2010-06-04,160.97,152.06,151.14,163.82,821070
2010-06-07,154.07,154.19,153.04,157.63,725009
2010-06-08,153.51,157.18,149.6,157.41,727906
2010-06-09,159.03,158.0,157.08,163.53,559533
2010-06-10,160.22,166.07,159.19,166.29,478659
2010-06-11,163.26,166.47,162.46,166.81,417662
2010-06-14,167.45,169.04,166.14,170.93,553229
