date,open,close,low,high,volume
2010-01-04,194.5,193.92,193.22,196.81,245704
2010-01-05,193.97,195.13,191.77,195.47,308915
2010-01-06,195.58,195.93,194.07,196.51,172675
2010-01-07,195.93,196.98,194.07,198.72,271397
2010-01-08,196.43,198.18,195.85,198.18,220268
2010-01-11,199.15,196.81,196.35,199.74,141826
2010-01-12,196.61,193.45,193.1,198.36,326225
2010-01-13,194.52,194.99,193.12,196.04,261930
2010-01-14,194.83,197.05,194.13,197.76,191378
2010-01-15,197.67,194.05,193.0,198.14,270900
2010-01-19,194.09,193.75,192.93,195.49,266885
2010-01-20,193.14,193.96,192.44,194.66,231238
2010-01-21,193.93,193.81,191.59,195.68,424082
2010-01-22,192.78,188.69,186.93,196.98,589456
2010-01-25,193.11,190.88,187.83,193.46,432828
2010-01-26,188.52,186.41,186.17,190.51,275858
2010-01-27,186.44,187.02,184.56,188.43,456971
2010-01-28,185.83,183.14,182.67,187.35,416166
2010-01-29,182.09,189.48,181.98,191.59,879572
2010-02-01,188.71,184.5,183.56,189.3,473002
2010-02-02,184.1,182.94,181.53,185.27,461750
2010-02-03,181.74,181.04,180.22,183.84,267508
2010-02-04,182.57,177.89,177.65,182.57,359103
2010-02-05,177.84,179.83,176.55,180.65,400584
2010-02-08,178.05,178.75,177.69,181.92,306494
2010-02-09,179.92,181.56,179.22,182.73,286949
2010-02-10,182.52,181.94,180.53,182.88,305300
2010-02-11,180.59,182.47,180.01,182.94,205831
2010-02-12,181.37,183.01,180.55,183.25,324621
2010-02-16,182.61,185.42,182.61,185.42,295890
2010-02-17,185.34,185.46,183.93,186.1,240691
2010-02-18,185.92,182.41,182.17,186.74,863444
2010-02-19,183.57,184.98,182.63,186.61,447662
2010-02-22,184.56,183.62,183.15,185.14,356797
2010-02-23,183.72,181.03,180.92,184.89,389173
2010-02-24,182.92,184.09,180.69,184.09,354462
2010-02-25,180.81,182.44,180.0,182.68,252381
2010-02-26,183.4,183.4,180.84,183.66,398236
2010-03-01,182.88,182.64,180.67,183.23,298773
2010-03-02,183.44,181.46,180.76,183.44,240546
2010-03-03,181.71,179.28,178.0,182.06,283519
2010-03-04,179.37,178.68,177.86,180.54,157549
2010-03-05,179.64,181.38,177.08,182.77,437458
2010-03-08,179.32,181.41,179.32,181.64,272573
2010-03-09,179.52,180.3,178.94,180.79,479886
2010-03-10,179.84,180.07,178.85,180.88,346497
2010-03-11,178.66,181.31,178.66,181.43,520449
2010-03-12,183.14,179.8,179.45,183.14,391405
2010-03-15,182.03,179.49,177.99,182.03,446363
2010-03-16,179.86,179.75,179.06,180.56,284405
2010-03-17,180.83,180.48,179.55,181.29,374380
2010-03-18,180.21,179.98,179.34,180.44,256921
2010-03-19,184.45,183.64,181.31,185.96,932768
2010-03-22,183.41,183.06,181.2,184.1,459831
2010-03-23,184.13,183.08,182.15,184.48,295706
2010-03-24,183.2,180.99,180.64,183.43,482652
2010-03-25,180.42,181.93,180.31,182.86,538288
2010-03-26,182.81,181.99,180.6,184.2,572614
2010-03-29,183.48,183.01,181.27,183.48,277323
2010-03-30,183.94,183.01,182.54,184.29,375711
2010-03-31,182.41,182.53,182.06,183.93,476892
2010-04-01,182.34,182.86,181.35,183.15,349729
2010-04-05,183.86,181.54,180.72,183.86,506153
2010-04-06,181.35,183.68,180.31,184.14,691646
2010-04-07,184.9,187.57,182.58,189.54,790335
2010-04-08,187.98,190.88,187.06,191.35,701931
2010-04-09,189.68,190.95,187.95,191.18,530438
2010-04-12,190.92,191.38,189.42,191.49,269126
2010-04-13,191.19,191.77,188.66,191.77,428937
2010-04-14,192.74,191.35,191.0,194.36,399127
2010-04-15,191.65,192.69,191.42,193.5,525974
2010-04-16,192.96,189.15,182.69,193.19,1144453
2010-04-19,186.68,184.43,182.81,188.35,718791
2010-04-20,186.14,188.1,185.1,188.39,423573
2010-04-21,188.6,186.98,186.17,189.06,349923
2010-04-22,186.03,184.99,184.06,186.6,481484
2010-04-23,185.04,184.0,183.19,185.74,413591
2010-04-26,186.02,184.3,183.61,188.43,1060657
2010-04-27,183.68,179.66,179.2,184.37,673253
2010-04-28,179.34,179.34,178.65,182.9,555156
2010-04-29,179.91,178.42,176.36,181.29,560053
2010-04-30,178.21,177.06,175.92,178.43,422754
2010-05-03,178.29,176.8,174.74,178.29,474354
2010-05-04,175.01,174.44,173.75,176.16,496136
2010-05-05,174.26,172.53,171.61,174.6,761705
2010-05-06,171.44,167.88,161.78,172.65,1023925
2010-05-07,169.14,165.12,164.66,171.2,742691
2010-05-10,171.51,171.51,168.64,173.22,587621
2010-05-11,170.05,168.68,167.53,171.08,561388
2010-05-12,169.2,170.24,166.79,170.93,579968
2010-05-13,169.13,167.42,167.42,169.81,599121
2010-05-14,167.47,166.55,165.98,169.18,588238
2010-05-17,166.44,168.49,165.76,168.83,564905
2010-05-18,169.67,166.44,165.98,169.67,486307
2010-05-19,165.96,166.3,162.89,167.27,584983
2010-05-20,163.6,162.12,161.9,165.53,774474
2010-05-21,160.53,163.26,160.19,163.48,539341
2010-05-24,162.76,161.73,161.16,164.12,421246
2010-05-25,159.55,160.91,158.98,162.16,643361
2010-05-26,161.3,159.37,158.81,163.01,505629
2010-05-27,160.88,160.2,157.93,161.5,940849
2010-05-28,160.32,158.5,158.48,160.32,805212
2010-06-01,158.08,157.29,157.17,159.45,599894
2010-06-02,158.31,158.99,157.4,158.99,540970
2010-06-03,158.37,158.14,157.86,159.39,536661
