date,open,close,low,high,volume
2010-01-04,136.18,137.91,135.91,138.41,373598
2010-01-05,139.42,141.78,138.56,142.16,542092
2010-01-06,140.37,142.25,140.17,142.63,602636
2010-01-07,142.22,150.15,142.19,150.44,1075721
2010-01-08,149.34,159.19,148.6,161.41,1580618
2010-01-11,158.96,163.08,158.63,164.29,1020724
2010-01-12,158.49,157.57,156.07,159.35,1187868
2010-01-13,153.44,155.2,151.03,156.58,829959
2010-01-14,152.15,155.38,150.62,156.32,622774
2010-01-15,152.98,152.24,151.21,154.45,721362
2010-01-19,150.42,156.63,149.68,156.63,572289
2010-01-20,155.1,152.32,149.8,155.1,697198
2010-01-21,152.07,146.62,145.17,153.05,721722
2010-01-22,146.08,141.72,141.63,146.08,704734
2010-01-25,145.22,142.03,140.98,146.68,507271
2010-01-26,141.65,141.23,139.83,144.55,1016185
2010-01-27,140.43,138.49,133.8,140.87,1150794
2010-01-28,140.53,136.64,135.38,140.8,503499
2010-01-29,137.77,135.02,134.48,139.84,655653
2010-02-01,136.16,139.77,135.63,139.89,753234
2010-02-02,148.78,151.57,145.72,155.04,2588204
2010-02-03,151.18,153.34,150.91,156.92,1050997
2010-02-04,151.59,148.89,148.05,152.18,910825
2010-02-05,146.92,148.54,143.86,148.81,1100317
2010-02-08,148.91,148.47,147.94,152.65,663089
2010-02-09,151.15,154.31,150.65,156.23,977284
2010-02-10,153.19,153.1,151.57,154.57,767670
2010-02-11,152.5,161.23,152.5,164.11,1343737
2010-02-12,158.13,161.66,156.16,166.05,1414801
2010-02-16,164.55,167.39,163.99,168.39,1188201
2010-02-17,168.71,165.66,164.19,168.71,734072
2010-02-18,164.56,168.58,163.74,168.9,596754
2010-02-19,167.24,169.64,166.6,171.69,678089
2010-02-22,170.87,167.1,166.45,170.87,669499
2010-02-23,166.91,162.84,161.76,168.69,767502
2010-02-24,164.27,163.59,162.34,166.05,798292
2010-02-25,158.5,163.01,156.7,163.53,772301
2010-02-26,163.0,165.3,160.62,165.97,551707
2010-03-01,166.92,172.06,166.92,172.26,762283
2010-03-02,172.37,171.65,170.17,172.46,994290
2010-03-03,173.26,172.1,171.23,175.85,921292
2010-03-04,172.79,174.39,172.55,176.23,888188
2010-03-05,175.7,177.66,174.88,178.51,816378
2010-03-08,178.7,176.67,175.79,179.35,691326
2010-03-09,177.12,181.21,176.38,182.22,841499
2010-03-10,181.57,178.2,176.16,181.57,1418155
2010-03-11,177.91,176.6,174.0,178.06,760094
2010-03-12,178.87,179.26,177.12,179.64,811561
2010-03-15,178.41,179.39,175.58,179.45,840213
2010-03-16,180.58,181.45,176.34,182.41,1186591
2010-03-17,184.11,179.69,179.07,184.11,1181087
2010-03-18,178.48,176.81,175.41,180.15,1286869
2010-03-19,177.3,173.43,173.13,179.45,964423
2010-03-22,172.26,178.36,171.51,179.31,562883
2010-03-23,178.41,185.12,178.41,186.13,1084502
2010-03-24,185.34,183.82,183.67,187.95,1039742
2010-03-25,185.26,182.36,182.24,187.93,870147
2010-03-26,183.21,184.78,182.62,187.86,610552
2010-03-29,186.22,186.75,184.83,187.05,764966
2010-03-30,187.65,184.47,182.78,187.68,757781
2010-03-31,183.43,183.49,182.48,185.09,840296
2010-04-01,185.31,184.93,183.8,188.75,721968
2010-04-05,186.51,194.86,186.51,195.89,1107867
2010-04-06,194.0,193.25,192.6,194.26,850282
2010-04-07,192.11,192.02,190.54,193.92,911533
2010-04-08,191.13,193.12,189.32,194.78,1031384
2010-04-09,197.41,195.46,194.1,197.41,1037977
2010-04-12,197.6,193.67,193.05,197.6,992665
2010-04-13,193.5,196.17,193.11,196.35,596137
2010-04-14,196.28,200.91,196.11,201.12,643536
2010-04-15,198.52,196.96,195.29,199.82,668775
2010-04-16,195.64,193.33,190.66,197.02,699781
2010-04-19,193.55,194.02,189.99,196.08,648894
2010-04-20,197.73,198.12,197.44,204.94,1026975
2010-04-21,198.57,196.51,194.19,199.99,787214
2010-04-22,194.2,200.32,190.65,201.08,590966
2010-04-23,201.2,205.62,199.17,205.86,814351
2010-04-26,207.31,207.52,206.63,211.03,1035509
2010-04-27,219.34,213.3,212.09,224.94,3232503
2010-04-28,215.36,217.16,214.98,220.51,1533460
2010-04-29,219.37,222.55,217.94,225.95,1401466
2010-04-30,223.27,212.9,212.37,225.66,1068563
2010-05-03,214.16,215.87,213.95,218.82,833515
2010-05-04,211.28,207.43,203.56,211.43,1647165
2010-05-05,201.42,206.07,196.97,210.14,1469118
2010-05-06,206.11,198.12,173.58,212.15,2883745
2010-05-07,191.43,192.79,190.61,202.18,2334066
2010-05-10,205.23,212.32,204.87,213.06,1682558
2010-05-11,208.89,211.81,208.39,215.32,1085241
2010-05-12,213.64,220.54,213.0,221.61,1022772
2010-05-13,219.63,216.3,215.16,222.7,939921
2010-05-14,214.4,209.31,206.76,214.45,1619602
2010-05-17,211.58,210.16,202.61,213.61,1366295
2010-05-18,215.75,206.62,205.32,216.96,802449
2010-05-19,201.83,203.1,197.29,206.96,1320988
2010-05-20,196.27,189.34,184.29,196.42,2306466
2010-05-21,185.25,196.81,180.35,197.8,1428576
2010-05-24,197.5,192.2,191.72,199.92,690035
2010-05-25,184.34,194.81,181.49,195.32,1352991
2010-05-26,198.46,197.14,195.83,205.03,1376137
2010-05-27,204.03,208.49,202.92,208.58,844404
2010-05-28,209.62,204.21,201.32,210.88,997328
2010-06-01,201.83,198.85,198.73,207.9,709437
2010-06-02,201.99,209.84,198.95,210.17,905430
2010-06-03,214.97,212.92,208.7,217.33,1091024
2010-06-04,208.92,200.89,198.32,211.94,1449053
2010-06-07,201.2,190.37,190.13,201.2,1009364
2010-06-08,191.65,196.75,189.54,197.69,941419
2010-06-09,198.95,198.77,197.3,203.66,1192367
2010-06-10,202.61,211.34,202.61,212.42,1352729
2010-06-11,207.78,217.35,207.42,217.98,867946
2010-06-14,223.1,219.22,218.22,225.06,881121
2010-06-15,220.96,228.13,220.9,228.4,820709
2010-06-16,226.39,226.06,224.62,227.67,1079534
2010-06-17,226.64,222.6,220.04,226.79,738433
